S_NS1_Ca_028_v1v9_264	2.1.3.3
S_NS1_Ca_028_v1v9_265	2.1.3.3
S_NS1_Ca_028_v1v9_266	2.7.3.9
S_NS1_Ca_028_v1v9_267	6.3.3.2
S_NS1_Ca_028_v1v9_268	6.1.1.14
S_NS1_Ca_028_v1v9_269	6.1.1.14
S_NS1_Ca_028_v1v9_270	1.1.1.22
S_NS1_Ca_028_v1v9_271	3.6.3.21
S_NS1_Ca_028_v1v9_272	3.6.3.21
S_NS1_Ca_028_v1v9_273	1.2.1.38
S_NS1_Ca_028_v1v9_274	2.3.1.35
S_NS1_Ca_028_v1v9_275	5.3.1.16
S_NS1_Ca_028_v1v9_276	1.5.1.3
S_NS1_Ca_028_v1v9_277	2.7.1.50
S_NS1_Ca_028_v1v9_278	2.7.1.71
S_NS1_Ca_028_v1v9_279	2.3.1.51
S_NS1_Ca_028_v1v9_280	3.1.26.3
S_NS1_Ca_028_v1v9_281	2.1.1.198
S_NS1_Ca_028_v1v9_282	3.5.4.19
S_NS1_Ca_028_v1v9_283	6.3.5.1
S_NS1_Ca_028_v1v9_284	6.3.5.1
S_NS1_Ca_028_v1v9_285	1.1.1.23
S_NS1_Ca_028_v1v9_286	2.7.7.87
S_NS1_Ca_028_v1v9_287	2.4.2.29
S_NS1_Ca_028_v1v9_288	2.1.1.33
S_NS1_Ca_028_v1v9_289	6.1.1.9
S_NS1_Ca_028_v1v9_290	5.4.2.12
S_NS1_Ca_028_v1v9_291	5.4.2.12
S_NS1_Ca_028_v1v9_292	2.2.1.7
S_NS1_Ca_028_v1v9_293	1.3.1.12
S_NS1_Ca_028_v1v9_294	3.5.4.12
S_NS1_Ca_028_v1v9_295	2.7.4.25
S_NS1_Ca_028_v1v9_296	2.3.1.30
S_NS1_Ca_028_v1v9_297	2.3.1.30
S_NS1_Ca_028_v1v9_298	1.2.1.41
S_NS1_Ca_028_v1v9_299	2.7.2.11
S_NS1_Ca_028_v1v9_300	2.2.1.1
S_NS1_Ca_028_v1v9_301	2.2.1.1
S_NS1_Ca_028_v1v9_302	6.3.2.6
S_NS1_Ca_028_v1v9_303	4.2.99.18
S_NS1_Ca_028_v1v9_304	6.3.4.5
S_NS1_Ca_028_v1v9_305	5.3.1.1
S_NS1_Ca_028_v1v9_306	3.1.13.5
S_NS1_Ca_028_v1v9_307	2.1.1.37
S_NS1_Ca_028_v1v9_308	4.3.2.2
S_NS1_Ca_028_v1v9_309	1.17.4.1
S_NS1_Ca_028_v1v9_310	2.7.2.4
S_NS1_Ca_028_v1v9_311	1.1.1.3
S_NS1_Ca_028_v1v9_312	2.1.1.13
S_NS1_Ca_028_v1v9_313	2.1.1.13
S_NS1_Ca_028_v1v9_314	3.4.11.4
S_NS1_Ca_028_v1v9_315	2.7.7.8
S_NS1_Ca_028_v1v9_316	2.4.2.8
S_NS1_Ca_028_v1v9_317	2.3.1.183
S_NS1_Ca_028_v1v9_318	2.7.4.9
S_NS1_Ca_028_v1v9_319	1.1.1.1
S_NS1_Ca_028_v1v9_320	1.1.1.1
S_NS1_Ca_028_v1v9_321	6.1.1.17
S_NS1_Ca_028_v1v9_322	6.1.1.17
S_NS1_Ca_028_v1v9_323	4.2.3.5
S_NS1_Ca_028_v1v9_324	2.5.1.7
S_NS1_Ca_028_v1v9_325	2.7.9.1
S_NS1_Ca_028_v1v9_326	5.3.1.9
S_NS1_Ca_028_v1v9_327	1.5.1.2
S_NS1_Ca_028_v1v9_328	3.1.5.1
S_NS1_Ca_028_v1v9_329	5.4.99.12
S_NS1_Ca_028_v1v9_330	2.7.7.18
S_NS1_Ca_028_v1v9_331	2.7.7.56
S_NS1_Ca_028_v1v9_332	1.1.1.169
S_NS1_Ca_028_v1v9_333	6.3.4.3
S_NS1_Ca_028_v1v9_334	6.3.4.13
S_NS1_Ca_028_v1v9_335	2.1.1.192
S_NS1_Ca_028_v1v9_336	2.1.1.190
S_NS1_Ca_028_v1v9_337	6.1.1.15
S_NS1_Ca_028_v1v9_338	2.1.1.297
S_NS1_Ca_028_v1v9_339	4.3.2.1
S_NS1_Ca_028_v1v9_340	2.4.1.25
S_NS1_Ca_028_v1v9_341	2.4.1.25
S_NS1_Ca_028_v1v9_342	3.1.21.2
S_NS1_Ca_028_v1v9_343	2.8.4.3
S_NS1_Ca_028_v1v9_344	2.8.4.4
S_NS1_Ca_028_v1v9_345	6.1.1.16
S_NS1_Ca_028_v1v9_346	2.6.1.17
S_NS1_Ca_028_v1v9_347	2.6.1.11
S_NS1_Ca_028_v1v9_348	2.7.7.41
S_NS1_Ca_028_v1v9_349	2.6.1.66
S_NS1_Ca_028_v1v9_350	2.7.8.5
S_NS1_Ca_028_v1v9_351	6.5.1.2
S_NS1_Ca_028_v1v9_352	4.2.1.51
S_NS1_Ca_028_v1v9_353	2.3.3.1
S_NS1_Ca_028_v1v9_354	2.1.1.207
S_NS1_Ca_028_v1v9_355	2.5.1.19
S_NS1_Ca_028_v1v9_356	4.1.2.48
S_NS1_Ca_028_v1v9_357	2.6.1.1
S_NS1_Ca_028_v1v9_358	2.6.1.1
S_NS1_Ca_028_v1v9_359	2.6.1.1
S_NS1_Ca_028_v1v9_360	2.5.1.31
S_NS1_Ca_028_v1v9_361	2.7.1.148
S_NS1_Ca_028_v1v9_362	2.7.2.8
S_NS1_Ca_028_v1v9_363	3.5.4.10
S_NS1_Ca_028_v1v9_364	2.1.2.3
S_NS1_Ca_028_v1v9_365	2.7.8.7
S_NS1_Ca_028_v1v9_366	6.1.1.19
S_NS1_Ca_028_v1v9_367	4.99.1.12
S_NS1_Ca_028_v1v9_368	4.99.1.12
S_NS1_Ca_028_v1v9_369	3.6.1.13
S_NS1_Ca_028_v1v9_370	5.4.99.5
S_NS1_Ca_028_v1v9_371	5.99.1.2
S_NS1_Ca_028_v1v9_372	1.5.1.5
S_NS1_Ca_028_v1v9_373	2.1.1.185
S_NS1_Ca_028_v1v9_374	6.1.1.4
S_NS1_Ca_028_v1v9_375	2.5.1.6
S_NS1_Ca_028_v1v9_376	3.4.21.92
S_NS1_Ca_028_v1v9_377	2.3.1.234
S_NS1_Ca_028_v1v9_378	2.5.1.75
S_NS1_Ca_028_v1v9_379	2.4.1.227
S_NS1_Ca_028_v1v9_380	6.3.2.9
S_NS1_Ca_028_v1v9_381	2.7.8.13
S_NS1_Ca_028_v1v9_382	6.3.2.10
S_NS1_Ca_028_v1v9_383	6.3.2.13
S_NS1_Ca_028_v1v9_384	2.1.1.199
S_NS1_Ca_028_v1v9_385	2.8.1.13
S_NS1_Ca_028_v1v9_386	1.1.1.100
S_NS1_Ca_028_v1v9_387	1.4.3.16
S_NS1_Ca_028_v1v9_388	1.4.3.16
S_NS1_Ca_028_v1v9_389	5.1.3.1
S_NS1_Ca_028_v1v9_390	3.5.4.9
S_NS1_Ca_028_v1v9_391	6.3.4.2
S_NS1_Ca_028_v1v9_392	5.4.2.2
S_NS1_Ca_028_v1v9_393	6.1.1.1
S_NS1_Ca_028_v1v9_394	3.5.3.12
S_NS1_Ca_028_v1v9_395	3.5.3.12
S_NS1_Ca_028_v1v9_396	5.4.99.18
S_NS1_Ca_028_v1v9_397	2.4.2.9
S_NS1_Ca_028_v1v9_398	2.4.2.9
S_NS1_Ca_028_v1v9_399	2.1.3.2
S_NS1_Ca_028_v1v9_400	3.5.4.16
S_NS1_Ca_028_v1v9_401	1.17.7.4
S_NS1_Ca_028_v1v9_402	2.4.2.17
S_NS1_Ca_028_v1v9_403	3.4.11.9
S_NS1_Ca_028_v1v9_404	3.6.3.17
S_NS1_Ca_028_v1v9_405	3.2.1.86
S_NS1_Ca_028_v1v9_406	3.2.1.86
S_NS1_Ca_028_v1v9_407	2.8.2.22
S_NS1_Ca_028_v1v9_408	2.8.2.22
S_NS1_Ca_028_v1v9_409	2.7.1.15
S_NS1_Ca_028_v1v9_410	2.4.2.1
S_NS1_Ca_028_v1v9_411	3.4.22.70
S_NS1_Ca_028_v1v9_412	3.2.2.1
S_NS1_Ca_028_v1v9_413	2.7.6.5
S_NS1_Ca_028_v1v9_414	3.5.1.18
S_NS1_Ca_028_v1v9_415	3.5.1.18
S_NS1_Ca_028_v1v9_416	3.5.1.18
S_NS1_Ca_028_v1v9_417	3.5.1.18
S_NS1_Ca_028_v1v9_418	2.7.1.17
S_NS1_Ca_028_v1v9_419	3.4.13.9
S_NS1_Ca_028_v1v9_420	1.3.1.14
S_NS1_Ca_028_v1v9_421	5.1.3.13
S_NS1_Ca_028_v1v9_422	2.7.1.211
S_NS1_Ca_028_v1v9_423	2.6.1.16
S_NS1_Ca_028_v1v9_424	3.6.3.3
S_NS1_Ca_028_v1v9_425	3.6.3.3
S_NS1_Ca_028_v1v9_426	3.6.3.5
S_NS1_Ca_028_v1v9_427	3.6.3.5
S_NS1_Ca_028_v1v9_428	2.7.1.30
S_NS1_Ca_028_v1v9_429	5.4.2.10
S_NS1_Ca_028_v1v9_430	5.4.2.10
S_NS1_Ca_028_v1v9_431	5.4.99.9
S_NS1_Ca_028_v1v9_432	5.4.99.9
S_NS1_Ca_028_v1v9_433	5.4.99.9
S_NS1_Ca_028_v1v9_434	3.6.3.40
S_NS1_Ca_028_v1v9_435	3.5.4.2
S_NS1_Ca_028_v1v9_436	5.3.1.6
S_NS1_Ca_028_v1v9_437	3.2.1.26
S_NS1_Ca_028_v1v9_438	2.7.1.24
S_NS1_Ca_028_v1v9_439	2.5.1.17
S_NS1_Ca_028_v1v9_440	1.1.1.27
S_NS1_Ca_028_v1v9_441	1.1.1.27
S_NS1_Ca_028_v1v9_442	1.2.1.10
S_NS1_Ca_028_v1v9_443	2.7.2.2
