Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
RXN-15351	EC-2.4.1	PWY-7458	delphinidin 3-rutinoside 7-glucosyltransferase	Chemical Reactions	MONOMER-17998 // MONOMER-17864
RXN-25474	EC-1.8.4.13	PWY2DDB-4		Chemical Reactions	LP_RS05730-MONOMER
RXN-24524		PWY-8518		Small-Molecule Reactions	CPLX-85486
RXN-25214	EC-1.7.1.6			Chemical Reactions	CPLX-85537
RXN-22289	EC-2.4.1	PWY-8252 // PWY-8251		Chemical Reactions	MONOMER-21650 // MONOMER-21654
RXN-14859	EC-1.1.1.362			Chemical Reactions	MONOMER-18180
RXN-20642	EC-1.14.11.66			Small-Molecule Reactions	MONOMER66-43206 // MONOMER66-43295 // ENSG00000107077-MONOMER // ENSG00000127663-MONOMER // ENSG00000066135-MONOMER
RXN-10902		PWY-6341		Chemical Reactions	CPLX-7919
RXN-16224	EC-4.2.1.156			Chemical Reactions	
RXN-21616	EC-1.3.1.9	PWY-8173		Chemical Reactions	CPLX-7647 // CPLX-8539 // MONOMER-17581 // SCO1814-MONOMER // CPLX8J2-88 // ATU0149-MONOMER // CPLX0-8006
2.1.1.21-RXN	EC-2.1.1.21			Chemical Reactions	MONOMER-17025
RXN-7700	EC-1.1.1.1	PWY-5751 // PWY-5079		Chemical Reactions	CPLX-8693 // CPLX-8689 // CPLX-8688 // CPLX-8687 // MONOMER-13644 // CPLX-7009
RXN-5463	EC-2.4.1.257	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions	YGL065C-MONOMER
RXN-12842	EC-5.4.99.47	PWY-8027		Chemical Reactions	MONOMER-17969
NAPHTHOATE-SYN-RXN	EC-4.1.3.36	PWY-5837		Chemical Reactions	CPLX0-7882 // MONOMER-13896 // BSU30800-MONOMER // CPLX-7590
RXN-17708		PWY-6660 // RXN-17715 // RXN-17711		Chemical Reactions	CPLX-9118
RXN8J2-175		PWY-8489		Chemical Reactions	BSU17190-MONOMER
RXN-9821	EC-2.4.1.173	PWY-6036		Chemical Reactions	MONOMER-14313
RXN-13310		PWY-6105	unknown reaction	Chemical Reactions	
RXN-1382	EC-2.7.8.29	PHOSLIPSYN2-PWY // PWY-7506 // PWY-6273		Chemical Reactions	HS10846-MONOMER
RXN-12213		RXN-20202		Chemical Reactions	CPLX-8247 // MONOMER-20711
RXN-11914	EC-6.2.1	PWY-6670	citronellyl-CoA ligase	Chemical Reactions	
RXN-8823	EC-1.13.11	PWY-5642		Chemical Reactions	CPLX-7473
RXN1G-820	EC-1.3.1.118	PWYG-321	trans-delta2-cis,cis-delta17,29-C48:3-[acyl-carrier protein] reductase	Chemical Reactions	CPLX-8831
RXN-24810	EC-3.1.3.M19			Chemical Reactions	MONOMER-124756
RXN-14495	EC-1.3.1.93	PWY-6433	trans-lesqueroloyl-CoA reductase	Chemical Reactions	
RXN-12012	EC-2.3.2	PWY-6682		Chemical Reactions	MONOMER-16106
NADNUCLEOSID-RXN	EC-3.2.2.6			Small-Molecule Reactions	HS00103-MONOMER
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2	PWY-8187 // PWY-3341 // PROSYN-PWY // ARG-PRO-PWY		Chemical Reactions	PYRROLINECARBREDUCT-CPLX // CPLX-6891 // CPLX-6781 // MONOMER-11347 // CPLX-4762 // CPLX-741
RXN-18792	EC-4.2.3.165			Chemical Reactions	
RXN-19040	EC-2.8.1.1	PWY-7927		Chemical Reactions	HS05179-MONOMER
RXN-8290	EC-2.4.1.240	PWY-5348		Chemical Reactions	MONOMER-12516
RXN-13850	EC-2.4.1	PWY-7151	2'-hydroxy 3,6,7,4'-methylquercetagetin 3'-<i>O</i>-glucosyltransferase	Chemical Reactions	MONOMER-17807
RXN-11972		PWY-6678		Chemical Reactions	MONOMER-16123
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82	PWY-7117 // PWY-241 // MALIC-NADP-RXN		Chemical Reactions	MONOMER-17678 // CPLX-17408 // CPLX-847 // MALIC-NADP-CPLX // CPLX-864 // CPLX-8891
RXN-8281	EC-2.4.1	PWY-5338		Chemical Reactions	MONOMER-12496 // MONOMER-12485 // MONOMER-12481 // MONOMER-12482
ADP--THYMIDINE-KINASE-RXN	EC-2.7.1.118			Chemical Reactions	
RXN-20679	EC-1.1.1.35	PWY-8568 // PWY0-1337		Chemical Reactions	MONOMER-124905 // MONOMER-12057 // MONOMER-12058 // MONOMER-12059 // MONOMER-12060 // CPLX-6986 // CPLX-9533 // HS03720-MONOMER // AT3G06860-MONOMER // CPLX-9268 // AT4G29010-MONOMER // G7212-MONOMER // FADB-MONOMER
RXN-19113		PWY-7934 // PWY-7935 // RXN-19114		Chemical Reactions	MONOMER-20330 // MONOMER-20326 // MONOMER-20311
RXN-10609	EC-2.4.1.17	PWY-6261		Chemical Reactions	HS09519-MONOMER
RXN-20551	EC-3.1.4.39	PWY-8053		Chemical Reactions	HS06258-MONOMER
RXN-23290		PWY-8381 // RXN-23283		Chemical Reactions	CPLX-85395
ASPARTATE-4-DECARBOXYLASE-RXN	EC-4.1.1.12			Chemical Reactions	
RXN-11832	EC-2.7.4.14 // EC-2.7.4.25	PWY-7205		Chemical Reactions	CMPKI-MONOMER // YKL024C-MONOMER // AT5G26667-MONOMER // HS08663-MONOMER // MONOMER-573
RXN-21511	EC-2.5.1.89			Chemical Reactions	CPLX-9511
AMPSYN-RXN	EC-4.3.2.2	PWY-7219		Chemical Reactions	CPLX0-7959 // MONOMER-18798 // CPLX66-363 // CPLX-645
RXN-12772	EC-2.1.1.235	PWY-7414		Chemical Reactions	CPLX-8796
RXN-9822	EC-2.4.1.M57	PWY-6036		Chemical Reactions	MONOMER-14321
RXN-10928		PWY-6345		Chemical Reactions	MONOMER-15144
RXN-15412		PWY-7485 // RXN-15677 // PWY-7483	ElmJ	Chemical Reactions	MONOMER-18609 // MONOMER-18597
STREPTOMYCIN-3-KINASE-RXN	EC-2.7.1.87			Chemical Reactions	
GLUTAMATE--METHYLAMINE-LIGASE-RXN	EC-6.3.4.12	PWY-6965		Chemical Reactions	CPLX-8403 // MONOMER-17028
RXN-21464		PWY-8152 // RXN-21494		Chemical Reactions	CPLX-9507 // CPLX-9503
RXN-24256		RXN-8871		Chemical Reactions	MONOMER-15418 // MONOMER-13423
RXN-22122	EC-2.4.99.27	PWY-8217		Chemical Reactions	CPLX-9591
RXN-16360	EC-1.14.19.72	PWY-7748 // PWY-7630		Chemical Reactions	MONOMER-19147 // MONOMER-19146
RXN-25481		PWY2DDB-4		Small-Molecule Reactions	
URA-PHOSPH-RXN	EC-2.4.2.3 // EC-2.4.2.2	PWY-7181		Chemical Reactions	DEOA-CPLX // CPLX-8611 // CPLX-8610 // HS00053-MONOMER
RXN-18050	EC-2.3.1.M32	PWY-7818		Chemical Reactions	MONOMER-20022
RXN-18185		PWYQT-4450 // RXNQT-4164		Chemical Reactions	CPLX-9161
RXN-12846	EC-5.4.99.54			Chemical Reactions	AT1G78500-MONOMER
2.7.1.156-RXN	EC-2.7.1.156			Chemical Reactions	CPLX-342 // CPLX-7418
LAMINARIBIOSE-PHOSPHORYLASE-RXN	EC-2.4.1.31	PWY-6778		Chemical Reactions	MONOMER-16426
RXN-14387		PWY-7250		Chemical Reactions	G3O-29519-MONOMER
2.4.1.39-RXN	EC-2.4.1.39			Chemical Reactions	
1.14.11.1-RXN	EC-1.14.11.1	PWY-3621 // PWY-6100		Chemical Reactions	HS05246-MONOMER // CPLX-7716 // CPLX-5041
RXN-12957	EC-1.3.99.32			Chemical Reactions	
RXN-23337	EC-2.3.1			Chemical Reactions	MONOMER-124171
RXN-9439		PWY-5926		Chemical Reactions	
RXN-14511	EC-3.1.3			Chemical Reactions	ALKAPHOSPHA-CPLX
RXN-25588	EC-2.4.1	PWY-8612		Chemical Reactions	FBGN0031491-MONOMER
RXN18C3-39	EC-2.3.1	PWY18C3-10	sucrose-3-decanoyl-4-isovalroyl-3'isovaleryoyltranferase	Chemical Reactions	MONOMER18C3-34
RXN-9412	EC-3.3.2.8			Chemical Reactions	
RXN-16303	EC-3.3.2.14	PWY-7628		Chemical Reactions	CPLX-8963
RXN-15774	EC-2.2.1.12			Chemical Reactions	MONOMER-18822
RXN0-901	EC-1.17.1.4	PWY-5497 // PWY-6999 // PWY-6538 // PWY-5695 // SALVADEHYPOX-PWY // PWY-6608 // PWY-6607 // PWY-6606 // PWY-6596		Chemical Reactions	CPLX0-761 // CPLX-8148 // MONOMER-15740 // XANTHINE-OXIDASE // CPLX-7377 // CPLX-7371 // CPLX-6985 // CPLX-7933 // CPLX-1105
RXN-9178		PWY-5827		Chemical Reactions	
RXN-23540	EC-4.2.3.210			Chemical Reactions	MONOMER-124247
RXN-12137	EC-1.14.14.M33	PWY-6710		Chemical Reactions	AT5G04660-MONOMER
RXN-8305	EC-1.14.19.23	PWY-782		Chemical Reactions	CPLX-1904
RXN-18065	EC-2.4.1	PWY-7820		Chemical Reactions	BSU35550-MONOMER
RXN-9017	EC-2.1.1.6	PWY-7076		Chemical Reactions	MONOMER-17508 // MONOMER-17507 // CPLX-8511 // CPLX-8510
RXN-9480	EC-1.1.1.349	PWY-5954		Chemical Reactions	MONOMER-14027
RXN-21096	EC-2.3.1.M91	PWY-8116		Chemical Reactions	MONOMER-21059
RXN1G-294	EC-4.2.1.M1	PWYG-321		Chemical Reactions	CPLX-7729
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66	ALANINE-VALINESYN-PWY		Chemical Reactions	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER
RXN-7922	EC-1.14.11.9	PWY-5152		Chemical Reactions	AT3G51240-MONOMER
RXN-19381		DCYSDESULF-RXN		Chemical Reactions	DCYSDESULF-CPLX
RXN-19682		PWY-8000 // RXN-19684		Chemical Reactions	HS02675-MONOMER
RXN-25543	EC-1.14.13			Chemical Reactions	
RXN-22033	EC-2.4.99.27	PWY-8195		Chemical Reactions	MONOMER-21433
RXN-13181	EC-3.1.1.53			Chemical Reactions	
RXN-14678	EC-1.14.15.44	PWY-7300		Chemical Reactions	MONOMER-18110
2.7.13.2-RXN	EC-2.7.13.2			Chemical Reactions	CPLX0-8270
RXN-22840		PWY-8336		Small-Molecule Reactions	MONOMER-21881
RXN-19138	EC-4.2.1.131	PWY-7940		Chemical Reactions	MONOMER-20353
NN-DIMETHYLFORMAMIDASE-RXN	EC-3.5.1.56			Chemical Reactions	
RXN-22361				Chemical Reactions	
RXN-13056	EC-6.3.2.39	AEROBACTINSYN-PWY		Chemical Reactions	MONOMER-11596
RXN-20759		PWY-8071		Small-Molecule Reactions	
RXN185E-56	EC-2.4.1	PWY185E-7		Chemical Reactions	G185E-6921-MONOMER
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27	PWY-7902 // PWY-622 // GLYCOGENSYNTH-PWY		Chemical Reactions	GLUC1PADENYLTRANS-CPLX // SGL_RS18090-MONOMER // CPLX-9245 // CPLX-8665 // CPLX-1681 // CPLX-1623
RXN1G-1527	EC-1.1	PWYG-321	3-oxo-C85-cis-methoxy-mycolate reductase	Chemical Reactions	G185E-6745-MONOMER
3.5.1.81-RXN	EC-3.5.1.81			Chemical Reactions	
RXN-23558	EC-3.1.1.4	PWY-8410		Chemical Reactions	FY484_RS00960-MONOMER // CPLX-1426 // AT2G06925-MONOMER // AT4G29460-MONOMER // HS04039-MONOMER // HS11053-MONOMER // CPLX-9405
RXN-21507	EC-1.1.1.376			Chemical Reactions	MONOMER-13199 // CPLX-3781 // CPLX-9510
RXN-19756		PWY-7766 // RXN-17519		Chemical Reactions	CPLX-9083
KETOGLUTREDUCT-RXN	EC-1.1.1.399	P162-PWY // PWY-8190		Chemical Reactions	PGLYCDEHYDROG-CPLX // CPLX-1043
RXN-10135	EC-1.14.14	PWY-6200	2,5-dichloro-<i>p</i>-quinol monooxygenase	Chemical Reactions	MONOMER-14674
RXN-11977	EC-2.3.1	PWY-6679		Chemical Reactions	CPLX-8206
RXN-12135	EC-1.14.13	PWY-6710		Chemical Reactions	
MALATE-DEH-RXN	EC-1.1.1.37	PWY-5913 // TCA // FERMENTATION-PWY // PWY-7383 // PWY-8086 // P23-PWY // PWY-8560 // P105-PWY // PWY-6969 // PWY-7115 // P108-PWY // PWY66-398 // 1.1.1.39-RXN // PWY-1622 // PWY-6728 // GLUCONEO-PWY // PWY-561 // PWY-5690 // PWY-5392 // P42-PWY // PWY66-399 // GLYOXYLATE-BYPASS // MALATE-ASPARTATE-SHUTTLE-PWY		Chemical Reactions	MALATE-DEHASE // CT_376-MONOMER // MONOMER-18271 // CPLX-7322 // MONOMER-17671 // MONOMER-17400 // AT3G47520-MONOMER // MONOMER-17411 // MONOMER-17412 // MONOMER-17398 // AT2G22780-MONOMER // AT1G53240-MONOMER // AT5G09660-MONOMER // HS07366-MONOMER // CPLX-7353 // CPLX-7320 // G185E-5411-MONOMER // MONOMER-11922 // MONOMER-11859 // CPLX-3501 // MALIC-NAD-CPLX // SYNPCC7942_1297-MONOMER // CPLX-9003 // CPLX-8768 // YKL029C-MONOMER // CPLX-8891
RXN-21042	EC-5.2.1.M1			Chemical Reactions	
RXN-14143	EC-3.1.3.89			Chemical Reactions	CPLX0-7625 // APHA-CPLX
RXN-12759	EC-1.13.11.61			Chemical Reactions	MONOMER-16943
RXN-8915	EC-1.8.3	PWY-5708		Chemical Reactions	MONOMER-20504
RXN-14217		RXN-14208		Chemical Reactions	BSU30630-MONOMER // MONOMER-17880 // HS06064-MONOMER // MONOMER-17884
1.1.99.25-RXN	EC-1.1.5.8	QUINATEDEG-PWY		Chemical Reactions	MONOMER-67 // MONOMER-28
4-HYDROXYPROLINE-EPIMERASE-RXN	EC-5.1.1.8	PWY-5159		Chemical Reactions	CPLX-8133 // CPLX-7079
RXN-4306	EC-1.14.14	PWY-2681		Chemical Reactions	AT1G67110-MONOMER // AT5G38450-MONOMER
RXN-11482	EC-1.3.1.9	PWY-6519		Chemical Reactions	CPLX0-8006
RXN-16987	EC-2.3.1	PWY-7706		Chemical Reactions	MONOMER-19478
RXN-1321	EC-1.13.11.12	PWY-8398 // PWY-5410 // PWY-735		Chemical Reactions	MONOMER-16718 // AT3G45140-MONOMER
RXN-8926	EC-2.3.1	PWY-5710 // PWY-6027		Chemical Reactions	CPLX-7528
RXN-25272	EC-6.2.1.74	PWY-8580		Chemical Reactions	MONOMER-124986
2.1.1.136-RXN	EC-2.1.1.136			Chemical Reactions	
RXN-12372		RXN-12373		Chemical Reactions	MONOMER-16615
RXN-22843	EC-6.2.1	PWY-8336		Chemical Reactions	MONOMER-21881
RXN-20650	EC-1.14.18.12	PWY-7119		Chemical Reactions	G3O-30532-MONOMER
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18	PWY-8511 // PWY-8352 // PWY-8277 // PWY-5381 // PWY-7761 // PYRIDNUCSAL-PWY // PWY-5653 // PWY3O-4107 // PYRIDNUCSYN-PWY		Chemical Reactions	NICONUCADENYLYLTRAN-MONOMER // CPLX66-381 // HS08173-MONOMER // CPLX66-380 // MONOMER-12632 // CPLX-7559 // YGR010W-MONOMER // MONOMER-21961
RXN-13871	EC-2.3.1.5			Chemical Reactions	MONOMER-17801
RXN-23535	EC-2.3.1	PWY-8408		Chemical Reactions	MONOMER-124261
RXN-18751	EC-5.3.3.8			Chemical Reactions	
RXN-8829	EC-5.4.4.1	PWY-5644		Chemical Reactions	MONOMER-13351
RXN-24451		PWY-8506		Chemical Reactions	MONOMER-124607
RXN-11442	EC-4.4.1.M2	PWYQT-4474		Chemical Reactions	AT2G20610-MONOMER
RXN-22473	EC-3.1.3.ak			Chemical Reactions	MONOMER-21724
RXN0-6564	EC-2.7.1			Chemical Reactions	HOMOSERKIN-CPLX // STM0162-MONOMER
RXN-15581		PWY0-1535 // DSERDEAM-RXN		Chemical Reactions	MONOMER-14689 // MONOMER-14687 // MONOMER-14684 // DSERDEAM-MONOMER // GLYOHMETRANS-CPLX // CPLX-8754
RXN-17501	EC-2.4.1.339			Chemical Reactions	MONOMER-19744
LACTOSE-SYNTHASE-RXN	EC-2.4.1.22	PWY-8459		Chemical Reactions	CPLX-9162 // HS04130-MONOMER
RXN-24568	EC-1.1.1.441	PWY-6129		Chemical Reactions	ENSG00000169084-MONOMER
L-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.2			Chemical Reactions	CPLX-9181
R265-RXN	EC-1.3.8.10	PWY-8485 // PWY-7402 // PWY-7401 // P321-PWY		Chemical Reactions	CPLX-8778 // CPLX-85468
4.1.3.26-RXN	EC-4.1.3.26	PWY-6672		Chemical Reactions	CPLX-8199
RXN66-632	EC-2.3.1.85 // EC-2.3.1.86	PWY-5994		Chemical Reactions	CPLX-7628 // YKL182W-MONOMER // G185E-6762-MONOMER // CPLX-7648 // G66-33210-MONOMER // G3O-31118-MONOMER // CPLX1UA-2 // BSU36370-MONOMER // HMPREF1322_RS03560-MONOMER // FABZ-CPLX // FABA-CPLX
RXN-13288	EC-1.14.14	PWY-7035		Chemical Reactions	MONOMER-18500
RXN66-360	EC-1.14.15.5	PWY66-382		Chemical Reactions	HS11355-MONOMER
RXN-23202		PWY-8374		Chemical Reactions	CPLX-9755
RXN-10899		PWY-6341		Chemical Reactions	MONOMER-15126
2.4.1.174-RXN	EC-2.4.1.174	PWY-6566		Chemical Reactions	HS10013-MONOMER // HS07428-MONOMER
2.1.1.5-RXN	EC-2.1.1.5	PWY-3661 // PWY-3661-1 // ADENOSYLHOMOCYSCAT-PWY		Chemical Reactions	SMC04325-MONOMER // CPLX66-334 // CPLX-5601 // CPLX-5121
RXN-7648	EC-1.14.11.9	PWY-5059		Chemical Reactions	MONOMER-11838 // AT3G51240-MONOMER
RXN-25223	EC-3.1.1			Chemical Reactions	MONOMER-124958
RXN-20926				Small-Molecule Reactions	
RXN-18913	EC-3.2.1.24			Chemical Reactions	YGL156W-MONOMER
RXN-18819		PWY-7910		Chemical Reactions	
2.4.1.237-RXN	EC-2.4.1.237			Chemical Reactions	
RXN-13934	EC-2.1.1	PWY-7161		Chemical Reactions	MONOMER-17829
RXN-21879	EC-2.4.1	PWY-8221		Chemical Reactions	MONOMER-21535
MUCONATE-CYCLOISOMERASE-RXN	EC-5.5.1.1	CATECHOL-ORTHO-CLEAVAGE-PWY		Chemical Reactions	MONOMER-14643 // MONOMER-14436 // CPLX-7712 // CPLX-2843
RXN-20196	EC-1.14.99.65	PWY-8032		Chemical Reactions	MONOMER-20704
RXN-6241	EC-2.1.1.150			Chemical Reactions	
RXN-20784	EC-2.7.1.130	PWY-8073		Chemical Reactions	
RXN-17674	EC-1.14.11.77			Chemical Reactions	G185E-7683-MONOMER // CPLX-9352
RXN-20072				Chemical Reactions	STM0690-MONOMER
RXN-4802		PWY-2921 // RXN-11908		Chemical Reactions	EAH-MONOMER
CHORPYRLY-RXN	EC-4.1.3.40	PWY-5755 // PWY-7934 // PWY-7935 // PWY-7929 // PWY-7742 // PWY-7745 // PWY-6148 // PWY-5870		Chemical Reactions	CHORPYRLY-MONOMER // MONOMER-21241 // MONOMER-20329 // MONOMER-20327 // MONOMER-20310 // G185E-7203-MONOMER // MONOMER-19636 // MONOMER-18799 // MONOMER-18476
RXN-20384	EC-2.3.1.199			Chemical Reactions	ENSG00000118402-MONOMER
RXN-25434		PWY-5468		Small-Molecule Reactions	
RXN-20895	EC-5.1.1.10			Chemical Reactions	G1G01-3975-MONOMER // FY484_RS06640-MONOMER
RXN-18054	EC-2.4.1			Chemical Reactions	MONOMER-20029
STERYL-SULFATASE-RXN	EC-3.1.6.2			Chemical Reactions	
RXN-22874	EC-2.4.1			Chemical Reactions	
RXN-25187	EC-1.14.14.194	PWY-5317 // PWY-5318 // PWY-5843		Chemical Reactions	MONOMER-21825 // MONOMER-124939
RXN-18247	EC-2.4.1.65	PWY-7832		Chemical Reactions	HS10249-MONOMER
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.84	PWY-5805		Chemical Reactions	MONOMER-13766
FAD-PYROPHOSPHATASE-RXN	EC-3.6.1.18			Chemical Reactions	
RXN-21118		PWY-8117 // RXN-21149		Chemical Reactions	MONOMER-21069
RXN-18279	EC-2.4.3.2	PWY-7836		Chemical Reactions	HS04994-MONOMER
RXN-24413	EC-2.4.1	PWY-8501		Chemical Reactions	MONOMER-124583
RXN-20476	EC-2.3.1	PWY-8047		Chemical Reactions	MONOMER-20809
RXN1G-1150	EC-2.3.1	PWYG-321	trehalose-trans-methoxy-mono-mycolate O-mycolyltransferase	Chemical Reactions	G185E-4246-MONOMER // G185E-6081-MONOMER // G185E-8100-MONOMER
4.5.1.4-RXN	EC-4.5.1.4			Chemical Reactions	
2.7.11.25-RXN	EC-2.7.11.25			Chemical Reactions	HS07962-MONOMER // HS08751-MONOMER // G6969-MONOMER // EG11831-MONOMER
RXN-22932	EC-2.1.1	PWY-8426		Chemical Reactions	MONOMER-124296 // MONOMER-21919
RXN-22081	EC-2.4.1			Chemical Reactions	
RXN-19203	EC-1.3.99			Chemical Reactions	
RXN-13662		PWY-5140 // RXN-7852 // PWY-7105	olivetol synthase (triketide synthase)	Chemical Reactions	CPLX-8550
RXN18C3-112	EC-2.3.1			Chemical Reactions	MONOMER18C3-143
RXN-20430	EC-1.3.1.120	PWY-8044		Chemical Reactions	CPLX-9396
CETRAXATE-BENZYLESTERASE-RXN	EC-3.1.1.70			Chemical Reactions	
RXN-10777	EC-2.8.2.1	PWY-6313		Chemical Reactions	CPLX6666-1
RXN-16264	EC-5.3.3.19	PWY-7626		Chemical Reactions	BSU37730-MONOMER
RXN-15426	EC-2.8.2.37	PWY-7746		Chemical Reactions	G185E-4418-MONOMER
RXN-16456		RXN-21601 // PWY-7639		Chemical Reactions	EG11829-MONOMER
TYRAMINE-N-FERULOYLTRANSFERASE-RXN	EC-2.3.1.110	PWY-1121 // PWY-5474		Chemical Reactions	CPLX-7311 // CPLX-7310 // MONOMER-12990 // CPLX-2224
RXN-15735	EC-1.14.14	PWY-7572	paspaline, NADPH:oxygen oxidoreductase	Chemical Reactions	MONOMER-18978 // MONOMER-18795
RXN-23972	EC-2.1.1.122			Chemical Reactions	
RXN-16856	EC-2.3.1	PWY-7689		Chemical Reactions	MONOMER-19412 // MONOMER-19409
RXN-24649		PWY-8528		Chemical Reactions	MONOMER-124688
RXN-23212	EC-3.1.1			Chemical Reactions	MONOMER-22121
RXN-9826	EC-3.2.1			Chemical Reactions	MONOMER-14327
RXN-19980		PWY-8520 // RXN-24464		Chemical Reactions	
RXN-13045		PWY-6989 // P601-PWY		Small-Molecule Reactions	
RXN-14254		PWY-7044 // RXN-13370		Chemical Reactions	
RXN-15010	EC-3.1.2	PWY-7402 // PWY-7401		Chemical Reactions	CPLX-7076 // YOR377W-MONOMER // HS01875-MONOMER // HS04631-MONOMER // YJR019C-MONOMER // THIOESTERII-CPLX // EG11121-MONOMER // EG11467-MONOMER
RXN-24232		PWY-8482		Small-Molecule Reactions	MONOMER-124534
RXN-23677	EC-1.3.1.3			Chemical Reactions	AT4G24220-MONOMER // MONOMER-14304
2-ACYL2.3.1.15-RXN	EC-2.3.1.52			Chemical Reactions	
RXN-19213		PWY-7951		Chemical Reactions	
2.4.1.244-RXN	EC-2.4.1.244			Chemical Reactions	FBGN0039625-MONOMER // FBGN0027538-MONOMER
RXN-25239	EC-1.1.1.442			Chemical Reactions	CPLX-85536 // CPLX-85559
RXN-14152	EC-1.3.99.17			Chemical Reactions	
RXN-19058	EC-1.14.14.M19	PWY-8397		Chemical Reactions	HS01997-MONOMER // HS05902-MONOMER
RXN-646	EC-3.5.1.107	PWY-6993 // PWY-7128 // PWY-8085 // PWY-722 // PWY-5033		Chemical Reactions	MONOMER-19256 // MONOMER-19249 // G1G01-4206-MONOMER // MONOMER-20941
GALACTODEHYDROG-RXN	EC-1.1.1.48	GALDEG-PWY		Chemical Reactions	CPLX-7288 // CPLX-7287 // MONOMER-12879 // MONOMER-12878 // MONOMER-12877
RXN-23865	EC-3.5.1.M23	PWY-8453		Chemical Reactions	MONOMER-124431
RXN-11262	EC-1.14.14	PWY-6442		Chemical Reactions	AT1G74540-MONOMER
C04718-C060066-AUTOTRANSFORMATION-RXN		6-HYDROXYCINEOLE-DEGRADATION-PWY		Chemical Reactions	
RXN-12754		PWY-6938-1 // PWY-6938		Chemical Reactions	CPLX-8377
RXN-20347	EC-1.3.1.93	PWY-8041		Chemical Reactions	AT3G55360-MONOMER // G3O-29445-MONOMER // ENSG00000099797-MONOMER // MONOMER-124752 // TRANSENOYLCOARED-CPLX
RXN1G-138	EC-2.3.1.293	PWYG-321	cis-delta11-3-oxo-C30:1-[acyl-carrier protein] synthase	Chemical Reactions	CPLX-9320
RXN-23113		PWY-7100		Chemical Reactions	CPLX-9747
RXN-16062	EC-1.1.1.383	PWY-5104 // PWY-5101		Chemical Reactions	CPLX-7033 // CPLX-7024
RXN-17189	EC-2.3.1	PWY-7769 // PWY-6322		Chemical Reactions	MONOMER-19756 // MONOMER-15057
1.14.13.79-RXN		PWY-5034 // RXN-13189 // PWY-5047	<em>ent</em>-kaurenoate monooxygenase	Chemical Reactions	MONOMER-11798 // MONOMER-11799 // AT2G32440-MONOMER // AT1G05160-MONOMER // MONOMER-11690
RXN-15584		3-CHLORO-D-ALANINE-DEHYDROCHLORINASE-RXN		Chemical Reactions	
RXN-24920	EC-1.97.1.15			Chemical Reactions	
RXN-8964	EC-2.8.3.22	PWY-5743		Chemical Reactions	CPLX-7546
RXN-17530	EC-2.1.1.47	PWY-7770		Chemical Reactions	MONOMER-19774
4.2.3.11-RXN	EC-4.2.3.11			Chemical Reactions	
RXN-9893		PWY-6087		Chemical Reactions	
1.3.1.2-RXN	EC-1.3.1.2	PWY-3982		Chemical Reactions	CPLX66-390 // AT3G17810-MONOMER // CPLX-8004 // MONOMER-15398
RXN-19842	EC-6.2.1.60			Chemical Reactions	MONOMER-19800
RXN-10913	EC-1.4.3.4	PWY-6342		Chemical Reactions	CPLX-7885
GMP-SYN-NH3-RXN		GMP-SYN-GLUT-RXN		Chemical Reactions	GMP-SYN-CPLX // CPLX-8637
RXN-20002				Chemical Reactions	
RXN-20341	EC-1.1.1.330	PWY-8041		Chemical Reactions	HS07581-MONOMER // MONOMER3O-79 // AT1G67730-MONOMER // MONOMER-124750
1.1.99.28-RXN	EC-1.1.99.28	PWY-5530		Chemical Reactions	CPLX-7444
2.4.1.122-RXN	EC-2.4.1.122	PWY-7433		Chemical Reactions	MONOMER-20080 // HS02901-MONOMER // MONOMER-18062
RXN0-7119	EC-1.1.1			Chemical Reactions	G6269-MONOMER // EG11292-MONOMER // MONOMER0-148 // G6190-MONOMER
RXN-8601	EC-4.2.3.129			Chemical Reactions	AG5-MONOMER
RXN-14085	EC-2.4.1.360	PWY-7189		Chemical Reactions	MONOMER-17888 // MONOMER-15871 // MONOMER-20246
S-6-HYDROXYNICOTINE-OXIDASE-RXN	EC-1.5.3.5			Small-Molecule Reactions	MONOMER-17710 // CPLX-2222
RXN-9446		PWY-5929		Chemical Reactions	MONOMER-13980
RXN-24242		RXN-24249 // PWY-8482		Chemical Reactions	MONOMER-124533
RXN-16900	EC-2.3.1	PWY-7693		Chemical Reactions	CPLX-9009
NAG6PDEACET-RXN	EC-3.5.1.25	PWY-6906-1 // GLUAMCAT-PWY // PWY0-1261 // PWY-6906		Chemical Reactions	NAG6PDEACET-CPLX // CPLX-8363 // CPLX-7366
RXN-4883	EC-4.2.3.35	PWY-2981		Chemical Reactions	MONOMER-6803
45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	EC-4.1.1.55			Chemical Reactions	
RXN-6522	EC-1.14.11	PWY-5036		Chemical Reactions	AT1G15550-MONOMER // MONOMER-9709
