Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
RXN-18877		1.13.12.7-RXN // PWY-7913		Chemical Reactions	MONOMER-16917 // MONOMER-16916
RXN-10455	EC-6.3.2.52	PWY-6233 // PWY-6220		Chemical Reactions	AT2G46370-MONOMER // MONOMER-14777 // MONOMER-14776
2.1.1.139-RXN	EC-2.1.1.139	PWY-6346		Chemical Reactions	MONOMER-15145
DLACTDEHYDROGFAD-RXN	EC-1.1.5.12	PWY0-1565 // PWY-7425		Small-Molecule Reactions	DLACTDEHYDROGFAD-MONOMER
RXN-20857	EC-2.4.1.M50	PWY-8081		Chemical Reactions	G2T-7807-MONOMER // G2T-7804-MONOMER
RXN-11939	EC-1.1.1.270	PWY-2541		Chemical Reactions	MONOMER18C3-423 // MONOMER-16124
CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN	EC-5.1.3.19	PWY-6568		Chemical Reactions	HS03472-MONOMER
RXN-24975		PWY-8558 // RXN-24976		Chemical Reactions	MONOMER-124849
RXN-14693		PWY3DJ-35471 // PWY-4841 // PWY-5525 // PWY-7247		Chemical Reactions	
RXN1G-364	EC-1.1.1.M9	PWYG-321	cis-delta7-3-oxo-C26:1-[acyl-carrier protein] reductase	Chemical Reactions	CPLX-8830 // YKL055C-MONOMER // SCO1815-MONOMER // SCO1346-MONOMER // BSU15910-MONOMER // ATU5465-MONOMER // G185E-5530-MONOMER // G185E-4363-MONOMER // CPLX0-8005
RXN-9396	EC-1.14.13.105			Chemical Reactions	
RXN-18384	EC-1.3.1.85	PWY-7854		Chemical Reactions	CPLX-9179
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	PWY-6549 // PWY-7117 // PWY-7115 // PWY-241		Chemical Reactions	MONOMER-17681 // MONOMER-873
RXNQT-4175	EC-2.3.3.17	PWYQT-4450		Chemical Reactions	AT5G23020-MONOMER
1.14.11.10-RXN	EC-1.14.11.10			Chemical Reactions	
RXN-9864	EC-1.14.11	PWY-6086		Chemical Reactions	MONOMER-14384
RXN-21311	EC-1.1.1.423			Chemical Reactions	
4.2.3.18-RXN	EC-4.2.3.18	PWY-5411 // PWY-5421		Chemical Reactions	MONOMER-12822 // MONOMER-12742 // MONOMER-12741
RXN-15978	EC-4.2.99	PWY-5397		Chemical Reactions	
RXN-9611	EC-2.1.1.315	PWY-5984		Chemical Reactions	CPLX-7643
RXN-9724	EC-1.3.1.77	PWY-6035		Chemical Reactions	MONOMER-19868 // MONOMER-19867 // AT1G61720-MONOMER // MONOMER-14194
RXN-5424	EC-1.1.1.1	PWY-3162	indole-3-glycol dehydrogenase	Chemical Reactions	
RXN-10817	EC-1.4.3.21 // EC-1.4.3.4	2PHENDEG-PWY // PWY-5751 // PWY-6318	phenylethylamine oxidase	Chemical Reactions	AMINEOXID-CPLX // MONOMER-13652 // CPLX-33
RXN-21981	EC-1.14.15.4	PWY-8202		Chemical Reactions	HS11355-MONOMER // HS08547-MONOMER
RXN-24094				Chemical Reactions	
RXN-23996	EC-2.4.1	PWY-8460		Chemical Reactions	SPD_RS01745-MONOMER
1.97.1.1-RXN	EC-1.97.1.1	PWY-6529		Chemical Reactions	CPLX-8077
RXN-22869	EC-2.1.1			Chemical Reactions	
GLYOXYLATE-OXIDASE-RXN	EC-1.1.3.15 // EC-1.2.3.5			Chemical Reactions	CPLX66-2050
RXN-16922	EC-4.2.1	PWY-7695		Chemical Reactions	MONOMER-19448
RXN-13170	EC-1.13.11	PWY-7009	2,2',3,3'-tetrahydroxybiphenyl dioxygenase	Chemical Reactions	MONOMER-17249
PYRUFLAVREDUCT-RXN	EC-1.2.7.1	P142-PWY // GLUDEG-II-PWY // PWY-6587 // PWY-5483 // PWY-5497 // PWY-6863 // PWY-8275 // PWY-8377 // PWY-6142 // PWY-8303 // P23-PWY // CENTFERM-PWY // PWY-6583 // PWY-8189 // PWY-5392 // P42-PWY // NPGLUCAT-PWY // PWY-6876 // PWY-6588 // PWY-5493 // PWY-5600 // PWY-5538		Chemical Reactions	PYRUFLAVREDUCT-MONOMER // CPLX2DNV-1015 // GIO2-1744-MONOMER // CPLX-7744 // MONOMER-13306 // CPLX-7459 // CPLX-7374 // CPLX-7031 // CPLX-7014 // CPLX-7001 // CPLX-2081 // CPLX-1868 // CPLX-62 // PFORPROP-MONOMER // MONOMER-21787 // CPLX-7029
RXN-2203	EC-4.2.1.170			Small-Molecule Reactions	CPLX-9161
RXN-24679		PWY-8530		Unknown Conversions	
1.1.3.37-RXN	EC-1.1.3.37	PWY3O-6		Chemical Reactions	YML086C-MONOMER
1.5.1.7-RXN	EC-1.5.1.7	LYSINE-AMINOAD-PWY		Chemical Reactions	YIR034C-MONOMER
RXN-17120	EC-2.1.1.320			Small-Molecule Reactions	ENSG00000164169-MONOMER
RXN-13955	EC-2.1.1.267			Chemical Reactions	MONOMER-12684 // MONOMER-20526
RXN-25258	EC-1.10.3.18			Chemical Reactions	CPLX-85538
RXN-21763	EC-6.2.1.2	PWY-8182		Chemical Reactions	HS09445-MONOMER
HYDGLUTSYN-RXN	EC-2.3.3.11			Chemical Reactions	
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5	PWY-5747 // PWY0-42		Chemical Reactions	CPLX0-251 // MONOMER-13635 // MONOMER-63
RXN-14616	EC-3.2.1.191			Small-Molecule Reactions	CPLX-8718 // CPLX-8719
RXN-11277	EC-3.6.1.75	PWY-7039		Chemical Reactions	PGPPHOSPHAB-MONOMER // YDR503C-MONOMER // MONOMER-AT1G15080 // MONOMER-AT2G01180 // YDR284C-MONOMER
RXN-18986		RXN-18985		Chemical Reactions	MONOMER-16324
2.4.1.167-RXN	EC-2.4.1.167			Chemical Reactions	
RXN-15435	EC-2.1.1	PWY-7485	TcmO	Chemical Reactions	MONOMER-18605
RXN-22228	EC-2.4.99.27	PWY-8244		Chemical Reactions	CPLX-9617
RXN-11428	EC-3.4.19.16	PWY-2821		Chemical Reactions	GQT-2803-MONOMER // AT4G30530-MONOMER // AT4G29210-MONOMER // CPLX66-414 // CPLX-6041 // YLR299W-MONOMER
2.4.1.82-RXN	EC-2.4.1.82	PWY-6525 // PWY-6524 // PWY-5337		Chemical Reactions	MONOMER-12496 // MONOMER-12495
RXN-20427	EC-2.3.1.dp			Chemical Reactions	MONOMER-20783
RXN-7002		PWY-4202		Chemical Reactions	
RXN-20944				Chemical Reactions	
RXN-13166	EC-1.1.3	PWY-7000		Chemical Reactions	MONOMER-17220
RXN-8388	EC-1.14.19.26	PWY-5362		Chemical Reactions	MONOMER-12584
RXN-23982	EC-2.4.1.275	PWY-8459		Chemical Reactions	HS04504-MONOMER
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	EC-1.3.1.43	PWY-6120		Chemical Reactions	MONOMER-8134
RXN-16457		RXN-21601 // PWY-7639		Chemical Reactions	EG11829-MONOMER
RXN-22885	EC-1.3.8	PWY-8339		Chemical Reactions	CPLX-9696
RXN-21535				Chemical Reactions	
1.14.11.28-RXN	EC-1.14.11.28			Chemical Reactions	
ILEDEAMINE-RXN	EC-1.4.1.9		isoleucine dehydrogenase	Chemical Reactions	
RXN-25155	EC-1.14.15.46	PWY-8570		Chemical Reactions	MONOMER-124913
RXN-11128	EC-1.14.13.195	PWY-6409 // PWY-7571		Chemical Reactions	MONOMER-18961 // MONOMER-15307 // MONOMER-17736
RXN-22876	EC-2.4.1			Chemical Reactions	
RXN-22489	EC-2.3.1.243	PWY-8285		Chemical Reactions	
RXN-14505	EC-3.1.3			Chemical Reactions	APHA-CPLX // ALKAPHOSPHA-CPLX
RXN-24947	EC-7.1.1.8	PWY-8555 // PWY-8553 // PWY-8552		Chemical Reactions	MONOMER-20175 // MONOMER-124842
KETOACYLCOATHIOL-RXN	EC-2.3.1.16	FAO-PWY // PWY-7288 // PWY66-391 // PWY-5136		Chemical Reactions	FADA-MONOMER // G7213-MONOMER // CPLX-9269 // CPLX-8705 // HS06436-MONOMER // HS03991-MONOMER // CPLX-7837 // CPLX-7836 // AT2G33150-MONOMER // CPLX-2746 // CPLX-85498
RXN-10892	EC-2.1.1.341	PWY-6339	tetrahydrofolate-dependent 3- <i>O</i>-methylgallate <i>O</i>-demethylase	Chemical Reactions	MONOMER-15113
RXN-15349	EC-1.8.5.6	PWY-7457		Chemical Reactions	CPLX-8835
1.18.1.2-RXN	EC-1.18.1.2	PWY2PN3-7 // PWY-8271 // PWY-101		Chemical Reactions	SGL_RS11630-MONOMER // NADPHFER-MONOMER // YDR376W-MONOMER // SYNPCC7942_0978-MONOMER // MONOMER-21694
RXN-14444	EC-2.3.1	PWY-7261	pelargonidin 3-<i>O</i>-glucoside 6"-<i>)</i>-malyltransferase	Chemical Reactions	MONOMER-17999
RXN-16034	EC-1.1.1.201	PWY-8254 // PWY-7588		Chemical Reactions	MONOMER-15693 // MONOMER-19021
RXN-13926	EC-1.1.1.170			Chemical Reactions	
RXN-18978	EC-4.2.3.188			Chemical Reactions	
RXN-25627	EC-3.2.1.22			Chemical Reactions	CPLX2DDB-1118
RXN-6547	EC-1.14.11			Chemical Reactions	MONOMER-9709
RXN-16056		PWY-7591		Chemical Reactions	MONOMER-19027
RXN-8474	EC-2.4.1.330	PWY-5398		Chemical Reactions	MONOMER-18780
RXN-22806	EC-1.1.99.13			Chemical Reactions	CPLX-9688
RXN-18922		PWY-7919 // RXN-18911		Chemical Reactions	HS04162-MONOMER // HS05846-MONOMER // HS03480-MONOMER
RXN-16332	EC-1.14.19.17	PWY3DJ-12		Chemical Reactions	ENSG00000143753-MONOMER // AT4G04930-MONOMER
RXN-21255	EC-2.4.1.M64	PWY-8122		Chemical Reactions	MONOMER-21109
RXN-23494	EC-1.14.14	PWY-8399		Chemical Reactions	
RXN-5109	EC-4.2.3.106	PWY-3041		Chemical Reactions	AT4G16740-MONOMER // AT3G25810-MONOMER // AT3G25830-MONOMER // MONOMER4FS-22 // MONOMER-12765 // AG5-MONOMER // AG4-MONOMER // AT2G24210-MONOMER // AT3G25820-MONOMER
RXN-19702	EC-2.4.1.363			Chemical Reactions	MONOMER-20532
RXN-16933	EC-2.3.1	PWY-7696		Chemical Reactions	MONOMER-19456
RXN-23362	EC-2.1.1	PWY-7705		Chemical Reactions	
RXN-19799	EC-4.1.99	PWY-8152 // PWY-6944		Chemical Reactions	CPLX-8385 // CPLX-9505
SEDOHEPTULOKINASE-RXN	EC-2.7.1.14			Chemical Reactions	G66-33950-MONOMER
RXN-10017		PWY-6153		Chemical Reactions	
RXN-19198				Chemical Reactions	
RXN-19793	EC-3.2.1			Chemical Reactions	G6530-MONOMER
5.5.1.2-RXN	EC-5.5.1.2	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY		Chemical Reactions	MONOMER-14208 // CPLX-2762
RXN-10666	EC-1.14.99.M7	PWY-6286		Chemical Reactions	MONOMER-14932
OXALATE-OXIDASE-RXN	EC-1.2.3.4	PWY-6697		Chemical Reactions	CPLX-8224
MANDELATE-DEHYDROGENASE-RXN	EC-1.1.99.31	PWY-1501		Chemical Reactions	MONOMER-2422
RXN3O-3797		PWY-7282		Chemical Reactions	MONOMER-18044 // CPLX-8694
3.2.1.129-RXN	EC-3.2.1.129			Chemical Reactions	CPLX-9251
RXN-15000	EC-6.2.1	PWY-7620		Chemical Reactions	MONOMER-19097
RXN-9647	EC-2.3.1		3-oxo-palmitoyl-CoA synthase	Chemical Reactions	HS10142-MONOMER
RXN-24538				Chemical Reactions	
RXN-19817	EC-2.5.1.152	PWY-8007		Chemical Reactions	G1I0R-2609-MONOMER
RXN-12266				Chemical Reactions	MONOMER-16401
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN	EC-3.1.1.63			Chemical Reactions	
D-PINITOL-DEHYDROGENASE-RXN	EC-1.1.1.142	PWY-6739		Chemical Reactions	MONOMER-16309
SINAPINE-ESTERASE-RXN	EC-3.1.1.49	PWY-3301		Chemical Reactions	MONOMER-7365
RXN-11938	EC-1.1.1.418	PWY-2541		Chemical Reactions	MONOMER-20790 // MONOMER18C3-407 // AT1G47290-MONOMER // AT2G26260-MONOMER
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1	P221-PWY		Chemical Reactions	MONOMER-1021 // RUBRECLOS-MONOMER // MONOMER-16548
RXN18C3-24	EC-2.3.1	PWY18C3-8	sucrose 4-isobutanoyltransferase	Chemical Reactions	MONOMER18C3-31 // MONOMER18C3-30
3.3.2.8-RXN	EC-3.3.2.8	PWY-5923		Chemical Reactions	MONOMER-13975
RXN-8419	EC-4.2.3			Chemical Reactions	AT5G44630-MONOMER
RXN-17155	EC-2.3.1	PWY-7735		Chemical Reactions	
RXN-22365		PWY-8264		Chemical Reactions	CPLX-9632
RXN-9425	EC-1.1.1.296	PWY-5927		Chemical Reactions	MONOMER-13965
RXN-24043	EC-1.17.7.4	NONMEVIPP-PWY		Chemical Reactions	CPLX0-7564
RXN-22204	EC-1.1.1.418	PWY-8238		Chemical Reactions	AT1G47290-MONOMER // AT2G26260-MONOMER
RXN-18449	EC-2.5.1.137	PWY-5133		Chemical Reactions	MONOMER-12004
RXN-24642		PWY-8528		Chemical Reactions	MONOMER-124683
RXN-21184	EC-6.2.2.3			Chemical Reactions	
R344-RXN		PWY-7962 // RXN-19339		Chemical Reactions	CPLX-329 // CPLX-7420
RXN-9757	EC-1.4.3.M4	PWY-6055		Chemical Reactions	MONOMER-14239
RXN0-7022	EC-6.3.2.45			Chemical Reactions	EG12440-MONOMER
METHANE-MONOOXYGENASE-RXN	EC-1.14.13.25	PWY-6523 // PWY-1641		Chemical Reactions	CPLX-3226 // CPLX-3222
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30	PWY-I9 // PWY-8071 // PWY-7870 // PWY-7274 // PWY-6936 // CYSTSYN-PWY		Chemical Reactions	CPLX0-237 // MONOMER-18015 // CPLX-1324 // CPLX-1323 // CPLX-1322
RXN-12695	EC-2.3.1	PWY-6930		Chemical Reactions	AT3G29670-MONOMER // AT5G39050-MONOMER
RXN-21241	EC-4.1.99.26	PWY-8122		Chemical Reactions	CPLX-9476
3.1.4.13-RXN	EC-3.1.4.13			Chemical Reactions	
RXN-22336		PWY-4202 // PWY-8266 // RXN-21028		Chemical Reactions	PCC7120DELTA_RS17225-MONOMER // HS01822-MONOMER // MONOMER-21674 // MONOMER-21675
RXN-14103				Chemical Reactions	
RXN-16649	EC-3.4.16.4	PWY0-1586		Chemical Reactions	G7265-MONOMER // CPLX0-3951 // CPLX0-7717 // RPOA-MONOMER // CPLX0-8252 // CPLX0-8545 // EG12867-MONOMER // CPLX0-8254
RXN-21004	EC-4.1.2.61			Small-Molecule Reactions	MONOMER-13534 // MONOMER-15133 // MONOMER-15134
RXN-24237				Chemical Reactions	
RXN-22441				Chemical Reactions	
RXN-20056		PWY0-1599 // RXN-19950 // RXN-20159		Chemical Reactions	MONOMER-20636
RXN-11365	EC-3.1.3.83	PWY-6478		Chemical Reactions	MONOMER-15574
2.1.1.120-RXN	EC-2.1.1.120	PWY-5287		Chemical Reactions	MONOMER-12350
RXN-18020	EC-2.4.1.355	PWY-7816		Chemical Reactions	MONOMER-19981
RXN185E-51	EC-2.4.1	PWY185E-6		Chemical Reactions	G185E-6383-MONOMER
RXN-8573	EC-4.2.3			Chemical Reactions	AG5-MONOMER // MONOMER-12770
RXN-19102		PWY-7932		Chemical Reactions	
RXN-18132	EC-1.1	PWY-7826		Chemical Reactions	
RXN1UA-69		RXN-24802		Chemical Reactions	
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2	GLUTAMATE-SYNTHASE-NADH-RXN // P162-PWY // PWY-8190 // PWY-5022 // PWY-6728 // PWY-7126 // ALACAT2-PWY // GLUTAMATE-DEG1-PWY		Chemical Reactions	CPLX-1942 // YDL215C-MONOMER // CPLX-7238 // CPLX-4646 // CPLX-4645 // CPLX-1042 // CPLX-2101 // CPLX-7379 // MONOMER-7421 // CPLX-6801 // CPLX-6802 // CPLX-6821 // MONOMER-15559
RXN-12421	EC-1.14.14.48	PWY-7859		Chemical Reactions	GQT-1370-MONOMER // AT3G48520-MONOMER
RXN-20286	EC-2.3.1.M74	PWY-8036		Chemical Reactions	MONOMER-20747
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9	PWY-7183		Chemical Reactions	URACIL-PRIBOSYLTRANS-CPLX // AT3G53900-MONOMER // YHR128W-MONOMER
RXN-644	EC-1.13.11	PWY-721		Chemical Reactions	
PRPPSYN-RXN	EC-2.7.6.1	PWY0-662		Chemical Reactions	CPLX0-8299 // CPLX66-361 // CPLX66-359 // CPLX66-360 // MONOMER-576
RXN0-7389		RXN0-5329 // PWY0-1324		Chemical Reactions	G7675-MONOMER // CPLX0-7658
RXN-17716	EC-1.3.1.112			Chemical Reactions	MONOMER-19875
RXN-11123		PWY-6408		Chemical Reactions	MONOMER-15303
ISOMALTULOSE-SYNTHASE-RXN	EC-5.4.99.11			Chemical Reactions	MONOMER-124331
RXN-9488	EC-3.1.1.94	PWY-5955		Chemical Reactions	MONOMER-14036
RXN-20634		RXN-20594		Chemical Reactions	CPLX66-1703 // ENSG00000012817-MONOMER // ENSG00000126012-MONOMER // ENSG00000117139-MONOMER // ENSG00000073614-MONOMER
RXN-18530	EC-2.3.1.264			Chemical Reactions	MONOMER-20162
RXN1G-236	EC-2.3.1.293	PWYG-321	cis-delta13-3-oxo-C32:1-[acyl-carrier protein] synthase	Chemical Reactions	CPLX-9320
RXN-15798	EC-6.3.2	PWY-7549		Chemical Reactions	MONOMER-18868
RXN-20637		RXN-13186		Chemical Reactions	HS01631-MONOMER // HS10620-MONOMER
RXN-20209	EC-2.1.1.353	PWY-8033		Chemical Reactions	MONOMER-20707
RXN-12519	EC-5.3.3.8	PWY-6837		Chemical Reactions	HS03615-MONOMER // CPLX-8706
HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	EC-3.1.1.22			Chemical Reactions	
RXN-16092	EC-1.1.99	PWY-7599		Chemical Reactions	MONOMER-19055
