Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX0-8045		molybdopterin molybdotransferase	RXN-21563 // RXN-24141 // RXN-24142 // RXN-24143	EC-2.10.1.1
CPLX-7505		glutamine synthetase, type II (octamer)	GLUTAMINESYN-RXN	EC-6.3.1.2
MONOMER-14948			RXN-5108	EC-4.2.3.113
CPLX-7743			PEPCARBOX-RXN	EC-4.1.1.31
MONOMER-124188		yaequinolone E prenyltranferase // PenG	RXN-23344 // RXN-23356	EC-2.5.1
AT1G16540-MONOMER		molybdenum cofactor sulfurtransferase	RXN-8351	EC-2.8.1.9
MONOMER-20097		HemO	RXN-17523	EC-1.14.15.20
CPLX-8823		luteolin glucuronides &beta;-glucuronidase	RXN-15291 // RXN-15289	EC-3.2.1.31
MONOMER-21841		grayanate <i>O</i>-methyltranferase	RXN-22732	EC-2.1.1
CPLX66-318		glycogen phosphorylase, muscle isoform	RXN-12392 // RXN0-5182 // RXN-14284 // RXN-14285 // RXN-14286 // RXN0-5184 // GLYCOPHOSPHORYL-RXN // RXN-9025	EC-2.4.1.1
MONOMER-1331		MtnC // MasA // enolase-phosphatase E-1 // E-1 enzyme	3.1.3.77-RXN // R82-RXN // R83-RXN	EC-3.1.3.77 // EC-5.3.2.5 // EC-3.1.3.87
MONOMER-19679		3-amino-4-hydroxybenzoate adenylyltransferase	RXN-17361	EC-2.7.7.M8
MONOMER-10721			RXN-20481 // RXN-23038 // RXN-20498 // RXN-20490 // RXN-20482 // RXN-23752 // MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.39
G1G01-1499-MONOMER		PhaG	RXN-21037 // RXN-11797 // RXN-11785	EC-2.4.1
MONOMER-6161		TreS	5.4.99.16-RXN	EC-5.4.99.16
MONOMER-14080		RifN	RXN-9581	EC-2.7.1.179
MONOMER-21214		3-oxo-23,24-bisnorchol-4-en-22-oate:CoA ligase	RXN-21475	EC-6.2.1
CPLX-8310		tRNA<sup>His</sup> guanylyltransferase	RXN-12502 // RXN-12503 // RXN-12504 // RXN-19968	EC-2.7.7.79
CPLX-8142		pappalysin-1	RXN-11692 // RXN-11688	EC-3.4.24.79
CPLX-623			HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
MONOMER-13273			RXN-8801	EC-5.3.1.29
MONOMER-20257		tyrosine <i>N</i>-monooxygenase	RXN-13187 // TYROSINE-N-MONOOXYGENASE-RXN // RXN-7748 // RXN-7749	EC-1.14.14.36
AT5G55500-MONOMER		glycoprotein 2-&beta;-<small>D</small>-xylosyltransferase	RXN-19007 // RXN-19005 // 2.4.2.38-RXN	EC-2.4.2.38
MONOMER-17130		(-)-bornyl diphosphate synthase	RXN-13002	EC-5.5.1.22
CPLX66-216		leukotriene C4 synthase	LEUKOTRIENE-C4-SYNTHASE-RXN // RXN-23016	EC-4.4.1.20
MONOMER-20535		ginsenoside 6-<i>O</i>-glucosyltransferase	RXN-19700 // RXN-19705	EC-2.4.1.367 // EC-2.4.1.366
MONOMER-18733		berberine reductase	1.5.1.31-RXN // RXN-15640 // RXN-15641	EC-1.5.1.31
ENSG00000133321-MONOMER	GO:0016042 // GO:0008285 // GO:0006644 // GO:0006629	phospholipase A/<i>N</i>-acyltransferase 4 // RAR-responsive protein TIG3 // retinoid-inducible gene 1 protein // tazarotene-induced gene 3 protein // retinoic acid receptor responder protein 3	PHOSPHOLIPASE-A1-RXN // RXN-20503 // RXN-20568 // RXN-20510 // RXN-20563	EC-3.1.1.32 // EC-2.3.1.M82
MONOMER-12739		abietadienol hydroxylase // PtAO // cytochrome P450 CYPA	RXN-19785 // RXN-8536 // RXN-8538 // RXN-19786 // RXN-8532 // RXN-8534 // RXN-19784 // RXN-8517 // RXN-8518 // RXN-12799 // RXN-8508 // RXN-8510	EC-1.14.14.145 // EC-1.14.14
MONOMER-19682		4-deoxygadusol glycyltransferase	RXN-17368	EC-6.3.4
MONOMER-16942		ricinine nitrilase	3.5.5.2-RXN	EC-3.5.5.2
CPLX-9242		SCF (SKP1-CUL1-SKP2) E3 ubiquitin transferase complex	UBIQUITIN--CALMODULIN-LIGASE-RXN // RXN-15561	EC-2.3.2.n // EC-2.3.2.27
MONOMER-18163		RT02935p	ECDYSONE-OXIDASE-RXN	EC-1.1.3.16
AT4G34850-MONOMER		tetraketide &alpha;-pyrone synthase B	RXN-16407	
SYNPCC7942_2252-MONOMER	GO:0015977 // GO:0006107 // GO:0006099	phosphoenolpyruvate carboxylase // Ppc	PEPCARBOX-RXN	EC-4.1.1.31
AT1G62940-MONOMER		fatty acyl-CoA synthetase	RXN-12184 // RXN-16402 // RXN-16401 // RXN-12185	EC-6.2.1.2 // EC-6.2.1.3 // EC-6.2.1
HS03271-MONOMER		lathosterol oxidase // lathosterol 5-desaturase // Delta(7)-sterol 5-desaturase // C-5 sterol desaturase // sterol-C5-desaturase	1.14.21.6-RXN // RXN-11887	EC-1.14.19.20
MONOMER-18652		flavonol 7-<i>O</i>-glucosyltransferase	RXN-8264 // RXN-15523	EC-2.4.1.237
HS04082-MONOMER		kynurenine 3-monooxygenase // kynurenine 3-hydroxylase	KYNURENINE-3-MONOOXYGENASE-RXN	EC-1.14.13.9
CPLX0-3950		tRNA m<sup>1</sup>G37 methyltransferase	RXN-14517 // RXN-12458	EC-2.1.1.228
CPLX-9615		<i>Salmonella</i> O:14,27 antigen polymerase	RXN-22039	EC-2.4.99.27
CPLX-8449			RXN-13135	EC-3.5.99
MONOMER-15058		nonribosomal peptide synthetase PhsB // PhsB // PTT synthetase III	RXN-19481 // RXN-17190 // RXN-17191	EC-6.2.1.67 // EC-2.3.1
G185E-6398-MONOMER	GO:0046488 // GO:0040007 // GO:0008654 // GO:0006629	phosphatidyl-myo-inositol mannoside synthase 2 // PimB	RXN-18610 // RXN-18607	EC-2.4.1.346
EG12210-MONOMER	GO:0009103 // GO:0009244	ADP-heptose&mdash;LPS heptosyltransferase 2 // WaaF // RfaF // ADP-heptose:LPS heptosyltransferase II // HepII	RXN0-5061	EC-2.4.99.24
CPLX-8012		benzaldehyde dehydrogenase	RXN66-3 // PHENDEHYD-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.3 // EC-1.2.1.39 // EC-1.2.1.28
G1G01-3833-MONOMER		D-lysine oxidase // AmaD	RXN-8163	EC-1.4.3.3
CPLX-9105		1,2-epoxy-2-methyl-3-butene--glutathione S-transferase	RXN-17592	EC-4.4.1.34
MONOMER-14104			RXN-9619	EC-2.1.1
MONOMER-124787		(16<i>S</i>,17<i>Z</i>)-16-<i>O</i>-acetyl-4&beta;,20-didemethyl-4&beta;,20-dicarboxy-protosta-17(20),24-dien-3&beta;-ol 3-dehydrogenase (decarboxylating)	RXN-24844	EC-1.1.1.417
CPLX-8673			SIROHEME-FERROCHELAT-RXN // DIMETHUROPORDEHYDROG-RXN	EC-4.99.1.4 // EC-1.3.1.76
CPLX-6501		dimeric sarcosine oxidase // DSOX	SARCOX-RXN	EC-1.5.3.1
MONOMER-18795		cytochrome P450 monooxygenase, TerQ // TerQ	RXN-15735	EC-1.14.14
CPLX66-555		<i>aa<sub>3</sub></i>-type cytochrome c oxidase // complex IV // COX // cytochrome c oxidase	CYTOCHROME-C-OXIDASE-RXN	EC-7.1.1.9
MONOMER-14013		L-arginine:inosamine-phosphate amidinotransferase // StrB	RXN-11099 // 2.1.4.2-RXN	EC-2.1.4.2
MONOMER-16972		C18 &Delta;9-polyunsaturated fatty acyl-CoA elongase // C18-&Delta;9-PUFAs-specific elongase	RXN-13441 // RXN-16094	EC-2.3.1.199
MONOMER-124296		(<i>R</i>)-2-hydroxymalonyl-[acp] 2-<i>O</i>-methyltransferase // FkbG	RXN-22932	EC-2.1.1
CPLX-8871			UDP-ARABINOSE-4-EPIMERASE-RXN	EC-5.1.3.5
MONOMER-124998		4-methylpent-2-enoyl-CoA reductase // DivR	RXN-25291	EC-1.3.1.129
MONOMER-13763		2-acylphloroglucinol 4-prenyltransferase // phlorisobutyrophenone dimethylallyltransferase	RXN-7811 // RXN-7812	EC-2.5.1.136
HS03480-MONOMER	GO:0008152 // GO:0006491 // GO:0005975 // GO:0006487	mannosyl-oligosaccharide 1,2-&alpha;-mannosidase 1A // &alpha;-1,2-mannosidase IA // Man(9)-&alpha;-mannosidase // Man9-mannosidase // mannosidase &alpha; class 1A member 1 // processing alpha-1,2-mannosidase IA	RXN-18910 // RXN-18926 // RXN-18929 // RXN-18918 // RXN-18917 // RXN-18916 // RXN-18911 // RXN-18922 // RXN-18919 // RXN-18920 // RXN-18921	EC-3.2.1.113 // EC-3.2.1.210
BSU35070-MONOMER		cyclodipeptide synthase // YvmC	RXN8J2-80	EC-2.3.2.22
CPLX-9382		chaxamycin polyketide synthase A	RXN-20290 // RXN-20291	EC-2.3.1 // EC-6.2.1.74
MONOMER-18289		4-coumarate--CoA ligase 1	RXN-1126 // 4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
MONOMER-16146		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--LD-lysine ligase // MurE	6.3.2.7-RXN // RXN-12042	EC-6.3.2.7 // EC-6.3.2.37
MONOMER-17755			RXN-13796 // RXN-13790	EC-2.1.1.396 // EC-2.1.1
CPLX0-8261			THYKI-RXN // DURIDKI-RXN	EC-2.7.1.145 // EC-2.7.1.21
AT5G48840-MONOMER		pantoate:&beta;-alanine ligase // pantothenate synthetase // PtS	PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
AT3G24090-MONOMER			L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
MONOMER-21843		orsellinic acid synthase // OrsA	RXN-18836	EC-2.3.1.M46
MONOMER-125038		guanidine carboxylase	RXN-25388	EC-6.3.4.26
HS06408-MONOMER		phosphoinositide phospholipase C &beta;2 // PLC-&beta;-2 // phospholipase C-&beta;-2 // phospholipase C &beta;2 // 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase &beta;-2	RXN-20538 // RXN-20523 // 3.1.4.11-RXN // RXN-20519	EC-3.1.4.11
MONOMER-10112			RXN-19733 // RXN-23600 // RXN-23604 // RXN-13678 // 2.3.1.80-RXN	EC-2.3.1.80 // EC-2.3.1.M101
CPLX-7605		carboxynorspermidine decarboxylase // CANSDC	RXN-11564 // RXN-9380	EC-4.1.1.96
HS02935-MONOMER	GO:0006096	glucokinase // hexokinase type IV // hexokinase-4 // hexokinase-D	HEXOKINASE-RXN // GLUCOKIN-RXN	EC-2.7.1.1 // EC-2.7.1.2
CPLX-303		uroporphyrin-III methyltransferase // uroporphyrin-III <i>C</i>-methyltransferase	RXN-8675 // UROPORIIIMETHYLTRANSA-RXN	
CPLX66-370		aspartate aminotransferase 2	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN // RXN-13697 // RXN-21858 // 2.6.1.7-RXN	EC-2.6.1.23 // EC-2.6.1.1 // EC-2.6.1.7
AT2G26710-MONOMER		CYP72B1 (previously called) // CYP734A1	RXN-11540 // RXN-11541	EC-1.14.14
MONOMER-15061		anthranilate N-benzoyltransferase	ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	EC-2.3.1.144
CPLX-1968		debranching enzyme // ZPU1	RXN-1824	EC-3.2.1.41
MONOMER-11002		sarcosine oxidase (formaldehyde-forming) // SoxA // MSOX // monomeric sarcosine oxidase	SARCOX-RXN	EC-1.5.3.1
MGI:1914353-MONOMER		prostaglandin reductase 1	2-HEXADECENAL-REDUCTASE-RXN	EC-1.3.1.27
MONOMER-22000		hectochlorin polyketide synthase HctD // HctD	RXN-23057	
MONOMER-19453		YWA1 synthase	RXN-16932 // RXN-16942	EC-2.3.1
CPLX-7838		hydroxymethylglutaryl-CoA synthase	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	EC-2.3.3.10
MONOMER-16009		PqsA	AMINOBENZCOALIG-RXN	EC-6.2.1.32
YKL220C-MONOMER	GO:0000184 // GO:0015677 // GO:0006879 // GO:0006826 // GO:0006825 // GO:0006811	ferric/cupric-chelate reductase 2	RXN0-6555 // RXN-20767 // RXN3O-9888	EC-1.16.1.9 // EC-1.16.1.10
MONOMER-124857		cysteine desulfurase // IscS	RXN-25010 // RXN0-308 // RXN-25009	EC-2.8.1.7
AT3G16410-MONOMER		nitrile-specifier protein NSP4	RXN-18225 // RXN-12025 // RXN-18228 // RXN-18223 // RXN-8136 // RXNQT-4351	EC-4.8.1.5
SCO4491-MONOMER		1,4-dihydroxy-6-naphthoate prenyltransferase // MqnP	RXN-22597	EC-2.5.1.M27
MONOMER-14614			RXN-10065	
MONOMER-12108		glutamic-aspartic transaminase	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN	EC-2.6.1.23
MONOMER-15963		farnesyl phosphatase // RE04130p // Phos15739	RXN-11777 // RXN-11776	EC-3.1.3 // EC-3.6.1.68
CPLX-9264		pyroglutamyl-peptidase	PYROGLUTAMYL-PEPTIDASE-I-RXN	EC-3.4.19.3
CPLX-8045		aldoxime dehydratase	R312-RXN	EC-4.2.1
CPLX-7056			4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
EG11921-MONOMER	GO:0009451 // GO:0008033 // GO:0006364 // GO:0001522 // GO:0031119 // GO:0000455	23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase // RluF // YjbC // ribosomal large subunit pseudouridine synthase F	RXN-11835 // RXN0-7253	EC-5.4.99.21 // EC-5.4.99
MONOMER-20488		acinetoferrin synthase // AcbC	RXN-19517	EC-6.3.2
MONOMER-11987			RXN-7793	EC-2.4.1.80
G185E-7792-MONOMER		3-oxocholest-4-en-26-oate--CoA ligase	RXN-17650 // RXN-12702	EC-6.2.1.42
CPLX0-8123		6-carboxy-5,6,7,8-tetrahydropterin synthase	RXN0-5507	EC-4.1.2.50
HS09264-MONOMER	GO:1903025 // GO:0045893 // GO:0033135 // GO:0032259 // GO:0006355 // GO:0006351 // GO:0000122	histone-lysine <em>N</em>-methyltransferase KMT3B // androgen receptor-associated coregulator 267 // H3-K36-HMTase // H4-K20-HMTase // lysine N-methyltransferase 3B // NR-binding SET domain-containing protein // nuclear receptor-binding SET domain-containing protein 1 // histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific	RXN-20652 // RXN-20601 // RXN-20607	EC-2.1.1.357
MONOMER-14163			3.4.11.1-RXN	EC-3.4.11.1
CPLX-1870		acetate kinase	ACETATEKIN-RXN	EC-2.7.2.15 // EC-2.7.2.1
MONOMER-17376		sesquithujene synthase	RXN-12838	EC-4.2.3.102
CPLX-8691			RXN-14496	EC-2.3.1
MONOMER-124727		lydicamycin cytochrome P450	RXN-24715	EC-1.14.15
MONOMER-19302		3-oxoacyl-[acyl-carrier-protein] synthase // FabF	RXN-16629 // RXN-16625 // RXN-16621 // RXN-16615	EC-2.3.1.179 // EC-2.3.1.41
CPLX-304			2.1.1.130-RXN	EC-2.1.1.130
CPLX-8041		<i>N</i>-(3-aminopropyl)hydroxylamine <i>N</i>-acetyltransferase	RXN-683	EC-2.3.1.M54
CPLX66-1735		[factor IX]-[factor XIII] complex // tenase complex // intrinsic Xase complex // intrinsic tenase complex	3.4.21.22-RXN // 3.4.21.38-RXN	EC-3.4.21.22 // EC-3.4.21.38
MONOMER-125093		strigol synthase // cytochrome P450 711A	RXN-25521 // RXN-25511 // RXN-25520	EC-1.14.14.M72 // EC-1.14.14
MONOMER-2662		toluene methyl-monooxygenase // NtnM	R361-RXN // TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN	EC-1.14.15.26
CPLX0-3861			RXN0-4841	EC-5.1.3.41
G6199-MONOMER	GO:0019541 // GO:0006099 // GO:0019679	AcnC // YahT // PrpD	2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
MONOMER-18902		3,6-anhydro-L-galactose dehydrogenase // AhgD	RXN-18853 // RXN-15892	EC-1.2.1.92
MONOMER-16586			TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.28 // EC-4.1.1.25
CPLX-7514			RXN-8889	EC-2.8.3.M6
MONOMER-20920		prekainate cyclase // KabC	RXN-20851 // RXN-20852	EC-1.14.11
MONOMER-22196		4,3-&alpha;-glucanotransferase // GtfB	RXN-23253	EC-2.4.1.ex
STM2461-MONOMER		ethanol dehydrogenase // EutG	ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
APP-UBIOX-CPLX		cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase // CbdAB // AppCB // CyxAB	RXN0-5266	EC-7.1.1.7
MONOMER-15540		1,3-diaminopropane <i>N</i>-monooxygenase // RhsE // RhbE // rhizobactin siderophore biosynthesis protein rhbE	RXN-682	EC-1.14.13.M65
MONOMER-20467		L-threonine--[L-threonine-carrier protein] ligase // BasA	RXN-19453 // RXN-9377 // RXN-19454	EC-6.2.1.70
CPLX-7111			RIBITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.56
CPLX-8904		(<i>S</i>)-3-acetyloctanal aminotransferase	RXN-15778	EC-2.6.1
MONOMER-5922		isoflavone 3'-hydroxylase	RXN-3761 // RXN-3762	EC-1.14.14.88
MONOMER-18847		cyclo (<i>L</i>-Phe-<i>L</i>-Ser) synthetase // PesK // GliP	RXN-15678	EC-6.3.2
AT4G31780-MONOMER		UDP-galactose:DAG galactosyltransferase // MGDG synthase	RXN-16027 // 2.4.1.46-RXN	EC-2.4.1.46
CPLX8J2-295		5-carboxymethylaminomethyluridine-tRNA synthase	RXN-18710 // RXN0-7068 // RXN0-7083	
MONOMER-14907			RXN-10618	EC-2.4.1.17
MONOMER-12754			ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
CPLX-269			R5-RXN	EC-1.3.1.57
CPLXQT-5		adenylosuccinate synthase	ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
HS02092-MONOMER	GO:1904992 // GO:0097421 // GO:0090161 // GO:0070372 // GO:0048714 // GO:0048511 // GO:0045596 // GO:0042118 // GO:0035246 // GO:0032922 // GO:0032259 // GO:0019918 // GO:0018216 // GO:0008283 // GO:0007088 // GO:0006479 // GO:0006355 // GO:0006353 // GO:0006351 // GO:0000387	protein arginine <i>N</i>-methyltransferase 5 // 72 kDa ICln-binding protein // Histone-arginine N-methyltransferase PRMT5 // Jak-binding protein 1 // Shk1 kinase-binding protein 1 homolog // SKB1Hs	RXN-16892	
CPLX-7003			RXN-7645 // RXN-20996 // RXN-20997	EC-2.3.1
CPLX-85441		corallopyronin A polyketide synthase CorL	RXN-23774 // RXN-23764 // RXN-23763	
MONOMER-27			RXN-0	EC-2.3.1.57
MONOMER-17698		bifunctional fatty acid monooxygenase/NADPH&mdash;hemoprotein reductase	RXN-4464	EC-1.14.13
CPLX-7329			TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
SGL_RS17630-MONOMER		glucosylglycerol-phosphate phosphatase // StpA // glucosylglycerol 3-phosphatase	3.1.3.69-RXN	EC-3.1.3.69
CPLX-9693		valinomycin synthase	RXN-22846 // RXN-22866 // RXN-22849 // RXN-22847 // RXN-22848 // RXN-22850 // RXN-22843 // RXN-22838 // RXN-22842 // RXN-22853 // RXN-22851 // RXN-22852 // RXN-22854 // RXN-22855 // RXN-22856 // RXN-22840 // RXN-22841	EC-6.2.1
CPLX66-1712		caspase-5	3.4.22.58-RXN	EC-3.4.22.58
MONOMER-16891		cholesterol oxidase // ChoE // ChoB // CHOD	CHOLESTEROL-OXIDASE-RXN // RXN-12778 // RXN-12694	EC-1.1.3.6 // EC-5.3.3.1
MONOMER-19742		kynureninase // SibQ	3-HYDROXY-KYNURENINASE-RXN // KYNURENINASE-RXN // RXN-17500	EC-3.7.1.3
HS12255-MONOMER		phosphatidylinositide phosphatase SAC2 // Sac domain-containing inositol phosphatase 2	PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN // RXN-10036	EC-3.1.3.36 // EC-3.1.3.86
HS03456-MONOMER	GO:0005975 // GO:0006688	&alpha;-<i>N</i>-acetylneuraminide &alpha;-2,8-sialyltransferase // &alpha;-2,8-sialyltransferase 8A // ganglioside GD3 synthase // ganglioside GT3 synthase // sialytransferase St8Sia-I // ST8Sia I	RXN-18297 // RXN-18286 // RXN-18281 // RXN-18285 // RXN-18284 // RXN-18275 // RXN-18280 // 2.4.99.8-RXN	EC-2.4.3.8
AT4G32180-MONOMER			PANTOTHENATE-KIN-RXN	EC-2.7.1.33
CPLX-4461		[LysW]-L-2-aminoadipate semialdehyde transaminase	RXN-5184	EC-2.6.1.118
AT3G01500-MONOMER			RXN0-5224	EC-4.2.1.1
MONOMER-15108		2-hydroxymuconate-6-semialdehyde dehydrogenase // PraB	RXN-8527	EC-1.2.1.85
SGL_RS07055-MONOMER		biotin synthase // BioB	RXN-25311 // RXN-25310 // RXN-17473	EC-2.8.1.6
MONOMER-20576		3-(carboxymethyl)-3,5,6,7,13-pentahydroxy-8,12-dimethyltetradec-10-enoyl-[acp] dehydratase // MupJ	RXN-19851	EC-4.2.1.181
MONOMER-20356		carotenoid &phi;-ring synthase // CrtU	RXN-19134	EC-1.3.99.39
MONOMER-21970		carboxy-<i>S</i>-adenosyl-L-methionine synthase // TglE	RXN0-7066	
CPX-1269	GO:0031505 // GO:0006506	GPI mannosyltransferase 2 complex // GPI-MT-II complex // glycosylphosphatidylinositol-mannosyltransferase II complex	RXN-25489	EC-2.4.1.M91
MONOMER-13342			RXN-8825	EC-1.14.12.23
HS04183-MONOMER		cathepsin D	3.4.23.5-RXN // RXN-10474	EC-3.4.23.5
MONOMER-11527		MdlA	HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
CPLX-8780		6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase	OAHTHAUERA-RXN // RXN-15012 // RXN-15013	EC-3.7.1.21
MONOMER-17108		lipoamidase	RXN-13031	EC-3.5.1.138
CPLX-8490		chanoclavine-I dehydrogenase	RXN-13468	EC-1.1.1.332
MONOMER-21290		tetrahydroxy-6-methyl-1,4-dihydroanthracen-1-one reductase // MdpC	RXN-21587	EC-1.3.1
CPLX0-1121		23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	RXN-11588	EC-2.1.1.185
CPLX-3421			S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
MONOMER-124589		4,6-diaminocyclohexane-1,2,3,5-tetrol <i>N</i>-methyltransferase // SpcM	RXN-24425	EC-2.1.1
CPLX-8350		dolichol phosphate mannose synthase	2.4.1.83-RXN	EC-2.4.1.83
YDR503C-MONOMER			RXN-11277 // RXN-16030 // RXN-16121 // RXN-20514 // RXN-20566 // RXN-20535 // PHOSPHATIDATE-PHOSPHATASE-RXN	EC-3.6.1.75 // EC-3.1.3.4
MONOMER-13542		triazine hydrolase // TrzN	3.8.1.8-RXN	EC-3.8.1.8
MONOMER66-34367	GO:0072721 // GO:0071492 // GO:0046513 // GO:0036146 // GO:0071466 // GO:0030148 // GO:0006629	ceramide synthase 1 // longevity assurance homolog 1 // UOG-1 // dihydroceramide synthase 1	RXN-20366	EC-2.3.1.M71 // EC-2.3.1.299
G185E-8102-MONOMER		DPPR synthase // UbiA	RXN-11078	EC-2.4.2.45
MONOMER-19667		biphenyl-2,3-diol 1,2-dioxygenase // BphC	BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN // RXN-17344 // RXN-17343	EC-1.13.11.39
CPM-KDOSYNTH-MONOMER	GO:1901137 // GO:0044281 // GO:0009103 // GO:0033468 // GO:0019294	3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase // KdsB	CPM-KDOSYNTH-RXN	EC-2.7.7.38
CPLX-7525			LYSINE-23-AMINOMUTASE-RXN	EC-5.4.3.2
MONOMER-5303			RXN-3592	
CPLX66-364		bifunctional purine biosynthesis protein PURH	IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN	EC-3.5.4.10 // EC-2.1.2.3
CPLX-9397		2-cyclohexenylcarbonyl-CoA &Delta;-isomerase	VINYLACETYL-COA-DELTA-ISOMERASE-RXN // RXN-20432 // RXN-20423	EC-5.3.3.3 // EC-5.3.3.M5
CPLX-8074		bile salt hydrolase // conjugated bile acid hydrolase // CBAH // choloylglycine hydrolase	RXN-17388 // CHOLOYLGLYCINE-HYDROLASE-RXN // RXN-25391 // RXN-25393 // RXN-25392 // RXN-25394	EC-3.5.1.24 // EC-2.3.1.fg
MONOMER-11969			MEVALONATE-KINASE-RXN	EC-2.7.1.36
HS08621-MONOMER	GO:0006629 // GO:0006954 // GO:0019370	arachidonate 15-lipoxygenase // 15-LOX // arachidonate omega-6 lipoxygenase	RXN-23029 // RXN-23010 // RXN-23005 // RXN-20575 // ARACHIDONATE-15-LIPOXYGENASE-RXN // RXN66-510	EC-1.13.11.33 // EC-1.13.11.31
CPLX0-8158		D-lactate dehydrogenase	DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
MONOMER-124195		citrullinase // Ctu	CITRULLINASE-RXN // RXN-23370	EC-3.5.1.20
MONOMER-840		gibberellin 2-oxidase // OsGA2OX3	RXN-114 // RXN-113 // RXN-115	EC-1.14.20 // EC-1.14.11.13
HS11935-MONOMER	GO:2000438 // GO:2000344 // GO:1900087 // GO:0080154 // GO:0070498 // GO:0060466 // GO:0051726 // GO:0048639 // GO:0048009 // GO:0046488 // GO:0046330 // GO:0045893 // GO:0045892 // GO:0045663 // GO:0045444 // GO:0043547 // GO:0040019 // GO:0035723 // GO:0035722 // GO:0035556 // GO:0032735 // GO:0021987 // GO:0016042 // GO:0008277 // GO:0007613 // GO:0007420 // GO:0007215 // GO:0007213 // GO:0007165 // GO:0006629 // GO:0000086	phosphoinositide phospholipase C-&beta;1 // 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase &beta;1 // phospholipase C-&beta;1 // PLC-154 // PLC-beta-1 // PLC-I	RXN-13334 // RXN-20538 // RXN-20523 // 3.1.4.11-RXN // RXN-20519	EC-3.1.4.11
MONOMER-14128		gramicidin S synthetase I // GrsA // gramicidin S synthetase 1	RXN-9676	
CPLX66-18		propionyl-CoA carboxylase	PROPIONYL-COA-CARBOXY-RXN	EC-6.4.1.3
MONOMER-18463		(R)-limonene 6-monooxygenase	RXN-10746	EC-1.14.14.53
YDCS-MONOMER	GO:0015847 // GO:0055085 // GO:0015846 // GO:0042619 // GO:0009290	putative ABC transporter periplasmic binding protein / polyhydroxybutyrate synthase // YdcS	RXN1-42	EC-2.3.1.304
MONOMER-19984		<em>N</em>-acetylglucosaminyldiphosphoundecaprenol <em>N</em>-acetyl-&beta;-<small>D</small>-mannosaminyltransferase // TarA	TEICHOICSYN2-RXN	EC-2.4.1.187
AT2G03220-MONOMER		xyloglucan &alpha;-1,2-fucosyltransferase	RXN-9463	EC-2.4.1
MONOMER-21556		UDP-GlcNAc:&alpha;-D-Glc-(1&rarr;2)-&beta;-D-Glc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1,6)-GlcNAc-1-phosphoryltranferase // WfgC	RXN-22145	EC-2.4.1
CPLX-8164		baicalein 7-<i>O</i>-glucuronosyltransferase	RXN-14060 // RXN-14058 // RXN-11755	EC-2.4.1.253
MONOMER-15469		PBP2a D,D-transpeptidase // MecA // penicillin binding protein 2 prime // penicillin binding protein 2a // PBP2'	RXN-11065	EC-3.4.16.4
MONOMER-15864			RXN0-366	EC-3.2.2.1
G6805-MONOMER	GO:0009372	(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase // LsrG // YneC // phospho-AI-2 isomerase	RXN-15216 // RXN0-6720	EC-5.3.1.32
