Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
G6364-MONOMER	GO:0035600 // GO:0006400 // GO:0008033 // GO:0030488	isopentenyl-adenosine A37 tRNA methylthiolase // YleA // MiaB	RXN0-5063	EC-2.8.4.3
MONOMER-16786		peroxisomal choline monooxygenase	RXN-12582 // CHD-RXN	EC-1.1.1 // EC-1.1.99.1
YGR247W-MONOMER		cyclic phosphodiesterase	RXN-12059 // RXN-12058 // RXN-12057 // RXN-12060 // 3.1.4.37-RXN // RXN-12055	EC-3.1.4.37 // EC-3.1.4
DHLAXANAU-MONOMER		DhlA	DHLAXANAU-RXN // HALOALKANE-DEHALOGENASE-RXN	EC-3.8.1.5
MONOMER18C3-406		sterol methyl oxidase 4	RXN-20440 // RXN-21162 // RXN-21163 // RXN-21164	EC-1.14.18.M9
TMAOREDUCTI-CPLX		menaquinol:trimethylamine <i>N</i>-oxide oxidoreductase I // TorCA	RXN-19618 // RXN0-5264	EC-1.7.2.3
EG10238-MONOMER	GO:0006273 // GO:0006272 // GO:0006261 // GO:0071897 // GO:0006260	DNA polymerase III subunit &alpha; // SdgC // PolC // DnaE	DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
CPLX0-8214		carboxylesterase	RXN-13126 // RXN-19416 // RXN-21569 // RXN-11272 // RXN-17577 // FATTY-ACYL-ETHYL-ESTER-SYNTHASE-RXN // ACETYLESTERASE-RXN // CARBOXYLESTERASE-RXN	EC-3.1.1 // EC-3.1.1.6 // EC-3.1.1.1 // EC-3.1.1.113 // EC-3.1.1.67
CPLX-1921		imidazole-glycerol-phosphate synthase	GLUTAMIDOTRANS-RXN // GLUTAMIN-RXN // RXN-17900	EC-4.3.2.10 // EC-3.5.1.38 // EC-3.5.1.2
HS08498-MONOMER	GO:0006629 // GO:0097503 // GO:0018279 // GO:0009988 // GO:0009312 // GO:0009311 // GO:0009100 // GO:0006687 // GO:0006677 // GO:0001574 // GO:0005975 // GO:0006688	&alpha;-<i>N</i>-acetylgalactosaminide &alpha;-2,6-sialyltransferase 6 // GalNAc alpha-2,6-sialyltransferase VI // hST6GalNAc VI // sialyltransferase 7F // ST6GalNAc VI	2.4.99.3-RXN // RXN-23989	EC-2.4.3.4 // EC-2.4.1
YPR001W-MONOMER		citrate synthase	CITSYN-RXN	EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1
