Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class
CRNFORCAT-PWY	CRNFORCAT-PWY	creatinine degradation I // creatinine catabolism	CPLX-6381 // CPLX-6401 // CPLX-6402 // MONOMER-11001 // CPLX-6421 // MONOMER-11002 // CPLX-6501	SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // CREATINASE-RXN // CREATININASE-RXN	AMINE-DEG	
PWY-5851	PWY-5851	demethylmenaquinol-9 biosynthesis // demethylmenaquinone-9 biosynthesis	MONOMER-13819	RXN-9204	Cofactor-Biosynthesis	
PWY-6369	PWY-6369	inositol diphosphates biosynthesis // diphosphorylated inositol polyphosphates biosynthesis // inositol pyrophosphates biosynthesis	HS07712-MONOMER // YDR315C-MONOMER // HS05071-MONOMER // HS09822-MONOMER // HS07278-MONOMER // HS10997-MONOMER // HS08619-MONOMER // HS00942-MONOMER	RXN-10974 // RXN-10972 // RXN-7163 // RXN-4941 // 2.7.4.24-RXN // 2.7.1.152-RXN	Cyclitols-Biosynthesis	
PWY-7428	PWY-7428	2-chloroacrylate degradation II	MONOMER-18423	RXN-15142 // RXN-15141	CHLORINATED-COMPOUNDS-DEG	
PWY-8383	PWY-8383	myxochelin A and B biosynthesis	MONOMER-124161 // MONOMER-124163 // MONOMER-124162	RXN-23316 // RXN-23315 // RXN-23314 // RXN-23313 // RXN-23312 // RXN-23310 // RXN-22679 // RXN-23308 // DHBAMPLIG-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-8328	PWY-8328	acetate and ATP formation from acetyl-CoA III // acetic acid formation from acetyl-CoA III	MONOMER-21856	ACETATE--COA-LIGASE-RXN	Energy-Metabolism	
PWY-6738	PWY-6738	pinitol biosynthesis I	MONOMER-20930 // MONOMER-16307 // MONOMER-20929	RXN-20892 // 2.1.1.129-RXN // RXN-12208	Cyclitols-Biosynthesis	
PWY-46	PWY-46	putrescine biosynthesis III // ODC pathway	CPLX-25 // CPLX-6890 // YKL184W-MONOMER // ORNDECARBOX-BIO-CPLX // CPLX-6621 // CPLX-6622 // CPLX-6892 // AT4G08900-MONOMER	ARGINASE-RXN // ORNDECARBOX-RXN	Polyamine-Biosynthesis	
PWY-7447	PWY-7447	2-aminoethylphosphonate degradation III	MONOMER-18484 // MONOMER-18485	RXN-15310 // RXN-15311	Noncarbon-Nutrients	
PWY-6447	PWY-6447	trichome monoterpenes biosynthesis	MONOMER-15450 // MONOMER-15449	DIMETHYLALLYLCISTRANSFERASE-RXN // RXN-8584 // RXN-11279 // RXN-11288 // RXN-11286 // RXN-11284 // RXN-11282	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-7849	PWY-7849	urate conversion to allantoin III	MONOMER-3146	RXN-18354 // 3.5.2.17-RXN // RXN-6201	AROMATIC-COMPOUNDS-DEGRADATION	
PWY3O-450	PWY3O-450	phosphatidylcholine biosynthesis I // CDP-choline pathway // Kennedy pathway	CPLX-85401 // HS03334-MONOMER // YGR202C-MONOMER // CPLX-9121 // MONOMER-20238 // YNL130C-MONOMER // HS05844-MONOMER // MONOMER-20237	RXN-5781 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN	Lipid-Biosynthesis	
PWY-5121	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) // GGPP biosynthesis II (plastidic)	AT4G15560-MONOMER // CPLX0-743 // AT5G62790-MONOMER // DXPREDISOM-CPLX // AT2G02500-MONOMER // CPLX0-234 // CPLX0-3841 // AT1G63970-MONOMER // CPLX0-721 // MONOMER-12170 // IPPISOM-MONOMER // EG10370-MONOMER // CPLX0-7564 // AT2G34630-MONOMER // AT4G17190-MONOMER // AT5G47770-MONOMER // FPPSYN-MONOMER // AT4G36810-MONOMER // AT2G23800-MONOMER // AT3G14550-MONOMER // AT2G18640-MONOMER // AT1G49530-MONOMER // MONOMER-11666 // CPLX-7090	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN	Super-Pathways // Polyprenyl-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-7934	PWY-7934	polybrominated dihydroxylated diphenyl ethers biosynthesis	MONOMER-20326 // MONOMER-20328 // MONOMER-20325 // MONOMER-20327	CHORPYRLY-RXN // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-19117 // RXN-19116 // RXN-19115 // RXN-19118 // RXN-19113 // RXN-19112	AROMATIC-COMPOUNDS-BIOSYN	
PWY-6191	PWY-6191	2,5-dichlorotoluene degradation	CPLX-7696 // MONOMER-14401 // CPLX-7713 // CPLX-7712 // MONOMER-14658	RXN-17087 // RXN-10108 // RXN-10105 // RXN-10102 // RXN-10097 // RXN-10094 // RXN-10091	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	
PWY-7045	PWY-7045	mithramycin biosynthesis	MONOMER-17387 // MONOMER-17386 // MONOMER-17385 // MONOMER-17382 // MONOMER-17383 // MONOMER-17384 // CPLX-8475 // MONOMER-17388 // MONOMER-17378 // MONOMER-17379 // MONOMER-17380 // MONOMER-17381 // MONOMER-19953 // MONOMER-17394	RXN-18000 // RXN-17999 // RXN-13390 // RXN-13389 // RXN-13388 // RXN-13387 // RXN-13386 // RXN-13385 // RXN-13384 // RXN-13383 // RXN-13376 // RXN-13377 // RXN-13378 // RXN-13380 // RXN-13381 // RXN-13382 // RXN-13375	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-6431	PWY-6431	4-hydroxybenzoate biosynthesis IV (plants) // p-hydroxybenzoate biosynthesis IV	MONOMER-15418 // MONOMER-15419	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // RXN-8871	AROMATIC-COMPOUNDS-BIOSYN	
PWY-6436	PWY-6436	perillyl aldehyde biosynthesis	MONOMER-15423 // MONOMER-6781 // MONOMER-6782 // MONOMER-20251	RXN-18735 // 4.2.3.16-RXN // --LIMONENE-7-MONOOXYGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-8103	PWY-8103	kavain biosynthesis // kawain biosynthesis	CPLX-9442 // MONOMER-20978 // MONOMER-20979	RXN-20966 // RXN-20965 // RXN-20999 // RXN-20998	AROMATIC-COMPOUNDS-BIOSYN	
PWY-8027	PWY-8027	parkeol biosynthesis	MONOMER-17969	RXN-12842	Lipid-Biosynthesis	
PWY-7592	PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals) // arachidonic acid biosynthesis III (metazoa)	ENSG00000012660-MONOMER // ENSG00000164181-MONOMER // HS07581-MONOMER // HS07617-MONOMER // HS05918-MONOMER // HS04703-MONOMER // HS06695-MONOMER // HS07766-MONOMER // HS01349-MONOMER // HS02532-MONOMER // HS05377-MONOMER	RXN-9673 // 1.14.19.3-RXN // RXN-16064 // RXN-12968 // RXN-12971 // RXN-12969 // RXN-12777	Super-Pathways // Lipid-Biosynthesis	
PWY-6697	PWY-6697	oxalate degradation IV	CPLX-8224	OXALATE-OXIDASE-RXN	CARBOXYLATES-DEG	
PWY-7813	PWY-7813	thiosulfate disproportionation III (quinone)	CPLX-7186	RXN-18001	Noncarbon-Nutrients // Energy-Metabolism	
PWY-5025	PWY-5025	indole-3-acetate biosynthesis IV (bacteria) // IAA biosynthesis IV (bacteria) // indole-3-acetic acid biosynthesis IV (bacteria)	CPLX-6913	RXNN-404 // RXN-7567	HORMONE-SYN	
PWY-8128	PWY-8128	biotin biosynthesis from 8-amino-7-oxononanoate III // biotin biosynthesis from 7-keto-8-aminopelargonate	SGL_RS13315-MONOMER // SGL_RS15560-MONOMER // SGL_RS07055-MONOMER	RXN-25310 // RXN-17473 // RXN1ZN3-10 // RXN-21309 // RXN-21307	Cofactor-Biosynthesis	
PWY-7831	PWY-7831	ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide	HS07593-MONOMER // HP_RS03210-MONOMER // HS03285-MONOMER // HS05379-MONOMER // HS08124-MONOMER // HS11506-MONOMER // HS10855-MONOMER // MONOMER-20075 // HS10520-MONOMER // HS10887-MONOMER // HS10249-MONOMER // HS10902-MONOMER // ENSG00000175040-MONOMER // HS01519-MONOMER // HS08336-MONOMER // HS04130-MONOMER	2.4.1.38-RXN // RXN-18262 // RXN-18250 // RXN-18251 // RXN-18243 // RXN-18249 // RXN-18245 // RXN-18235 // RXN-18254 // 2.4.99.6-RXN // GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	
PWY-6669	PWY-6669	&delta;-guaiene biosynthesis	MONOMER-16036 // MONOMER-16040	RXN-11909 // RXN-11527	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY5F9-12	PWY5F9-12	biphenyl degradation	CPLX5F9-326 // CPLX5F9-48 // CPLX5F9-2351 // RHA1_RO10126-MONOMER // RHA1_RO08054-MONOMER // CPLX-8107 // RHA1_RO10136-MONOMER	RXN-13319 // 3.7.1.8-RXN // BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN // 1.3.1.56-RXN // 1.14.12.18-RXN	AROMATIC-COMPOUNDS-DEGRADATION	
PWY-6945	PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	MONOMER-16899 // G185E-7792-MONOMER // CPLX-8814 // G185E-7793-MONOMER // CPLX-8815 // CPLX185E-20 // G185E-5271-MONOMER // MONOMER-16891 // G185E-7686-MONOMER // CPLX-8391 // CPLX-8393 // CPLX-8392 // CPLX-8394 // G185E-7817-MONOMER // MONOMER-16992 // G185E-7822-MONOMER // RHA1_RO04679-MONOMER	RXN-12849 // RXN-12850 // RXN-12848 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12778 // RXN-12694 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702	Fatty-Acid-and-Lipid-Degradation	
PWY-7081	PWY-7081	4-aminophenol degradation // 4-hydroxyaniline degradation	MONOMER-17532	RXN-10137 // MALEYLACETATE-REDUCTASE-RXN // RXN-13561 // RXN-13560	AROMATIC-COMPOUNDS-DEGRADATION	
PWY-5757	PWY-5757	fosfomycin biosynthesis	MONOMER-13658 // MONOMER-13659 // MONOMER-13660 // CPLX-7561 // CPLX-9448 // MONOMER-20589	RXN-19877 // RXN-19876 // RXN-9011 // RXN-9010 // RXN-9009 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-6621	PWY-6621	salicylate glucosides biosynthesis I // 2,5-dihydroxybenzoate 2-O-&beta;-D-glucoside biosynthesis // 2,5-dihydroxybenzoic acid 2-O-&beta;-D-glucoside biosynthesis // salicylic acid glucosides biosynthesis I	AT2G43820-MONOMER	RXN-11658 // RXN-11704	Super-Pathways // Other-biosynthesis	
