Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1067R_S2_week27_S30_L001_R1_001	(1.0, 1.6826144825353428)	(2.0, 0.6708874419943164)	(3.0, 0.455951652937156)	(4.0, 0.32375265297312855)	(5.0, 0.28328357135148746)	(6.0, 0.2967732652253678)	(7.0, 0.30216914277491996)	(8.0, 0.17266808158566854)	(9.0, 0.21043922443253357)	('>10', 2.411057951724882)	('>50', 1.2923126731177381)	('>100', 2.6907442713766683)	('>500', 3.0162955501996476)	('>1k', 17.765926831900426)	('>5k', 15.329688118277634)	('>10k+', 53.09543508759308)
1067R_S2_week27_S30_L001_R2_001	(1.0, 5.503795100543185)	(2.0, 0.8849239181265514)	(3.0, 0.5584733263786468)	(4.0, 0.4352674556638728)	(5.0, 0.31475952372387495)	(6.0, 0.32375265297312855)	(7.0, 0.3084643332493974)	(8.0, 0.2158351019820857)	(9.0, 0.15378251016223604)	('>10', 4.026223964890823)	('>50', 1.1745026799525164)	('>100', 2.377783373502644)	('>500', 2.3544012374545846)	('>1k', 9.724270657217886)	('>5k', 7.077592719162559)	('>10k+', 64.56617144501601)
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	(1.0, 1.6140621257718861)	(2.0, 0.570649061240641)	(3.0, 0.4967146025762514)	(4.0, 0.37487894534056715)	(5.0, 0.26033260093094934)	(6.0, 0.23742333204902583)	(7.0, 0.14578625652133165)	(8.0, 0.14162093490643649)	(9.0, 0.10309170996865595)	('>10', 2.7491122658308256)	('>50', 0.8320229925753143)	('>100', 3.6977642636232053)	('>500', 2.062875529776843)	('>1k', 10.709041871895533)	('>5k', 35.01369349480897)	('>10k+', 40.99093001218357)
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	(1.0, 5.404504795326509)	(2.0, 0.9892638835376076)	(3.0, 0.5904343389113932)	(4.0, 0.6164675990044882)	(5.0, 0.416532161489519)	(6.0, 0.37487894534056715)	(7.0, 0.40091220543366207)	(8.0, 0.22492736720434026)	(9.0, 0.2530432881048828)	('>10', 3.025064822817632)	('>50', 1.006966500400912)	('>100', 4.925492809613562)	('>500', 2.837625350147348)	('>1k', 12.30436005040039)	('>5k', 30.845247888702605)	('>10k+', 35.78427799356458)
1152R_0_M_S2_week5_S36_L001_R1_001	(1.0, 1.4492317642723382)	(2.0, 0.5730745222498815)	(3.0, 0.35647942722630427)	(4.0, 0.30985131649206193)	(5.0, 0.2669835372686456)	(6.0, 0.2120826972105861)	(7.0, 0.1947851722607865)	(8.0, 0.14439673001571818)	(9.0, 0.16244632126768296)	('>10', 2.5690584881963194)	('>50', 0.665578677416201)	('>100', 2.7330089420683326)	('>500', 2.144141027472982)	('>1k', 12.165424503824257)	('>5k', 24.114253912624935)	('>10k+', 51.93920296013297)
1152R_0_M_S2_week5_S36_L001_R2_001	(1.0, 4.619943294200817)	(2.0, 0.7776365564388157)	(3.0, 0.46928937255108405)	(4.0, 0.427173659629833)	(5.0, 0.27826453180112354)	(6.0, 0.28879346003143636)	(7.0, 0.2105785646062557)	(8.0, 0.1383801995983966)	(9.0, 0.17598351470665655)	('>10', 4.105529943519821)	('>50', 0.6821241360638354)	('>100', 3.497108305068175)	('>500', 2.9623891642287186)	('>1k', 6.098505644257598)	('>5k', 4.292794452758955)	('>10k+', 70.97550520053848)
1152R_L_M_S2_diabetes_S9_L001_R1_001	(1.0, 1.490916424903424)	(2.0, 0.609708798113471)	(3.0, 0.42586530555253893)	(4.0, 0.3102843756302651)	(5.0, 0.29089160215337356)	(6.0, 0.21409621918488295)	(7.0, 0.2606388755294227)	(8.0, 0.1923763128907644)	(9.0, 0.19547915664706703)	('>10', 2.4202181299160683)	('>50', 1.055742588081977)	('>100', 2.476069317529516)	('>500', 3.2983229129497187)	('>1k', 9.879454520067641)	('>5k', 10.392199450796655)	('>10k+', 66.48773601005321)
1152R_L_M_S2_diabetes_S9_L001_R2_001	(1.0, 5.610717222334269)	(2.0, 0.8936190018151636)	(3.0, 0.5096420869727104)	(4.0, 0.38164978202522615)	(5.0, 0.31416293032564346)	(6.0, 0.30718153187396247)	(7.0, 0.26606885210295234)	(8.0, 0.21099337542858032)	(9.0, 0.25133034426051476)	('>10', 3.8335634609119253)	('>50', 1.2039033774454286)	('>100', 2.73825961493709)	('>500', 1.0464340568130692)	('>1k', 10.911925779977349)	('>5k', 0.0)	('>10k+', 71.52054858277612)
1152R_L_M_S2_week5_S37_L001_R1_001	(1.0, 1.4717537349361896)	(2.0, 0.5510743728195898)	(3.0, 0.4488589649578917)	(4.0, 0.33775526076039375)	(5.0, 0.24813160604107873)	(6.0, 0.2577605937381952)	(7.0, 0.16591486493493027)	(8.0, 0.17184039582546348)	(9.0, 0.14665688954069728)	('>10', 2.6879689502181336)	('>50', 0.6925464228310706)	('>100', 3.319037990059922)	('>500', 1.6939611433311852)	('>1k', 11.616262619529067)	('>5k', 12.92802702042086)	('>10k+', 63.26244917005533)
1152R_L_M_S2_week5_S37_L001_R2_001	(1.0, 4.630061699590398)	(2.0, 0.7658748676014192)	(3.0, 0.47107970579739133)	(4.0, 0.32886696442459395)	(5.0, 0.27035234688057835)	(6.0, 0.23553985289869567)	(7.0, 0.21257842069787938)	(8.0, 0.18369145760652994)	(9.0, 0.18665422305179655)	('>10', 3.8997400173321775)	('>50', 1.1754771904095282)	('>100', 3.147938285595775)	('>500', 2.098378626610078)	('>1k', 9.212719152056529)	('>5k', 0.0)	('>10k+', 73.18104718944663)
