.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
2453R_L_F_S2_Pellet_week9_S71_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_L_F_S2_Pellet_week9_S71_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_L_F_S2_diabetes_S13_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_L_F_S2_diabetes_S13_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_L_F_S2_week5_S46_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_L_F_S2_week5_S46_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_Pellet_week9_S72_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_Pellet_week9_S72_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_diabetes_S14_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_diabetes_S14_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_week5_S47_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_R_F_S2_week5_S47_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_S2_week21_S28_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_S2_week21_S28_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_RL_M_S5_Pellet_week9_S6_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_RL_M_S5_Pellet_week9_S6_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_L_F_S2_week5_S48_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_L_F_S2_week5_S48_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_L_F_S2_week9_S73_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_L_F_S2_week9_S73_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_0_F_S2_week5_S49_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_0_F_S2_week5_S49_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_0_F_S2_week9_S74_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_0_F_S2_week9_S74_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_L_F_S2_week5_S50_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_L_F_S2_week5_S50_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_L_F_S2_week9_S75_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_L_F_S2_week9_S75_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_R_F_S2_week5_S51_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_R_F_S2_week5_S51_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_R_F_S2_week9_S76_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_R_F_S2_week9_S76_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_S2_week15_S25_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3880R_S2_week15_S25_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_0_M_S2_diabetes_S15_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_0_M_S2_diabetes_S15_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_diabetes_S16_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_diabetes_S16_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_week5_S52_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_week5_S52_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_week9_S77_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_L_M_S2_week9_S77_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_S2_week21_S29_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_S2_week21_S29_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_diabetes_S17_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_diabetes_S17_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_week5_S53_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_week5_S53_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_week9_S78_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_0_M_S2_week9_S78_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_L_M_S2_week5_S54_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_L_M_S2_week5_S54_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_L_M_S2_week9_S79_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_L_M_S2_week9_S79_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RL_M_S2_week5_S55_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RL_M_S2_week5_S55_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RL_M_S2_week9_S80_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RL_M_S2_week9_S80_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RR_M_S2_week5_S56_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RR_M_S2_week5_S56_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RR_M_S2_week9_S81_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_RR_M_S2_week9_S81_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_S2_week29_S32_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3918R_S2_week29_S32_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_Pellet_week9_S82_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_Pellet_week9_S82_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_diabetes_S18_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_diabetes_S18_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_week5_S57_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_R_F_S2_week5_S57_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_S2_week18_S26_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3969R_S2_week18_S26_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_0_F_S2_diabetes_S19_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_0_F_S2_diabetes_S19_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_0_F_S2_week5_S58_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_0_F_S2_week5_S58_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_L_F_S2_Pellet_week9_S83_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_L_F_S2_Pellet_week9_S83_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_L_F_S2_week5_S59_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_L_F_S2_week5_S59_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_Pellet_week9_S84_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_Pellet_week9_S84_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_diabetes_S20_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_diabetes_S20_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_week5_S60_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_R_F_S2_week5_S60_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_S2_week14_S23_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3980R_S2_week14_S23_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS6_defined_inocula_S86_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
NS6_defined_inocula_S86_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Negative_extraction_S85_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Negative_extraction_S85_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Negtive_Control_S90_L001_R1_001	1	1	0.25	0.5	0.25	0.25	1	0.5	1	0.25	0.25
Negtive_Control_S90_L001_R2_001	1	0.25	0.25	1	0.25	0.5	1	0.5	1	0.25	0.25
Positive_Control_S89_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Positive_Control_S89_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S2_defined_inocula_S88_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S2_defined_inocula_S88_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S5_defined_inocula_S87_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
S5_defined_inocula_S87_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
