	Naive	MinPath	Total families	Families found
PWY-6832	Yes	Yes	2	1
NONMEVIPP-PWY	Yes	Yes	8	7
PWY-7816	Yes	No	13	2
PWY-8190	Yes	Yes	7	1
PWY66-366	Yes	Yes	2	2
PWY-1622	Yes	No	10	4
PWY-5197	Yes	No	4	1
HSERMETANA-PWY	Yes	Yes	2	1
PWY-5480	Yes	No	3	1
PWY-8043	Yes	Yes	3	1
PWY-7902	Yes	No	5	1
PWY0-1348	Yes	Yes	2	1
PWY-8380	Yes	Yes	5	3
GLUTATHIONESYN-PWY	Yes	Yes	2	1
PWY-8250	Yes	No	7	1
PWY-7884	Yes	No	4	1
PWY-5744	Yes	No	13	3
PWY-7858	Yes	Yes	6	3
1CMET2-PWY	Yes	Yes	9	5
PWY-8438	Yes	Yes	8	1
PWY-8264	Yes	No	3	1
PWY-7766	Yes	Yes	3	1
OANTIGEN-PWY	Yes	Yes	1	1
QUINATEDEG-PWY	Yes	No	3	1
PWY-5041	Yes	No	3	1
LEUSYN-PWY	Yes	Yes	3	2
PWY-6416	Yes	No	3	1
PWY-6898	Yes	Yes	1	1
PWY-5913	Yes	Yes	8	5
TRESYN-PWY	Yes	Yes	2	2
PWY-6992	Yes	No	5	1
PWY-6131	Yes	Yes	2	1
GLYCOLYSIS	Yes	Yes	13	10
PWY-7900	Yes	Yes	8	2
FAO-PWY	Yes	No	7	1
HOMOSER-THRESYN-PWY	Yes	Yes	2	2
ARGSYNBSUB-PWY	Yes	Yes	10	10
PWY-8205	Yes	No	4	1
PWY-6519	Yes	Yes	8	4
REDCITCYC	Yes	Yes	9	5
PWY2DNV-2	Yes	Yes	2	1
PWY-6123	Yes	Yes	6	5
PWY0-1545	Yes	No	3	1
PWY-8523	Yes	No	11	1
PWY-8224	Yes	No	5	1
PWY-5837	Yes	Yes	7	7
PWY8J2-27	Yes	Yes	3	2
GLYCEROLMETAB-PWY	Yes	Yes	2	1
PWY-8525	Yes	Yes	8	5
PWY-6609	Yes	Yes	3	2
PWY-6839	Yes	No	3	1
PWY-7626	Yes	No	8	1
PWY-3801	Yes	No	5	2
PWY-8088	Yes	Yes	4	3
DTDPRHAMSYN-PWY	Yes	Yes	4	4
PWY-8354	Yes	No	5	1
PWY-3661	Yes	No	6	1
PWY-7312	Yes	Yes	4	2
PWY-1881	Yes	Yes	1	1
PWY-8189	Yes	Yes	2	2
PWY-6588	Yes	No	5	1
PWY-6722	Yes	No	5	1
PWY-8275	Yes	Yes	1	1
ASPARAGINE-BIOSYNTHESIS	Yes	Yes	1	1
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Yes	Yes	4	1
PWY-7530	Yes	No	7	1
PWY0-1477	Yes	Yes	5	3
PWY-6471	Yes	Yes	5	3
PWY-7003	Yes	Yes	6	6
PWY-6147	Yes	No	5	1
PWY-8279	Yes	No	9	3
GLNSYN-PWY	Yes	Yes	1	1
PWY-5485	Yes	Yes	4	2
PWY-8248	Yes	No	3	1
PWY-8209	Yes	No	4	1
PWY-5855	Yes	No	8	1
PWY-6611	Yes	No	3	1
PWY-5188	Yes	No	6	1
PWY-8029	Yes	No	7	1
PWY-1341	Yes	Yes	4	2
PWY-8465	Yes	Yes	2	1
PWY-8233	Yes	No	5	1
PWY-6893	Yes	Yes	2	1
PWY-8272	Yes	No	5	1
PWY-8212	Yes	No	6	1
PWY-7315	Yes	Yes	4	2
