	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
35	GLUCOSE1PMETAB-PWY	Sex_and_consortia	Female_NS1	-0.0383770258461461	0.0296862755993098	85	85	0.199683545532531	0.942443979521104	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Degradation/utilization/assimilation						
36	GLUCUROCAT-PWY	Sex_and_consortia	Female_NS1	-0.0603555469292313	0.0587544427705053	85	85	0.30728683719913	0.942443979521104	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronides degradation (to pyruvate) // D-glucuronate catabolism // D-glucuronate degradation // glucuronic acid degradation // glucuronate degradation // &beta;-D-glucuronide degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
37	GLUTORN-PWY	Sex_and_consortia	Female_NS1	0.0207132008208925	0.0174149911172816	85	85	0.237678002641711	0.942443979521104	GLUTORN-PWY	L-ornithine biosynthesis I	Biosynthesis						
38	GLYCOCAT-PWY	Sex_and_consortia	Female_NS1	-0.0083189706929902	0.006497837651794	85	85	0.204017550454885	0.942443979521104	GLYCOCAT-PWY	glycogen degradation I // glycogen catabolism I	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Glycan pathways			
39	GLYCOGENSYNTH-PWY	Sex_and_consortia	Female_NS1	0.0487987508604108	0.0305646089801917	85	85	0.114160658454159	0.942443979521104	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	Glycan pathways	Biosynthesis	Carboxylic acid biosynthesis				
40	GLYCOL-GLYOXDEG-PWY	Sex_and_consortia	Female_NS1	0.0721347531167635	0.194156970407881	85	85	0.711191044744311	0.942443979521104	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Degradation/utilization/assimilation	Superpathways					
41	GLYCOLYSIS	Sex_and_consortia	Female_NS1	-0.0140988004175176	0.0099614779293007	85	85	0.160712365947205	0.942443979521104	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate) // Embden-Meyerhof pathway // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis (plastidic)	Generation of precursor metabolites and energy						
42	GLYCOLYSIS-E-D	Sex_and_consortia	Female_NS1	0.0154101484766601	0.0451266420358012	85	85	0.733600246073058	0.942443979521104	GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Superpathways	Generation of precursor metabolites and energy					
43	GLYCOLYSIS-TCA-GLYOX-BYPASS	Sex_and_consortia	Female_NS1	0.0760225146263017	0.201305296537909	85	85	0.706656206387497	0.942443979521104	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Superpathways	Generation of precursor metabolites and energy					
44	GLYOXYLATE-BYPASS	Sex_and_consortia	Female_NS1	0.0833645046810092	0.216762883286187	85	85	0.701525991453508	0.942443979521104	GLYOXYLATE-BYPASS	glyoxylate cycle // glyoxylate bypass // glyoxylate shunt	Generation of precursor metabolites and energy						
45	GOLPDLCAT-PWY	Sex_and_consortia	Female_NS1	-0.0176060414111331	0.0560849081946233	85	85	0.754371228107459	0.942443979521104	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
46	HCAMHPDEG-PWY	Sex_and_consortia	Female_NS1	0.0886029109743079	0.221444775420439	85	85	0.690101281787219	0.942443979521104	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate // 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate	Degradation/utilization/assimilation						
47	HEMESYN2-PWY	Sex_and_consortia	Female_NS1	-0.0512751017720144	0.159325911682372	85	85	0.748394203516984	0.942443979521104	HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)	Biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis				
