"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","PPV","TP","FP","Total_ASVs","Unique_taxa","Taxa with no species before filtering","Taxa_with_no_species_after_filtering"
250,300,0.001,37,1,82.7160493827161,67,14,81,35,36,0
250,300,0.005,37,1,82.7160493827161,67,14,81,35,36,0
250,300,0.01,37,1,82.7160493827161,67,14,81,35,36,0
250,300,0.05,37,2,86.9565217391304,60,9,69,33,36,0
250,300,0.1,37,4,87.9310344827586,51,7,58,28,36,0
250,300,0.15,37,6,88.6792452830189,47,6,53,25,36,0
250,300,0.2,37,8,89.7959183673469,44,5,49,23,36,0
250,350,0.001,37,1,82.7160493827161,67,14,81,35,36,0
250,350,0.005,37,1,82.7160493827161,67,14,81,35,36,0
250,350,0.01,37,1,82.7160493827161,67,14,81,35,36,0
250,350,0.05,37,2,86.9565217391304,60,9,69,33,36,0
250,350,0.1,37,4,87.9310344827586,51,7,58,28,36,0
250,350,0.15,37,6,88.6792452830189,47,6,53,25,36,0
250,350,0.2,37,8,89.7959183673469,44,5,49,23,36,0
250,400,0.001,37,1,82.7160493827161,67,14,81,35,36,0
250,400,0.005,37,1,82.7160493827161,67,14,81,35,36,0
250,400,0.01,37,1,82.7160493827161,67,14,81,35,36,0
250,400,0.05,37,2,86.9565217391304,60,9,69,33,36,0
250,400,0.1,37,4,87.9310344827586,51,7,58,28,36,0
250,400,0.15,37,6,88.6792452830189,47,6,53,25,36,0
250,400,0.2,37,8,89.7959183673469,44,5,49,23,36,0
300,200,0.001,37,1,82.6666666666667,62,13,75,34,36,0
300,200,0.005,37,1,82.6666666666667,62,13,75,34,36,0
300,200,0.01,37,1,82.6666666666667,62,13,75,34,36,0
300,200,0.05,37,2,87.8787878787879,58,8,66,32,36,0
300,200,0.1,37,4,89.2857142857143,50,6,56,27,36,0
300,200,0.15,37,6,90.3846153846154,47,5,52,24,36,0
300,200,0.2,37,8,91.6666666666667,44,4,48,22,36,0
300,250,0.001,37,1,82.6666666666667,62,13,75,34,36,0
300,250,0.005,37,1,82.6666666666667,62,13,75,34,36,0
300,250,0.01,37,1,82.6666666666667,62,13,75,34,36,0
300,250,0.05,37,2,87.8787878787879,58,8,66,32,36,0
300,250,0.1,37,4,89.2857142857143,50,6,56,27,36,0
300,250,0.15,37,6,90.3846153846154,47,5,52,24,36,0
300,250,0.2,37,8,91.6666666666667,44,4,48,22,36,0
300,300,0.001,37,1,82.6666666666667,62,13,75,34,36,0
300,300,0.005,37,1,82.6666666666667,62,13,75,34,36,0
300,300,0.01,37,1,82.6666666666667,62,13,75,34,36,0
300,300,0.05,37,2,87.8787878787879,58,8,66,32,36,0
300,300,0.1,37,4,89.2857142857143,50,6,56,27,36,0
300,300,0.15,37,6,90.3846153846154,47,5,52,24,36,0
300,300,0.2,37,8,91.6666666666667,44,4,48,22,36,0
300,350,0.001,37,1,82.6666666666667,62,13,75,34,36,0
300,350,0.005,37,1,82.6666666666667,62,13,75,34,36,0
300,350,0.01,37,1,82.6666666666667,62,13,75,34,36,0
300,350,0.05,37,2,87.8787878787879,58,8,66,32,36,0
300,350,0.1,37,4,89.2857142857143,50,6,56,27,36,0
300,350,0.15,37,6,90.3846153846154,47,5,52,24,36,0
300,350,0.2,37,8,91.6666666666667,44,4,48,22,36,0
300,400,0.001,37,1,82.6666666666667,62,13,75,34,36,0
300,400,0.005,37,1,82.6666666666667,62,13,75,34,36,0
300,400,0.01,37,1,82.6666666666667,62,13,75,34,36,0
300,400,0.05,37,2,87.8787878787879,58,8,66,32,36,0
300,400,0.1,37,4,89.2857142857143,50,6,56,27,36,0
300,400,0.15,37,6,90.3846153846154,47,5,52,24,36,0
300,400,0.2,37,8,91.6666666666667,44,4,48,22,36,0
350,200,0.001,37,1,82.6666666666667,62,13,75,34,36,0
350,200,0.005,37,1,82.6666666666667,62,13,75,34,36,0
350,200,0.01,37,1,82.6666666666667,62,13,75,34,36,0
350,200,0.05,37,2,87.8787878787879,58,8,66,32,36,0
350,200,0.1,37,4,89.2857142857143,50,6,56,27,36,0
350,200,0.15,37,6,90.3846153846154,47,5,52,24,36,0
350,200,0.2,37,8,91.6666666666667,44,4,48,22,36,0
350,250,0.001,37,1,82.6666666666667,62,13,75,34,36,0
350,250,0.005,37,1,82.6666666666667,62,13,75,34,36,0
350,250,0.01,37,1,82.6666666666667,62,13,75,34,36,0
350,250,0.05,37,2,87.8787878787879,58,8,66,32,36,0
350,250,0.1,37,4,89.2857142857143,50,6,56,27,36,0
350,250,0.15,37,6,90.3846153846154,47,5,52,24,36,0
350,250,0.2,37,8,91.6666666666667,44,4,48,22,36,0
350,300,0.001,37,1,82.6666666666667,62,13,75,34,36,0
350,300,0.005,37,1,82.6666666666667,62,13,75,34,36,0
350,300,0.01,37,1,82.6666666666667,62,13,75,34,36,0
350,300,0.05,37,2,87.8787878787879,58,8,66,32,36,0
350,300,0.1,37,4,89.2857142857143,50,6,56,27,36,0
350,300,0.15,37,6,90.3846153846154,47,5,52,24,36,0
350,300,0.2,37,8,91.6666666666667,44,4,48,22,36,0
350,350,0.001,37,1,82.6666666666667,62,13,75,34,36,0
350,350,0.005,37,1,82.6666666666667,62,13,75,34,36,0
350,350,0.01,37,1,82.6666666666667,62,13,75,34,36,0
350,350,0.05,37,2,87.8787878787879,58,8,66,32,36,0
350,350,0.1,37,4,89.2857142857143,50,6,56,27,36,0
350,350,0.15,37,6,90.3846153846154,47,5,52,24,36,0
350,350,0.2,37,8,91.6666666666667,44,4,48,22,36,0
350,400,0.001,37,1,82.6666666666667,62,13,75,34,36,0
350,400,0.005,37,1,82.6666666666667,62,13,75,34,36,0
350,400,0.01,37,1,82.6666666666667,62,13,75,34,36,0
350,400,0.05,37,2,87.8787878787879,58,8,66,32,36,0
350,400,0.1,37,4,89.2857142857143,50,6,56,27,36,0
350,400,0.15,37,6,90.3846153846154,47,5,52,24,36,0
350,400,0.2,37,8,91.6666666666667,44,4,48,22,36,0
400,200,0.001,37,1,82.6666666666667,62,13,75,34,36,0
400,200,0.005,37,1,82.6666666666667,62,13,75,34,36,0
400,200,0.01,37,1,82.6666666666667,62,13,75,34,36,0
400,200,0.05,37,2,87.8787878787879,58,8,66,32,36,0
400,200,0.1,37,4,89.2857142857143,50,6,56,27,36,0
400,200,0.15,37,6,90.3846153846154,47,5,52,24,36,0
400,200,0.2,37,8,91.6666666666667,44,4,48,22,36,0
400,250,0.001,37,1,82.6666666666667,62,13,75,34,36,0
400,250,0.005,37,1,82.6666666666667,62,13,75,34,36,0
400,250,0.01,37,1,82.6666666666667,62,13,75,34,36,0
400,250,0.05,37,2,87.8787878787879,58,8,66,32,36,0
400,250,0.1,37,4,89.2857142857143,50,6,56,27,36,0
400,250,0.15,37,6,90.3846153846154,47,5,52,24,36,0
400,250,0.2,37,8,91.6666666666667,44,4,48,22,36,0
400,300,0.001,37,1,82.6666666666667,62,13,75,34,36,0
400,300,0.005,37,1,82.6666666666667,62,13,75,34,36,0
400,300,0.01,37,1,82.6666666666667,62,13,75,34,36,0
400,300,0.05,37,2,87.8787878787879,58,8,66,32,36,0
400,300,0.1,37,4,89.2857142857143,50,6,56,27,36,0
400,300,0.15,37,6,90.3846153846154,47,5,52,24,36,0
400,300,0.2,37,8,91.6666666666667,44,4,48,22,36,0
400,350,0.001,37,1,82.6666666666667,62,13,75,34,36,0
400,350,0.005,37,1,82.6666666666667,62,13,75,34,36,0
400,350,0.01,37,1,82.6666666666667,62,13,75,34,36,0
400,350,0.05,37,2,87.8787878787879,58,8,66,32,36,0
400,350,0.1,37,4,89.2857142857143,50,6,56,27,36,0
400,350,0.15,37,6,90.3846153846154,47,5,52,24,36,0
400,350,0.2,37,8,91.6666666666667,44,4,48,22,36,0
400,400,0.001,37,1,82.6666666666667,62,13,75,34,36,0
400,400,0.005,37,1,82.6666666666667,62,13,75,34,36,0
400,400,0.01,37,1,82.6666666666667,62,13,75,34,36,0
400,400,0.05,37,2,87.8787878787879,58,8,66,32,36,0
400,400,0.1,37,4,89.2857142857143,50,6,56,27,36,0
400,400,0.15,37,6,90.3846153846154,47,5,52,24,36,0
400,400,0.2,37,8,91.6666666666667,44,4,48,22,36,0
450,200,0.001,37,1,81.9444444444444,59,13,72,34,36,0
450,200,0.005,37,1,81.9444444444444,59,13,72,34,36,0
450,200,0.01,37,1,81.9444444444444,59,13,72,34,36,0
450,200,0.05,37,2,87.5,56,8,64,32,36,0
450,200,0.1,37,4,88.8888888888889,48,6,54,27,36,0
450,200,0.15,37,6,90,45,5,50,24,36,0
450,200,0.2,37,8,91.4893617021277,43,4,47,22,36,0
450,250,0.001,37,1,81.9444444444444,59,13,72,34,36,0
