S_S2_Cc_069_v1v9_318	1.1.1.95
S_S2_Cc_069_v1v9_319	1.1.1.95
S_S2_Cc_069_v1v9_320	1.1.1.95
S_S2_Cc_069_v1v9_321	1.1.1.95
S_S2_Cc_069_v1v9_322	1.1.1.399
S_S2_Cc_069_v1v9_323	1.1.1.399
S_S2_Cc_069_v1v9_324	1.1.1.399
S_S2_Cc_069_v1v9_325	1.1.1.399
S_S2_Cc_069_v1v9_326	1.1.1.399
S_S2_Cc_069_v1v9_327	6.1.1.22
S_S2_Cc_069_v1v9_328	1.1.1.205
S_S2_Cc_069_v1v9_329	4.2.1.10
S_S2_Cc_069_v1v9_330	1.2.7.1
S_S2_Cc_069_v1v9_331	2.5.1.54
S_S2_Cc_069_v1v9_332	2.5.1.54
S_S2_Cc_069_v1v9_333	2.7.7.2
S_S2_Cc_069_v1v9_334	2.7.1.26
S_S2_Cc_069_v1v9_335	5.4.99.25
S_S2_Cc_069_v1v9_336	3.1.3.7
S_S2_Cc_069_v1v9_337	3.1.13.3
S_S2_Cc_069_v1v9_338	6.3.4.19
S_S2_Cc_069_v1v9_339	2.3.1.8
S_S2_Cc_069_v1v9_340	2.7.6.1
S_S2_Cc_069_v1v9_341	2.7.6.1
S_S2_Cc_069_v1v9_342	1.1.3.15
S_S2_Cc_069_v1v9_343	3.5.4.26
S_S2_Cc_069_v1v9_344	1.1.1.193
S_S2_Cc_069_v1v9_345	4.1.1.81
S_S2_Cc_069_v1v9_346	2.7.7.74
S_S2_Cc_069_v1v9_347	2.6.1.9
S_S2_Cc_069_v1v9_348	2.4.1.18
S_S2_Cc_069_v1v9_349	2.4.1.18
S_S2_Cc_069_v1v9_350	2.1.3.3
S_S2_Cc_069_v1v9_351	2.7.3.9
S_S2_Cc_069_v1v9_352	6.3.3.2
S_S2_Cc_069_v1v9_353	6.1.1.14
S_S2_Cc_069_v1v9_354	5.4.99.19
S_S2_Cc_069_v1v9_355	3.6.3.21
S_S2_Cc_069_v1v9_356	3.6.3.21
S_S2_Cc_069_v1v9_357	3.6.3.21
S_S2_Cc_069_v1v9_358	1.2.1.38
S_S2_Cc_069_v1v9_359	2.1.1.193
S_S2_Cc_069_v1v9_360	1.5.1.3
S_S2_Cc_069_v1v9_361	2.7.1.50
S_S2_Cc_069_v1v9_362	2.7.1.71
S_S2_Cc_069_v1v9_363	2.7.1.71
S_S2_Cc_069_v1v9_364	2.7.1.71
S_S2_Cc_069_v1v9_365	2.7.1.71
S_S2_Cc_069_v1v9_366	2.3.1.51
S_S2_Cc_069_v1v9_367	3.1.26.3
S_S2_Cc_069_v1v9_368	2.1.1.198
S_S2_Cc_069_v1v9_369	3.2.2.28
S_S2_Cc_069_v1v9_370	6.3.5.1
S_S2_Cc_069_v1v9_371	2.7.7.87
S_S2_Cc_069_v1v9_372	2.4.2.29
S_S2_Cc_069_v1v9_373	2.1.1.33
S_S2_Cc_069_v1v9_374	6.1.1.9
S_S2_Cc_069_v1v9_375	5.4.2.12
S_S2_Cc_069_v1v9_376	2.2.1.7
S_S2_Cc_069_v1v9_377	2.3.1.28
S_S2_Cc_069_v1v9_378	1.3.1.12
S_S2_Cc_069_v1v9_379	3.5.4.12
S_S2_Cc_069_v1v9_380	2.7.4.25
S_S2_Cc_069_v1v9_381	2.7.4.25
S_S2_Cc_069_v1v9_382	4.3.1.19
S_S2_Cc_069_v1v9_383	4.3.1.19
S_S2_Cc_069_v1v9_384	6.3.5.10
S_S2_Cc_069_v1v9_385	2.7.8.26
S_S2_Cc_069_v1v9_386	2.4.2.21
S_S2_Cc_069_v1v9_387	6.3.1.10
S_S2_Cc_069_v1v9_388	2.3.1.30
S_S2_Cc_069_v1v9_389	1.2.1.41
S_S2_Cc_069_v1v9_390	2.7.2.11
S_S2_Cc_069_v1v9_391	2.2.1.1
S_S2_Cc_069_v1v9_392	6.3.2.6
S_S2_Cc_069_v1v9_393	4.2.99.18
S_S2_Cc_069_v1v9_394	4.2.99.18
S_S2_Cc_069_v1v9_395	6.3.4.5
S_S2_Cc_069_v1v9_396	5.3.1.1
S_S2_Cc_069_v1v9_397	5.3.1.1
S_S2_Cc_069_v1v9_398	2.1.1.37
S_S2_Cc_069_v1v9_399	2.1.1.37
S_S2_Cc_069_v1v9_400	2.1.1.37
S_S2_Cc_069_v1v9_401	2.1.1.37
S_S2_Cc_069_v1v9_402	2.1.1.37
S_S2_Cc_069_v1v9_403	4.3.2.2
S_S2_Cc_069_v1v9_404	1.1.1.25
S_S2_Cc_069_v1v9_405	1.17.4.1
S_S2_Cc_069_v1v9_406	1.17.4.1
S_S2_Cc_069_v1v9_407	2.7.2.4
S_S2_Cc_069_v1v9_408	1.1.1.3
S_S2_Cc_069_v1v9_409	1.1.1.3
S_S2_Cc_069_v1v9_410	2.1.1.13
S_S2_Cc_069_v1v9_411	2.1.1.13
S_S2_Cc_069_v1v9_412	3.4.11.4
S_S2_Cc_069_v1v9_413	3.4.11.4
S_S2_Cc_069_v1v9_414	2.7.7.8
S_S2_Cc_069_v1v9_415	2.4.2.8
S_S2_Cc_069_v1v9_416	2.3.1.183
S_S2_Cc_069_v1v9_417	4.2.1.59
S_S2_Cc_069_v1v9_418	6.1.1.17
S_S2_Cc_069_v1v9_419	4.2.3.5
S_S2_Cc_069_v1v9_420	2.5.1.7
S_S2_Cc_069_v1v9_421	2.5.1.7
S_S2_Cc_069_v1v9_422	2.7.9.1
S_S2_Cc_069_v1v9_423	5.3.1.9
S_S2_Cc_069_v1v9_424	1.5.1.2
S_S2_Cc_069_v1v9_425	3.1.5.1
S_S2_Cc_069_v1v9_426	5.4.99.12
S_S2_Cc_069_v1v9_427	5.4.99.12
S_S2_Cc_069_v1v9_428	2.7.7.18
S_S2_Cc_069_v1v9_429	2.7.7.18
S_S2_Cc_069_v1v9_430	6.3.3.3
S_S2_Cc_069_v1v9_431	1.1.1.169
S_S2_Cc_069_v1v9_432	1.1.1.169
S_S2_Cc_069_v1v9_433	1.1.1.169
S_S2_Cc_069_v1v9_434	1.1.1.169
S_S2_Cc_069_v1v9_435	6.3.4.3
S_S2_Cc_069_v1v9_436	6.3.4.13
S_S2_Cc_069_v1v9_437	5.3.1.28
S_S2_Cc_069_v1v9_438	6.1.1.18
S_S2_Cc_069_v1v9_439	4.1.99.12
S_S2_Cc_069_v1v9_440	3.5.4.25
S_S2_Cc_069_v1v9_441	2.5.1.78
S_S2_Cc_069_v1v9_442	2.1.1.192
S_S2_Cc_069_v1v9_443	2.1.1.192
S_S2_Cc_069_v1v9_444	2.1.1.192
S_S2_Cc_069_v1v9_445	3.2.2.20
S_S2_Cc_069_v1v9_446	2.6.1.62
S_S2_Cc_069_v1v9_447	2.8.1.6
S_S2_Cc_069_v1v9_448	2.1.1.190
S_S2_Cc_069_v1v9_449	2.1.1.190
S_S2_Cc_069_v1v9_450	2.1.1.190
S_S2_Cc_069_v1v9_451	2.1.1.190
S_S2_Cc_069_v1v9_452	2.5.1.9
S_S2_Cc_069_v1v9_453	6.1.1.15
S_S2_Cc_069_v1v9_454	2.1.1.297
S_S2_Cc_069_v1v9_455	5.1.1.7
S_S2_Cc_069_v1v9_456	4.3.2.1
S_S2_Cc_069_v1v9_457	2.4.1.25
S_S2_Cc_069_v1v9_458	3.1.21.2
S_S2_Cc_069_v1v9_459	2.8.4.3
S_S2_Cc_069_v1v9_460	2.8.4.4
S_S2_Cc_069_v1v9_461	6.1.1.16
S_S2_Cc_069_v1v9_462	3.4.21.102
S_S2_Cc_069_v1v9_463	2.6.1.17
S_S2_Cc_069_v1v9_464	2.6.1.11
S_S2_Cc_069_v1v9_465	2.7.7.41
S_S2_Cc_069_v1v9_466	2.7.7.19
S_S2_Cc_069_v1v9_467	2.1.1.107
S_S2_Cc_069_v1v9_468	2.7.8.5
S_S2_Cc_069_v1v9_469	6.5.1.2
S_S2_Cc_069_v1v9_470	4.2.1.51
S_S2_Cc_069_v1v9_471	2.1.1.207
S_S2_Cc_069_v1v9_472	2.5.1.19
S_S2_Cc_069_v1v9_473	4.1.2.48
S_S2_Cc_069_v1v9_474	1.1.1.86
S_S2_Cc_069_v1v9_475	2.6.1.1
S_S2_Cc_069_v1v9_476	2.6.1.1
S_S2_Cc_069_v1v9_477	2.5.1.31
S_S2_Cc_069_v1v9_478	2.7.1.148
S_S2_Cc_069_v1v9_479	2.7.2.8
S_S2_Cc_069_v1v9_480	3.5.4.10
S_S2_Cc_069_v1v9_481	2.1.2.3
S_S2_Cc_069_v1v9_482	2.7.8.7
S_S2_Cc_069_v1v9_483	6.1.1.19
S_S2_Cc_069_v1v9_484	4.99.1.12
S_S2_Cc_069_v1v9_485	3.6.1.13
S_S2_Cc_069_v1v9_486	3.6.1.13
S_S2_Cc_069_v1v9_487	5.4.99.5
S_S2_Cc_069_v1v9_488	5.4.99.5
S_S2_Cc_069_v1v9_489	5.99.1.2
S_S2_Cc_069_v1v9_490	5.99.1.2
S_S2_Cc_069_v1v9_491	5.99.1.2
S_S2_Cc_069_v1v9_492	5.99.1.2
S_S2_Cc_069_v1v9_493	5.99.1.2
S_S2_Cc_069_v1v9_494	1.5.1.5
S_S2_Cc_069_v1v9_495	2.1.1.185
S_S2_Cc_069_v1v9_496	6.1.1.4
S_S2_Cc_069_v1v9_497	2.5.1.6
S_S2_Cc_069_v1v9_498	3.4.21.92
S_S2_Cc_069_v1v9_499	3.4.21.92
S_S2_Cc_069_v1v9_500	2.3.1.234
S_S2_Cc_069_v1v9_501	2.5.1.75
S_S2_Cc_069_v1v9_502	4.99.1.3
S_S2_Cc_069_v1v9_503	4.1.1.96
S_S2_Cc_069_v1v9_504	4.1.1.19
S_S2_Cc_069_v1v9_505	4.1.1.19
S_S2_Cc_069_v1v9_506	2.7.1.156
S_S2_Cc_069_v1v9_507	2.7.7.62
S_S2_Cc_069_v1v9_508	2.4.1.227
S_S2_Cc_069_v1v9_509	6.3.2.9
S_S2_Cc_069_v1v9_510	2.7.8.13
S_S2_Cc_069_v1v9_511	6.3.2.10
S_S2_Cc_069_v1v9_512	6.3.2.13
S_S2_Cc_069_v1v9_513	2.1.1.199
S_S2_Cc_069_v1v9_514	2.1.1.199
S_S2_Cc_069_v1v9_515	2.8.1.13
S_S2_Cc_069_v1v9_516	1.1.1.100
S_S2_Cc_069_v1v9_517	1.1.1.100
S_S2_Cc_069_v1v9_518	1.1.1.100
S_S2_Cc_069_v1v9_519	5.1.3.1
S_S2_Cc_069_v1v9_520	5.1.3.1
S_S2_Cc_069_v1v9_521	3.5.4.9
S_S2_Cc_069_v1v9_522	6.3.4.2
S_S2_Cc_069_v1v9_523	5.4.2.2
S_S2_Cc_069_v1v9_524	1.5.1.7
S_S2_Cc_069_v1v9_525	6.1.1.1
S_S2_Cc_069_v1v9_526	3.4.21.116
S_S2_Cc_069_v1v9_527	3.5.3.12
S_S2_Cc_069_v1v9_528	5.4.99.18
S_S2_Cc_069_v1v9_529	2.1.3.2
S_S2_Cc_069_v1v9_530	1.3.1.9
S_S2_Cc_069_v1v9_531	1.17.7.4
S_S2_Cc_069_v1v9_532	1.17.7.4
S_S2_Cc_069_v1v9_533	4.2.1.9
S_S2_Cc_069_v1v9_534	4.2.1.9
S_S2_Cc_069_v1v9_535	4.2.1.9
S_S2_Cc_069_v1v9_536	3.4.11.9
S_S2_Cc_069_v1v9_537	3.5.4.33
S_S2_Cc_069_v1v9_538	3.5.4.33
