S_S2_Bs_063_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_160	ABC-10-RXN
S_S2_Bs_063_160	3.6.3.34-RXN
S_S2_Bs_063_160	ABC-11-RXN
S_S2_Bs_063_161	DALADALALIG-RXN
S_S2_Bs_063_162	5.99.1.3-RXN
S_S2_Bs_063_163	5.99.1.3-RXN
S_S2_Bs_063_164	RXN-13163
S_S2_Bs_063_165	RXN-13163
S_S2_Bs_063_166	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_166	RXN-12729
S_S2_Bs_063_167	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_167	RXN-12729
S_S2_Bs_063_168	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_168	RXN-12729
S_S2_Bs_063_169	SULFOCYS-RXN
S_S2_Bs_063_169	RXN-12726
S_S2_Bs_063_169	ACSERLY-RXN
S_S2_Bs_063_170	SULFOCYS-RXN
S_S2_Bs_063_170	RXN-12726
S_S2_Bs_063_170	ACSERLY-RXN
S_S2_Bs_063_171	SULFOCYS-RXN
S_S2_Bs_063_171	RXN-12726
S_S2_Bs_063_171	ACSERLY-RXN
S_S2_Bs_063_172	OHMETPYRKIN-RXN
S_S2_Bs_063_173	OHMETPYRKIN-RXN
S_S2_Bs_063_174	PYRIMSYN3-RXN
S_S2_Bs_063_175	PYRIMSYN3-RXN
S_S2_Bs_063_176	PYRIMSYN1-RXN
S_S2_Bs_063_177	GLUTAMINESYN-RXN
S_S2_Bs_063_178	ADENPRIBOSYLTRAN-RXN
S_S2_Bs_063_178	RXN-14270
S_S2_Bs_063_179	ADENYL-KIN-RXN
S_S2_Bs_063_180	3.4.21.89-RXN
S_S2_Bs_063_181	3.4.21.89-RXN
S_S2_Bs_063_182	3.4.21.89-RXN
S_S2_Bs_063_183	3.4.21.89-RXN
S_S2_Bs_063_184	3.4.21.89-RXN
S_S2_Bs_063_185	RXN-15881
S_S2_Bs_063_185	RXN-14384
S_S2_Bs_063_185	RXN-14385
S_S2_Bs_063_185	RXN-14386
S_S2_Bs_063_185	RXN-12587
S_S2_Bs_063_185	RXN-9787
S_S2_Bs_063_185	RXN-12588
S_S2_Bs_063_185	RXN0-308
S_S2_Bs_063_186	RXN-15881
S_S2_Bs_063_186	RXN-14384
S_S2_Bs_063_186	RXN-14385
S_S2_Bs_063_186	RXN-14386
S_S2_Bs_063_186	RXN-12587
S_S2_Bs_063_186	RXN-9787
S_S2_Bs_063_186	RXN-12588
S_S2_Bs_063_186	RXN0-308
S_S2_Bs_063_187	RXN-15881
S_S2_Bs_063_187	RXN-14384
S_S2_Bs_063_187	RXN-14385
S_S2_Bs_063_187	RXN-14386
S_S2_Bs_063_187	RXN-12587
S_S2_Bs_063_187	RXN-9787
S_S2_Bs_063_187	RXN-12588
S_S2_Bs_063_187	RXN0-308
S_S2_Bs_063_188	RXN-15881
S_S2_Bs_063_188	RXN-14384
S_S2_Bs_063_188	RXN-14385
S_S2_Bs_063_188	RXN-14386
S_S2_Bs_063_188	RXN-12587
S_S2_Bs_063_188	RXN-9787
S_S2_Bs_063_188	RXN-12588
S_S2_Bs_063_188	RXN0-308
S_S2_Bs_063_189	ABC-27-RXN
S_S2_Bs_063_190	ABC-27-RXN
S_S2_Bs_063_191	RXN-12720
S_S2_Bs_063_191	SULFATE-ADENYLYLTRANS-RXN
S_S2_Bs_063_192	RXN-12720
S_S2_Bs_063_192	SULFATE-ADENYLYLTRANS-RXN
S_S2_Bs_063_193	RXN0-6948
S_S2_Bs_063_193	N-ACETYLTRANSFER-RXN
S_S2_Bs_063_194	RXN-11837
S_S2_Bs_063_195	RXN-11837
S_S2_Bs_063_196	RXN-11837
S_S2_Bs_063_197	UDPGLUCEPIM-RXN
S_S2_Bs_063_198	2PGADEHYDRAT-RXN
S_S2_Bs_063_199	ALPHAGALACTOSID-RXN
S_S2_Bs_063_199	RXN-11501
S_S2_Bs_063_199	RXN-12088
S_S2_Bs_063_200	ALPHAGALACTOSID-RXN
S_S2_Bs_063_200	RXN-11501
S_S2_Bs_063_200	RXN-12088
