S_S2_Cc_069_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_254	ALDOSE-1-EPIMERASE-RXN
S_S2_Cc_069_255	ALDOSE1EPIM-RXN
S_S2_Cc_069_255	ALDOSE-1-EPIMERASE-RXN
S_S2_Cc_069_256	RXN-12002
S_S2_Cc_069_257	GAPOXNPHOSPHN-RXN
S_S2_Cc_069_258	RXN1G-94
S_S2_Cc_069_258	RXN1G-1015
S_S2_Cc_069_258	RXN1G-202
S_S2_Cc_069_258	RXN1G-883
S_S2_Cc_069_258	RXN1G-660
S_S2_Cc_069_258	RXN1G-374
S_S2_Cc_069_258	RXN1G-334
S_S2_Cc_069_258	RXN-8391
S_S2_Cc_069_258	RXN1G-582
S_S2_Cc_069_258	RXN1G-580
S_S2_Cc_069_258	RXN1G-89
S_S2_Cc_069_258	2.3.1.179-RXN
S_S2_Cc_069_258	RXN1G-1212
S_S2_Cc_069_258	RXN1G-424
S_S2_Cc_069_258	RXN1G-818
S_S2_Cc_069_258	RXN1G-79
S_S2_Cc_069_258	RXN1G-172
S_S2_Cc_069_258	RXN1G-557
S_S2_Cc_069_258	RXN1G-32
S_S2_Cc_069_259	RXN8J2-140
S_S2_Cc_069_260	2.7.7.60-RXN
S_S2_Cc_069_261	2.7.7.60-RXN
S_S2_Cc_069_262	2.7.7.60-RXN
S_S2_Cc_069_263	2.7.7.60-RXN
S_S2_Cc_069_264	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Cc_069_265	FRUCTOKINASE-RXN
S_S2_Cc_069_266	FRUCTOKINASE-RXN
S_S2_Cc_069_267	RXN-14517
S_S2_Cc_069_267	RXN-12458
S_S2_Cc_069_268	RXN-982
S_S2_Cc_069_269	RXN-14285
S_S2_Cc_069_269	RXN-14284
S_S2_Cc_069_269	RXN-14286
S_S2_Cc_069_269	RXN-14353
S_S2_Cc_069_269	RXN-9025
S_S2_Cc_069_269	RXN0-5182
S_S2_Cc_069_269	RXN0-5184
S_S2_Cc_069_269	GLYCOPHOSPHORYL-RXN
S_S2_Cc_069_269	RXN-12171
S_S2_Cc_069_269	GLYMALTOPHOSPHORYL-RXN
S_S2_Cc_069_269	RXN-1826
S_S2_Cc_069_269	RXN-12392
S_S2_Cc_069_270	3.6.3.8-RXN
S_S2_Cc_069_271	DTDPGLUCDEHYDRAT-RXN
S_S2_Cc_069_272	DTDPGLUCOSEPP-RXN
S_S2_Cc_069_273	BIOTINLIG-RXN
S_S2_Cc_069_274	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Cc_069_275	RXN-13158
S_S2_Cc_069_275	RXN-14986
S_S2_Cc_069_276	PHOSGLYPHOS-RXN
S_S2_Cc_069_277	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Cc_069_278	GART-RXN
S_S2_Cc_069_279	NMNAMIDOHYDRO-RXN
S_S2_Cc_069_280	RXN-14207
S_S2_Cc_069_280	PEPDEPHOS-RXN
S_S2_Cc_069_280	RXN-14117
S_S2_Cc_069_280	RXN-14192
S_S2_Cc_069_281	RXN-14207
S_S2_Cc_069_281	PEPDEPHOS-RXN
S_S2_Cc_069_281	RXN-14117
S_S2_Cc_069_281	RXN-14192
S_S2_Cc_069_282	RXN-15878
S_S2_Cc_069_283	RXN0-882
S_S2_Cc_069_284	RXN-12460
S_S2_Cc_069_284	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Cc_069_284	RXN-16637
S_S2_Cc_069_285	ALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_286	ALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_287	RXN-11633
S_S2_Cc_069_288	AIRS-RXN
S_S2_Cc_069_289	PRPPAMIDOTRANS-RXN
S_S2_Cc_069_290	P-PANTOCYSDECARB-RXN
S_S2_Cc_069_291	P-PANTOCYSLIG-RXN
S_S2_Cc_069_293	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
S_S2_Cc_069_294	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
S_S2_Cc_069_295	GUANYL-KIN-RXN
S_S2_Cc_069_296	GUANYL-KIN-RXN
S_S2_Cc_069_297	2.3.1.180-RXN
S_S2_Cc_069_298	DXPREDISOM-RXN
S_S2_Cc_069_299	PANTEPADENYLYLTRAN-RXN
S_S2_Cc_069_300	RXN0-5462
S_S2_Cc_069_301	SERINE--TRNA-LIGASE-RXN
S_S2_Cc_069_301	RXN0-2161
S_S2_Cc_069_302	FUMHYDR-RXN
S_S2_Cc_069_303	FUMHYDR-RXN
S_S2_Cc_069_304	FUMHYDR-RXN
S_S2_Cc_069_305	DIHYDRODIPICSYN-RXN
S_S2_Cc_069_306	RXN-14014
S_S2_Cc_069_307	THREONINE--TRNA-LIGASE-RXN
S_S2_Cc_069_308	RXN-14712
S_S2_Cc_069_308	RXN-15521
S_S2_Cc_069_308	2.4.1.129-RXN
S_S2_Cc_069_308	RXN-11350
S_S2_Cc_069_308	RXN-11291
S_S2_Cc_069_308	RXN-16650
S_S2_Cc_069_308	RXN-11348
S_S2_Cc_069_309	GLYC3PDEHYDROGBIOSYN-RXN
S_S2_Cc_069_310	LYSINE--TRNA-LIGASE-RXN
S_S2_Cc_069_311	LYSINE--TRNA-LIGASE-RXN
S_S2_Cc_069_312	GMP-SYN-GLUT-RXN
S_S2_Cc_069_313	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Cc_069_313	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
