S_S5_Ea_103_1	NADH-DEHYDROG-A-RXN
S_S5_Ea_103_108	RXN-1381
S_S5_Ea_103_108	RXN-15045
S_S5_Ea_103_109	THI-P-SYN-RXN
S_S5_Ea_103_109	RXN-12610
S_S5_Ea_103_109	RXN-12611
S_S5_Ea_103_110	MALTACETYLTRAN-RXN
S_S5_Ea_103_111	MALTACETYLTRAN-RXN
S_S5_Ea_103_112	MALTACETYLTRAN-RXN
S_S5_Ea_103_113	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_Ea_103_114	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_Ea_103_115	ABC-9-RXN
S_S5_Ea_103_115	ABC-10-RXN
S_S5_Ea_103_115	3.6.3.34-RXN
S_S5_Ea_103_115	ABC-11-RXN
S_S5_Ea_103_116	ABC-9-RXN
S_S5_Ea_103_116	ABC-10-RXN
S_S5_Ea_103_116	3.6.3.34-RXN
S_S5_Ea_103_116	ABC-11-RXN
S_S5_Ea_103_117	ABC-9-RXN
S_S5_Ea_103_117	ABC-10-RXN
S_S5_Ea_103_117	3.6.3.34-RXN
S_S5_Ea_103_117	ABC-11-RXN
S_S5_Ea_103_118	DALADALALIG-RXN
S_S5_Ea_103_119	5.99.1.3-RXN
S_S5_Ea_103_120	5.99.1.3-RXN
S_S5_Ea_103_121	RXN-13163
S_S5_Ea_103_122	RXN-13163
S_S5_Ea_103_123	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_123	RXN-12729
S_S5_Ea_103_124	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_124	RXN-12729
S_S5_Ea_103_125	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_125	RXN-12729
S_S5_Ea_103_126	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_126	RXN-12729
S_S5_Ea_103_127	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_127	RXN-12729
S_S5_Ea_103_128	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_128	RXN-12729
S_S5_Ea_103_129	CYSTATHIONINE-BETA-LYASE-RXN
S_S5_Ea_103_129	RXN-12729
S_S5_Ea_103_130	RXN-14461
S_S5_Ea_103_131	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_Ea_103_131	ACETYLHOMOSER-CYS-RXN
S_S5_Ea_103_132	SULFOCYS-RXN
S_S5_Ea_103_132	RXN-12726
S_S5_Ea_103_132	ACSERLY-RXN
S_S5_Ea_103_133	SULFOCYS-RXN
S_S5_Ea_103_133	RXN-12726
S_S5_Ea_103_133	ACSERLY-RXN
S_S5_Ea_103_134	SULFOCYS-RXN
S_S5_Ea_103_134	RXN-12726
S_S5_Ea_103_134	ACSERLY-RXN
S_S5_Ea_103_135	OHMETPYRKIN-RXN
S_S5_Ea_103_136	OHMETPYRKIN-RXN
S_S5_Ea_103_137	PYRIMSYN3-RXN
S_S5_Ea_103_138	PYRIMSYN3-RXN
S_S5_Ea_103_139	GLUTAMINESYN-RXN
S_S5_Ea_103_140	ADENPRIBOSYLTRAN-RXN
S_S5_Ea_103_140	RXN-14270
S_S5_Ea_103_141	ADENYL-KIN-RXN
S_S5_Ea_103_142	3.4.21.89-RXN
S_S5_Ea_103_143	3.4.21.89-RXN
S_S5_Ea_103_144	3.4.21.89-RXN
S_S5_Ea_103_145	3.4.21.89-RXN
S_S5_Ea_103_146	3.4.21.89-RXN
S_S5_Ea_103_147	RXN-15881
S_S5_Ea_103_147	RXN-14384
S_S5_Ea_103_147	RXN-14385
S_S5_Ea_103_147	RXN-14386
S_S5_Ea_103_147	RXN-12587
S_S5_Ea_103_147	RXN-9787
S_S5_Ea_103_147	RXN-12588
S_S5_Ea_103_147	RXN0-308
S_S5_Ea_103_148	RXN-15881
S_S5_Ea_103_148	RXN-14384
S_S5_Ea_103_148	RXN-14385
S_S5_Ea_103_148	RXN-14386
S_S5_Ea_103_148	RXN-12587
S_S5_Ea_103_148	RXN-9787
S_S5_Ea_103_148	RXN-12588
S_S5_Ea_103_148	RXN0-308
S_S5_Ea_103_149	RXN-15881
S_S5_Ea_103_149	RXN-14384
S_S5_Ea_103_149	RXN-14385
S_S5_Ea_103_149	RXN-14386
S_S5_Ea_103_149	RXN-12587
S_S5_Ea_103_149	RXN-9787
S_S5_Ea_103_149	RXN-12588
S_S5_Ea_103_149	RXN0-308
S_S5_Ea_103_150	ABC-27-RXN
S_S5_Ea_103_151	ABC-27-RXN
S_S5_Ea_103_152	RXN0-6948
S_S5_Ea_103_152	N-ACETYLTRANSFER-RXN
S_S5_Ea_103_153	RXN-11837
S_S5_Ea_103_154	RXN-11837
S_S5_Ea_103_155	RXN-11837
S_S5_Ea_103_156	UDPGLUCEPIM-RXN
S_S5_Ea_103_157	UDPGLUCEPIM-RXN
S_S5_Ea_103_158	2PGADEHYDRAT-RXN
S_S5_Ea_103_159	ALPHAGALACTOSID-RXN
S_S5_Ea_103_159	RXN-11501
S_S5_Ea_103_159	RXN-12088
S_S5_Ea_103_161	RXN-14455
S_S5_Ea_103_162	RXN0-1134
S_S5_Ea_103_163	RXN0-1134
S_S5_Ea_103_164	RXN0-1134
S_S5_Ea_103_165	1.8.4.12-RXN
S_S5_Ea_103_166	1.8.4.12-RXN
S_S5_Ea_103_167	1.8.4.12-RXN
S_S5_Ea_103_168	RXN-8668
S_S5_Ea_103_169	RXN-8668
S_S5_Ea_103_170	RXN-8668
S_S5_Ea_103_171	DIHYDROOROT-RXN
S_S5_Ea_103_172	DIHYDROOROT-RXN
S_S5_Ea_103_173	RXN-11396
S_S5_Ea_103_174	RXN-11396
S_S5_Ea_103_175	GLUCOKIN-RXN
S_S5_Ea_103_175	RXN66-521
S_S5_Ea_103_175	RXN-1685
S_S5_Ea_103_176	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S5_Ea_103_177	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_Ea_103_178	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S5_Ea_103_179	3.5.1.88-RXN
S_S5_Ea_103_179	3.5.1.27-RXN
S_S5_Ea_103_180	3.5.1.88-RXN
S_S5_Ea_103_180	3.5.1.27-RXN
S_S5_Ea_103_181	TDCEACT-RXN
S_S5_Ea_103_182	TDCEACT-RXN
S_S5_Ea_103_183	TDCEACT-RXN
S_S5_Ea_103_184	TDCEACT-RXN
S_S5_Ea_103_185	RXN-14283
S_S5_Ea_103_185	RXN-14282
S_S5_Ea_103_185	RXN-14350
S_S5_Ea_103_185	RXN-15910
S_S5_Ea_103_185	RXN0-5183
S_S5_Ea_103_185	RXN-14349
S_S5_Ea_103_185	MALTODEXGLUCOSID-RXN
S_S5_Ea_103_185	RXN-14281
S_S5_Ea_103_185	RXN-2141
S_S5_Ea_103_186	RXN-14283
S_S5_Ea_103_186	RXN-14282
S_S5_Ea_103_186	RXN-14350
S_S5_Ea_103_186	RXN-15910
S_S5_Ea_103_186	RXN0-5183
S_S5_Ea_103_186	RXN-14349
S_S5_Ea_103_186	MALTODEXGLUCOSID-RXN
S_S5_Ea_103_186	RXN-14281
S_S5_Ea_103_186	RXN-2141
S_S5_Ea_103_187	RXN-14283
S_S5_Ea_103_187	RXN-14282
S_S5_Ea_103_187	RXN-14350
S_S5_Ea_103_187	RXN-15910
S_S5_Ea_103_187	RXN0-5183
S_S5_Ea_103_187	RXN-14349
S_S5_Ea_103_187	MALTODEXGLUCOSID-RXN
S_S5_Ea_103_187	RXN-14281
S_S5_Ea_103_187	RXN-2141
S_S5_Ea_103_188	RXN-11836
S_S5_Ea_103_189	ACETOLACTSYN-RXN
S_S5_Ea_103_189	ACETOOHBUTSYN-RXN
S_S5_Ea_103_190	ACETOLACTSYN-RXN
S_S5_Ea_103_190	ACETOOHBUTSYN-RXN
S_S5_Ea_103_191	ACETOLACTSYN-RXN
S_S5_Ea_103_191	ACETOOHBUTSYN-RXN
S_S5_Ea_103_192	IGPSYN-RXN
S_S5_Ea_103_193	ALARACECAT-RXN
S_S5_Ea_103_194	3.1.11.6-RXN
S_S5_Ea_103_195	3.1.11.6-RXN
S_S5_Ea_103_196	RXN0-5266
S_S5_Ea_103_197	RXN0-5266
S_S5_Ea_103_198	ALPHA-AMYL-RXN
S_S5_Ea_103_198	RXN0-5181
S_S5_Ea_103_198	3.2.1.1-RXN
S_S5_Ea_103_198	RXN-1823
S_S5_Ea_103_199	ALPHA-AMYL-RXN
S_S5_Ea_103_199	RXN0-5181
S_S5_Ea_103_199	3.2.1.1-RXN
S_S5_Ea_103_199	RXN-1823
S_S5_Ea_103_200	2.1.1.63-RXN
S_S5_Ea_103_201	2.1.1.63-RXN
S_S5_Ea_103_202	2.5.1.64-RXN
S_S5_Ea_103_203	METHIONINE--TRNA-LIGASE-RXN
S_S5_Ea_103_203	RXN-16165
S_S5_Ea_103_204	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S5_Ea_103_205	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S5_Ea_103_206	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ea_103_207	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ea_103_208	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ea_103_209	DTDPDEHYRHAMREDUCT-RXN
S_S5_Ea_103_210	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S5_Ea_103_211	RXN-12462
S_S5_Ea_103_212	RXN-12463
S_S5_Ea_103_213	RXN-14065
S_S5_Ea_103_214	RXN-14065
S_S5_Ea_103_215	RXN-14065
S_S5_Ea_103_216	OROPRIBTRANS-RXN
S_S5_Ea_103_217	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_Ea_103_218	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_Ea_103_219	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S5_Ea_103_220	OROTPDECARB-RXN
S_S5_Ea_103_221	ASPARTATE--TRNA-LIGASE-RXN
S_S5_Ea_103_222	CARBOXYLESTERASE-RXN
S_S5_Ea_103_222	RXN-12575
S_S5_Ea_103_222	RXN-10711
S_S5_Ea_103_222	3.1.1.64-RXN
S_S5_Ea_103_222	RXN-10767
S_S5_Ea_103_222	RXN-12252
S_S5_Ea_103_222	RETINYL-PALMITATE-ESTERASE-RXN
S_S5_Ea_103_222	RXNQT-4366
S_S5_Ea_103_223	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_Ea_103_224	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_Ea_103_225	THIOREDOXIN-REDUCT-NADPH-RXN
S_S5_Ea_103_226	4.3.1.17-RXN
S_S5_Ea_103_227	4.3.1.17-RXN
S_S5_Ea_103_228	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S5_Ea_103_229	FARNESYLTRANSTRANSFERASE-RXN
S_S5_Ea_103_230	FPPSYN-RXN
S_S5_Ea_103_231	GPPSYN-RXN
S_S5_Ea_103_232	RXN0-6480
S_S5_Ea_103_232	3.1.26.5-RXN
S_S5_Ea_103_233	RXN0-6727
S_S5_Ea_103_233	RXN-13141
