"kingdom_final"	"phylum_final"	"class_final"	"order_final"	"family_final"	"genus_final"	"species_final"
"ASVp3_12"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp3_13"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp3_15"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp3_16"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp3_17"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"xylanisolvens"
"ASVp3_18"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Otoolea"	"symbiosa"
"ASVp3_19"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp3_20"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp3_22"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"massiliensis"
"ASVp3_24"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp3_27"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp3_29"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"subtilis"
"ASVp3_30"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	"lenta"
"ASVp3_32"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"porci"
"ASVp3_34"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp3_35"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp3_38"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"	"longum"
"ASVp3_41"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"CHH4-2"	"sp018378255"
"ASVp3_45"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Alitiscatomonas"	"sp900066535"
"ASVp3_51"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Agathobacter"	"faecis"
"ASVp3_52"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp3_67"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp3_75"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"diarizonae/houtenae/enterica"
"ASVp3_82"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"hathewayi"
"ASVp3_83"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp3_85"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp3_96"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp3_103"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp3_123"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp5_1"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"ASVp5_2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp5_4"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp5_5"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp5_6"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp5_8"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp5_9"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp5_10"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"thetaiotaomicron"
"ASVp5_12"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp5_13"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp5_15"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp5_16"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp5_18"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp5_19"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp5_21"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp5_22"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp5_23"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Otoolea"	"symbiosa"
"ASVp5_24"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_B"	"durans"
"ASVp5_26"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp5_28"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp5_33"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Ruminococcus_B"	"gnavus"
"ASVp5_35"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp5_36"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp5_43"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	"lenta"
"ASVp5_44"	"Bacteria"	"Bacillota_I"	"Bacilli_A"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemania"	"filiformis"
"ASVp5_46"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp5_49"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"sp902362275/sp902472315"
"ASVp5_50"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp5_55"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp5_58"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"diarizonae/houtenae/enterica"
"ASVp5_59"	"Bacteria"	"Actinomycetota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	"lenta"
"ASVp5_61"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp5_63"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus_A"	"avium"
"ASVp5_65"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"hominis"
"ASVp5_68"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"dentium"
"ASVp5_69"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
