S_S2_Bs_063_216	4.2.1.35
S_S2_Bs_063_217	1.3.5.4
S_S2_Bs_063_218	1.3.5.4
S_S2_Bs_063_219	3.5.1.88
S_S2_Bs_063_220	3.5.1.88
S_S2_Bs_063_221	3.2.1.20
S_S2_Bs_063_222	3.2.1.20
S_S2_Bs_063_223	6.2.1.5
S_S2_Bs_063_224	6.2.1.5
S_S2_Bs_063_225	5.4.99.22
S_S2_Bs_063_226	2.2.1.6
S_S2_Bs_063_227	2.2.1.6
S_S2_Bs_063_228	2.2.1.6
S_S2_Bs_063_229	4.1.1.48
S_S2_Bs_063_230	5.1.1.1
S_S2_Bs_063_231	5.1.1.1
S_S2_Bs_063_232	3.1.11.6
S_S2_Bs_063_233	3.1.11.6
S_S2_Bs_063_234	1.10.3.14
S_S2_Bs_063_235	1.10.3.14
S_S2_Bs_063_236	1.10.3.14
S_S2_Bs_063_237	1.10.3.14
S_S2_Bs_063_238	3.2.1.1
S_S2_Bs_063_239	3.5.1.2
S_S2_Bs_063_240	3.5.1.2
S_S2_Bs_063_241	2.1.1.63
S_S2_Bs_063_242	2.2.1.9
S_S2_Bs_063_243	3.4.23.43
S_S2_Bs_063_244	6.1.1.10
S_S2_Bs_063_245	2.4.1.52
S_S2_Bs_063_246	4.2.1.113
S_S2_Bs_063_247	4.1.1.44
S_S2_Bs_063_248	4.1.1.44
S_S2_Bs_063_249	1.1.1.133
S_S2_Bs_063_250	3.5.99.6
S_S2_Bs_063_251	3.5.99.6
S_S2_Bs_063_252	2.1.1.227
S_S2_Bs_063_253	2.1.1.226
S_S2_Bs_063_254	3.2.2.10
S_S2_Bs_063_255	2.7.1.25
S_S2_Bs_063_256	2.7.1.25
S_S2_Bs_063_257	2.4.2.10
S_S2_Bs_063_258	3.6.1.27
S_S2_Bs_063_259	3.6.1.27
S_S2_Bs_063_260	3.6.1.27
S_S2_Bs_063_261	4.1.1.23
S_S2_Bs_063_262	6.1.1.12
S_S2_Bs_063_263	2.3.1.47
S_S2_Bs_063_264	2.3.1.47
S_S2_Bs_063_265	3.1.1.1
S_S2_Bs_063_266	1.8.1.9
S_S2_Bs_063_267	1.8.1.9
S_S2_Bs_063_268	4.3.1.17
S_S2_Bs_063_269	4.3.1.17
S_S2_Bs_063_270	1.2.1.11
S_S2_Bs_063_271	2.5.1.29
S_S2_Bs_063_272	2.5.1.10
S_S2_Bs_063_273	2.5.1.1
S_S2_Bs_063_274	2.4.2.19
S_S2_Bs_063_275	3.1.26.5
S_S2_Bs_063_276	4.2.1.136
S_S2_Bs_063_277	1.4.1.14
S_S2_Bs_063_278	1.4.1.14
S_S2_Bs_063_279	1.4.1.13
S_S2_Bs_063_280	1.4.1.13
S_S2_Bs_063_281	3.5.1.104
S_S2_Bs_063_282	3.5.1.104
S_S2_Bs_063_283	5.3.1.8
S_S2_Bs_063_284	5.3.1.8
S_S2_Bs_063_285	5.3.1.8
S_S2_Bs_063_286	4.6.1.12
S_S2_Bs_063_287	3.1.3.25
S_S2_Bs_063_288	2.1.1.177
S_S2_Bs_063_289	1.8.4.8
S_S2_Bs_063_290	1.8.4.8
S_S2_Bs_063_291	5.1.99.6
S_S2_Bs_063_292	2.3.1.39
S_S2_Bs_063_293	2.3.1.39
S_S2_Bs_063_294	2.3.1.39
S_S2_Bs_063_295	1.11.1.15
S_S2_Bs_063_296	1.11.1.15
S_S2_Bs_063_297	1.11.1.15
S_S2_Bs_063_298	1.8.4.10
S_S2_Bs_063_299	1.8.4.10
S_S2_Bs_063_300	3.4.23.36
S_S2_Bs_063_301	6.1.1.5
S_S2_Bs_063_302	3.5.2.6
S_S2_Bs_063_303	3.5.2.6
S_S2_Bs_063_304	2.7.1.33
S_S2_Bs_063_305	2.7.1.33
S_S2_Bs_063_306	2.1.2.9
S_S2_Bs_063_307	2.7.1.6
S_S2_Bs_063_308	3.1.11.2
S_S2_Bs_063_309	3.5.1.25
S_S2_Bs_063_310	3.5.1.124
S_S2_Bs_063_311	3.5.1.124
S_S2_Bs_063_312	6.3.1.20
S_S2_Bs_063_313	6.3.1.20
S_S2_Bs_063_314	3.4.11.18
S_S2_Bs_063_315	3.4.11.18
S_S2_Bs_063_316	2.7.1.23
S_S2_Bs_063_317	2.7.1.23
S_S2_Bs_063_318	3.1.3.5
S_S2_Bs_063_319	3.1.3.5
S_S2_Bs_063_320	3.1.3.5
S_S2_Bs_063_321	3.1.3.5
S_S2_Bs_063_322	6.3.2.17
S_S2_Bs_063_323	6.3.2.12
S_S2_Bs_063_324	2.7.1.202
S_S2_Bs_063_325	2.7.1.202
S_S2_Bs_063_326	2.7.1.202
S_S2_Bs_063_327	2.7.1.202
S_S2_Bs_063_328	2.1.1.45
S_S2_Bs_063_329	5.3.1.24
S_S2_Bs_063_330	5.3.1.24
S_S2_Bs_063_331	5.3.1.24
S_S2_Bs_063_332	4.4.1.16
S_S2_Bs_063_333	5.1.99.1
S_S2_Bs_063_334	2.1.3.15
S_S2_Bs_063_335	2.1.3.15
S_S2_Bs_063_336	2.1.3.15
S_S2_Bs_063_337	5.1.3.3
S_S2_Bs_063_338	2.7.4.22
S_S2_Bs_063_339	1.2.1.12
S_S2_Bs_063_340	1.2.1.12
S_S2_Bs_063_341	2.3.1.179
S_S2_Bs_063_342	2.3.1.179
S_S2_Bs_063_343	2.7.14.1
S_S2_Bs_063_344	2.7.7.60
S_S2_Bs_063_345	2.7.7.60
S_S2_Bs_063_346	2.7.7.60
S_S2_Bs_063_347	6.1.1.2
S_S2_Bs_063_348	2.7.1.4
S_S2_Bs_063_349	2.7.1.4
S_S2_Bs_063_350	2.3.1.29
S_S2_Bs_063_351	2.3.1.29
S_S2_Bs_063_352	2.1.1.228
S_S2_Bs_063_353	1.20.4.1
S_S2_Bs_063_354	1.20.4.1
S_S2_Bs_063_355	2.4.1.1
S_S2_Bs_063_356	1.1.1.103
S_S2_Bs_063_357	3.6.3.8
S_S2_Bs_063_358	1.2.3.3
S_S2_Bs_063_359	2.4.2.18
S_S2_Bs_063_360	4.2.1.46
S_S2_Bs_063_361	4.2.1.46
S_S2_Bs_063_362	2.7.7.24
S_S2_Bs_063_363	6.3.4.15
S_S2_Bs_063_364	6.4.1.3
S_S2_Bs_063_365	6.1.1.21
S_S2_Bs_063_366	1.1.1.85
S_S2_Bs_063_367	2.7.2.3
S_S2_Bs_063_368	2.5.1.15
S_S2_Bs_063_369	6.3.4.4
S_S2_Bs_063_370	2.1.2.2
S_S2_Bs_063_371	1.2.1.88
S_S2_Bs_063_372	1.2.1.88
S_S2_Bs_063_373	1.11.1.6
S_S2_Bs_063_374	1.11.1.6
S_S2_Bs_063_375	1.11.1.6
S_S2_Bs_063_376	3.5.1.42
S_S2_Bs_063_377	2.7.1.40
S_S2_Bs_063_378	2.1.2.10
S_S2_Bs_063_379	1.4.4.2
S_S2_Bs_063_380	1.4.4.2
S_S2_Bs_063_381	1.17.7.3
S_S2_Bs_063_382	1.17.7.1
S_S2_Bs_063_383	2.7.8.8
S_S2_Bs_063_384	3.1.1.29
S_S2_Bs_063_385	6.1.1.7
S_S2_Bs_063_386	2.1.1.182
S_S2_Bs_063_387	6.3.3.1
S_S2_Bs_063_388	2.4.2.14
S_S2_Bs_063_389	4.1.1.36
S_S2_Bs_063_390	6.3.2.5
S_S2_Bs_063_391	3.1.3.100
S_S2_Bs_063_392	3.1.3.15
S_S2_Bs_063_393	4.2.3.12
S_S2_Bs_063_394	2.7.4.8
S_S2_Bs_063_395	2.3.1.180
S_S2_Bs_063_396	2.3.1.180
S_S2_Bs_063_397	1.1.1.267
S_S2_Bs_063_398	2.7.7.3
S_S2_Bs_063_399	2.7.7.9
S_S2_Bs_063_400	2.7.7.9
S_S2_Bs_063_401	2.7.7.9
S_S2_Bs_063_402	2.7.7.39
S_S2_Bs_063_403	2.5.1.74
S_S2_Bs_063_404	2.5.1.72
S_S2_Bs_063_405	3.6.5.4
S_S2_Bs_063_406	4.1.2.50
S_S2_Bs_063_407	6.1.1.11
S_S2_Bs_063_408	4.2.1.2
S_S2_Bs_063_409	6.2.1.26
S_S2_Bs_063_410	4.3.3.7
S_S2_Bs_063_411	4.3.3.7
S_S2_Bs_063_412	1.17.1.8
S_S2_Bs_063_413	2.7.6.3
S_S2_Bs_063_414	2.1.2.11
S_S2_Bs_063_415	4.2.1.24
S_S2_Bs_063_416	6.1.1.3
S_S2_Bs_063_417	6.1.1.3
S_S2_Bs_063_418	2.4.1.129
S_S2_Bs_063_419	2.4.1.129
S_S2_Bs_063_420	2.4.1.129
S_S2_Bs_063_421	2.4.1.129
S_S2_Bs_063_422	1.1.1.94
S_S2_Bs_063_423	6.1.1.6
S_S2_Bs_063_424	6.3.5.2
S_S2_Bs_063_425	2.6.1.42
S_S2_Bs_063_426	2.6.1.42
S_S2_Bs_063_427	4.1.2.13
S_S2_Bs_063_428	4.1.2.13
S_S2_Bs_063_429	4.1.1.20
S_S2_Bs_063_430	2.8.1.10
S_S2_Bs_063_431	2.4.99.17
S_S2_Bs_063_432	4.3.99.3
S_S2_Bs_063_433	1.1.1.95
S_S2_Bs_063_434	1.1.1.95
S_S2_Bs_063_435	1.1.1.399
S_S2_Bs_063_436	1.1.1.399
S_S2_Bs_063_437	6.1.1.22
S_S2_Bs_063_438	1.1.1.205
S_S2_Bs_063_439	4.2.1.10
S_S2_Bs_063_440	4.2.1.10
S_S2_Bs_063_441	2.5.1.54
S_S2_Bs_063_442	4.1.1.11
S_S2_Bs_063_443	2.7.7.2
S_S2_Bs_063_444	2.7.7.2
S_S2_Bs_063_445	2.7.7.2
S_S2_Bs_063_446	2.7.1.26
S_S2_Bs_063_447	2.7.1.26
S_S2_Bs_063_448	2.7.1.26
S_S2_Bs_063_449	5.4.99.25
S_S2_Bs_063_450	3.1.3.7
