S_S5_He_108_317	1.97.1.4
S_S5_He_108_318	1.97.1.4
S_S5_He_108_319	1.97.1.4
S_S5_He_108_320	1.97.1.4
S_S5_He_108_321	1.97.1.4
S_S5_He_108_322	1.97.1.4
S_S5_He_108_323	1.97.1.4
S_S5_He_108_324	1.97.1.4
S_S5_He_108_325	1.97.1.4
S_S5_He_108_326	3.2.1.20
S_S5_He_108_327	5.4.99.22
S_S5_He_108_328	2.7.1.90
S_S5_He_108_329	2.7.1.90
S_S5_He_108_330	2.7.1.90
S_S5_He_108_331	2.7.1.90
S_S5_He_108_332	2.7.1.90
S_S5_He_108_333	2.2.1.6
S_S5_He_108_334	2.2.1.6
S_S5_He_108_335	2.2.1.6
S_S5_He_108_336	2.2.1.6
S_S5_He_108_337	2.2.1.6
S_S5_He_108_338	4.1.1.48
S_S5_He_108_339	5.1.1.1
S_S5_He_108_340	5.1.1.1
S_S5_He_108_341	3.1.11.6
S_S5_He_108_342	3.1.11.6
S_S5_He_108_343	3.2.1.1
S_S5_He_108_344	3.2.1.1
S_S5_He_108_345	3.2.1.1
S_S5_He_108_346	3.2.1.1
S_S5_He_108_347	3.2.1.1
S_S5_He_108_348	3.2.1.1
S_S5_He_108_349	3.2.1.1
S_S5_He_108_350	2.1.1.63
S_S5_He_108_351	2.2.1.9
S_S5_He_108_352	3.4.23.43
S_S5_He_108_353	3.4.23.43
S_S5_He_108_354	3.4.23.43
S_S5_He_108_355	3.4.23.43
S_S5_He_108_356	3.4.23.43
S_S5_He_108_357	3.4.23.43
S_S5_He_108_358	6.1.1.10
S_S5_He_108_359	5.1.3.29
S_S5_He_108_360	1.1.1.133
S_S5_He_108_361	1.1.1.133
S_S5_He_108_362	1.1.1.133
S_S5_He_108_363	3.5.99.6
S_S5_He_108_364	3.5.99.6
S_S5_He_108_365	3.5.99.6
S_S5_He_108_366	2.1.1.227
S_S5_He_108_367	2.1.1.226
S_S5_He_108_368	2.7.1.51
S_S5_He_108_369	5.3.1.3
S_S5_He_108_370	5.3.1.25
S_S5_He_108_371	3.2.2.10
S_S5_He_108_372	2.4.2.10
S_S5_He_108_373	2.4.2.10
S_S5_He_108_374	2.4.2.10
S_S5_He_108_375	3.6.1.27
S_S5_He_108_376	3.6.1.27
S_S5_He_108_377	3.6.1.27
S_S5_He_108_378	4.1.1.23
S_S5_He_108_379	6.1.1.12
S_S5_He_108_380	6.1.1.12
S_S5_He_108_381	1.8.1.9
S_S5_He_108_382	1.8.1.9
S_S5_He_108_383	1.8.1.9
S_S5_He_108_384	1.8.1.9
S_S5_He_108_385	1.8.1.9
S_S5_He_108_386	1.8.1.9
S_S5_He_108_387	4.3.1.17
S_S5_He_108_388	4.3.1.17
S_S5_He_108_389	1.2.1.11
S_S5_He_108_390	2.5.1.29
S_S5_He_108_391	2.5.1.10
S_S5_He_108_392	2.5.1.1
S_S5_He_108_393	3.1.26.5
S_S5_He_108_394	4.2.1.136
S_S5_He_108_395	1.4.1.14
S_S5_He_108_396	1.4.1.14
S_S5_He_108_397	1.4.1.14
S_S5_He_108_398	1.4.1.14
S_S5_He_108_399	1.4.1.14
S_S5_He_108_400	1.4.1.13
S_S5_He_108_401	1.4.1.13
S_S5_He_108_402	1.4.1.13
S_S5_He_108_403	1.4.1.13
S_S5_He_108_404	1.4.1.13
S_S5_He_108_405	3.5.1.104
S_S5_He_108_406	3.5.1.104
S_S5_He_108_407	3.5.1.104
S_S5_He_108_408	5.3.1.8
S_S5_He_108_409	4.6.1.12
S_S5_He_108_410	3.1.3.25
S_S5_He_108_411	3.1.3.25
S_S5_He_108_412	3.1.3.25
S_S5_He_108_413	2.1.1.177
S_S5_He_108_414	5.1.99.6
S_S5_He_108_415	2.3.1.39
S_S5_He_108_416	1.11.1.15
S_S5_He_108_417	1.11.1.15
S_S5_He_108_418	3.6.1.40
S_S5_He_108_419	3.4.23.36
S_S5_He_108_420	3.4.23.36
S_S5_He_108_421	6.1.1.5
S_S5_He_108_422	6.1.1.5
S_S5_He_108_423	3.5.2.6
S_S5_He_108_424	3.5.2.6
S_S5_He_108_425	3.5.2.6
S_S5_He_108_426	2.7.1.33
S_S5_He_108_427	2.7.1.33
S_S5_He_108_428	2.1.2.9
S_S5_He_108_429	2.7.1.6
S_S5_He_108_430	3.1.11.2
S_S5_He_108_431	3.5.1.25
S_S5_He_108_432	3.5.1.25
S_S5_He_108_433	3.5.1.124
S_S5_He_108_434	2.7.4.1
S_S5_He_108_435	3.6.1.11
S_S5_He_108_436	6.3.1.20
S_S5_He_108_437	3.4.11.18
S_S5_He_108_438	3.4.11.18
S_S5_He_108_439	2.7.1.23
S_S5_He_108_440	3.1.3.5
S_S5_He_108_441	3.1.3.5
S_S5_He_108_442	6.3.2.17
S_S5_He_108_443	6.3.2.12
S_S5_He_108_444	1.4.1.4
S_S5_He_108_445	1.4.1.4
S_S5_He_108_446	2.7.1.202
S_S5_He_108_447	2.7.1.202
S_S5_He_108_448	2.7.1.202
S_S5_He_108_449	2.7.1.202
S_S5_He_108_450	2.3.1.54
S_S5_He_108_451	2.3.1.54
S_S5_He_108_452	2.3.1.54
S_S5_He_108_453	2.1.1.45
S_S5_He_108_454	5.3.1.24
S_S5_He_108_455	4.4.1.16
S_S5_He_108_456	5.1.99.1
S_S5_He_108_457	5.1.99.1
S_S5_He_108_458	5.1.99.1
S_S5_He_108_459	2.1.3.15
S_S5_He_108_460	5.1.3.3
S_S5_He_108_461	5.1.3.3
S_S5_He_108_462	5.1.3.3
S_S5_He_108_463	5.1.3.3
S_S5_He_108_464	2.7.4.22
S_S5_He_108_465	1.2.1.12
S_S5_He_108_466	2.3.1.179
S_S5_He_108_467	2.7.14.1
S_S5_He_108_468	2.7.7.60
S_S5_He_108_469	2.7.7.60
S_S5_He_108_470	6.1.1.2
S_S5_He_108_471	6.1.1.2
S_S5_He_108_472	2.7.1.4
S_S5_He_108_473	2.7.1.4
S_S5_He_108_474	2.3.1.29
S_S5_He_108_475	2.1.1.228
S_S5_He_108_476	1.20.4.1
S_S5_He_108_477	2.4.1.1
S_S5_He_108_478	2.4.1.1
S_S5_He_108_479	1.1.1.103
S_S5_He_108_480	3.6.3.8
S_S5_He_108_481	3.6.3.8
S_S5_He_108_482	3.6.3.8
S_S5_He_108_483	3.6.3.8
S_S5_He_108_484	3.6.3.8
S_S5_He_108_485	3.6.3.8
S_S5_He_108_486	2.4.2.18
S_S5_He_108_487	4.2.1.46
S_S5_He_108_488	4.2.1.46
S_S5_He_108_489	2.7.7.24
S_S5_He_108_490	6.3.4.15
S_S5_He_108_491	6.1.1.21
S_S5_He_108_492	1.1.1.85
S_S5_He_108_493	2.7.2.3
