S_S2_Cc_069_194	3.4.23.43
S_S2_Cc_069_195	3.4.23.43
S_S2_Cc_069_196	3.4.23.43
S_S2_Cc_069_197	3.4.23.43
S_S2_Cc_069_198	3.4.23.43
S_S2_Cc_069_199	6.1.1.10
S_S2_Cc_069_200	1.1.1.133
S_S2_Cc_069_201	3.5.99.6
S_S2_Cc_069_202	2.1.1.227
S_S2_Cc_069_203	2.1.1.226
S_S2_Cc_069_204	2.4.2.10
S_S2_Cc_069_205	2.4.2.10
S_S2_Cc_069_206	3.6.1.27
S_S2_Cc_069_207	4.1.1.23
S_S2_Cc_069_208	6.1.1.12
S_S2_Cc_069_209	6.1.1.12
S_S2_Cc_069_210	1.8.1.9
S_S2_Cc_069_211	1.8.1.9
S_S2_Cc_069_212	1.8.1.9
S_S2_Cc_069_213	1.8.1.9
S_S2_Cc_069_214	4.3.1.17
S_S2_Cc_069_215	4.3.1.17
S_S2_Cc_069_216	1.2.1.11
S_S2_Cc_069_217	2.5.1.29
S_S2_Cc_069_218	2.5.1.10
S_S2_Cc_069_219	2.5.1.1
S_S2_Cc_069_220	3.1.26.5
S_S2_Cc_069_221	4.2.1.136
S_S2_Cc_069_222	1.4.1.14
S_S2_Cc_069_223	1.4.1.14
S_S2_Cc_069_224	1.4.1.13
S_S2_Cc_069_225	1.4.1.13
S_S2_Cc_069_226	3.5.1.104
S_S2_Cc_069_227	3.5.1.104
S_S2_Cc_069_228	4.6.1.12
S_S2_Cc_069_229	2.1.1.177
S_S2_Cc_069_230	5.1.99.6
S_S2_Cc_069_231	2.3.1.39
S_S2_Cc_069_232	1.11.1.15
S_S2_Cc_069_233	3.6.1.40
S_S2_Cc_069_234	3.4.23.36
S_S2_Cc_069_235	3.4.23.36
S_S2_Cc_069_236	6.1.1.5
S_S2_Cc_069_237	2.7.1.33
S_S2_Cc_069_238	2.1.2.9
S_S2_Cc_069_239	2.7.1.6
S_S2_Cc_069_240	3.1.11.2
S_S2_Cc_069_241	3.5.1.25
S_S2_Cc_069_242	3.5.1.124
S_S2_Cc_069_243	2.7.4.1
S_S2_Cc_069_244	3.6.1.11
S_S2_Cc_069_245	3.4.11.18
S_S2_Cc_069_246	3.4.11.18
S_S2_Cc_069_247	2.7.1.23
S_S2_Cc_069_248	3.1.3.5
S_S2_Cc_069_249	6.3.2.17
S_S2_Cc_069_250	6.3.2.12
S_S2_Cc_069_251	1.4.1.4
S_S2_Cc_069_252	2.3.1.54
S_S2_Cc_069_253	2.1.3.15
S_S2_Cc_069_254	5.1.3.3
S_S2_Cc_069_255	5.1.3.3
S_S2_Cc_069_256	2.7.4.22
S_S2_Cc_069_257	1.2.1.12
S_S2_Cc_069_258	2.3.1.179
S_S2_Cc_069_259	2.7.14.1
S_S2_Cc_069_260	2.7.7.60
S_S2_Cc_069_261	2.7.7.60
S_S2_Cc_069_262	2.7.7.60
S_S2_Cc_069_263	2.7.7.60
S_S2_Cc_069_264	6.1.1.2
S_S2_Cc_069_265	2.7.1.4
S_S2_Cc_069_266	2.7.1.4
S_S2_Cc_069_267	2.1.1.228
S_S2_Cc_069_268	1.20.4.1
S_S2_Cc_069_269	2.4.1.1
S_S2_Cc_069_270	3.6.3.8
S_S2_Cc_069_271	4.2.1.46
S_S2_Cc_069_272	2.7.7.24
S_S2_Cc_069_273	6.3.4.15
S_S2_Cc_069_274	6.1.1.21
S_S2_Cc_069_275	1.1.1.85
S_S2_Cc_069_276	2.7.2.3
S_S2_Cc_069_277	6.3.4.4
S_S2_Cc_069_278	2.1.2.2
S_S2_Cc_069_279	3.5.1.42
S_S2_Cc_069_280	2.7.1.40
S_S2_Cc_069_281	2.7.1.40
S_S2_Cc_069_282	1.17.7.3
S_S2_Cc_069_283	1.17.7.1
S_S2_Cc_069_284	3.1.1.29
S_S2_Cc_069_285	6.1.1.7
S_S2_Cc_069_286	6.1.1.7
S_S2_Cc_069_287	2.1.1.182
S_S2_Cc_069_288	6.3.3.1
S_S2_Cc_069_289	2.4.2.14
S_S2_Cc_069_290	4.1.1.36
S_S2_Cc_069_291	6.3.2.5
S_S2_Cc_069_292	3.1.3.100
S_S2_Cc_069_293	3.5.1.53
S_S2_Cc_069_294	3.5.1.53
S_S2_Cc_069_295	2.7.4.8
S_S2_Cc_069_296	2.7.4.8
S_S2_Cc_069_297	2.3.1.180
S_S2_Cc_069_298	1.1.1.267
S_S2_Cc_069_299	2.7.7.3
S_S2_Cc_069_300	3.6.5.4
S_S2_Cc_069_301	6.1.1.11
S_S2_Cc_069_302	4.2.1.2
S_S2_Cc_069_303	4.2.1.2
S_S2_Cc_069_304	4.2.1.2
S_S2_Cc_069_305	4.3.3.7
S_S2_Cc_069_306	1.17.1.8
S_S2_Cc_069_307	6.1.1.3
S_S2_Cc_069_308	2.4.1.129
S_S2_Cc_069_309	1.1.1.94
S_S2_Cc_069_310	6.1.1.6
S_S2_Cc_069_311	6.1.1.6
S_S2_Cc_069_312	6.3.5.2
S_S2_Cc_069_313	2.6.1.42
S_S2_Cc_069_314	4.1.2.13
S_S2_Cc_069_315	4.1.1.20
S_S2_Cc_069_316	2.4.99.17
S_S2_Cc_069_317	1.1.1.95
S_S2_Cc_069_318	1.1.1.95
S_S2_Cc_069_319	1.1.1.95
S_S2_Cc_069_320	1.1.1.95
S_S2_Cc_069_321	1.1.1.95
S_S2_Cc_069_322	1.1.1.399
S_S2_Cc_069_323	1.1.1.399
S_S2_Cc_069_324	1.1.1.399
S_S2_Cc_069_325	1.1.1.399
S_S2_Cc_069_326	1.1.1.399
S_S2_Cc_069_327	6.1.1.22
S_S2_Cc_069_328	1.1.1.205
S_S2_Cc_069_329	4.2.1.10
S_S2_Cc_069_330	1.2.7.1
S_S2_Cc_069_331	2.5.1.54
S_S2_Cc_069_332	2.5.1.54
S_S2_Cc_069_333	2.7.7.2
S_S2_Cc_069_334	2.7.1.26
S_S2_Cc_069_335	5.4.99.25
S_S2_Cc_069_336	3.1.3.7
S_S2_Cc_069_337	3.1.13.3
S_S2_Cc_069_338	6.3.4.19
S_S2_Cc_069_339	2.3.1.8
S_S2_Cc_069_340	2.7.6.1
S_S2_Cc_069_341	2.7.6.1
S_S2_Cc_069_342	1.1.3.15
S_S2_Cc_069_343	3.5.4.26
S_S2_Cc_069_344	1.1.1.193
S_S2_Cc_069_345	4.1.1.81
S_S2_Cc_069_346	2.7.7.74
S_S2_Cc_069_347	2.6.1.9
S_S2_Cc_069_348	2.4.1.18
S_S2_Cc_069_349	2.4.1.18
S_S2_Cc_069_350	2.1.3.3
S_S2_Cc_069_351	2.7.3.9
S_S2_Cc_069_352	6.3.3.2
S_S2_Cc_069_353	6.1.1.14
S_S2_Cc_069_354	5.4.99.19
S_S2_Cc_069_355	3.6.3.21
S_S2_Cc_069_356	3.6.3.21
S_S2_Cc_069_357	3.6.3.21
S_S2_Cc_069_358	1.2.1.38
S_S2_Cc_069_359	2.1.1.193
S_S2_Cc_069_360	1.5.1.3
S_S2_Cc_069_361	2.7.1.50
S_S2_Cc_069_362	2.7.1.71
S_S2_Cc_069_363	2.7.1.71
S_S2_Cc_069_364	2.7.1.71
S_S2_Cc_069_365	2.7.1.71
S_S2_Cc_069_366	2.3.1.51
S_S2_Cc_069_367	3.1.26.3
S_S2_Cc_069_368	2.1.1.198
S_S2_Cc_069_369	3.2.2.28
S_S2_Cc_069_370	6.3.5.1
S_S2_Cc_069_371	2.7.7.87
S_S2_Cc_069_372	2.4.2.29
S_S2_Cc_069_373	2.1.1.33
S_S2_Cc_069_374	6.1.1.9
S_S2_Cc_069_375	5.4.2.12
S_S2_Cc_069_376	2.2.1.7
S_S2_Cc_069_377	2.3.1.28
S_S2_Cc_069_378	1.3.1.12
S_S2_Cc_069_379	3.5.4.12
S_S2_Cc_069_380	2.7.4.25
S_S2_Cc_069_381	2.7.4.25
S_S2_Cc_069_382	4.3.1.19
S_S2_Cc_069_383	4.3.1.19
S_S2_Cc_069_384	6.3.5.10
S_S2_Cc_069_385	2.7.8.26
S_S2_Cc_069_386	2.4.2.21
S_S2_Cc_069_387	6.3.1.10
S_S2_Cc_069_388	2.3.1.30
S_S2_Cc_069_389	1.2.1.41
S_S2_Cc_069_390	2.7.2.11
S_S2_Cc_069_391	2.2.1.1
S_S2_Cc_069_392	6.3.2.6
S_S2_Cc_069_393	4.2.99.18
S_S2_Cc_069_394	4.2.99.18
S_S2_Cc_069_395	6.3.4.5
S_S2_Cc_069_396	5.3.1.1
S_S2_Cc_069_397	5.3.1.1
S_S2_Cc_069_398	2.1.1.37
S_S2_Cc_069_399	2.1.1.37
S_S2_Cc_069_400	2.1.1.37
S_S2_Cc_069_401	2.1.1.37
S_S2_Cc_069_402	2.1.1.37
S_S2_Cc_069_403	4.3.2.2
S_S2_Cc_069_404	1.1.1.25
S_S2_Cc_069_405	1.17.4.1
S_S2_Cc_069_406	1.17.4.1
S_S2_Cc_069_407	2.7.2.4
S_S2_Cc_069_408	1.1.1.3
S_S2_Cc_069_409	1.1.1.3
S_S2_Cc_069_410	2.1.1.13
S_S2_Cc_069_411	2.1.1.13
S_S2_Cc_069_412	3.4.11.4
S_S2_Cc_069_413	3.4.11.4
S_S2_Cc_069_414	2.7.7.8
S_S2_Cc_069_415	2.4.2.8
S_S2_Cc_069_416	2.3.1.183
S_S2_Cc_069_417	4.2.1.59
S_S2_Cc_069_418	6.1.1.17
S_S2_Cc_069_419	4.2.3.5
S_S2_Cc_069_420	2.5.1.7
S_S2_Cc_069_421	2.5.1.7
S_S2_Cc_069_422	2.7.9.1
S_S2_Cc_069_423	5.3.1.9
S_S2_Cc_069_424	1.5.1.2
S_S2_Cc_069_425	3.1.5.1
S_S2_Cc_069_426	5.4.99.12
S_S2_Cc_069_427	5.4.99.12
S_S2_Cc_069_428	2.7.7.18
S_S2_Cc_069_429	2.7.7.18
S_S2_Cc_069_430	6.3.3.3
S_S2_Cc_069_431	1.1.1.169
S_S2_Cc_069_432	1.1.1.169
S_S2_Cc_069_433	1.1.1.169
S_S2_Cc_069_434	1.1.1.169
S_S2_Cc_069_435	6.3.4.3
S_S2_Cc_069_436	6.3.4.13
S_S2_Cc_069_437	5.3.1.28
S_S2_Cc_069_438	6.1.1.18
S_S2_Cc_069_439	4.1.99.12
S_S2_Cc_069_440	3.5.4.25
S_S2_Cc_069_441	2.5.1.78
S_S2_Cc_069_442	2.1.1.192
S_S2_Cc_069_443	2.1.1.192
S_S2_Cc_069_444	2.1.1.192
S_S2_Cc_069_445	3.2.2.20
S_S2_Cc_069_446	2.6.1.62
S_S2_Cc_069_447	2.8.1.6
S_S2_Cc_069_448	2.1.1.190
S_S2_Cc_069_449	2.1.1.190
S_S2_Cc_069_450	2.1.1.190
S_S2_Cc_069_451	2.1.1.190
S_S2_Cc_069_452	2.5.1.9
S_S2_Cc_069_453	6.1.1.15
S_S2_Cc_069_454	2.1.1.297
S_S2_Cc_069_455	5.1.1.7
S_S2_Cc_069_456	4.3.2.1
S_S2_Cc_069_457	2.4.1.25
S_S2_Cc_069_458	3.1.21.2
S_S2_Cc_069_459	2.8.4.3
S_S2_Cc_069_460	2.8.4.4
S_S2_Cc_069_461	6.1.1.16
S_S2_Cc_069_462	3.4.21.102
S_S2_Cc_069_463	2.6.1.17
S_S2_Cc_069_464	2.6.1.11
S_S2_Cc_069_465	2.7.7.41
S_S2_Cc_069_466	2.7.7.19
S_S2_Cc_069_467	2.1.1.107
S_S2_Cc_069_468	2.7.8.5
S_S2_Cc_069_469	6.5.1.2
S_S2_Cc_069_470	4.2.1.51
S_S2_Cc_069_471	2.1.1.207
S_S2_Cc_069_472	2.5.1.19
S_S2_Cc_069_473	4.1.2.48
S_S2_Cc_069_474	1.1.1.86
S_S2_Cc_069_475	2.6.1.1
S_S2_Cc_069_476	2.6.1.1
S_S2_Cc_069_477	2.5.1.31
S_S2_Cc_069_478	2.7.1.148
S_S2_Cc_069_479	2.7.2.8
S_S2_Cc_069_480	3.5.4.10
S_S2_Cc_069_481	2.1.2.3
S_S2_Cc_069_482	2.7.8.7
S_S2_Cc_069_483	6.1.1.19
S_S2_Cc_069_484	4.99.1.12
S_S2_Cc_069_485	3.6.1.13
S_S2_Cc_069_486	3.6.1.13
S_S2_Cc_069_487	5.4.99.5
S_S2_Cc_069_488	5.4.99.5
S_S2_Cc_069_489	5.99.1.2
S_S2_Cc_069_490	5.99.1.2
S_S2_Cc_069_491	5.99.1.2
S_S2_Cc_069_492	5.99.1.2
S_S2_Cc_069_493	5.99.1.2
S_S2_Cc_069_494	1.5.1.5
S_S2_Cc_069_495	2.1.1.185
S_S2_Cc_069_496	6.1.1.4
S_S2_Cc_069_497	2.5.1.6
S_S2_Cc_069_498	3.4.21.92
S_S2_Cc_069_499	3.4.21.92
S_S2_Cc_069_500	2.3.1.234
S_S2_Cc_069_501	2.5.1.75
S_S2_Cc_069_502	4.99.1.3
S_S2_Cc_069_503	4.1.1.96
S_S2_Cc_069_504	4.1.1.19
S_S2_Cc_069_505	4.1.1.19
S_S2_Cc_069_506	2.7.1.156
S_S2_Cc_069_507	2.7.7.62
S_S2_Cc_069_508	2.4.1.227
S_S2_Cc_069_509	6.3.2.9
S_S2_Cc_069_510	2.7.8.13
S_S2_Cc_069_511	6.3.2.10
S_S2_Cc_069_512	6.3.2.13
S_S2_Cc_069_513	2.1.1.199
S_S2_Cc_069_514	2.1.1.199
S_S2_Cc_069_515	2.8.1.13
S_S2_Cc_069_516	1.1.1.100
S_S2_Cc_069_517	1.1.1.100
S_S2_Cc_069_518	1.1.1.100
S_S2_Cc_069_519	5.1.3.1
S_S2_Cc_069_520	5.1.3.1
S_S2_Cc_069_521	3.5.4.9
S_S2_Cc_069_522	6.3.4.2
S_S2_Cc_069_523	5.4.2.2
S_S2_Cc_069_524	1.5.1.7
S_S2_Cc_069_525	6.1.1.1
S_S2_Cc_069_526	3.4.21.116
S_S2_Cc_069_527	3.5.3.12
S_S2_Cc_069_528	5.4.99.18
S_S2_Cc_069_529	2.1.3.2
S_S2_Cc_069_530	1.3.1.9
S_S2_Cc_069_531	1.17.7.4
S_S2_Cc_069_532	1.17.7.4
S_S2_Cc_069_533	4.2.1.9
S_S2_Cc_069_534	4.2.1.9
S_S2_Cc_069_535	4.2.1.9
S_S2_Cc_069_536	3.4.11.9
S_S2_Cc_069_537	3.5.4.33
S_S2_Cc_069_538	3.5.4.33
S_S2_Cc_069_539	4.2.1.75
S_S2_Cc_069_540	3.6.3.17
S_S2_Cc_069_541	3.6.3.17
S_S2_Cc_069_542	3.6.3.17
S_S2_Cc_069_543	3.6.3.17
S_S2_Cc_069_544	3.6.3.17
S_S2_Cc_069_545	3.6.3.17
S_S2_Cc_069_546	3.6.3.17
S_S2_Cc_069_547	2.7.1.15
S_S2_Cc_069_548	2.7.1.15
S_S2_Cc_069_549	2.4.2.3
S_S2_Cc_069_550	4.4.1.5
S_S2_Cc_069_551	4.4.1.5
S_S2_Cc_069_552	1.2.5.3
S_S2_Cc_069_553	2.4.2.1
S_S2_Cc_069_554	2.4.2.1
S_S2_Cc_069_555	4.1.2.4
S_S2_Cc_069_556	3.4.22.70
S_S2_Cc_069_557	3.4.22.70
S_S2_Cc_069_558	3.5.4.40
S_S2_Cc_069_559	2.7.6.5
