S_NS6_Ca_028_228	3.6.5.4
S_NS6_Ca_028_229	6.1.1.11
S_NS6_Ca_028_230	4.3.3.7
S_NS6_Ca_028_231	1.17.1.8
S_NS6_Ca_028_232	6.1.1.3
S_NS6_Ca_028_233	2.4.1.129
S_NS6_Ca_028_234	1.1.1.94
S_NS6_Ca_028_235	6.1.1.6
S_NS6_Ca_028_236	6.3.5.2
S_NS6_Ca_028_237	6.3.5.2
S_NS6_Ca_028_238	2.6.1.42
S_NS6_Ca_028_239	4.1.2.13
S_NS6_Ca_028_240	4.1.2.13
S_NS6_Ca_028_241	4.1.1.20
S_NS6_Ca_028_242	2.4.99.17
S_NS6_Ca_028_243	1.1.1.95
S_NS6_Ca_028_244	1.1.1.399
S_NS6_Ca_028_245	6.1.1.22
S_NS6_Ca_028_246	1.1.1.205
S_NS6_Ca_028_247	4.2.1.10
S_NS6_Ca_028_248	1.2.7.1
S_NS6_Ca_028_249	1.2.7.1
S_NS6_Ca_028_250	2.5.1.54
S_NS6_Ca_028_251	2.5.1.54
S_NS6_Ca_028_252	2.7.7.2
S_NS6_Ca_028_253	2.7.1.26
S_NS6_Ca_028_254	5.4.99.25
S_NS6_Ca_028_255	3.1.3.7
S_NS6_Ca_028_256	3.1.13.3
S_NS6_Ca_028_257	3.1.22.4
S_NS6_Ca_028_258	6.3.4.19
S_NS6_Ca_028_259	2.3.1.8
S_NS6_Ca_028_260	4.2.1.19
S_NS6_Ca_028_261	2.7.6.1
S_NS6_Ca_028_262	2.6.1.9
S_NS6_Ca_028_263	2.4.1.18
S_NS6_Ca_028_264	2.1.3.3
S_NS6_Ca_028_265	2.1.3.3
S_NS6_Ca_028_266	2.7.3.9
S_NS6_Ca_028_267	6.3.3.2
S_NS6_Ca_028_268	6.1.1.14
S_NS6_Ca_028_269	6.1.1.14
S_NS6_Ca_028_270	1.1.1.22
S_NS6_Ca_028_271	3.6.3.21
S_NS6_Ca_028_272	3.6.3.21
S_NS6_Ca_028_273	1.2.1.38
S_NS6_Ca_028_274	2.3.1.35
S_NS6_Ca_028_275	5.3.1.16
S_NS6_Ca_028_276	1.5.1.3
S_NS6_Ca_028_277	2.7.1.50
S_NS6_Ca_028_278	2.7.1.71
S_NS6_Ca_028_279	2.3.1.51
S_NS6_Ca_028_280	3.1.26.3
S_NS6_Ca_028_281	2.1.1.198
S_NS6_Ca_028_282	3.5.4.19
S_NS6_Ca_028_283	6.3.5.1
S_NS6_Ca_028_284	6.3.5.1
S_NS6_Ca_028_285	1.1.1.23
S_NS6_Ca_028_286	2.7.7.87
S_NS6_Ca_028_287	2.4.2.29
S_NS6_Ca_028_288	2.1.1.33
S_NS6_Ca_028_289	6.1.1.9
S_NS6_Ca_028_290	5.4.2.12
S_NS6_Ca_028_291	5.4.2.12
S_NS6_Ca_028_292	2.2.1.7
S_NS6_Ca_028_293	1.3.1.12
S_NS6_Ca_028_294	3.5.4.12
S_NS6_Ca_028_295	2.7.4.25
S_NS6_Ca_028_296	2.3.1.30
S_NS6_Ca_028_297	2.3.1.30
S_NS6_Ca_028_298	1.2.1.41
S_NS6_Ca_028_299	2.7.2.11
S_NS6_Ca_028_300	2.2.1.1
S_NS6_Ca_028_301	2.2.1.1
S_NS6_Ca_028_302	6.3.2.6
S_NS6_Ca_028_303	4.2.99.18
S_NS6_Ca_028_304	6.3.4.5
S_NS6_Ca_028_305	5.3.1.1
S_NS6_Ca_028_306	3.1.13.5
S_NS6_Ca_028_307	2.1.1.37
S_NS6_Ca_028_308	4.3.2.2
S_NS6_Ca_028_309	1.17.4.1
S_NS6_Ca_028_310	2.7.2.4
S_NS6_Ca_028_311	1.1.1.3
S_NS6_Ca_028_312	2.1.1.13
S_NS6_Ca_028_313	2.1.1.13
S_NS6_Ca_028_314	3.4.11.4
S_NS6_Ca_028_315	2.7.7.8
S_NS6_Ca_028_316	2.4.2.8
S_NS6_Ca_028_317	2.3.1.183
S_NS6_Ca_028_318	2.7.4.9
S_NS6_Ca_028_319	1.1.1.1
S_NS6_Ca_028_320	1.1.1.1
S_NS6_Ca_028_321	6.1.1.17
S_NS6_Ca_028_322	6.1.1.17
S_NS6_Ca_028_323	4.2.3.5
S_NS6_Ca_028_324	2.5.1.7
S_NS6_Ca_028_325	2.7.9.1
S_NS6_Ca_028_326	5.3.1.9
S_NS6_Ca_028_327	1.5.1.2
S_NS6_Ca_028_328	3.1.5.1
S_NS6_Ca_028_329	5.4.99.12
S_NS6_Ca_028_330	2.7.7.18
S_NS6_Ca_028_331	2.7.7.56
S_NS6_Ca_028_332	1.1.1.169
S_NS6_Ca_028_333	6.3.4.3
S_NS6_Ca_028_334	6.3.4.13
S_NS6_Ca_028_335	2.1.1.192
S_NS6_Ca_028_336	2.1.1.190
S_NS6_Ca_028_337	6.1.1.15
S_NS6_Ca_028_338	2.1.1.297
S_NS6_Ca_028_339	4.3.2.1
S_NS6_Ca_028_340	2.4.1.25
S_NS6_Ca_028_341	2.4.1.25
S_NS6_Ca_028_342	3.1.21.2
S_NS6_Ca_028_343	2.8.4.3
S_NS6_Ca_028_344	2.8.4.4
S_NS6_Ca_028_345	6.1.1.16
S_NS6_Ca_028_346	2.6.1.17
S_NS6_Ca_028_347	2.6.1.11
S_NS6_Ca_028_348	2.7.7.41
S_NS6_Ca_028_349	2.6.1.66
S_NS6_Ca_028_350	2.7.8.5
S_NS6_Ca_028_351	6.5.1.2
S_NS6_Ca_028_352	4.2.1.51
S_NS6_Ca_028_353	2.3.3.1
S_NS6_Ca_028_354	2.1.1.207
S_NS6_Ca_028_355	2.5.1.19
S_NS6_Ca_028_356	4.1.2.48
S_NS6_Ca_028_357	2.6.1.1
S_NS6_Ca_028_358	2.6.1.1
S_NS6_Ca_028_359	2.6.1.1
S_NS6_Ca_028_360	2.5.1.31
S_NS6_Ca_028_361	2.7.1.148
S_NS6_Ca_028_362	2.7.2.8
S_NS6_Ca_028_363	3.5.4.10
S_NS6_Ca_028_364	2.1.2.3
S_NS6_Ca_028_365	2.7.8.7
S_NS6_Ca_028_366	6.1.1.19
S_NS6_Ca_028_367	4.99.1.12
S_NS6_Ca_028_368	4.99.1.12
S_NS6_Ca_028_369	3.6.1.13
S_NS6_Ca_028_370	5.4.99.5
S_NS6_Ca_028_371	5.99.1.2
S_NS6_Ca_028_372	1.5.1.5
S_NS6_Ca_028_373	2.1.1.185
S_NS6_Ca_028_374	6.1.1.4
S_NS6_Ca_028_375	2.5.1.6
S_NS6_Ca_028_376	3.4.21.92
S_NS6_Ca_028_377	2.3.1.234
S_NS6_Ca_028_378	2.5.1.75
S_NS6_Ca_028_379	2.4.1.227
S_NS6_Ca_028_380	6.3.2.9
S_NS6_Ca_028_381	2.7.8.13
S_NS6_Ca_028_382	6.3.2.10
S_NS6_Ca_028_383	6.3.2.13
S_NS6_Ca_028_384	2.1.1.199
S_NS6_Ca_028_385	2.8.1.13
S_NS6_Ca_028_386	1.1.1.100
S_NS6_Ca_028_387	1.4.3.16
S_NS6_Ca_028_388	1.4.3.16
S_NS6_Ca_028_389	5.1.3.1
S_NS6_Ca_028_390	3.5.4.9
S_NS6_Ca_028_391	6.3.4.2
S_NS6_Ca_028_392	5.4.2.2
S_NS6_Ca_028_393	6.1.1.1
S_NS6_Ca_028_394	3.5.3.12
S_NS6_Ca_028_395	3.5.3.12
S_NS6_Ca_028_396	5.4.99.18
S_NS6_Ca_028_397	2.4.2.9
S_NS6_Ca_028_398	2.4.2.9
S_NS6_Ca_028_399	2.1.3.2
S_NS6_Ca_028_400	3.5.4.16
S_NS6_Ca_028_401	1.17.7.4
S_NS6_Ca_028_402	2.4.2.17
S_NS6_Ca_028_403	3.4.11.9
S_NS6_Ca_028_404	3.6.3.17
S_NS6_Ca_028_405	3.2.1.86
S_NS6_Ca_028_406	3.2.1.86
S_NS6_Ca_028_407	2.8.2.22
S_NS6_Ca_028_408	2.8.2.22
S_NS6_Ca_028_409	2.7.1.15
S_NS6_Ca_028_410	2.4.2.1
S_NS6_Ca_028_411	3.4.22.70
S_NS6_Ca_028_412	3.2.2.1
S_NS6_Ca_028_413	2.7.6.5
S_NS6_Ca_028_414	3.5.1.18
S_NS6_Ca_028_415	3.5.1.18
S_NS6_Ca_028_416	3.5.1.18
S_NS6_Ca_028_417	3.5.1.18
S_NS6_Ca_028_418	2.7.1.17
S_NS6_Ca_028_419	3.4.13.9
S_NS6_Ca_028_420	1.3.1.14
S_NS6_Ca_028_421	5.1.3.13
S_NS6_Ca_028_422	2.7.1.211
S_NS6_Ca_028_423	2.6.1.16
S_NS6_Ca_028_424	3.6.3.3
S_NS6_Ca_028_425	3.6.3.3
S_NS6_Ca_028_426	3.6.3.5
S_NS6_Ca_028_427	3.6.3.5
S_NS6_Ca_028_428	2.7.1.30
S_NS6_Ca_028_429	5.4.2.10
S_NS6_Ca_028_430	5.4.2.10
S_NS6_Ca_028_431	5.4.99.9
S_NS6_Ca_028_432	5.4.99.9
S_NS6_Ca_028_433	5.4.99.9
S_NS6_Ca_028_434	3.6.3.40
S_NS6_Ca_028_435	3.5.4.2
S_NS6_Ca_028_436	5.3.1.6
S_NS6_Ca_028_437	3.2.1.26
S_NS6_Ca_028_438	2.7.1.24
S_NS6_Ca_028_439	2.5.1.17
S_NS6_Ca_028_440	1.1.1.27
S_NS6_Ca_028_441	1.1.1.27
S_NS6_Ca_028_442	1.2.1.10
S_NS6_Ca_028_443	2.7.2.2
S_NS6_Ca_028_444	2.7.8.41
S_NS6_Ca_028_445	4.2.1.126
S_NS6_Ca_028_446	2.6.1.83
S_NS6_Ca_028_447	2.7.7.27
S_NS6_Ca_028_448	2.7.7.27
S_NS6_Ca_028_449	1.3.1.31
S_NS6_Ca_028_450	1.15.1.2
S_NS6_Ca_028_451	2.7.1.199
S_NS6_Ca_028_452	2.10.1.1
S_NS6_Ca_028_453	6.3.2.8
S_NS6_Ca_028_454	6.3.4.21
S_NS6_Ca_028_455	2.7.1.208
S_NS6_Ca_028_456	2.7.7.85
S_NS6_Ca_028_457	2.7.1.205
S_NS6_Ca_028_458	2.7.1.205
S_NS6_Ca_028_459	2.7.1.205
S_NS6_Ca_028_460	2.7.1.205
S_NS6_Ca_028_461	2.7.1.205
S_NS6_Ca_028_462	2.7.1.205
S_NS6_Ca_028_463	2.4.2.22
S_NS6_Ca_028_464	2.7.9.3
S_NS6_Ca_028_465	2.7.1.196
S_NS6_Ca_028_466	2.7.1.196
S_NS6_Ca_028_467	2.7.1.196
S_NS6_Ca_028_468	2.7.1.196
S_NS6_Ca_028_469	2.7.1.196
S_NS6_Ca_028_470	2.7.1.196
S_NS6_Ca_028_471	2.9.1.1
S_NS6_Ca_028_472	3.6.3.29
S_NS6_Ca_028_473	4.1.99.22
S_NS6_Ca_028_474	4.6.1.17
S_NS6_Ca_028_475	2.7.1.191
S_NS6_Ca_028_476	3.6.1.23
S_NS6_Ca_028_477	2.7.1.218
S_NS6_Ca_028_478	1.19.1.1
S_NS6_Ca_028_479	1.19.1.1
S_NS6_Ca_028_480	1.18.1.2
S_NS6_Ca_028_481	1.18.1.2
S_NS6_Ca_028_482	1.3.1.98
S_NS6_Ca_028_483	1.3.1.98
S_NS6_Ca_028_484	4.4.1.21
S_NS6_Ca_028_485	1.1.5.3
S_NS6_Ca_028_486	3.2.2.9
S_NS6_Ca_028_487	5.1.1.13
S_NS6_Ca_028_488	2.2.1.2
S_NS6_Ca_028_489	3.5.1.24
S_NS6_Ca_028_490	1.1.1.77
S_NS6_Ca_028_491	4.2.1.53
S_NS6_Ca_028_492	3.5.1.1
S_NS6_Ca_028_493	1.1.1.6
S_NS6_Ca_028_494	1.1.1.6
S_NS6_Ca_028_495	1.1.1.6
S_NS6_Ca_028_496	2.8.1.4
S_NS6_Ca_028_497	2.8.4.5
S_NS6_Ca_028_498	4.1.1.49
S_NS6_Ca_028_499	6.3.5.4
S_NS6_Ca_028_500	4.2.3.1
S_NS6_Ca_028_501	3.4.21.88
S_NS6_Ca_028_502	1.1.1.31
S_NS6_Ca_028_503	3.6.1.31
S_NS6_Ca_028_504	3.6.1.31
S_NS6_Ca_028_505	2.4.1.315
S_NS6_Ca_028_506	3.1.3.11
S_NS6_Ca_028_507	2.6.1.52
S_NS6_Ca_028_508	5.1.3.9
S_NS6_Ca_028_509	5.1.1.3
S_NS6_Ca_028_510	2.1.1.171
S_NS6_Ca_028_511	2.7.6.2
S_NS6_Ca_028_512	3.4.17.19
S_NS6_Ca_028_513	2.7.7.12
S_NS6_Ca_028_514	2.7.7.12
S_NS6_Ca_028_515	2.4.1.21
S_NS6_Ca_028_516	3.4.11.21
S_NS6_Ca_028_517	2.7.7.72
S_NS6_Ca_028_518	3.4.13.19
S_NS6_Ca_028_519	2.3.1.46
S_NS6_Ca_028_520	2.7.1.56
S_NS6_Ca_028_521	2.7.1.56
S_NS6_Ca_028_522	1.2.1.3
S_NS6_Ca_028_523	2.1.1.170
S_NS6_Ca_028_524	3.6.1.7
S_NS6_Ca_028_525	2.7.2.1
S_NS6_Ca_028_526	2.7.2.1
S_NS6_Ca_028_527	2.7.1.207
S_NS6_Ca_028_528	2.7.1.207
S_NS6_Ca_028_529	2.7.1.207
S_NS6_Ca_028_530	3.5.1.5
S_NS6_Ca_028_531	3.5.1.5
S_NS6_Ca_028_532	3.5.1.5
S_NS6_Ca_028_533	2.7.1.200
S_NS6_Ca_028_534	2.7.1.200
S_NS6_Ca_028_535	4.3.3.6
S_NS6_Ca_028_536	4.3.3.6
S_NS6_Ca_028_537	5.3.1.26
S_NS6_Ca_028_538	5.3.1.26
S_NS6_Ca_028_539	2.7.1.144
S_NS6_Ca_028_540	2.7.1.144
S_NS6_Ca_028_541	3.5.3.6
S_NS6_Ca_028_542	3.5.3.6
S_NS6_Ca_028_543	3.1.1.41
S_NS6_Ca_028_544	3.1.1.41
S_NS6_Ca_028_545	2.7.4.28
S_NS6_Ca_028_546	2.7.11.33
S_NS6_Ca_028_547	1.3.1.34
S_NS6_Ca_028_548	2.7.7.23
S_NS6_Ca_028_549	2.3.1.157
S_NS6_Ca_028_550	2.1.1.74
S_NS6_Ca_028_551	1.8.5.5
S_NS6_Ca_028_552	3.4.23.51
S_NS6_Ca_028_553	1.17.99.7
S_NS6_Ca_028_554	1.17.1.9
S_NS6_Ca_028_555	2.7.1.107
S_NS6_Ca_028_556	4.1.2.22
S_NS6_Ca_028_557	4.1.2.9
S_NS6_Ca_028_558	5.4.2.11
S_NS6_Ca_028_559	4.1.1.31
S_NS6_Ca_028_560	2.5.1.16
S_NS6_Ca_028_561	1.2.1.27
S_NS6_Ca_028_562	1.2.1.18
S_NS6_Ca_028_563	2.6.1.2
S_NS6_Ca_028_564	2.7.8.35
S_NS6_Ca_028_565	2.7.8.33
S_NS6_Ca_028_566	3.2.1.58
S_NS6_Ca_028_567	3.5.3.18
S_NS6_Ca_028_568	1.3.7.1
S_NS6_Ca_028_569	2.7.1.39
S_NS6_Ca_028_570	4.6.1.13
S_NS6_Ca_028_571	3.6.3.4
S_NS6_Ca_028_572	2.1.1.64
S_NS6_Ca_028_573	2.1.1.222
S_NS6_Ca_028_574	1.1.1.41
S_NS6_Ca_028_575	2.3.1.117
S_NS6_Ca_028_576	5.1.99.8
S_NS6_Ca_028_577	4.1.2.25
S_NS6_Ca_028_578	1.13.11.81
S_NS6_Ca_028_579	6.3.1.12
S_NS6_Ca_028_580	4.1.2.40
S_NS6_Ca_028_581	2.1.1.303
S_NS6_Ca_028_582	2.1.1.187
S_NS6_Ca_028_583	2.1.1.242
S_NS6_Ca_028_584	2.1.3.6
S_NS6_Ca_028_585	1.1.1.157
S_NS6_Ca_028_586	2.3.1.81
S_NS6_Ca_028_587	5.3.3.2
S_NS6_Ca_028_588	2.1.1.173
S_NS6_Ca_028_589	2.1.1.264
