S_S5_Ca_088_v1v9_260	EC:2.7.1.71
S_S5_Ca_088_v1v9_261	EC:2.3.1.51
S_S5_Ca_088_v1v9_262	EC:3.1.26.3
S_S5_Ca_088_v1v9_263	EC:2.1.1.198
S_S5_Ca_088_v1v9_264	EC:3.5.4.19
S_S5_Ca_088_v1v9_265	EC:6.3.5.1
S_S5_Ca_088_v1v9_266	EC:6.3.5.1
S_S5_Ca_088_v1v9_267	EC:1.1.1.23
S_S5_Ca_088_v1v9_268	EC:2.7.7.87
S_S5_Ca_088_v1v9_269	EC:2.4.2.29
S_S5_Ca_088_v1v9_270	EC:2.1.1.33
S_S5_Ca_088_v1v9_271	EC:6.1.1.9
S_S5_Ca_088_v1v9_272	EC:5.4.2.12
S_S5_Ca_088_v1v9_273	EC:5.4.2.12
S_S5_Ca_088_v1v9_274	EC:2.2.1.7
S_S5_Ca_088_v1v9_275	EC:1.3.1.12
S_S5_Ca_088_v1v9_276	EC:3.5.4.12
S_S5_Ca_088_v1v9_277	EC:2.7.4.25
S_S5_Ca_088_v1v9_278	EC:2.3.1.30
S_S5_Ca_088_v1v9_279	EC:1.2.1.41
S_S5_Ca_088_v1v9_280	EC:2.7.2.11
S_S5_Ca_088_v1v9_281	EC:2.2.1.1
S_S5_Ca_088_v1v9_282	EC:2.2.1.1
S_S5_Ca_088_v1v9_283	EC:6.3.2.6
S_S5_Ca_088_v1v9_284	EC:4.2.99.18
S_S5_Ca_088_v1v9_285	EC:6.3.4.5
S_S5_Ca_088_v1v9_286	EC:5.3.1.1
S_S5_Ca_088_v1v9_287	EC:3.1.13.5
S_S5_Ca_088_v1v9_288	EC:2.1.1.37
S_S5_Ca_088_v1v9_289	EC:4.3.2.2
S_S5_Ca_088_v1v9_290	EC:1.17.4.1
S_S5_Ca_088_v1v9_291	EC:2.7.2.4
S_S5_Ca_088_v1v9_292	EC:1.1.1.3
S_S5_Ca_088_v1v9_293	EC:2.1.1.13
S_S5_Ca_088_v1v9_294	EC:2.1.1.13
S_S5_Ca_088_v1v9_295	EC:3.4.11.4
S_S5_Ca_088_v1v9_296	EC:2.7.7.8
S_S5_Ca_088_v1v9_297	EC:2.4.2.8
S_S5_Ca_088_v1v9_298	EC:2.3.1.183
S_S5_Ca_088_v1v9_299	EC:2.7.4.9
S_S5_Ca_088_v1v9_300	EC:1.1.1.1
S_S5_Ca_088_v1v9_301	EC:1.1.1.1
S_S5_Ca_088_v1v9_302	EC:6.1.1.17
S_S5_Ca_088_v1v9_303	EC:6.1.1.17
S_S5_Ca_088_v1v9_304	EC:4.2.3.5
S_S5_Ca_088_v1v9_305	EC:2.5.1.7
S_S5_Ca_088_v1v9_306	EC:2.7.9.1
S_S5_Ca_088_v1v9_307	EC:5.3.1.9
S_S5_Ca_088_v1v9_308	EC:1.5.1.2
S_S5_Ca_088_v1v9_309	EC:3.1.5.1
S_S5_Ca_088_v1v9_310	EC:5.4.99.12
S_S5_Ca_088_v1v9_311	EC:2.7.7.18
S_S5_Ca_088_v1v9_312	EC:2.7.7.56
S_S5_Ca_088_v1v9_313	EC:1.1.1.169
S_S5_Ca_088_v1v9_314	EC:6.3.4.3
S_S5_Ca_088_v1v9_315	EC:6.3.4.13
S_S5_Ca_088_v1v9_316	EC:2.1.1.192
S_S5_Ca_088_v1v9_317	EC:2.1.1.190
S_S5_Ca_088_v1v9_318	EC:6.1.1.15
S_S5_Ca_088_v1v9_319	EC:2.1.1.297
S_S5_Ca_088_v1v9_320	EC:4.3.2.1
S_S5_Ca_088_v1v9_321	EC:2.4.1.25
S_S5_Ca_088_v1v9_322	EC:2.4.1.25
S_S5_Ca_088_v1v9_323	EC:3.1.21.2
