S_NS6_Pm_056_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Pm_056_v1v9_227	RXN-14283
S_NS6_Pm_056_v1v9_227	RXN-14282
S_NS6_Pm_056_v1v9_227	RXN-14350
S_NS6_Pm_056_v1v9_227	RXN-15910
S_NS6_Pm_056_v1v9_227	RXN0-5183
S_NS6_Pm_056_v1v9_227	RXN-14349
S_NS6_Pm_056_v1v9_227	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_v1v9_227	RXN-14281
S_NS6_Pm_056_v1v9_227	RXN-2141
S_NS6_Pm_056_v1v9_228	RXN-14283
S_NS6_Pm_056_v1v9_228	RXN-14282
S_NS6_Pm_056_v1v9_228	RXN-14350
S_NS6_Pm_056_v1v9_228	RXN-15910
S_NS6_Pm_056_v1v9_228	RXN0-5183
S_NS6_Pm_056_v1v9_228	RXN-14349
S_NS6_Pm_056_v1v9_228	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_v1v9_228	RXN-14281
S_NS6_Pm_056_v1v9_228	RXN-2141
S_NS6_Pm_056_v1v9_229	RXN-14283
S_NS6_Pm_056_v1v9_229	RXN-14282
S_NS6_Pm_056_v1v9_229	RXN-14350
S_NS6_Pm_056_v1v9_229	RXN-15910
S_NS6_Pm_056_v1v9_229	RXN0-5183
S_NS6_Pm_056_v1v9_229	RXN-14349
S_NS6_Pm_056_v1v9_229	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_v1v9_229	RXN-14281
S_NS6_Pm_056_v1v9_229	RXN-2141
S_NS6_Pm_056_v1v9_230	RXN-14283
S_NS6_Pm_056_v1v9_230	RXN-14282
S_NS6_Pm_056_v1v9_230	RXN-14350
S_NS6_Pm_056_v1v9_230	RXN-15910
S_NS6_Pm_056_v1v9_230	RXN0-5183
S_NS6_Pm_056_v1v9_230	RXN-14349
S_NS6_Pm_056_v1v9_230	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_v1v9_230	RXN-14281
S_NS6_Pm_056_v1v9_230	RXN-2141
S_NS6_Pm_056_v1v9_231	RXN-11836
S_NS6_Pm_056_v1v9_232	2.7.1.90-RXN
S_NS6_Pm_056_v1v9_233	2.7.1.90-RXN
S_NS6_Pm_056_v1v9_234	ACETOLACTSYN-RXN
S_NS6_Pm_056_v1v9_234	ACETOOHBUTSYN-RXN
S_NS6_Pm_056_v1v9_235	ACETOLACTSYN-RXN
S_NS6_Pm_056_v1v9_235	ACETOOHBUTSYN-RXN
S_NS6_Pm_056_v1v9_236	IGPSYN-RXN
S_NS6_Pm_056_v1v9_237	ALARACECAT-RXN
