S_S2_Cc_069_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_v1v9_231	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Cc_069_v1v9_232	1.11.1.15-RXN
S_S2_Cc_069_v1v9_232	RXN0-5468
S_S2_Cc_069_v1v9_233	PPPGPPHYDRO-RXN
S_S2_Cc_069_v1v9_234	3.4.23.36-RXN
S_S2_Cc_069_v1v9_235	3.4.23.36-RXN
S_S2_Cc_069_v1v9_236	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_237	PANTOTHENATE-KIN-RXN
S_S2_Cc_069_v1v9_238	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_239	GALACTOKIN-RXN
S_S2_Cc_069_v1v9_240	3.1.11.2-RXN
S_S2_Cc_069_v1v9_241	NAG6PDEACET-RXN
S_S2_Cc_069_v1v9_241	3.5.1.80-RXN
S_S2_Cc_069_v1v9_243	POLYPHOSPHATE-KINASE-RXN
S_S2_Cc_069_v1v9_244	EXOPOLYPHOSPHATASE-RXN
S_S2_Cc_069_v1v9_245	3.4.11.18-RXN
S_S2_Cc_069_v1v9_246	3.4.11.18-RXN
S_S2_Cc_069_v1v9_247	NAD-KIN-RXN
S_S2_Cc_069_v1v9_248	RXN-14025
S_S2_Cc_069_v1v9_248	RXN-14026
S_S2_Cc_069_v1v9_248	RXN-7607
S_S2_Cc_069_v1v9_248	RXN-7609
S_S2_Cc_069_v1v9_248	AMP-DEPHOSPHORYLATION-RXN
S_S2_Cc_069_v1v9_248	5-NUCLEOTID-RXN
S_S2_Cc_069_v1v9_248	RXN-14227
S_S2_Cc_069_v1v9_248	RXN-5841
S_S2_Cc_069_v1v9_248	XMPXAN-RXN
S_S2_Cc_069_v1v9_249	RXN0-2921
S_S2_Cc_069_v1v9_249	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Cc_069_v1v9_249	FORMYLTHFGLUSYNTH-RXN
S_S2_Cc_069_v1v9_250	DIHYDROFOLATESYNTH-RXN
S_S2_Cc_069_v1v9_251	GLUTDEHYD-RXN
S_S2_Cc_069_v1v9_252	PYRUVFORMLY-RXN
S_S2_Cc_069_v1v9_254	ALDOSE1EPIM-RXN
S_S2_Cc_069_v1v9_254	ALDOSE-1-EPIMERASE-RXN
S_S2_Cc_069_v1v9_255	ALDOSE1EPIM-RXN
S_S2_Cc_069_v1v9_255	ALDOSE-1-EPIMERASE-RXN
S_S2_Cc_069_v1v9_256	RXN-12002
S_S2_Cc_069_v1v9_257	GAPOXNPHOSPHN-RXN
S_S2_Cc_069_v1v9_258	RXN1G-94
S_S2_Cc_069_v1v9_258	RXN1G-1015
S_S2_Cc_069_v1v9_258	RXN1G-202
S_S2_Cc_069_v1v9_258	RXN1G-883
S_S2_Cc_069_v1v9_258	RXN1G-660
S_S2_Cc_069_v1v9_258	RXN1G-374
S_S2_Cc_069_v1v9_258	RXN1G-334
S_S2_Cc_069_v1v9_258	RXN-8391
S_S2_Cc_069_v1v9_258	RXN1G-582
S_S2_Cc_069_v1v9_258	RXN1G-580
S_S2_Cc_069_v1v9_258	RXN1G-89
S_S2_Cc_069_v1v9_258	2.3.1.179-RXN
S_S2_Cc_069_v1v9_258	RXN1G-1212
S_S2_Cc_069_v1v9_258	RXN1G-424
S_S2_Cc_069_v1v9_258	RXN1G-818
S_S2_Cc_069_v1v9_258	RXN1G-79
S_S2_Cc_069_v1v9_258	RXN1G-172
