S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_85	3.4.16.4-RXN
S_S2_Bs_063_v1v9_85	RXN-16649
S_S2_Bs_063_v1v9_85	RXN-11351
S_S2_Bs_063_v1v9_85	RXN-16659
S_S2_Bs_063_v1v9_85	RXN-11302
S_S2_Bs_063_v1v9_86	RXN-11065
S_S2_Bs_063_v1v9_86	3.4.16.4-RXN
S_S2_Bs_063_v1v9_86	RXN-16649
S_S2_Bs_063_v1v9_86	RXN-11351
S_S2_Bs_063_v1v9_86	RXN-16659
S_S2_Bs_063_v1v9_86	RXN-11302
S_S2_Bs_063_v1v9_87	RXN-11065
S_S2_Bs_063_v1v9_87	3.4.16.4-RXN
S_S2_Bs_063_v1v9_87	RXN-16649
S_S2_Bs_063_v1v9_87	RXN-11351
S_S2_Bs_063_v1v9_87	RXN-16659
S_S2_Bs_063_v1v9_87	RXN-11302
S_S2_Bs_063_v1v9_88	RXN-11065
S_S2_Bs_063_v1v9_88	3.4.16.4-RXN
S_S2_Bs_063_v1v9_88	RXN-16649
S_S2_Bs_063_v1v9_88	RXN-11351
S_S2_Bs_063_v1v9_88	RXN-16659
S_S2_Bs_063_v1v9_88	RXN-11302
S_S2_Bs_063_v1v9_89	RXN-11065
S_S2_Bs_063_v1v9_89	3.4.16.4-RXN
S_S2_Bs_063_v1v9_89	RXN-16649
S_S2_Bs_063_v1v9_89	RXN-11351
S_S2_Bs_063_v1v9_89	RXN-16659
S_S2_Bs_063_v1v9_89	RXN-11302
S_S2_Bs_063_v1v9_90	RXN-11065
S_S2_Bs_063_v1v9_90	3.4.16.4-RXN
S_S2_Bs_063_v1v9_90	RXN-16649
S_S2_Bs_063_v1v9_90	RXN-11351
S_S2_Bs_063_v1v9_90	RXN-16659
S_S2_Bs_063_v1v9_90	RXN-11302
S_S2_Bs_063_v1v9_91	RXN-11065
S_S2_Bs_063_v1v9_91	3.4.16.4-RXN
S_S2_Bs_063_v1v9_91	RXN-16649
S_S2_Bs_063_v1v9_91	RXN-11351
S_S2_Bs_063_v1v9_91	RXN-16659
S_S2_Bs_063_v1v9_91	RXN-11302
S_S2_Bs_063_v1v9_92	RXN-11065
S_S2_Bs_063_v1v9_92	3.4.16.4-RXN
S_S2_Bs_063_v1v9_92	RXN-16649
S_S2_Bs_063_v1v9_92	RXN-11351
S_S2_Bs_063_v1v9_92	RXN-16659
S_S2_Bs_063_v1v9_92	RXN-11302
S_S2_Bs_063_v1v9_93	RXN-11065
S_S2_Bs_063_v1v9_93	3.4.16.4-RXN
S_S2_Bs_063_v1v9_93	RXN-16649
S_S2_Bs_063_v1v9_93	RXN-11351
S_S2_Bs_063_v1v9_93	RXN-16659
S_S2_Bs_063_v1v9_93	RXN-11302
S_S2_Bs_063_v1v9_94	3.1.21.3-RXN
S_S2_Bs_063_v1v9_95	3.1.21.3-RXN
S_S2_Bs_063_v1v9_96	RXN-11109
S_S2_Bs_063_v1v9_97	RXN-11109
S_S2_Bs_063_v1v9_98	RXN-11109
S_S2_Bs_063_v1v9_99	RXN-13202
S_S2_Bs_063_v1v9_99	CARBPSYN-RXN
S_S2_Bs_063_v1v9_100	RXN-13202
S_S2_Bs_063_v1v9_100	CARBPSYN-RXN
S_S2_Bs_063_v1v9_101	RXN-13202
S_S2_Bs_063_v1v9_101	CARBPSYN-RXN
S_S2_Bs_063_v1v9_102	RXN-13202
S_S2_Bs_063_v1v9_102	CARBPSYN-RXN
S_S2_Bs_063_v1v9_103	SULFITE-REDUCT-RXN
S_S2_Bs_063_v1v9_104	SULFITE-REDUCT-RXN
S_S2_Bs_063_v1v9_105	PROTEIN-TYROSINE-PHOSPHATASE-RXN
