Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
3971R_R_F_NS1_diabetes_S28_L001_R2_001	21.57292783572148	66.21503070474705
3971R_R_F_NS1_week9_S80_L001_R1_001	31.295754559082507	63.01940066075768
3971R_R_F_NS1_week9_S80_L001_R2_001	20.719265307310543	68.72898746889052
3975R_0_F_NS1_week5_S60_L001_R1_001	24.962347568381674	68.84160067369513
3975R_0_F_NS1_week5_S60_L001_R2_001	17.705549887447567	70.16793794231486
3975R_L_F_NS1_diabetes_S30_L001_R1_001	28.47572059205401	65.68293949623475
3975R_L_F_NS1_diabetes_S30_L001_R2_001	20.620618021293172	66.92807063100494
3975R_L_F_NS1_week5_S61_L001_R1_001	25.13586398543483	68.78071484305485
3975R_L_F_NS1_week5_S61_L001_R2_001	18.24889460787669	69.36523798442184
3975R_L_F_NS1_week9_S82_L001_R1_001	24.860867108124378	69.46939076378736
3975R_L_F_NS1_week9_S82_L001_R2_001	23.064732115434232	65.96926176640417
3975R_NS1_week14_S33_L001_R1_001	31.503370434237343	62.470606678162724
3975R_NS1_week14_S33_L001_R2_001	21.363850133249727	68.73647907195485
3975R_RL_F_NS1_diabetes_S32_L001_R1_001	24.23075724039031	69.63244692458773
3975R_RL_F_NS1_diabetes_S32_L001_R2_001	19.927050534651	67.95055647348568
3975R_RL_F_NS1_week9_S83_L001_R1_001	28.605695904162392	65.79268461773107
3975R_RL_F_NS1_week9_S83_L001_R2_001	19.186933251989686	70.31003022656054
3975R_R_F_NS1_diabetes_S31_L001_R1_001	24.765457217135754	69.40205719452922
3975R_R_F_NS1_diabetes_S31_L001_R2_001	15.707301910252063	72.09506047247655
NS1_defined_inocula_S88_L001_R1_001	18.689700959134377	74.75597869845888
NS1_defined_inocula_S88_L001_R2_001	17.271481643665336	70.74428262681339
NS6_defined_inocula_S86_L001_R1_001	23.28087972394296	67.85120359206752
NS6_defined_inocula_S86_L001_R2_001	13.906789173907622	72.90462728142019
Negative_extraction_S85_L001_R1_001	41.45660030462251	44.77139792892743
Negative_extraction_S85_L001_R2_001	41.07627279036023	44.35592166334707
Negtive_Control_S90_L001_R1_001	14.728441127694857	45.42910447761194
Negtive_Control_S90_L001_R2_001	17.5787728026534	46.88018242122719
Pooled_GF_pellet_S84_L001_R1_001	39.37871474074804	41.62233605884478
Pooled_GF_pellet_S84_L001_R2_001	37.22457557547696	44.17134600860342
Positive_Control_S89_L001_R1_001	19.134475495624606	73.94849412633269
Positive_Control_S89_L001_R2_001	16.80672268907563	71.43508566217184
S5_defined_inocula_S87_L001_R1_001	23.543704772616344	69.79394350953888
S5_defined_inocula_S87_L001_R2_001	22.043375846189758	65.96142011332046
