Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1121R_L_M_NS1_week5_S46_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 51.0)	(21.0, 79.0)	(22.0, 132.0)	(23.0, 188.0)	(24.0, 285.0)	(25.0, 403.0)	(26.0, 698.0)	(27.0, 967.0)	(28.0, 1221.0)	(29.0, 1355.0)	(30.0, 1458.0)	(31.0, 1558.0)	(32.0, 1891.0)	(33.0, 2331.0)	(34.0, 3263.0)	(35.0, 5426.0)	(36.0, 10975.0)	(37.0, 57529.0)	(38.0, 1.0)			
1121R_L_M_NS1_week5_S46_L001_R2_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 8.0)	(17.0, 9.0)	(18.0, 11.0)	(19.0, 10.0)	(20.0, 101.0)	(21.0, 307.0)	(22.0, 406.0)	(23.0, 375.0)	(24.0, 426.0)	(25.0, 503.0)	(26.0, 651.0)	(27.0, 913.0)	(28.0, 1280.0)	(29.0, 1901.0)	(30.0, 2711.0)	(31.0, 3962.0)	(32.0, 6121.0)	(33.0, 9546.0)	(34.0, 14892.0)	(35.0, 20071.0)	(36.0, 21869.0)	(37.0, 3743.0)
1121R_L_M_NS1_week9_S67_L001_R1_001	(17.0, 2.0)	(18.0, 1.0)	(19.0, 11.0)	(20.0, 26.0)	(21.0, 48.0)	(22.0, 74.0)	(23.0, 130.0)	(24.0, 169.0)	(25.0, 322.0)	(26.0, 470.0)	(27.0, 771.0)	(28.0, 898.0)	(29.0, 992.0)	(30.0, 1168.0)	(31.0, 1291.0)	(32.0, 1527.0)	(33.0, 1874.0)	(34.0, 2590.0)	(35.0, 4292.0)	(36.0, 9030.0)	(37.0, 49054.0)	(38.0, 1.0)			
1121R_L_M_NS1_week9_S67_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 4.0)	(18.0, 3.0)	(19.0, 9.0)	(20.0, 70.0)	(21.0, 246.0)	(22.0, 294.0)	(23.0, 322.0)	(24.0, 339.0)	(25.0, 368.0)	(26.0, 506.0)	(27.0, 678.0)	(28.0, 1027.0)	(29.0, 1568.0)	(30.0, 2288.0)	(31.0, 3422.0)	(32.0, 5396.0)	(33.0, 8862.0)	(34.0, 13854.0)	(35.0, 17255.0)	(36.0, 16106.0)	(37.0, 2118.0)		
1121R_NS1_week19_S35_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 8.0)	(20.0, 13.0)	(21.0, 32.0)	(22.0, 63.0)	(23.0, 80.0)	(24.0, 169.0)	(25.0, 264.0)	(26.0, 411.0)	(27.0, 568.0)	(28.0, 781.0)	(29.0, 913.0)	(30.0, 896.0)	(31.0, 1038.0)	(32.0, 1353.0)	(33.0, 1746.0)	(34.0, 2480.0)	(35.0, 3963.0)	(36.0, 8399.0)	(37.0, 46475.0)	(38.0, 2.0)			
1121R_NS1_week19_S35_L001_R2_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 7.0)	(20.0, 60.0)	(21.0, 187.0)	(22.0, 224.0)	(23.0, 217.0)	(24.0, 261.0)	(25.0, 326.0)	(26.0, 415.0)	(27.0, 536.0)	(28.0, 831.0)	(29.0, 1189.0)	(30.0, 1737.0)	(31.0, 2697.0)	(32.0, 4476.0)	(33.0, 7620.0)	(34.0, 11968.0)	(35.0, 16716.0)	(36.0, 17556.0)	(37.0, 2622.0)		
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	(17.0, 4.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 48.0)	(21.0, 109.0)	(22.0, 165.0)	(23.0, 197.0)	(24.0, 358.0)	(25.0, 460.0)	(26.0, 728.0)	(27.0, 979.0)	(28.0, 1192.0)	(29.0, 1440.0)	(30.0, 1525.0)	(31.0, 1692.0)	(32.0, 2055.0)	(33.0, 2535.0)	(34.0, 3695.0)	(35.0, 6257.0)	(36.0, 13236.0)	(37.0, 64478.0)				
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	(15.0, 1.0)	(16.0, 12.0)	(17.0, 10.0)	(18.0, 9.0)	(19.0, 17.0)	(20.0, 125.0)	(21.0, 359.0)	(22.0, 455.0)	(23.0, 433.0)	(24.0, 477.0)	(25.0, 537.0)	(26.0, 608.0)	(27.0, 825.0)	(28.0, 1219.0)	(29.0, 1683.0)	(30.0, 2599.0)	(31.0, 3879.0)	(32.0, 6102.0)	(33.0, 10262.0)	(34.0, 16912.0)	(35.0, 24167.0)	(36.0, 26856.0)	(37.0, 3620.0)		
1121R_RL_M_NS1_week5_S48_L001_R1_001	(17.0, 2.0)	(18.0, 0.0)	(19.0, 9.0)	(20.0, 34.0)	(21.0, 67.0)	(22.0, 97.0)	(23.0, 142.0)	(24.0, 204.0)	(25.0, 366.0)	(26.0, 638.0)	(27.0, 855.0)	(28.0, 1076.0)	(29.0, 1162.0)	(30.0, 1413.0)	(31.0, 1523.0)	(32.0, 1763.0)	(33.0, 2262.0)	(34.0, 3211.0)	(35.0, 5316.0)	(36.0, 10980.0)	(37.0, 56475.0)	(38.0, 1.0)			
1121R_RL_M_NS1_week5_S48_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 77.0)	(21.0, 289.0)	(22.0, 383.0)	(23.0, 420.0)	(24.0, 433.0)	(25.0, 501.0)	(26.0, 622.0)	(27.0, 804.0)	(28.0, 1236.0)	(29.0, 1811.0)	(30.0, 2786.0)	(31.0, 4001.0)	(32.0, 6282.0)	(33.0, 10384.0)	(34.0, 16066.0)	(35.0, 19930.0)	(36.0, 19147.0)	(37.0, 2386.0)	
1121R_RL_M_NS1_week9_S69_L001_R1_001	(18.0, 2.0)	(19.0, 10.0)	(20.0, 47.0)	(21.0, 82.0)	(22.0, 114.0)	(23.0, 142.0)	(24.0, 245.0)	(25.0, 450.0)	(26.0, 658.0)	(27.0, 969.0)	(28.0, 1197.0)	(29.0, 1331.0)	(30.0, 1420.0)	(31.0, 1679.0)	(32.0, 1848.0)	(33.0, 2509.0)	(34.0, 3495.0)	(35.0, 5516.0)	(36.0, 11810.0)	(37.0, 63856.0)					
1121R_RL_M_NS1_week9_S69_L001_R2_001	(14.0, 1.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 8.0)	(19.0, 18.0)	(20.0, 112.0)	(21.0, 327.0)	(22.0, 402.0)	(23.0, 372.0)	(24.0, 405.0)	(25.0, 512.0)	(26.0, 601.0)	(27.0, 936.0)	(28.0, 1290.0)	(29.0, 2000.0)	(30.0, 2762.0)	(31.0, 4104.0)	(32.0, 6547.0)	(33.0, 11030.0)	(34.0, 16833.0)	(35.0, 21924.0)	(36.0, 23353.0)	(37.0, 3831.0)	
1121R_RR_M_NS1_week5_S49_L001_R1_001	(18.0, 2.0)	(19.0, 7.0)	(20.0, 22.0)	(21.0, 50.0)	(22.0, 85.0)	(23.0, 110.0)	(24.0, 181.0)	(25.0, 304.0)	(26.0, 517.0)	(27.0, 629.0)	(28.0, 836.0)	(29.0, 961.0)	(30.0, 983.0)	(31.0, 1132.0)	(32.0, 1281.0)	(33.0, 1660.0)	(34.0, 2350.0)	(35.0, 3731.0)	(36.0, 7814.0)	(37.0, 39384.0)					
1121R_RR_M_NS1_week5_S49_L001_R2_001	(16.0, 6.0)	(17.0, 11.0)	(18.0, 11.0)	(19.0, 14.0)	(20.0, 84.0)	(21.0, 244.0)	(22.0, 312.0)	(23.0, 306.0)	(24.0, 304.0)	(25.0, 417.0)	(26.0, 452.0)	(27.0, 640.0)	(28.0, 960.0)	(29.0, 1394.0)	(30.0, 2053.0)	(31.0, 3031.0)	(32.0, 4488.0)	(33.0, 7396.0)	(34.0, 11230.0)	(35.0, 13691.0)	(36.0, 13358.0)	(37.0, 1637.0)			
