Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2476R_R_F_NS6_week5_S9_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 13.0)	(20.0, 64.0)	(21.0, 188.0)	(22.0, 237.0)	(23.0, 275.0)	(24.0, 271.0)	(25.0, 357.0)	(26.0, 403.0)	(27.0, 531.0)	(28.0, 748.0)	(29.0, 1114.0)	(30.0, 1687.0)	(31.0, 2480.0)	(32.0, 3759.0)	(33.0, 6297.0)	(34.0, 10056.0)	(35.0, 15193.0)	(36.0, 16950.0)	(37.0, 1936.0)	
2518R_0_M_S5_week5_S20_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 39.0)	(21.0, 50.0)	(22.0, 108.0)	(23.0, 165.0)	(24.0, 259.0)	(25.0, 389.0)	(26.0, 627.0)	(27.0, 934.0)	(28.0, 1148.0)	(29.0, 1221.0)	(30.0, 1308.0)	(31.0, 1435.0)	(32.0, 1650.0)	(33.0, 2141.0)	(34.0, 3037.0)	(35.0, 4903.0)	(36.0, 9717.0)	(37.0, 49038.0)				
2518R_0_M_S5_week5_S20_L001_R2_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 15.0)	(19.0, 10.0)	(20.0, 113.0)	(21.0, 301.0)	(22.0, 366.0)	(23.0, 387.0)	(24.0, 396.0)	(25.0, 468.0)	(26.0, 626.0)	(27.0, 865.0)	(28.0, 1252.0)	(29.0, 1849.0)	(30.0, 2629.0)	(31.0, 4010.0)	(32.0, 6321.0)	(33.0, 10282.0)	(34.0, 15356.0)	(35.0, 17912.0)	(36.0, 13546.0)	(37.0, 1472.0)		
2529R_0_F_NS1_week5_S53_L001_R1_001	(18.0, 4.0)	(19.0, 11.0)	(20.0, 35.0)	(21.0, 75.0)	(22.0, 123.0)	(23.0, 158.0)	(24.0, 252.0)	(25.0, 418.0)	(26.0, 628.0)	(27.0, 877.0)	(28.0, 1042.0)	(29.0, 1182.0)	(30.0, 1324.0)	(31.0, 1418.0)	(32.0, 1696.0)	(33.0, 2059.0)	(34.0, 2881.0)	(35.0, 4911.0)	(36.0, 10013.0)	(37.0, 55847.0)	(38.0, 1.0)				
2529R_0_F_NS1_week5_S53_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 14.0)	(19.0, 17.0)	(20.0, 136.0)	(21.0, 357.0)	(22.0, 441.0)	(23.0, 423.0)	(24.0, 393.0)	(25.0, 517.0)	(26.0, 616.0)	(27.0, 805.0)	(28.0, 1166.0)	(29.0, 1689.0)	(30.0, 2293.0)	(31.0, 3377.0)	(32.0, 5168.0)	(33.0, 8516.0)	(34.0, 13417.0)	(35.0, 18772.0)	(36.0, 22590.0)	(37.0, 4237.0)	
2529R_0_F_NS1_week9_S74_L001_R1_001	(18.0, 2.0)	(19.0, 6.0)	(20.0, 35.0)	(21.0, 61.0)	(22.0, 88.0)	(23.0, 95.0)	(24.0, 196.0)	(25.0, 288.0)	(26.0, 506.0)	(27.0, 774.0)	(28.0, 891.0)	(29.0, 1022.0)	(30.0, 1107.0)	(31.0, 1204.0)	(32.0, 1480.0)	(33.0, 1916.0)	(34.0, 2678.0)	(35.0, 4400.0)	(36.0, 9479.0)	(37.0, 49309.0)	(38.0, 3.0)				
2529R_0_F_NS1_week9_S74_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 9.0)	(19.0, 17.0)	(20.0, 83.0)	(21.0, 249.0)	(22.0, 286.0)	(23.0, 320.0)	(24.0, 321.0)	(25.0, 387.0)	(26.0, 534.0)	(27.0, 699.0)	(28.0, 999.0)	(29.0, 1558.0)	(30.0, 2278.0)	(31.0, 3407.0)	(32.0, 5427.0)	(33.0, 8969.0)	(34.0, 14235.0)	(35.0, 17495.0)	(36.0, 16230.0)	(37.0, 2022.0)	
2529R_L_F_NS1_diabetes_S26_L001_R1_001	(18.0, 1.0)	(19.0, 5.0)	(20.0, 24.0)	(21.0, 43.0)	(22.0, 76.0)	(23.0, 135.0)	(24.0, 187.0)	(25.0, 301.0)	(26.0, 432.0)	(27.0, 581.0)	(28.0, 802.0)	(29.0, 866.0)	(30.0, 940.0)	(31.0, 1049.0)	(32.0, 1337.0)	(33.0, 1651.0)	(34.0, 2374.0)	(35.0, 3841.0)	(36.0, 7955.0)	(37.0, 40669.0)					
2529R_L_F_NS1_diabetes_S26_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 6.0)	(18.0, 14.0)	(19.0, 11.0)	(20.0, 136.0)	(21.0, 347.0)	(22.0, 386.0)	(23.0, 380.0)	(24.0, 359.0)	(25.0, 432.0)	(26.0, 501.0)	(27.0, 687.0)	(28.0, 970.0)	(29.0, 1394.0)	(30.0, 1865.0)	(31.0, 2860.0)	(32.0, 4420.0)	(33.0, 7089.0)	(34.0, 10887.0)	(35.0, 14265.0)	(36.0, 14323.0)	(37.0, 1929.0)	
2529R_L_F_NS1_week5_S54_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 44.0)	(21.0, 68.0)	(22.0, 123.0)	(23.0, 156.0)	(24.0, 238.0)	(25.0, 351.0)	(26.0, 543.0)	(27.0, 773.0)	(28.0, 945.0)	(29.0, 1041.0)	(30.0, 1068.0)	(31.0, 1265.0)	(32.0, 1492.0)	(33.0, 1852.0)	(34.0, 2557.0)	(35.0, 4235.0)	(36.0, 8703.0)	(37.0, 46854.0)	(38.0, 3.0)			
2529R_L_F_NS1_week5_S54_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 6.0)	(17.0, 9.0)	(18.0, 9.0)	(19.0, 21.0)	(20.0, 111.0)	(21.0, 325.0)	(22.0, 323.0)	(23.0, 393.0)	(24.0, 392.0)	(25.0, 411.0)	(26.0, 512.0)	(27.0, 729.0)	(28.0, 1040.0)	(29.0, 1468.0)	(30.0, 2091.0)	(31.0, 3009.0)	(32.0, 4732.0)	(33.0, 7278.0)	(34.0, 11473.0)	(35.0, 15787.0)	(36.0, 18807.0)	(37.0, 3388.0)
2529R_L_F_NS1_week9_S75_L001_R1_001	(19.0, 10.0)	(20.0, 24.0)	(21.0, 48.0)	(22.0, 94.0)	(23.0, 146.0)	(24.0, 176.0)	(25.0, 317.0)	(26.0, 493.0)	(27.0, 715.0)	(28.0, 831.0)	(29.0, 975.0)	(30.0, 1036.0)	(31.0, 1191.0)	(32.0, 1421.0)	(33.0, 1809.0)	(34.0, 2443.0)	(35.0, 4301.0)	(36.0, 8682.0)	(37.0, 46139.0)	(38.0, 1.0)					
2529R_L_F_NS1_week9_S75_L001_R2_001	(15.0, 3.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 12.0)	(19.0, 9.0)	(20.0, 77.0)	(21.0, 265.0)	(22.0, 342.0)	(23.0, 295.0)	(24.0, 350.0)	(25.0, 369.0)	(26.0, 470.0)	(27.0, 685.0)	(28.0, 912.0)	(29.0, 1477.0)	(30.0, 2055.0)	(31.0, 3059.0)	(32.0, 4870.0)	(33.0, 8029.0)	(34.0, 12775.0)	(35.0, 16573.0)	(36.0, 16083.0)	(37.0, 2132.0)		
2529R_NS1_week22_S37_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 25.0)	(21.0, 43.0)	(22.0, 55.0)	(23.0, 121.0)	(24.0, 169.0)	(25.0, 271.0)	(26.0, 469.0)	(27.0, 645.0)	(28.0, 827.0)	(29.0, 951.0)	(30.0, 1075.0)	(31.0, 1228.0)	(32.0, 1473.0)	(33.0, 1878.0)	(34.0, 2667.0)	(35.0, 4348.0)	(36.0, 9240.0)	(37.0, 50806.0)	(38.0, 1.0)			
2529R_NS1_week22_S37_L001_R2_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 8.0)	(20.0, 74.0)	(21.0, 181.0)	(22.0, 245.0)	(23.0, 256.0)	(24.0, 300.0)	(25.0, 336.0)	(26.0, 454.0)	(27.0, 598.0)	(28.0, 857.0)	(29.0, 1344.0)	(30.0, 1999.0)	(31.0, 2968.0)	(32.0, 4697.0)	(33.0, 7805.0)	(34.0, 12784.0)	(35.0, 17715.0)	(36.0, 19879.0)	(37.0, 3782.0)		
2529R_RL_F_NS1_week5_S55_L001_R1_001	(17.0, 2.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 45.0)	(21.0, 79.0)	(22.0, 123.0)	(23.0, 156.0)	(24.0, 234.0)	(25.0, 343.0)	(26.0, 558.0)	(27.0, 773.0)	(28.0, 947.0)	(29.0, 1108.0)	(30.0, 1214.0)	(31.0, 1361.0)	(32.0, 1573.0)	(33.0, 1976.0)	(34.0, 2811.0)	(35.0, 4730.0)	(36.0, 9805.0)	(37.0, 52818.0)	(38.0, 1.0)			
2529R_RL_F_NS1_week5_S55_L001_R2_001	(15.0, 3.0)	(16.0, 6.0)	(17.0, 12.0)	(18.0, 21.0)	(19.0, 18.0)	(20.0, 97.0)	(21.0, 303.0)	(22.0, 389.0)	(23.0, 437.0)	(24.0, 407.0)	(25.0, 462.0)	(26.0, 544.0)	(27.0, 771.0)	(28.0, 999.0)	(29.0, 1475.0)	(30.0, 2142.0)	(31.0, 3157.0)	(32.0, 5030.0)	(33.0, 8246.0)	(34.0, 12848.0)	(35.0, 18446.0)	(36.0, 21339.0)	(37.0, 3513.0)		
2529R_RL_F_NS1_week9_S76_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 33.0)	(21.0, 59.0)	(22.0, 90.0)	(23.0, 141.0)	(24.0, 199.0)	(25.0, 355.0)	(26.0, 582.0)	(27.0, 747.0)	(28.0, 910.0)	(29.0, 1027.0)	(30.0, 1135.0)	(31.0, 1256.0)	(32.0, 1512.0)	(33.0, 1897.0)	(34.0, 2701.0)	(35.0, 4342.0)	(36.0, 9168.0)	(37.0, 45976.0)				
2529R_RL_F_NS1_week9_S76_L001_R2_001	(14.0, 1.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 17.0)	(20.0, 83.0)	(21.0, 240.0)	(22.0, 296.0)	(23.0, 312.0)	(24.0, 374.0)	(25.0, 360.0)	(26.0, 474.0)	(27.0, 693.0)	(28.0, 950.0)	(29.0, 1489.0)	(30.0, 2135.0)	(31.0, 3209.0)	(32.0, 4901.0)	(33.0, 8257.0)	(34.0, 12921.0)	(35.0, 17058.0)	(36.0, 16046.0)	(37.0, 2307.0)	
2562R_0_F_NS6_week5_S10_L001_R1_001	(18.0, 2.0)	(19.0, 9.0)	(20.0, 34.0)	(21.0, 77.0)	(22.0, 105.0)	(23.0, 153.0)	(24.0, 217.0)	(25.0, 338.0)	(26.0, 508.0)	(27.0, 665.0)	(28.0, 820.0)	(29.0, 927.0)	(30.0, 1035.0)	(31.0, 1126.0)	(32.0, 1368.0)	(33.0, 1763.0)	(34.0, 2503.0)	(35.0, 4008.0)	(36.0, 8039.0)	(37.0, 40376.0)					
2562R_0_F_NS6_week5_S10_L001_R2_001	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 5.0)	(20.0, 66.0)	(21.0, 180.0)	(22.0, 236.0)	(23.0, 262.0)	(24.0, 273.0)	(25.0, 314.0)	(26.0, 372.0)	(27.0, 544.0)	(28.0, 745.0)	(29.0, 1143.0)	(30.0, 1799.0)	(31.0, 2738.0)	(32.0, 4151.0)	(33.0, 6901.0)	(34.0, 10686.0)	(35.0, 15600.0)	(36.0, 16119.0)	(37.0, 1920.0)	
2562R_RL_F_NS6_week5_S11_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 24.0)	(21.0, 57.0)	(22.0, 78.0)	(23.0, 123.0)	(24.0, 202.0)	(25.0, 284.0)	(26.0, 390.0)	(27.0, 547.0)	(28.0, 664.0)	(29.0, 807.0)	(30.0, 889.0)	(31.0, 940.0)	(32.0, 1177.0)	(33.0, 1438.0)	(34.0, 2073.0)	(35.0, 3478.0)	(36.0, 7210.0)	(37.0, 36135.0)				
2562R_RL_F_NS6_week5_S11_L001_R2_001	(15.0, 3.0)	(16.0, 6.0)	(17.0, 5.0)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 56.0)	(21.0, 177.0)	(22.0, 257.0)	(23.0, 224.0)	(24.0, 247.0)	(25.0, 331.0)	(26.0, 346.0)	(27.0, 448.0)	(28.0, 597.0)	(29.0, 859.0)	(30.0, 1417.0)	(31.0, 2171.0)	(32.0, 3467.0)	(33.0, 5597.0)	(34.0, 8919.0)	(35.0, 13814.0)	(36.0, 15428.0)	(37.0, 2143.0)		
3861R_0_M_NS1_week5_S56_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 8.0)	(20.0, 38.0)	(21.0, 80.0)	(22.0, 85.0)	(23.0, 157.0)	(24.0, 253.0)	(25.0, 343.0)	(26.0, 555.0)	(27.0, 746.0)	(28.0, 895.0)	(29.0, 1059.0)	(30.0, 1135.0)	(31.0, 1318.0)	(32.0, 1496.0)	(33.0, 1990.0)	(34.0, 2774.0)	(35.0, 4503.0)	(36.0, 9204.0)	(37.0, 49651.0)	(38.0, 1.0)			
3861R_0_M_NS1_week5_S56_L001_R2_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 13.0)	(18.0, 12.0)	(19.0, 12.0)	(20.0, 103.0)	(21.0, 313.0)	(22.0, 375.0)	(23.0, 348.0)	(24.0, 390.0)	(25.0, 433.0)	(26.0, 567.0)	(27.0, 710.0)	(28.0, 973.0)	(29.0, 1455.0)	(30.0, 2228.0)	(31.0, 3272.0)	(32.0, 5136.0)	(33.0, 7941.0)	(34.0, 12809.0)	(35.0, 17621.0)	(36.0, 19096.0)	(37.0, 2474.0)
3861R_0_M_NS1_week9_S77_L001_R1_001	(18.0, 1.0)	(19.0, 6.0)	(20.0, 36.0)	(21.0, 52.0)	(22.0, 75.0)	(23.0, 132.0)	(24.0, 206.0)	(25.0, 288.0)	(26.0, 444.0)	(27.0, 585.0)	(28.0, 733.0)	(29.0, 813.0)	(30.0, 859.0)	(31.0, 1051.0)	(32.0, 1254.0)	(33.0, 1595.0)	(34.0, 2249.0)	(35.0, 3760.0)	(36.0, 8075.0)	(37.0, 42303.0)					
3861R_0_M_NS1_week9_S77_L001_R2_001	(14.0, 2.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 7.0)	(19.0, 22.0)	(20.0, 88.0)	(21.0, 268.0)	(22.0, 292.0)	(23.0, 294.0)	(24.0, 322.0)	(25.0, 345.0)	(26.0, 443.0)	(27.0, 595.0)	(28.0, 823.0)	(29.0, 1161.0)	(30.0, 1680.0)	(31.0, 2551.0)	(32.0, 3820.0)	(33.0, 6471.0)	(34.0, 10414.0)	(35.0, 14784.0)	(36.0, 17265.0)	(37.0, 2860.0)	
3861R_L_M_NS1_diabetes_S27_L001_R1_001	(18.0, 2.0)	(19.0, 13.0)	(20.0, 43.0)	(21.0, 57.0)	(22.0, 87.0)	(23.0, 105.0)	(24.0, 163.0)	(25.0, 275.0)	(26.0, 391.0)	(27.0, 582.0)	(28.0, 709.0)	(29.0, 781.0)	(30.0, 906.0)	(31.0, 983.0)	(32.0, 1148.0)	(33.0, 1459.0)	(34.0, 2125.0)	(35.0, 3678.0)	(36.0, 7716.0)	(37.0, 41691.0)					
3861R_L_M_NS1_diabetes_S27_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 13.0)	(17.0, 6.0)	(18.0, 6.0)	(19.0, 11.0)	(20.0, 123.0)	(21.0, 327.0)	(22.0, 425.0)	(23.0, 395.0)	(24.0, 418.0)	(25.0, 410.0)	(26.0, 495.0)	(27.0, 646.0)	(28.0, 887.0)	(29.0, 1213.0)	(30.0, 1667.0)	(31.0, 2362.0)	(32.0, 3537.0)	(33.0, 6058.0)	(34.0, 9915.0)	(35.0, 14271.0)	(36.0, 17065.0)	(37.0, 2660.0)
3861R_L_M_NS1_week5_S57_L001_R1_001	(18.0, 2.0)	(19.0, 5.0)	(20.0, 24.0)	(21.0, 64.0)	(22.0, 89.0)	(23.0, 146.0)	(24.0, 228.0)	(25.0, 287.0)	(26.0, 471.0)	(27.0, 626.0)	(28.0, 780.0)	(29.0, 852.0)	(30.0, 898.0)	(31.0, 996.0)	(32.0, 1188.0)	(33.0, 1547.0)	(34.0, 2221.0)	(35.0, 3544.0)	(36.0, 7232.0)	(37.0, 33773.0)					
3861R_L_M_NS1_week5_S57_L001_R2_001	(14.0, 2.0)	(15.0, 4.0)	(16.0, 4.0)	(17.0, 12.0)	(18.0, 7.0)	(19.0, 13.0)	(20.0, 123.0)	(21.0, 277.0)	(22.0, 336.0)	(23.0, 328.0)	(24.0, 380.0)	(25.0, 390.0)	(26.0, 435.0)	(27.0, 656.0)	(28.0, 841.0)	(29.0, 1257.0)	(30.0, 1765.0)	(31.0, 2631.0)	(32.0, 3864.0)	(33.0, 6232.0)	(34.0, 9649.0)	(35.0, 12387.0)	(36.0, 12021.0)	(37.0, 1359.0)	
3861R_L_M_NS1_week9_S78_L001_R1_001	(18.0, 2.0)	(19.0, 7.0)	(20.0, 23.0)	(21.0, 67.0)	(22.0, 113.0)	(23.0, 147.0)	(24.0, 215.0)	(25.0, 341.0)	(26.0, 534.0)	(27.0, 705.0)	(28.0, 875.0)	(29.0, 967.0)	(30.0, 1046.0)	(31.0, 1124.0)	(32.0, 1345.0)	(33.0, 1849.0)	(34.0, 2570.0)	(35.0, 4120.0)	(36.0, 8422.0)	(37.0, 44125.0)					
3861R_L_M_NS1_week9_S78_L001_R2_001	(15.0, 3.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 6.0)	(19.0, 9.0)	(20.0, 87.0)	(21.0, 234.0)	(22.0, 298.0)	(23.0, 280.0)	(24.0, 322.0)	(25.0, 353.0)	(26.0, 446.0)	(27.0, 603.0)	(28.0, 892.0)	(29.0, 1333.0)	(30.0, 1972.0)	(31.0, 2795.0)	(32.0, 4365.0)	(33.0, 7051.0)	(34.0, 11285.0)	(35.0, 15890.0)	(36.0, 17702.0)	(37.0, 2660.0)		
3861R_NS1_week28_S39_L001_R1_001	(18.0, 1.0)	(19.0, 16.0)	(20.0, 21.0)	(21.0, 34.0)	(22.0, 94.0)	(23.0, 133.0)	(24.0, 195.0)	(25.0, 313.0)	(26.0, 547.0)	(27.0, 732.0)	(28.0, 913.0)	(29.0, 1097.0)	(30.0, 1221.0)	(31.0, 1371.0)	(32.0, 1629.0)	(33.0, 2103.0)	(34.0, 2966.0)	(35.0, 4863.0)	(36.0, 10027.0)	(37.0, 50762.0)					
3861R_NS1_week28_S39_L001_R2_001	(15.0, 4.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 10.0)	(19.0, 14.0)	(20.0, 85.0)	(21.0, 194.0)	(22.0, 288.0)	(23.0, 310.0)	(24.0, 339.0)	(25.0, 411.0)	(26.0, 574.0)	(27.0, 798.0)	(28.0, 1263.0)	(29.0, 1805.0)	(30.0, 2764.0)	(31.0, 4205.0)	(32.0, 6905.0)	(33.0, 11227.0)	(34.0, 16050.0)	(35.0, 18139.0)	(36.0, 12806.0)	(37.0, 838.0)		
3861R_R_M_NS1_week5_S58_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 10.0)	(20.0, 31.0)	(21.0, 70.0)	(22.0, 90.0)	(23.0, 152.0)	(24.0, 198.0)	(25.0, 329.0)	(26.0, 528.0)	(27.0, 791.0)	(28.0, 928.0)	(29.0, 1101.0)	(30.0, 1273.0)	(31.0, 1388.0)	(32.0, 1654.0)	(33.0, 2043.0)	(34.0, 2921.0)	(35.0, 4743.0)	(36.0, 9547.0)	(37.0, 48093.0)				
3861R_R_M_NS1_week5_S58_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 10.0)	(18.0, 10.0)	(19.0, 18.0)	(20.0, 150.0)	(21.0, 338.0)	(22.0, 417.0)	(23.0, 407.0)	(24.0, 421.0)	(25.0, 507.0)	(26.0, 586.0)	(27.0, 847.0)	(28.0, 1227.0)	(29.0, 1759.0)	(30.0, 2458.0)	(31.0, 3605.0)	(32.0, 5500.0)	(33.0, 8969.0)	(34.0, 13783.0)	(35.0, 16952.0)	(36.0, 15997.0)	(37.0, 1922.0)	
3924R_L_F_S5_week5_S21_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 34.0)	(21.0, 69.0)	(22.0, 94.0)	(23.0, 123.0)	(24.0, 210.0)	(25.0, 367.0)	(26.0, 563.0)	(27.0, 795.0)	(28.0, 986.0)	(29.0, 1234.0)	(30.0, 1313.0)	(31.0, 1501.0)	(32.0, 1770.0)	(33.0, 2220.0)	(34.0, 3121.0)	(35.0, 5204.0)	(36.0, 10565.0)	(37.0, 54648.0)				
3924R_L_F_S5_week5_S21_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 2.0)	(18.0, 13.0)	(19.0, 12.0)	(20.0, 82.0)	(21.0, 214.0)	(22.0, 283.0)	(23.0, 268.0)	(24.0, 346.0)	(25.0, 370.0)	(26.0, 483.0)	(27.0, 733.0)	(28.0, 1156.0)	(29.0, 1757.0)	(30.0, 2619.0)	(31.0, 4124.0)	(32.0, 6526.0)	(33.0, 10814.0)	(34.0, 16651.0)	(35.0, 20022.0)	(36.0, 16323.0)	(37.0, 2027.0)		
3929R_0_F_S5_week5_S22_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 53.0)	(21.0, 93.0)	(22.0, 150.0)	(23.0, 202.0)	(24.0, 335.0)	(25.0, 486.0)	(26.0, 877.0)	(27.0, 1079.0)	(28.0, 1348.0)	(29.0, 1560.0)	(30.0, 1690.0)	(31.0, 1726.0)	(32.0, 2058.0)	(33.0, 2770.0)	(34.0, 3896.0)	(35.0, 6044.0)	(36.0, 12582.0)	(37.0, 67258.0)	(38.0, 1.0)			
3929R_0_F_S5_week5_S22_L001_R2_001	(14.0, 1.0)	(15.0, 4.0)	(16.0, 6.0)	(17.0, 11.0)	(18.0, 9.0)	(19.0, 13.0)	(20.0, 153.0)	(21.0, 357.0)	(22.0, 470.0)	(23.0, 516.0)	(24.0, 506.0)	(25.0, 549.0)	(26.0, 702.0)	(27.0, 943.0)	(28.0, 1492.0)	(29.0, 2167.0)	(30.0, 3307.0)	(31.0, 4802.0)	(32.0, 7434.0)	(33.0, 11802.0)	(34.0, 18058.0)	(35.0, 24022.0)	(36.0, 23390.0)	(37.0, 3505.0)	
3971R_0_F_NS1_week5_S59_L001_R1_001	(18.0, 1.0)	(19.0, 8.0)	(20.0, 27.0)	(21.0, 53.0)	(22.0, 86.0)	(23.0, 133.0)	(24.0, 200.0)	(25.0, 358.0)	(26.0, 568.0)	(27.0, 726.0)	(28.0, 908.0)	(29.0, 1062.0)	(30.0, 1078.0)	(31.0, 1237.0)	(32.0, 1485.0)	(33.0, 1954.0)	(34.0, 2667.0)	(35.0, 4388.0)	(36.0, 8875.0)	(37.0, 46440.0)	(38.0, 1.0)				
3971R_0_F_NS1_week5_S59_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 6.0)	(18.0, 5.0)	(19.0, 15.0)	(20.0, 142.0)	(21.0, 391.0)	(22.0, 413.0)	(23.0, 402.0)	(24.0, 393.0)	(25.0, 486.0)	(26.0, 611.0)	(27.0, 841.0)	(28.0, 1152.0)	(29.0, 1610.0)	(30.0, 2333.0)	(31.0, 3264.0)	(32.0, 5044.0)	(33.0, 8257.0)	(34.0, 12854.0)	(35.0, 16184.0)	(36.0, 15728.0)	(37.0, 2113.0)	
3971R_0_F_NS1_week9_S79_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 12.0)	(20.0, 41.0)	(21.0, 64.0)	(22.0, 131.0)	(23.0, 149.0)	(24.0, 262.0)	(25.0, 450.0)	(26.0, 638.0)	(27.0, 960.0)	(28.0, 1079.0)	(29.0, 1271.0)	(30.0, 1278.0)	(31.0, 1456.0)	(32.0, 1751.0)	(33.0, 2190.0)	(34.0, 3048.0)	(35.0, 5420.0)	(36.0, 11415.0)	(37.0, 53554.0)				
3971R_0_F_NS1_week9_S79_L001_R2_001	(14.0, 2.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 10.0)	(19.0, 24.0)	(20.0, 100.0)	(21.0, 312.0)	(22.0, 356.0)	(23.0, 365.0)	(24.0, 385.0)	(25.0, 463.0)	(26.0, 533.0)	(27.0, 799.0)	(28.0, 1118.0)	(29.0, 1576.0)	(30.0, 2448.0)	(31.0, 3655.0)	(32.0, 5685.0)	(33.0, 9579.0)	(34.0, 15325.0)	(35.0, 19975.0)	(36.0, 19680.0)	(37.0, 2772.0)	
3971R_NS1_week30_S40_L001_R1_001	(18.0, 1.0)	(19.0, 11.0)	(20.0, 25.0)	(21.0, 54.0)	(22.0, 85.0)	(23.0, 132.0)	(24.0, 172.0)	(25.0, 333.0)	(26.0, 602.0)	(27.0, 837.0)	(28.0, 1044.0)	(29.0, 1166.0)	(30.0, 1382.0)	(31.0, 1500.0)	(32.0, 1787.0)	(33.0, 2381.0)	(34.0, 3186.0)	(35.0, 5346.0)	(36.0, 10857.0)	(37.0, 57444.0)	(38.0, 2.0)				
3971R_NS1_week30_S40_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 74.0)	(21.0, 211.0)	(22.0, 277.0)	(23.0, 297.0)	(24.0, 315.0)	(25.0, 426.0)	(26.0, 523.0)	(27.0, 763.0)	(28.0, 1125.0)	(29.0, 1821.0)	(30.0, 2677.0)	(31.0, 4197.0)	(32.0, 6573.0)	(33.0, 10849.0)	(34.0, 16718.0)	(35.0, 20636.0)	(36.0, 18443.0)	(37.0, 2398.0)
3971R_RL_F_NS1_diabetes_S29_L001_R1_001	(18.0, 6.0)	(19.0, 10.0)	(20.0, 40.0)	(21.0, 58.0)	(22.0, 86.0)	(23.0, 139.0)	(24.0, 231.0)	(25.0, 273.0)	(26.0, 511.0)	(27.0, 671.0)	(28.0, 844.0)	(29.0, 902.0)	(30.0, 986.0)	(31.0, 1067.0)	(32.0, 1314.0)	(33.0, 1651.0)	(34.0, 2432.0)	(35.0, 3926.0)	(36.0, 8228.0)	(37.0, 44614.0)					
3971R_RL_F_NS1_diabetes_S29_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 8.0)	(17.0, 7.0)	(18.0, 12.0)	(19.0, 11.0)	(20.0, 125.0)	(21.0, 355.0)	(22.0, 458.0)	(23.0, 458.0)	(24.0, 429.0)	(25.0, 509.0)	(26.0, 584.0)	(27.0, 730.0)	(28.0, 950.0)	(29.0, 1365.0)	(30.0, 1869.0)	(31.0, 2622.0)	(32.0, 3934.0)	(33.0, 6322.0)	(34.0, 10216.0)	(35.0, 14781.0)	(36.0, 18560.0)	(37.0, 3681.0)	
