.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
1193R_L_F_NS1_week9_S73_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_L_F_NS1_week9_S73_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_NS1_week24_S38_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_NS1_week24_S38_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_0_M_NS6_week5_S7_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_0_M_NS6_week5_S7_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2402R_0_F_S5_week5_S15_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2402R_0_F_S5_week5_S15_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2402R_R_F_S5_week5_S16_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2402R_R_F_S5_week5_S16_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2403R_0_F_NS6_week5_S8_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2403R_0_F_NS6_week5_S8_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2433R_0_F_S5_week5_S17_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2433R_0_F_S5_week5_S17_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_0_M_S5_week5_S18_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_0_M_S5_week5_S18_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_RL_M_S5_week5_S19_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2475R_RL_M_S5_week5_S19_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2476R_R_F_NS6_week5_S9_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2476R_R_F_NS6_week5_S9_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_0_M_S5_week5_S20_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_0_M_S5_week5_S20_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_0_F_NS1_week5_S53_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_0_F_NS1_week5_S53_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_0_F_NS1_week9_S74_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_0_F_NS1_week9_S74_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_diabetes_S26_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_diabetes_S26_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_week5_S54_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_week5_S54_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_week9_S75_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_L_F_NS1_week9_S75_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_NS1_week22_S37_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_NS1_week22_S37_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_RL_F_NS1_week5_S55_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_RL_F_NS1_week5_S55_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_RL_F_NS1_week9_S76_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2529R_RL_F_NS1_week9_S76_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2562R_0_F_NS6_week5_S10_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2562R_0_F_NS6_week5_S10_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2562R_RL_F_NS6_week5_S11_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2562R_RL_F_NS6_week5_S11_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_0_M_NS1_week5_S56_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_0_M_NS1_week5_S56_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_0_M_NS1_week9_S77_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_0_M_NS1_week9_S77_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_L_M_NS1_diabetes_S27_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_L_M_NS1_diabetes_S27_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_L_M_NS1_week5_S57_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_L_M_NS1_week5_S57_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3861R_L_M_NS1_week9_S78_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
