"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","S5_PPV","S5_TP","S5_FP","S5_Total_ASVs","S5_Unique_taxa","S5_Taxa_with_no_species_before_filtering","S5_Taxa_with_no_species_after_filtering"
300,250,0.2,36,8,95.6521739130435,44,2,46,20,36,0
300,300,0.001,36,1,86.7647058823529,59,9,68,30,36,0
300,300,0.005,36,1,86.7647058823529,59,9,68,30,36,0
300,300,0.01,36,1,86.7647058823529,59,9,68,30,36,0
300,300,0.05,36,2,89.0625,57,7,64,30,36,0
300,300,0.1,36,4,92.5925925925926,50,4,54,25,36,0
300,300,0.15,36,6,92,46,4,50,22,36,0
300,300,0.2,36,8,95.6521739130435,44,2,46,20,36,0
300,350,0.001,36,1,86.7647058823529,59,9,68,30,36,0
300,350,0.005,36,1,86.7647058823529,59,9,68,30,36,0
300,350,0.01,36,1,86.7647058823529,59,9,68,30,36,0
300,350,0.05,36,2,89.0625,57,7,64,30,36,0
300,350,0.1,36,4,92.5925925925926,50,4,54,25,36,0
300,350,0.15,36,6,92,46,4,50,22,36,0
300,350,0.2,36,8,95.6521739130435,44,2,46,20,36,0
300,400,0.001,36,1,86.7647058823529,59,9,68,30,36,0
300,400,0.005,36,1,86.7647058823529,59,9,68,30,36,0
300,400,0.01,36,1,86.7647058823529,59,9,68,30,36,0
300,400,0.05,36,2,89.0625,57,7,64,30,36,0
300,400,0.1,36,4,92.5925925925926,50,4,54,25,36,0
300,400,0.15,36,6,92,46,4,50,22,36,0
300,400,0.2,36,8,95.6521739130435,44,2,46,20,36,0
350,200,0.001,36,1,88.0597014925373,59,8,67,29,36,0
350,200,0.005,36,1,88.0597014925373,59,8,67,29,36,0
350,200,0.01,36,1,88.0597014925373,59,8,67,29,36,0
350,200,0.05,36,2,90.4761904761905,57,6,63,29,36,0
350,200,0.1,36,4,92.5925925925926,50,4,54,25,36,0
350,200,0.15,36,6,92,46,4,50,22,36,0
350,200,0.2,36,8,95.6521739130435,44,2,46,20,36,0
350,250,0.001,36,1,88.0597014925373,59,8,67,29,36,0
350,250,0.005,36,1,88.0597014925373,59,8,67,29,36,0
350,250,0.01,36,1,88.0597014925373,59,8,67,29,36,0
350,250,0.05,36,2,90.4761904761905,57,6,63,29,36,0
350,250,0.1,36,4,92.5925925925926,50,4,54,25,36,0
350,250,0.15,36,6,92,46,4,50,22,36,0
350,250,0.2,36,8,95.6521739130435,44,2,46,20,36,0
350,300,0.001,36,1,88.0597014925373,59,8,67,29,36,0
350,300,0.005,36,1,88.0597014925373,59,8,67,29,36,0
350,300,0.01,36,1,88.0597014925373,59,8,67,29,36,0
350,300,0.05,36,2,90.4761904761905,57,6,63,29,36,0
350,300,0.1,36,4,92.5925925925926,50,4,54,25,36,0
350,300,0.15,36,6,92,46,4,50,22,36,0
350,300,0.2,36,8,95.6521739130435,44,2,46,20,36,0
350,350,0.001,36,1,88.0597014925373,59,8,67,29,36,0
350,350,0.005,36,1,88.0597014925373,59,8,67,29,36,0
350,350,0.01,36,1,88.0597014925373,59,8,67,29,36,0
350,350,0.05,36,2,90.4761904761905,57,6,63,29,36,0
350,350,0.1,36,4,92.5925925925926,50,4,54,25,36,0
350,350,0.15,36,6,92,46,4,50,22,36,0
350,350,0.2,36,8,95.6521739130435,44,2,46,20,36,0
350,400,0.001,36,1,88.0597014925373,59,8,67,29,36,0
350,400,0.005,36,1,88.0597014925373,59,8,67,29,36,0
350,400,0.01,36,1,88.0597014925373,59,8,67,29,36,0
350,400,0.05,36,2,90.4761904761905,57,6,63,29,36,0
350,400,0.1,36,4,92.5925925925926,50,4,54,25,36,0
350,400,0.15,36,6,92,46,4,50,22,36,0
350,400,0.2,36,8,95.6521739130435,44,2,46,20,36,0
400,200,0.001,36,1,88.0597014925373,59,8,67,29,36,0
400,200,0.005,36,1,88.0597014925373,59,8,67,29,36,0
400,200,0.01,36,1,88.0597014925373,59,8,67,29,36,0
400,200,0.05,36,2,90.4761904761905,57,6,63,29,36,0
400,200,0.1,36,4,92.5925925925926,50,4,54,25,36,0
400,200,0.15,36,6,92,46,4,50,22,36,0
400,200,0.2,36,8,95.6521739130435,44,2,46,20,36,0
400,250,0.001,36,1,88.0597014925373,59,8,67,29,36,0
400,250,0.005,36,1,88.0597014925373,59,8,67,29,36,0
400,250,0.01,36,1,88.0597014925373,59,8,67,29,36,0
400,250,0.05,36,2,90.4761904761905,57,6,63,29,36,0
400,250,0.1,36,4,92.5925925925926,50,4,54,25,36,0
400,250,0.15,36,6,92,46,4,50,22,36,0
400,250,0.2,36,8,95.6521739130435,44,2,46,20,36,0
400,300,0.001,36,1,88.0597014925373,59,8,67,29,36,0
400,300,0.005,36,1,88.0597014925373,59,8,67,29,36,0
400,300,0.01,36,1,88.0597014925373,59,8,67,29,36,0
400,300,0.05,36,2,90.4761904761905,57,6,63,29,36,0
400,300,0.1,36,4,92.5925925925926,50,4,54,25,36,0
400,300,0.15,36,6,92,46,4,50,22,36,0
400,300,0.2,36,8,95.6521739130435,44,2,46,20,36,0
400,350,0.001,36,1,88.0597014925373,59,8,67,29,36,0
400,350,0.005,36,1,88.0597014925373,59,8,67,29,36,0
400,350,0.01,36,1,88.0597014925373,59,8,67,29,36,0
400,350,0.05,36,2,90.4761904761905,57,6,63,29,36,0
400,350,0.1,36,4,92.5925925925926,50,4,54,25,36,0
400,350,0.15,36,6,92,46,4,50,22,36,0
400,350,0.2,36,8,95.6521739130435,44,2,46,20,36,0
400,400,0.001,36,1,88.0597014925373,59,8,67,29,36,0
400,400,0.005,36,1,88.0597014925373,59,8,67,29,36,0
400,400,0.01,36,1,88.0597014925373,59,8,67,29,36,0
400,400,0.05,36,2,90.4761904761905,57,6,63,29,36,0
400,400,0.1,36,4,92.5925925925926,50,4,54,25,36,0
400,400,0.15,36,6,92,46,4,50,22,36,0
400,400,0.2,36,8,95.6521739130435,44,2,46,20,36,0
450,200,0.001,36,1,87.5,56,8,64,29,36,0
450,200,0.005,36,1,87.5,56,8,64,29,36,0
450,200,0.01,36,1,87.5,56,8,64,29,36,0
450,200,0.05,36,2,90.1639344262295,55,6,61,29,36,0
450,200,0.1,36,4,92.3076923076923,48,4,52,25,36,0
450,200,0.15,36,6,91.6666666666667,44,4,48,22,36,0
450,200,0.2,36,8,95.5555555555556,43,2,45,20,36,0
450,250,0.001,36,1,87.5,56,8,64,29,36,0
450,250,0.005,36,1,87.5,56,8,64,29,36,0
450,250,0.01,36,1,87.5,56,8,64,29,36,0
450,250,0.05,36,2,90.1639344262295,55,6,61,29,36,0
450,250,0.1,36,4,92.3076923076923,48,4,52,25,36,0
450,250,0.15,36,6,91.6666666666667,44,4,48,22,36,0
450,250,0.2,36,8,95.5555555555556,43,2,45,20,36,0
450,300,0.001,36,1,87.5,56,8,64,29,36,0
450,300,0.005,36,1,87.5,56,8,64,29,36,0
450,300,0.01,36,1,87.5,56,8,64,29,36,0
450,300,0.05,36,2,90.1639344262295,55,6,61,29,36,0
450,300,0.1,36,4,92.3076923076923,48,4,52,25,36,0
450,300,0.15,36,6,91.6666666666667,44,4,48,22,36,0
450,300,0.2,36,8,95.5555555555556,43,2,45,20,36,0
450,350,0.001,36,1,87.5,56,8,64,29,36,0
450,350,0.005,36,1,87.5,56,8,64,29,36,0
450,350,0.01,36,1,87.5,56,8,64,29,36,0
450,350,0.05,36,2,90.1639344262295,55,6,61,29,36,0
450,350,0.1,36,4,92.3076923076923,48,4,52,25,36,0
450,350,0.15,36,6,91.6666666666667,44,4,48,22,36,0
450,350,0.2,36,8,95.5555555555556,43,2,45,20,36,0
450,400,0.001,36,1,87.5,56,8,64,29,36,0
450,400,0.005,36,1,87.5,56,8,64,29,36,0
450,400,0.01,36,1,87.5,56,8,64,29,36,0
450,400,0.05,36,2,90.1639344262295,55,6,61,29,36,0
450,400,0.1,36,4,92.3076923076923,48,4,52,25,36,0
450,400,0.15,36,6,91.6666666666667,44,4,48,22,36,0
450,400,0.2,36,8,95.5555555555556,43,2,45,20,36,0
500,200,0.001,36,1,87.5,56,8,64,29,36,0
500,200,0.005,36,1,87.5,56,8,64,29,36,0
500,200,0.01,36,1,87.5,56,8,64,29,36,0
500,200,0.05,36,2,90.1639344262295,55,6,61,29,36,0
500,200,0.1,36,4,92.3076923076923,48,4,52,25,36,0
500,200,0.15,36,6,91.6666666666667,44,4,48,22,36,0
500,200,0.2,36,8,95.5555555555556,43,2,45,20,36,0
500,250,0.001,36,1,87.5,56,8,64,29,36,0
500,250,0.005,36,1,87.5,56,8,64,29,36,0
500,250,0.01,36,1,87.5,56,8,64,29,36,0
500,250,0.05,36,2,90.1639344262295,55,6,61,29,36,0
500,250,0.1,36,4,92.3076923076923,48,4,52,25,36,0
500,250,0.15,36,6,91.6666666666667,44,4,48,22,36,0
500,250,0.2,36,8,95.5555555555556,43,2,45,20,36,0
500,300,0.001,36,1,87.5,56,8,64,29,36,0
500,300,0.005,36,1,87.5,56,8,64,29,36,0
500,300,0.01,36,1,87.5,56,8,64,29,36,0
500,300,0.05,36,2,90.1639344262295,55,6,61,29,36,0
500,300,0.1,36,4,92.3076923076923,48,4,52,25,36,0
500,300,0.15,36,6,91.6666666666667,44,4,48,22,36,0
500,300,0.2,36,8,95.5555555555556,43,2,45,20,36,0
500,350,0.001,36,1,87.5,56,8,64,29,36,0
500,350,0.005,36,1,87.5,56,8,64,29,36,0
500,350,0.01,36,1,87.5,56,8,64,29,36,0
500,350,0.05,36,2,90.1639344262295,55,6,61,29,36,0
500,350,0.1,36,4,92.3076923076923,48,4,52,25,36,0
500,350,0.15,36,6,91.6666666666667,44,4,48,22,36,0
500,350,0.2,36,8,95.5555555555556,43,2,45,20,36,0
