"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","NS6_PPV","NS6_TP","NS6_FP","NS6_Total_ASVs","NS6_Unique_taxa","NS6_Taxa_with_no_species_before_filtering","NS6_Taxa_with_no_species_after_filtering"
200,350,0.01,35,1,97.6744186046512,84,2,86,30,36,0
200,350,0.05,35,2,100,80,0,80,28,36,0
200,350,0.1,35,4,100,63,0,63,24,36,0
200,350,0.15,35,6,100,59,0,59,24,36,0
200,350,0.2,35,7,100,55,0,55,24,36,0
200,400,0.001,35,1,97.6744186046512,84,2,86,30,36,0
200,400,0.005,35,1,97.6744186046512,84,2,86,30,36,0
200,400,0.01,35,1,97.6744186046512,84,2,86,30,36,0
200,400,0.05,35,2,100,80,0,80,28,36,0
200,400,0.1,35,4,100,63,0,63,24,36,0
200,400,0.15,35,6,100,59,0,59,24,36,0
200,400,0.2,35,7,100,55,0,55,24,36,0
250,200,0.001,35,1,98.75,79,1,80,29,36,0
250,200,0.005,35,1,98.75,79,1,80,29,36,0
250,200,0.01,35,1,98.75,79,1,80,29,36,0
250,200,0.05,35,2,100,76,0,76,28,36,0
250,200,0.1,35,4,100,63,0,63,24,36,0
250,200,0.15,35,6,100,59,0,59,24,36,0
250,200,0.2,35,7,100,55,0,55,24,36,0
250,250,0.001,35,1,98.75,79,1,80,29,36,0
250,250,0.005,35,1,98.75,79,1,80,29,36,0
250,250,0.01,35,1,98.75,79,1,80,29,36,0
250,250,0.05,35,2,100,76,0,76,28,36,0
250,250,0.1,35,4,100,63,0,63,24,36,0
250,250,0.15,35,6,100,59,0,59,24,36,0
250,250,0.2,35,7,100,55,0,55,24,36,0
250,300,0.001,35,1,98.75,79,1,80,29,36,0
250,300,0.005,35,1,98.75,79,1,80,29,36,0
250,300,0.01,35,1,98.75,79,1,80,29,36,0
250,300,0.05,35,2,100,76,0,76,28,36,0
250,300,0.1,35,4,100,63,0,63,24,36,0
250,300,0.15,35,6,100,59,0,59,24,36,0
250,300,0.2,35,7,100,55,0,55,24,36,0
250,350,0.001,35,1,98.75,79,1,80,29,36,0
250,350,0.005,35,1,98.75,79,1,80,29,36,0
250,350,0.01,35,1,98.75,79,1,80,29,36,0
250,350,0.05,35,2,100,76,0,76,28,36,0
250,350,0.1,35,4,100,63,0,63,24,36,0
250,350,0.15,35,6,100,59,0,59,24,36,0
250,350,0.2,35,7,100,55,0,55,24,36,0
250,400,0.001,35,1,98.75,79,1,80,29,36,0
250,400,0.005,35,1,98.75,79,1,80,29,36,0
250,400,0.01,35,1,98.75,79,1,80,29,36,0
250,400,0.05,35,2,100,76,0,76,28,36,0
250,400,0.1,35,4,100,63,0,63,24,36,0
250,400,0.15,35,6,100,59,0,59,24,36,0
250,400,0.2,35,7,100,55,0,55,24,36,0
300,200,0.001,35,1,98.6842105263158,75,1,76,29,36,0
300,200,0.005,35,1,98.6842105263158,75,1,76,29,36,0
300,200,0.01,35,1,98.6842105263158,75,1,76,29,36,0
300,200,0.05,35,2,100,74,0,74,28,36,0
300,200,0.1,35,4,100,63,0,63,24,36,0
300,200,0.15,35,6,100,59,0,59,24,36,0
300,200,0.2,35,7,100,55,0,55,24,36,0
300,250,0.001,35,1,98.6842105263158,75,1,76,29,36,0
300,250,0.005,35,1,98.6842105263158,75,1,76,29,36,0
300,250,0.01,35,1,98.6842105263158,75,1,76,29,36,0
300,250,0.05,35,2,100,74,0,74,28,36,0
300,250,0.1,35,4,100,63,0,63,24,36,0
300,250,0.15,35,6,100,59,0,59,24,36,0
300,250,0.2,35,7,100,55,0,55,24,36,0
300,300,0.001,35,1,98.6842105263158,75,1,76,29,36,0
300,300,0.005,35,1,98.6842105263158,75,1,76,29,36,0
300,300,0.01,35,1,98.6842105263158,75,1,76,29,36,0
300,300,0.05,35,2,100,74,0,74,28,36,0
300,300,0.1,35,4,100,63,0,63,24,36,0
300,300,0.15,35,6,100,59,0,59,24,36,0
300,300,0.2,35,7,100,55,0,55,24,36,0
300,350,0.001,35,1,98.6842105263158,75,1,76,29,36,0
300,350,0.005,35,1,98.6842105263158,75,1,76,29,36,0
300,350,0.01,35,1,98.6842105263158,75,1,76,29,36,0
300,350,0.05,35,2,100,74,0,74,28,36,0
300,350,0.1,35,4,100,63,0,63,24,36,0
300,350,0.15,35,6,100,59,0,59,24,36,0
300,350,0.2,35,7,100,55,0,55,24,36,0
300,400,0.001,35,1,98.6842105263158,75,1,76,29,36,0
300,400,0.005,35,1,98.6842105263158,75,1,76,29,36,0
300,400,0.01,35,1,98.6842105263158,75,1,76,29,36,0
300,400,0.05,35,2,100,74,0,74,28,36,0
300,400,0.1,35,4,100,63,0,63,24,36,0
300,400,0.15,35,6,100,59,0,59,24,36,0
300,400,0.2,35,7,100,55,0,55,24,36,0
350,200,0.001,35,1,98.6666666666667,74,1,75,28,36,0
350,200,0.005,35,1,98.6666666666667,74,1,75,28,36,0
350,200,0.01,35,1,98.6666666666667,74,1,75,28,36,0
350,200,0.05,35,2,100,73,0,73,27,36,0
350,200,0.1,35,4,100,63,0,63,24,36,0
350,200,0.15,35,6,100,59,0,59,24,36,0
350,200,0.2,35,7,100,55,0,55,24,36,0
350,250,0.001,35,1,98.6666666666667,74,1,75,28,36,0
350,250,0.005,35,1,98.6666666666667,74,1,75,28,36,0
350,250,0.01,35,1,98.6666666666667,74,1,75,28,36,0
350,250,0.05,35,2,100,73,0,73,27,36,0
350,250,0.1,35,4,100,63,0,63,24,36,0
350,250,0.15,35,6,100,59,0,59,24,36,0
350,250,0.2,35,7,100,55,0,55,24,36,0
350,300,0.001,35,1,98.6666666666667,74,1,75,28,36,0
350,300,0.005,35,1,98.6666666666667,74,1,75,28,36,0
350,300,0.01,35,1,98.6666666666667,74,1,75,28,36,0
350,300,0.05,35,2,100,73,0,73,27,36,0
350,300,0.1,35,4,100,63,0,63,24,36,0
350,300,0.15,35,6,100,59,0,59,24,36,0
350,300,0.2,35,7,100,55,0,55,24,36,0
