	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
31	PWY-6263	Week_and_consortia	NS1_w9w10	-2.1072980828601	0.121850156356568	72	72	8.66776754353694e-27	8.2885527135072e-26	PWY-6263	superpathway of menaquinol-8 biosynthesis II // vitamin K<sub>2</sub> biosynthesis II // superpathway of menaquinone-8 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
32	ARGORNPROST-PWY	Week_and_consortia	NS1_w9w10	1.40999913419231	0.0837357064239226	72	72	2.55447286196693e-26	2.36869301746024e-25									
33	GLYCOLYSIS	Week_and_consortia	NS1_w9w10	0.14136389204703	0.0084621439033123	72	72	3.99344236203562e-26	3.59409812583206e-25	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate) // Embden-Meyerhof pathway // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis (plastidic)	Generation of precursor metabolites and energy						
34	PWY-5484	Week_and_consortia	NS1_w9w10	0.203314357357501	0.0123097907596003	72	72	7.553969411307779e-26	6.604327542457661e-25	PWY-5484	glycolysis II (from fructose 6-phosphate)	Generation of precursor metabolites and energy						
35	ORNDEG-PWY	Week_and_consortia	NS1_w9w10	2.42915443743562	0.14730486073935	72	52	8.24403289442598e-26	7.007427960262081e-25	ORNDEG-PWY	superpathway of ornithine degradation	Degradation/utilization/assimilation	Superpathways					
36	PWY-5705	Week_and_consortia	NS1_w9w10	2.01332115222667	0.123690072008164	72	72	1.70415332935507e-25	1.4093808615747301e-24	PWY-5705	allantoin degradation to glyoxylate III	Degradation/utilization/assimilation	Superpathways					
37	PWY-181	Week_and_consortia	NS1_w9w10	4.07341071044576	0.251294694839072	72	52	2.14604511006308e-25	1.72813106231396e-24	PWY-181	photorespiration I // C2 photorespiratory carbon oxidation cycle // PCO cycle	Generation of precursor metabolites and energy						
38	KETOGLUCONMET-PWY	Week_and_consortia	NS1_w9w10	2.37161691096222	0.146528926521453	72	52	2.3328874007089e-25	1.8304193451716002e-24	KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation/utilization/assimilation	Superpathways					
39	SULFATE-CYS-PWY	Week_and_consortia	NS1_w9w10	0.178443580370888	0.011053500814951	72	72	2.69129702358304e-25	2.05884222304102e-24	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	Degradation/utilization/assimilation	Superpathways					
40	ARGDEG-PWY	Week_and_consortia	NS1_w9w10	2.30033778094971	0.144839269528367	72	52	6.63144195779736e-25	4.54648167855102e-24	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // L-arginine utilization // ADC pathway	Degradation/utilization/assimilation	Superpathways					
41	ORNARGDEG-PWY	Week_and_consortia	NS1_w9w10	2.30033778094971	0.144839269528367	72	52	6.63144195779736e-25	4.54648167855102e-24	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation/utilization/assimilation	Superpathways					
42	PWY-5179	Week_and_consortia	NS1_w9w10	2.20313269778387	0.137591165422611	72	52	6.12111834174569e-25	4.54648167855102e-24	PWY-5179	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)	Degradation/utilization/assimilation	Superpathways					
43	PWY-6749	Week_and_consortia	NS1_w9w10	-1.79286485051756	0.112903385648519	72	72	6.686002468457381e-25	4.54648167855102e-24	PWY-6749	CMP-legionaminate biosynthesis I // CMP-legionaminic acid biosynthesis I // 5,7-diacetamido-3,5,7,9-tetradeoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis I // CMP-<i>N</i>, <i>N</i>-diacetyllegionaminate biosynthesis I	Biosynthesis						
44	PYRIDOXSYN-PWY	Week_and_consortia	NS1_w9w10	0.439110614036383	0.0276491880277627	72	72	6.64298640564517e-25	4.54648167855102e-24	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis	Biosynthesis						
45	PWY-5265	Week_and_consortia	NS1_w9w10	4.15647396239614	0.264278806681821	72	52	1.1336402792473301e-24	7.5411722923844e-24	PWY-5265	peptidoglycan biosynthesis II (staphylococci)	Superpathways	Biosynthesis	Cell structure biosynthesis				
46	SALVADEHYPOX-PWY	Week_and_consortia	NS1_w9w10	1.23106624909299	0.0785286138711584	72	72	1.35396895187939e-24	8.81520211223602e-24	SALVADEHYPOX-PWY	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism	Degradation/utilization/assimilation						
47	PWY-6969	Week_and_consortia	NS1_w9w10	0.140668666050787	0.009041646458956	72	72	2.05117946556735e-24	1.30762690929919e-23	PWY-6969	TCA cycle V (2-oxoglutarate synthase) // citric acid cycle // tricarboxylic acid cycle // Szent-Gyorgyi-Krebs cycle // Krebs cycle // TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase) // reversed TCA cycle	Generation of precursor metabolites and energy						
48	PWY-1622	Week_and_consortia	NS1_w9w10	4.29637788923014	0.277062202601572	72	52	2.45250980853471e-24	1.53156734981963e-23	PWY-1622	formaldehyde assimilation I (serine pathway)	Degradation/utilization/assimilation						
49	PWY-6071	Week_and_consortia	NS1_w9w10	2.3086110899775	0.14937044851412	72	52	2.93690616873956e-24	1.7973865752686102e-23	PWY-6071	superpathway of phenylethylamine degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Aromatic compound degradation	Superpathways			
50	PWY0-321	Week_and_consortia	NS1_w9w10	2.31846517042614	0.150984814861093	72	52	4.17717224889499e-24	2.5063033493369902e-23	PWY0-321	phenylacetate degradation I (aerobic)	Degradation/utilization/assimilation						
51	NONOXIPENT-PWY	Week_and_consortia	NS1_w9w10	0.282032804561924	0.0183894658554793	72	72	4.4664957635035605e-24	2.6283609685232502e-23	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	Generation of precursor metabolites and energy						
52	PWY-6344	Week_and_consortia	NS1_w9w10	1.29619593221539	0.0856068297929416	72	72	8.92704036245196e-24	5.15410254888736e-23	PWY-6344	L-arginine degradation XIV (oxidative Stickland reaction) // L-arginine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
53	PWY-5667	Week_and_consortia	NS1_w9w10	-0.201889061793475	0.0135000103834004	72	72	1.73696867971119e-23	9.663862109299961e-23	PWY-5667	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis	Biosynthesis						
54	PWY0-1319	Week_and_consortia	NS1_w9w10	-0.201889061793475	0.0135000103834004	72	72	1.7369686797761402e-23	9.663862109299961e-23	PWY0-1319	CDP-diacylglycerol biosynthesis II	Biosynthesis						
55	PWY-7111	Week_and_consortia	NS1_w9w10	-0.206260794283105	0.0138362486990292	72	72	2.05894904340085e-23	1.12506858442975e-22	PWY-7111	pyruvate fermentation to isobutanol (engineered) // isobutanol biosynthesis // pyruvic acid fermentation to isobutanol (engineered)	Generation of precursor metabolites and energy						
56	X1CMET2-PWY	Week_and_consortia	NS1_w9w10	0.104405386808385	0.0070427607579925	72	72	2.7718444167439704e-23	1.48804279214676e-22									
57	PWY-7210	Week_and_consortia	NS1_w9w10	-1.14939490870086	0.0778178957673174	72	72	3.36889950077639e-23	1.7773849090303e-22	PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
58	PWY-7234	Week_and_consortia	NS1_w9w10	-1.37933796753462	0.0942880580148045	72	72	7.79074469455082e-23	4.0406235195467e-22	PWY-7234	inosine-5'-phosphate biosynthesis III // IMP biosynthesis I	Biosynthesis						
59	PWY-5347	Week_and_consortia	NS1_w9w10	0.247131447361196	0.0170116339690238	72	72	8.12139986303351e-23	4.1419139301470896e-22	PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Superpathways	Biosynthesis	Amino acid biosynthesis				
60	PWY-7399	Week_and_consortia	NS1_w9w10	-1.91226459001839	0.131002105310012	72	72	8.667153416268731e-23	4.34778515635775e-22	PWY-7399	methylphosphonate degradation II	Degradation/utilization/assimilation						
