	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
59	PWY-2201	Week_and_consortia	NS6_w5w6	-1.90406105756595	0.151549102285129	54	42	2.22494668771096e-17	1.13843105521211e-16	PWY-2201	folate transformations I	Biosynthesis						
60	NAD-BIOSYNTHESIS-II	Week_and_consortia	NS6_w5w6	1.35204943462153	0.107730884606544	54	54	2.32280356338034e-17	1.1690175310783001e-16	NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside) // nicotinamide adenine dinucleotide salvage	Biosynthesis						
61	PWY-7539	Week_and_consortia	NS6_w5w6	0.605024179602666	0.0480093643920558	54	54	2.64148824661978e-17	1.30796272856818e-16	PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	Biosynthesis						
62	PWY-7211	Week_and_consortia	NS6_w5w6	-0.433302497207833	0.0354086400417206	54	54	6.23469032495278e-17	3.03817449168334e-16	PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
63	FOLSYN-PWY	Week_and_consortia	NS6_w5w6	0.139468885540336	0.0115183392907831	54	54	1.22365184059372e-16	5.86970492284801e-16	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
64	PWY0-162	Week_and_consortia	NS6_w5w6	-0.22811483709236	0.0189839943391035	54	54	1.26146243651714e-16	5.9579841232425e-16	PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // pyrimidine biosynthesis	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
65	FUCCAT-PWY	Week_and_consortia	NS6_w5w6	-0.384370136994984	0.0322921262954523	54	54	2.34849193270524e-16	1.0924045808189502e-15	FUCCAT-PWY	L-fucose degradation I // L-fucose catabolism	Degradation/utilization/assimilation						
66	GLUCOSE1PMETAB-PWY	Week_and_consortia	NS6_w5w6	0.576815080121259	0.0489728783204824	54	54	2.71245268920022e-16	1.2428701128126402e-15	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Degradation/utilization/assimilation						
67	ASPASN-PWY	Week_and_consortia	NS6_w5w6	0.569386721173579	0.0480428963119133	54	54	2.79872752353048e-16	1.26354316135861e-15	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis // Interconversion of L-aspartate and L-asparagine	Superpathways	Biosynthesis	Amino acid biosynthesis				
68	PWY-6507	Week_and_consortia	NS6_w5w6	0.549187535783565	0.0469462229625993	54	54	3.51492698172136e-16	1.5638878020122602e-15	PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation // 5-dehydro-4-deoxy-D-glucuronate degradation	Degradation/utilization/assimilation						
69	KETOGLUCONMET-PWY	Week_and_consortia	NS6_w5w6	-1.97781570353475	0.170049079378603	54	42	4.37470316531816e-16	1.9186198167895302e-15	KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation/utilization/assimilation	Superpathways					
70	PWY-5509	Week_and_consortia	NS6_w5w6	0.275906694943621	0.0236345856612889	54	54	4.941246811852e-16	2.1365672834346002e-15	PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	Biosynthesis						
71	PWY-6269	Week_and_consortia	NS6_w5w6	0.283765043923821	0.0243680297463756	54	54	5.41707613606219e-16	2.30978107468207e-15	PWY-6269	superpathway of adenosylcobalamin salvage from cobinamide II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
72	PWY-5347	Week_and_consortia	NS6_w5w6	0.452791563687236	0.0391317436369065	54	54	6.92134478545034e-16	2.9107573275798e-15	PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Superpathways	Biosynthesis	Amino acid biosynthesis				
73	PWY-5154	Week_and_consortia	NS6_w5w6	0.360586589549654	0.0315419512174377	54	54	1.0666487855654e-15	4.42515104281862e-15	PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	Biosynthesis						
74	GLUCARDEG-PWY	Week_and_consortia	NS6_w5w6	1.19892399843071	0.105869975087424	54	54	1.19193354891897e-15	4.8789813269083405e-15	GLUCARDEG-PWY	<i>D</i>-glucarate degradation I // <i>D</i>-glucarate catabolism	Degradation/utilization/assimilation						
75	HOMOSER-METSYN-PWY	Week_and_consortia	NS6_w5w6	0.630153615211759	0.0553853263379454	54	54	1.29032284665554e-15	5.2122251832006706e-15	HOMOSER-METSYN-PWY	L-methionine biosynthesis I // L-methionine biosynthesis from L-homoserine // L-methionine biosynthesis by transsulfuration	Biosynthesis						
76	PWY-6588	Week_and_consortia	NS6_w5w6	-1.82808400312113	0.163386025295134	54	54	1.8655384230173104e-15	7.43792592034176e-15	PWY-6588	pyruvate fermentation to acetone // acetone fermentation // pyruvic acid fermentation to acetone	Generation of precursor metabolites and energy						
77	P42-PWY	Week_and_consortia	NS6_w5w6	0.184393262686878	0.0165309391217316	54	54	2.08993300164597e-15	8.2257619423758e-15	P42-PWY	incomplete reductive TCA cycle // citric acid cycle variant // tricarboxylic acid cycle variant // TCA cycle variation I // incomplete reductive tricarboxylic acid cycle	Degradation/utilization/assimilation						
78	PWY-5384	Week_and_consortia	NS6_w5w6	-0.93201279926812	0.0845709091941523	54	54	3.2608881138449104e-15	1.26720588727897e-14	PWY-5384	sucrose degradation IV (sucrose phosphorylase)	Degradation/utilization/assimilation						
79	GLUTORN-PWY	Week_and_consortia	NS6_w5w6	-0.218549635562318	0.0198622086115007	54	54	3.4531536369526404e-15	1.32514770818058e-14	GLUTORN-PWY	L-ornithine biosynthesis I	Biosynthesis						
80	MET-SAM-PWY	Week_and_consortia	NS6_w5w6	0.501303075196457	0.0457732463742724	54	54	5.194875108575681e-15	1.9689218004107802e-14	MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis from L-aspartate	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
81	COLANSYN-PWY	Week_and_consortia	NS6_w5w6	-0.440998626898427	0.0405548247951597	54	54	5.3156793460839996e-15	1.99013848688755e-14	COLANSYN-PWY	colanic acid building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
82	GALACTUROCAT-PWY	Week_and_consortia	NS6_w5w6	0.393262384986093	0.0364366678665852	54	54	6.976728371963951e-15	2.58054892794329e-14	GALACTUROCAT-PWY	D-galacturonate degradation I // D-galacturonate catabolism // D-galacturonate degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
83	THRESYN-PWY	Week_and_consortia	NS6_w5w6	0.253605192089986	0.0235944559076307	54	54	8.10308360915397e-15	2.96148412858365e-14	THRESYN-PWY	superpathway of L-threonine biosynthesis	Superpathways	Biosynthesis	Amino acid biosynthesis				
84	PWY-7399	Week_and_consortia	NS6_w5w6	-1.73107747791733	0.160116046524306	54	54	8.2291502423564e-15	2.97217544047461e-14	PWY-7399	methylphosphonate degradation II	Degradation/utilization/assimilation						
85	PWY-181	Week_and_consortia	NS6_w5w6	4.15982569353031	0.395451312596408	54	46	1.75812929669629e-14	6.27598469005307e-14	PWY-181	photorespiration I // C2 photorespiratory carbon oxidation cycle // PCO cycle	Generation of precursor metabolites and energy						
86	PWY-3001	Week_and_consortia	NS6_w5w6	0.157506006886567	0.0149780576682579	54	54	1.77853637796292e-14	6.27598469005307e-14	PWY-3001	superpathway of L-isoleucine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
87	ARGSYNBSUB-PWY	Week_and_consortia	NS6_w5w6	-0.336419931326198	0.0326965053806305	54	54	3.84819601367641e-14	1.3424956547712e-13	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Biosynthesis						
88	PWY-5855	Week_and_consortia	NS6_w5w6	-0.455304948747243	0.0444819965918165	54	54	4.62082282513909e-14	1.54194848621489e-13	PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation) // ubiquinone-7 biosynthesis (prokaryotic) // ubiquinol-7 biosynthesis (prokaryotic)	Biosynthesis						
89	PWY-5856	Week_and_consortia	NS6_w5w6	-0.455304948747243	0.0444819965918165	54	54	4.62082282513909e-14	1.54194848621489e-13	PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation) // Q9 biosynthesis // ubiquinone-9 biosynthesis (prokaryotic) // ubiquinol-9 biosynthesis (prokaryotic)	Biosynthesis						
