Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1050R_S2_RR_Male_week9_S84_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 20.0)	(20.0, 96.0)	(21.0, 180.0)	(22.0, 310.0)	(23.0, 525.0)	(24.0, 754.0)	(25.0, 1270.0)	(26.0, 2003.0)	(27.0, 2717.0)	(28.0, 3325.0)	(29.0, 3625.0)	(30.0, 4117.0)	(31.0, 4426.0)	(32.0, 5511.0)	(33.0, 6716.0)	(34.0, 8964.0)	(35.0, 13515.0)	(36.0, 24774.0)	(37.0, 83490.0)					
1050R_S2_RR_Male_week9_S84_L001_R2_001	(15.0, 2.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 13.0)	(20.0, 94.0)	(21.0, 330.0)	(22.0, 568.0)	(23.0, 705.0)	(24.0, 841.0)	(25.0, 1121.0)	(26.0, 1576.0)	(27.0, 2158.0)	(28.0, 3249.0)	(29.0, 4559.0)	(30.0, 6626.0)	(31.0, 9523.0)	(32.0, 14741.0)	(33.0, 22748.0)	(34.0, 32637.0)	(35.0, 37433.0)	(36.0, 25059.0)	(37.0, 2349.0)			
1050R_S2_R_Male_week5_S69_L001_R1_001	(18.0, 4.0)	(19.0, 6.0)	(20.0, 28.0)	(21.0, 92.0)	(22.0, 154.0)	(23.0, 229.0)	(24.0, 447.0)	(25.0, 747.0)	(26.0, 1183.0)	(27.0, 1722.0)	(28.0, 2148.0)	(29.0, 2409.0)	(30.0, 2636.0)	(31.0, 3014.0)	(32.0, 3486.0)	(33.0, 4434.0)	(34.0, 5929.0)	(35.0, 8901.0)	(36.0, 15664.0)	(37.0, 65693.0)	(38.0, 5.0)					
1050R_S2_R_Male_week5_S69_L001_R2_001	(16.0, 2.0)	(17.0, 4.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 82.0)	(21.0, 254.0)	(22.0, 421.0)	(23.0, 576.0)	(24.0, 665.0)	(25.0, 816.0)	(26.0, 1157.0)	(27.0, 1733.0)	(28.0, 2573.0)	(29.0, 3813.0)	(30.0, 5188.0)	(31.0, 7588.0)	(32.0, 11161.0)	(33.0, 16883.0)	(34.0, 23093.0)	(35.0, 25077.0)	(36.0, 16181.0)	(37.0, 1656.0)				
1050R_S2_R_Male_week9_S83_L001_R1_001	(17.0, 1.0)	(18.0, 7.0)	(19.0, 23.0)	(20.0, 62.0)	(21.0, 123.0)	(22.0, 227.0)	(23.0, 333.0)	(24.0, 506.0)	(25.0, 1030.0)	(26.0, 1636.0)	(27.0, 2250.0)	(28.0, 2772.0)	(29.0, 3021.0)	(30.0, 3222.0)	(31.0, 3686.0)	(32.0, 4459.0)	(33.0, 5383.0)	(34.0, 7383.0)	(35.0, 10904.0)	(36.0, 20090.0)	(37.0, 61434.0)	(38.0, 1.0)				
1050R_S2_R_Male_week9_S83_L001_R2_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 5.0)	(19.0, 11.0)	(20.0, 80.0)	(21.0, 299.0)	(22.0, 578.0)	(23.0, 688.0)	(24.0, 757.0)	(25.0, 996.0)	(26.0, 1355.0)	(27.0, 1955.0)	(28.0, 2993.0)	(29.0, 4046.0)	(30.0, 5920.0)	(31.0, 8725.0)	(32.0, 13290.0)	(33.0, 19719.0)	(34.0, 26095.0)	(35.0, 25528.0)	(36.0, 14473.0)	(37.0, 1032.0)			
1127R_S2_0_Female_week5_S62_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 4.0)	(20.0, 38.0)	(21.0, 90.0)	(22.0, 162.0)	(23.0, 291.0)	(24.0, 488.0)	(25.0, 860.0)	(26.0, 1389.0)	(27.0, 2129.0)	(28.0, 2648.0)	(29.0, 3024.0)	(30.0, 3224.0)	(31.0, 3730.0)	(32.0, 4439.0)	(33.0, 5539.0)	(34.0, 7353.0)	(35.0, 10691.0)	(36.0, 18960.0)	(37.0, 79357.0)	(38.0, 1.0)				
1127R_S2_0_Female_week5_S62_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 94.0)	(21.0, 345.0)	(22.0, 602.0)	(23.0, 712.0)	(24.0, 884.0)	(25.0, 1182.0)	(26.0, 1569.0)	(27.0, 2346.0)	(28.0, 3581.0)	(29.0, 5137.0)	(30.0, 7260.0)	(31.0, 10161.0)	(32.0, 14888.0)	(33.0, 22136.0)	(34.0, 28673.0)	(35.0, 27948.0)	(36.0, 15589.0)	(37.0, 1299.0)		
1127R_S2_0_Female_week9_S76_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 22.0)	(21.0, 61.0)	(22.0, 152.0)	(23.0, 293.0)	(24.0, 454.0)	(25.0, 805.0)	(26.0, 1263.0)	(27.0, 1845.0)	(28.0, 2336.0)	(29.0, 2677.0)	(30.0, 2932.0)	(31.0, 3330.0)	(32.0, 3899.0)	(33.0, 5121.0)	(34.0, 6558.0)	(35.0, 9716.0)	(36.0, 17506.0)	(37.0, 75119.0)	(38.0, 1.0)			
1127R_S2_0_Female_week9_S76_L001_R2_001	(15.0, 3.0)	(16.0, 2.0)	(17.0, 8.0)	(18.0, 6.0)	(19.0, 6.0)	(20.0, 73.0)	(21.0, 287.0)	(22.0, 492.0)	(23.0, 621.0)	(24.0, 751.0)	(25.0, 948.0)	(26.0, 1412.0)	(27.0, 1962.0)	(28.0, 3049.0)	(29.0, 4197.0)	(30.0, 5973.0)	(31.0, 8371.0)	(32.0, 12353.0)	(33.0, 18384.0)	(34.0, 25835.0)	(35.0, 28473.0)	(36.0, 18888.0)	(37.0, 2008.0)			
1127R_S2_R_Female_week5_S63_L001_R1_001	(17.0, 2.0)	(18.0, 1.0)	(19.0, 9.0)	(20.0, 45.0)	(21.0, 80.0)	(22.0, 161.0)	(23.0, 251.0)	(24.0, 427.0)	(25.0, 729.0)	(26.0, 1241.0)	(27.0, 1758.0)	(28.0, 2191.0)	(29.0, 2546.0)	(30.0, 2977.0)	(31.0, 3351.0)	(32.0, 4012.0)	(33.0, 5087.0)	(34.0, 6734.0)	(35.0, 10001.0)	(36.0, 17515.0)	(37.0, 70438.0)					
1127R_S2_R_Female_week5_S63_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 8.0)	(20.0, 76.0)	(21.0, 304.0)	(22.0, 452.0)	(23.0, 593.0)	(24.0, 654.0)	(25.0, 942.0)	(26.0, 1259.0)	(27.0, 2022.0)	(28.0, 3089.0)	(29.0, 4357.0)	(30.0, 6095.0)	(31.0, 9187.0)	(32.0, 13233.0)	(33.0, 19360.0)	(34.0, 25310.0)	(35.0, 25290.0)	(36.0, 15899.0)	(37.0, 1411.0)		
1127R_S2_R_Female_week9_S77_L001_R1_001	(17.0, 5.0)	(18.0, 10.0)	(19.0, 20.0)	(20.0, 86.0)	(21.0, 196.0)	(22.0, 345.0)	(23.0, 517.0)	(24.0, 963.0)	(25.0, 1594.0)	(26.0, 2667.0)	(27.0, 3588.0)	(28.0, 4508.0)	(29.0, 5294.0)	(30.0, 5884.0)	(31.0, 6649.0)	(32.0, 7808.0)	(33.0, 9720.0)	(34.0, 12752.0)	(35.0, 18808.0)	(36.0, 33975.0)	(37.0, 139131.0)					
1127R_S2_R_Female_week9_S77_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 12.0)	(19.0, 15.0)	(20.0, 112.0)	(21.0, 447.0)	(22.0, 841.0)	(23.0, 1169.0)	(24.0, 1416.0)	(25.0, 1773.0)	(26.0, 2580.0)	(27.0, 3842.0)	(28.0, 5649.0)	(29.0, 8433.0)	(30.0, 11846.0)	(31.0, 17077.0)	(32.0, 25340.0)	(33.0, 38930.0)	(34.0, 51978.0)	(35.0, 52606.0)	(36.0, 28863.0)	(37.0, 1582.0)	
2514R_S2_L_Male_week5_S71_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 37.0)	(21.0, 101.0)	(22.0, 139.0)	(23.0, 214.0)	(24.0, 351.0)	(25.0, 634.0)	(26.0, 1003.0)	(27.0, 1426.0)	(28.0, 1791.0)	(29.0, 1930.0)	(30.0, 2086.0)	(31.0, 2418.0)	(32.0, 2874.0)	(33.0, 3749.0)	(34.0, 5135.0)	(35.0, 8018.0)	(36.0, 14427.0)	(37.0, 36060.0)	(38.0, 3.0)				
2514R_S2_L_Male_week5_S71_L001_R2_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 14.0)	(20.0, 35.0)	(21.0, 133.0)	(22.0, 217.0)	(23.0, 308.0)	(24.0, 346.0)	(25.0, 469.0)	(26.0, 617.0)	(27.0, 980.0)	(28.0, 1465.0)	(29.0, 2120.0)	(30.0, 3285.0)	(31.0, 5095.0)	(32.0, 8063.0)	(33.0, 12761.0)	(34.0, 17425.0)	(35.0, 17548.0)	(36.0, 10587.0)	(37.0, 930.0)			
2514R_S2_L_Male_week9_S85_L001_R1_001	(17.0, 2.0)	(18.0, 9.0)	(19.0, 19.0)	(20.0, 65.0)	(21.0, 111.0)	(22.0, 251.0)	(23.0, 420.0)	(24.0, 734.0)	(25.0, 1246.0)	(26.0, 2167.0)	(27.0, 3035.0)	(28.0, 3677.0)	(29.0, 4247.0)	(30.0, 4643.0)	(31.0, 5132.0)	(32.0, 6171.0)	(33.0, 7846.0)	(34.0, 10354.0)	(35.0, 14892.0)	(36.0, 26625.0)	(37.0, 105782.0)	(38.0, 2.0)				
2514R_S2_L_Male_week9_S85_L001_R2_001	(15.0, 2.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 14.0)	(19.0, 14.0)	(20.0, 104.0)	(21.0, 410.0)	(22.0, 820.0)	(23.0, 1135.0)	(24.0, 1228.0)	(25.0, 1574.0)	(26.0, 2149.0)	(27.0, 3437.0)	(28.0, 4917.0)	(29.0, 7080.0)	(30.0, 10011.0)	(31.0, 14061.0)	(32.0, 20399.0)	(33.0, 29371.0)	(34.0, 37803.0)	(35.0, 37586.0)	(36.0, 22957.0)	(37.0, 2349.0)			
2514R_S2_R_Male_week5_S72_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 45.0)	(21.0, 106.0)	(22.0, 197.0)	(23.0, 272.0)	(24.0, 455.0)	(25.0, 777.0)	(26.0, 1346.0)	(27.0, 1822.0)	(28.0, 2330.0)	(29.0, 2555.0)	(30.0, 2821.0)	(31.0, 3187.0)	(32.0, 3714.0)	(33.0, 4729.0)	(34.0, 6223.0)	(35.0, 9438.0)	(36.0, 17656.0)	(37.0, 59292.0)	(38.0, 2.0)			
2514R_S2_R_Male_week5_S72_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 7.0)	(20.0, 59.0)	(21.0, 168.0)	(22.0, 320.0)	(23.0, 481.0)	(24.0, 627.0)	(25.0, 712.0)	(26.0, 1072.0)	(27.0, 1484.0)	(28.0, 2296.0)	(29.0, 3401.0)	(30.0, 5086.0)	(31.0, 7295.0)	(32.0, 11169.0)	(33.0, 17251.0)	(34.0, 23824.0)	(35.0, 24556.0)	(36.0, 15664.0)	(37.0, 1498.0)		
2514R_S2_R_Male_week9_S86_L001_R1_001	(18.0, 4.0)	(19.0, 10.0)	(20.0, 40.0)	(21.0, 113.0)	(22.0, 200.0)	(23.0, 363.0)	(24.0, 629.0)	(25.0, 1136.0)	(26.0, 1713.0)	(27.0, 2404.0)	(28.0, 3119.0)	(29.0, 3908.0)	(30.0, 4446.0)	(31.0, 5309.0)	(32.0, 6378.0)	(33.0, 7947.0)	(34.0, 10606.0)	(35.0, 15627.0)	(36.0, 28256.0)	(37.0, 117328.0)	(38.0, 2.0)					
2514R_S2_R_Male_week9_S86_L001_R2_001	(16.0, 3.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 10.0)	(20.0, 110.0)	(21.0, 385.0)	(22.0, 718.0)	(23.0, 820.0)	(24.0, 1108.0)	(25.0, 1322.0)	(26.0, 1895.0)	(27.0, 2687.0)	(28.0, 3901.0)	(29.0, 5419.0)	(30.0, 8088.0)	(31.0, 11977.0)	(32.0, 18292.0)	(33.0, 27858.0)	(34.0, 39950.0)	(35.0, 47314.0)	(36.0, 34139.0)	(37.0, 3529.0)				
2808_NS1_0_Female_week5_S37_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 7.0)	(19.0, 30.0)	(20.0, 88.0)	(21.0, 228.0)	(22.0, 345.0)	(23.0, 547.0)	(24.0, 963.0)	(25.0, 1586.0)	(26.0, 2520.0)	(27.0, 3603.0)	(28.0, 4595.0)	(29.0, 5295.0)	(30.0, 5765.0)	(31.0, 6584.0)	(32.0, 7840.0)	(33.0, 9923.0)	(34.0, 13352.0)	(35.0, 19473.0)	(36.0, 35651.0)	(37.0, 146220.0)	(38.0, 3.0)			
2808_NS1_0_Female_week5_S37_L001_R2_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 16.0)	(20.0, 130.0)	(21.0, 466.0)	(22.0, 906.0)	(23.0, 1108.0)	(24.0, 1394.0)	(25.0, 1780.0)	(26.0, 2621.0)	(27.0, 3839.0)	(28.0, 5756.0)	(29.0, 8306.0)	(30.0, 11794.0)	(31.0, 16612.0)	(32.0, 24205.0)	(33.0, 37008.0)	(34.0, 50541.0)	(35.0, 55754.0)	(36.0, 38263.0)	(37.0, 4102.0)			
2808_NS1_0_Female_week9_S49_L001_R1_001	(17.0, 1.0)	(18.0, 7.0)	(19.0, 8.0)	(20.0, 43.0)	(21.0, 94.0)	(22.0, 158.0)	(23.0, 274.0)	(24.0, 426.0)	(25.0, 778.0)	(26.0, 1239.0)	(27.0, 1689.0)	(28.0, 2207.0)	(29.0, 2394.0)	(30.0, 2828.0)	(31.0, 3276.0)	(32.0, 3763.0)	(33.0, 4810.0)	(34.0, 6410.0)	(35.0, 9635.0)	(36.0, 17290.0)	(37.0, 70982.0)	(38.0, 1.0)				
2808_NS1_0_Female_week9_S49_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 62.0)	(21.0, 231.0)	(22.0, 432.0)	(23.0, 561.0)	(24.0, 680.0)	(25.0, 863.0)	(26.0, 1194.0)	(27.0, 1691.0)	(28.0, 2497.0)	(29.0, 3705.0)	(30.0, 5214.0)	(31.0, 7593.0)	(32.0, 11486.0)	(33.0, 17143.0)	(34.0, 24700.0)	(35.0, 28065.0)	(36.0, 20131.0)	(37.0, 2046.0)		
2808_NS1_L_Female_week5_S38_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 11.0)	(20.0, 34.0)	(21.0, 94.0)	(22.0, 179.0)	(23.0, 281.0)	(24.0, 491.0)	(25.0, 892.0)	(26.0, 1476.0)	(27.0, 1961.0)	(28.0, 2650.0)	(29.0, 3030.0)	(30.0, 3373.0)	(31.0, 3787.0)	(32.0, 4765.0)	(33.0, 5924.0)	(34.0, 7831.0)	(35.0, 11883.0)	(36.0, 20984.0)	(37.0, 72796.0)					
2808_NS1_L_Female_week5_S38_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 10.0)	(18.0, 10.0)	(19.0, 16.0)	(20.0, 92.0)	(21.0, 301.0)	(22.0, 521.0)	(23.0, 716.0)	(24.0, 812.0)	(25.0, 1079.0)	(26.0, 1527.0)	(27.0, 2299.0)	(28.0, 3630.0)	(29.0, 5194.0)	(30.0, 7424.0)	(31.0, 10930.0)	(32.0, 16181.0)	(33.0, 23400.0)	(34.0, 29044.0)	(35.0, 26203.0)	(36.0, 12556.0)	(37.0, 501.0)		
2808_NS1_L_Female_week9_S50_L001_R1_001	(18.0, 2.0)	(19.0, 7.0)	(20.0, 34.0)	(21.0, 71.0)	(22.0, 136.0)	(23.0, 246.0)	(24.0, 402.0)	(25.0, 662.0)	(26.0, 1037.0)	(27.0, 1394.0)	(28.0, 1808.0)	(29.0, 2198.0)	(30.0, 2261.0)	(31.0, 2611.0)	(32.0, 3121.0)	(33.0, 3925.0)	(34.0, 5204.0)	(35.0, 7564.0)	(36.0, 13848.0)	(37.0, 58424.0)						
2808_NS1_L_Female_week9_S50_L001_R2_001	(18.0, 6.0)	(19.0, 10.0)	(20.0, 51.0)	(21.0, 179.0)	(22.0, 391.0)	(23.0, 456.0)	(24.0, 560.0)	(25.0, 701.0)	(26.0, 1006.0)	(27.0, 1408.0)	(28.0, 2216.0)	(29.0, 3081.0)	(30.0, 4241.0)	(31.0, 6158.0)	(32.0, 9157.0)	(33.0, 13769.0)	(34.0, 19937.0)	(35.0, 23317.0)	(36.0, 16502.0)	(37.0, 1809.0)						
2808_NS1_RR_Female_week5_S40_L001_R1_001	(18.0, 4.0)	(19.0, 11.0)	(20.0, 42.0)	(21.0, 104.0)	(22.0, 126.0)	(23.0, 185.0)	(24.0, 263.0)	(25.0, 482.0)	(26.0, 816.0)	(27.0, 1023.0)	(28.0, 1248.0)	(29.0, 1397.0)	(30.0, 1516.0)	(31.0, 1728.0)	(32.0, 2041.0)	(33.0, 2704.0)	(34.0, 3754.0)	(35.0, 5763.0)	(36.0, 10565.0)	(37.0, 22740.0)						
2808_NS1_RR_Female_week5_S40_L001_R2_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 35.0)	(21.0, 107.0)	(22.0, 170.0)	(23.0, 198.0)	(24.0, 219.0)	(25.0, 303.0)	(26.0, 442.0)	(27.0, 679.0)	(28.0, 998.0)	(29.0, 1499.0)	(30.0, 2331.0)	(31.0, 3744.0)	(32.0, 5807.0)	(33.0, 9189.0)	(34.0, 12703.0)	(35.0, 12348.0)	(36.0, 5577.0)	(37.0, 155.0)			
2808_NS1_RR_Female_week9_S52_L001_R1_001	(18.0, 4.0)	(19.0, 11.0)	(20.0, 40.0)	(21.0, 93.0)	(22.0, 150.0)	(23.0, 289.0)	(24.0, 413.0)	(25.0, 815.0)	(26.0, 1297.0)	(27.0, 1905.0)	(28.0, 2373.0)	(29.0, 2664.0)	(30.0, 3138.0)	(31.0, 3505.0)	(32.0, 4106.0)	(33.0, 5156.0)	(34.0, 6781.0)	(35.0, 9906.0)	(36.0, 18119.0)	(37.0, 66296.0)	(38.0, 1.0)					
2808_NS1_RR_Female_week9_S52_L001_R2_001	(16.0, 4.0)	(17.0, 5.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 63.0)	(21.0, 264.0)	(22.0, 433.0)	(23.0, 572.0)	(24.0, 672.0)	(25.0, 899.0)	(26.0, 1212.0)	(27.0, 1894.0)	(28.0, 2889.0)	(29.0, 4289.0)	(30.0, 6038.0)	(31.0, 8867.0)	(32.0, 13003.0)	(33.0, 19734.0)	(34.0, 25337.0)	(35.0, 25221.0)	(36.0, 14654.0)	(37.0, 1005.0)				
2808_NS1_R_Female_week5_S39_L001_R1_001	(17.0, 2.0)	(18.0, 3.0)	(19.0, 15.0)	(20.0, 42.0)	(21.0, 108.0)	(22.0, 177.0)	(23.0, 306.0)	(24.0, 474.0)	(25.0, 816.0)	(26.0, 1293.0)	(27.0, 1972.0)	(28.0, 2423.0)	(29.0, 2829.0)	(30.0, 3130.0)	(31.0, 3823.0)	(32.0, 4475.0)	(33.0, 5515.0)	(34.0, 7596.0)	(35.0, 10761.0)	(36.0, 19523.0)	(37.0, 83205.0)					
2808_NS1_R_Female_week5_S39_L001_R2_001	(15.0, 2.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 10.0)	(20.0, 70.0)	(21.0, 252.0)	(22.0, 545.0)	(23.0, 653.0)	(24.0, 819.0)	(25.0, 1053.0)	(26.0, 1430.0)	(27.0, 2182.0)	(28.0, 3094.0)	(29.0, 4505.0)	(30.0, 6457.0)	(31.0, 9409.0)	(32.0, 13676.0)	(33.0, 20235.0)	(34.0, 28094.0)	(35.0, 31361.0)	(36.0, 22330.0)	(37.0, 2298.0)	(38.0, 1.0)		
2808_NS1_R_Female_week9_S51_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 29.0)	(20.0, 65.0)	(21.0, 129.0)	(22.0, 215.0)	(23.0, 311.0)	(24.0, 472.0)	(25.0, 848.0)	(26.0, 1409.0)	(27.0, 1949.0)	(28.0, 2329.0)	(29.0, 2459.0)	(30.0, 2719.0)	(31.0, 3114.0)	(32.0, 3597.0)	(33.0, 4533.0)	(34.0, 6265.0)	(35.0, 9105.0)	(36.0, 16769.0)	(37.0, 59112.0)	(38.0, 4.0)			
2808_NS1_R_Female_week9_S51_L001_R2_001	(15.0, 1.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 87.0)	(21.0, 280.0)	(22.0, 454.0)	(23.0, 555.0)	(24.0, 704.0)	(25.0, 870.0)	(26.0, 1174.0)	(27.0, 1804.0)	(28.0, 2579.0)	(29.0, 3691.0)	(30.0, 5249.0)	(31.0, 7516.0)	(32.0, 11161.0)	(33.0, 17076.0)	(34.0, 23317.0)	(35.0, 23732.0)	(36.0, 14100.0)	(37.0, 1060.0)			
