Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
CARBOXYLATES-DEG	Degradation/utilization/assimilation	Carboxylic acid degradation	NA	NA	NA	NA	NA	NA
CARBOXYLATES-DEG // Carbohydrates-Degradation	Degradation/utilization/assimilation	Carboxylic acid degradation	Degradation/utilization/assimilation	Carbohydrate degradation	NA	NA	NA	NA
CARBOXYLATES-DEG // Carbohydrates-Degradation // Super-Pathways	Degradation/utilization/assimilation	Carboxylic acid degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways	NA	NA	NA
CARBOXYLATES-DEG // Energy-Metabolism	Degradation/utilization/assimilation	Carboxylic acid degradation	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation	Degradation/utilization/assimilation	Carboxylic acid degradation	Degradation/utilization/assimilation	Fatty acid and lipid degradation	NA	NA	NA	NA
CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation // Super-Pathways // Metabolic-Clusters	Degradation/utilization/assimilation	Carboxylic acid degradation	Degradation/utilization/assimilation	Fatty acid and lipid degradation	Superpathways	NA	Metabolic clusters	NA
CARBOXYLATES-DEG // Super-Pathways	Degradation/utilization/assimilation	Carboxylic acid degradation	Superpathways	NA	NA	NA	NA	NA
CARBOXYLATES-DEG // Super-Pathways // Energy-Metabolism	Degradation/utilization/assimilation	Carboxylic acid degradation	Generation of precursor metabolites and energy	NA	Superpathways	NA	NA	NA
Cell-Structure-Biosynthesis	Biosynthesis	Cell structure biosynthesis	NA	NA	NA	NA	NA	NA
CHLORINATED-COMPOUNDS-DEG	Degradation/utilization/assimilation	Chlorinated compound degradation	NA	NA	NA	NA	NA	NA
Cofactor-Biosynthesis	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	NA	NA	NA	NA	NA	NA
Cofactor-Biosynthesis // Carboxylate-Biosynthesis	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	Biosynthesis	Carboxylic acid biosynthesis	NA	NA	NA	NA
Cofactor-Biosynthesis // Polyprenyl-Biosynthesis	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	Biosynthesis	Polyprenyl biosynthesis	NA	NA	NA	NA
Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	Biosynthesis	Tetrapyrrole biosynthesis	NA	NA	NA	NA
COFACTOR-DEGRADATION	Degradation/utilization/assimilation	"Cofactor, carrier, and vitamin degradation"	NA	NA	NA	NA	NA	NA
Cyclitols-Biosynthesis	Biosynthesis	Cyclitol biosynthesis	NA	NA	NA	NA	NA	NA
CYCLITOLS-DEG	Degradation/utilization/assimilation	Cyclitol degradation	NA	NA	NA	NA	NA	NA
CYCLITOLS-DEG // Super-Pathways	Degradation/utilization/assimilation	Cyclitol degradation	NA	NA	NA	NA	NA	NA
Energy-Metabolism	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA	NA	NA
Fatty-Acid-and-Lipid-Degradation	Degradation/utilization/assimilation	Fatty acid and lipid degradation	NA	NA	NA	NA	NA	NA
Fatty-Acid-and-Lipid-Degradation // Metabolic-Clusters	Degradation/utilization/assimilation	Fatty acid and lipid degradation	Metabolic clusters	NA	NA	NA	NA	NA
Fatty-Acid-and-Lipid-Degradation // Super-Pathways	Degradation/utilization/assimilation	Fatty acid and lipid degradation	Superpathways	NA	NA	NA	NA	NA
Glycan-Pathways	Glycan pathways	NA	NA	NA	NA	NA	NA	NA
Glycan-Pathways // Carbohydrates-Biosynthesis	Glycan pathways	NA	Biosynthesis	Carboxylic acid biosynthesis	NA	NA	NA	NA
Glycan-Pathways // Cell-Structure-Biosynthesis	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	NA	NA	NA	NA
Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	Carbohydrate biosynthesis	NA	NA
Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis	NA	NA
Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis // Carbohydrates-Biosynthesis	Glycan pathways	NA	Biosynthesis	Cell structure biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis	Biosynthesis	Carbohydrate biosynthesis
HORMONE-DEG // Inactivation // Metabolic-Clusters	Degradation/utilization/assimilation	"Hormone, neurotransmitter, and signaling molecule degradation"	NA	NA	NA	NA	NA	NA
HORMONE-SYN	Biosynthesis	"Hormone, neurotransmitter, and signaling molecule biosynthesis"	NA	NA	NA	NA	NA	NA
Hydrocarbon-Biosynthesis	Biosynthesis	Hydrocarbon biosynthesis	NA	NA	NA	NA	NA	NA
Hydrocarbon-Degradation	Degradation/utilization/assimilation	Hydrocarbon degradation	NA	NA	NA	NA	NA	NA
Inactivation	Metabolite activation/inactivation/interconversion	NA	NA	NA	NA	NA	NA	NA
Interconversion	Metabolite activation/inactivation/interconversion	NA	NA	NA	NA	NA	NA	NA
Interconversion // SECONDARY-METABOLITE-BIOSYNTHESIS	Metabolite activation/inactivation/interconversion	NA	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA
Lipid-Biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis	NA	NA	NA	NA	NA	NA
Mercury-Detoxification	Detoxification	Mercury detoxification	NA	NA	NA	NA	NA	NA
Metabolic-Clusters // Energy-Metabolism	Metabolic clusters	NA	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Metabolic-Clusters // Nucleotide-Biosynthesis	Metabolic clusters	NA	Biosynthesis	Nucleoside and nucleotide biosynthesis	NA	NA	NA	NA
