Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-7174	MTR-1P-Degradation	Methionine-Salvage // NUCLEO-DEG	METHIONINE-SYN // Degradation	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-6107	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
FORMASS-PWY	Formaldehyde-Oxidation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES
COA-PWY	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
FASYN-ELONG-PWY	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6052	Dimethylsulfoniopropionate-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-8302	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
MANNIDEG-PWY	Mannitol-Degradation	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY0-1321	ANAEROBIC-RESPIRATION // Electron-Transfer // Nitrate-Reduction	Respiration // Energy-Metabolism // NITROGEN-DEG	Energy-Metabolism // Pathways // Noncarbon-Nutrients	Pathways // Generalized-Reactions // Degradation	Generalized-Reactions // FRAMES // Pathways	FRAMES // THINGS // Generalized-Reactions
PWY-4861	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
URDEGR-PWY	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-6607	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions
PWY0-1221	Putrescine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
GLYCOGENSYNTH-PWY	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5344	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWYQT-4476	GLUCOSINOLATE-DEG	Activation // N-CONTAINING-GLUCOSIDE-DEG	Activation-Inactivation-Interconversion // N-CONTAINING-SECONDARY-CMPD-DEG	Pathways // SECONDARY-METABOLITE-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-7165	Ascorbate-Biosynthesis	Carboxylate-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-8023	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6637	Sulfolactate-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
CYANCAT-PWY	NITROGEN-DEG // Detoxification	Noncarbon-Nutrients // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY66-395	Specialized-Proresolving-Mediators-Biosysthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6720	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5928	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5035	GIBBERELLINS-BIOSYNTHESIS	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // Hormone-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // HORMONE-SYN	Biosynthesis
PWY-3042	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	Toxin-Biosynthesis // PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-5705	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY0-42	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions
PWY-6943	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8140	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7656	Hormone-Biosynthesis // Metabolic-Clusters	HORMONE-SYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-6244	Bergamotene-Biosynthesis	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7916	Bioluminescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6765	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6071	AMINE-DEG // Phenolic-Compounds-Degradation // Super-Pathways	Degradation // AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Pathways // Degradation // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS	THINGS // FRAMES // 
ANAPHENOXI-PWY	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-2701	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	PHYTOALEXIN-SYN // FLAVONOID-SYN // Activation-Inactivation-Interconversion	Toxin-Biosynthesis // PHENYLPROPANOID-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-7438	Super-Pathways // dTDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis	THINGS // Biosynthesis	 // Pathways
PWY-7917	Pigment-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7282	HMP-PP-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-8031	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
P662-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
P3-PWY	GALLATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5451	Acetone-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5768	Pyruvate-Acetate-Fermentation	Acetate-Formation // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-6433	Hydroxy-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6121	AIR-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5137	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-922	Mevalonate-Pathways	Isopentenyl-Diphosphate-Biosynthesis	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6952	GLYCEROL-DEG	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7683	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7987	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7630	LIGNAN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-6524	Glycan-Pathways // Oligosaccharides-Biosynthesis	Pathways // Carbohydrates-Biosynthesis	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-6759	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-2301	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6786	Detoxification // Metabolic-Clusters	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-6268	Cobamide-Salvage	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-5331	Taurine-Biosynthesis	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6823	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7518	QUINONE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-82	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
