Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-5116	FLAVANONES-SYN // FLAVONOID-PHYTOALEXINS	FLAVONOID-SYN // PHYTOALEXIN-SYN	PHENYLPROPANOID-SYN // Toxin-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6913	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY0-862	5Z-Dodec-5-enoate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-8548	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7450	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-5738	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7880	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5270	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7474	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
COBALSYN-PWY	B12-Salvage-From-Cobinamide // Super-Pathways	Cobamide-Salvage // Pathways	Cobalamin-Biosynthesis // Generalized-Reactions	Enzyme-Cofactor-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 
PWY-8353	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7000	Antibiotic-Biosynthesis // Super-Pathways	Toxin-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8552	Electron-Transfer	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6019	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6475	Lycopene-Biosynthesis	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Pigment-Biosynthesis // Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-8556	Electron-Transfer // Iron-Oxidation	Energy-Metabolism // Iron-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions
DHGLUCONATE-PYR-CAT-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-361	LIGNIN-SYN // SECONDARY-CELL-WALL	PHENYLPROPANOID-SYN // PLANT-CELL-STRUCTURE	AROMATIC-COMPOUNDS-BIOSYN // Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8066	Methylphosphonate-Degradation	Phosphonate-Degradation	Phophonate-Metabolism	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation
PWY-5278	Sulfite-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5083	Interconversion // NAD-Metabolism	Activation-Inactivation-Interconversion // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Pathways // Carriers-Biosynthesis // Cofactor-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis // Biosynthesis	FRAMES // Biosynthesis // Pathways	THINGS // Pathways // Generalized-Reactions
PWY-5419	Catechol-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7620	Naphthalene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6233	Jasmonates-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-5462	Methylglyoxal-Detoxification	Aldehyde-Degradation // Detoxification	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY0-1315	Lactaldehyde-Degradation	Aldehyde-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-4202	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6271	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6303	Auxin-Biosynthesis // Interconversion	Plant-Hormone-Biosynthesis // Activation-Inactivation-Interconversion	Hormone-Biosynthesis // Pathways	HORMONE-SYN // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-8256	Bile-Acids-Degradation	CARBOXYLATES-DEG // Steroids-Degradation	Degradation // Fatty-Acid-and-Lipid-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-8094	PHENYLPROPANOID-SYN // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-7692	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5429	Xylene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7756	Iso-bile-Acids-Biosynthesis	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8125	Mevalonate-Pathways	Isopentenyl-Diphosphate-Biosynthesis	ISOPRENOIDS	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5096	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	Fermentation-to-Acids // Fermentation // Generalized-Reactions	Fermentation // Energy-Metabolism // FRAMES	Energy-Metabolism // Pathways // THINGS	Pathways // Generalized-Reactions // 
PWY-7588	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7718	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY18C3-2	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6809	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Pigment-Biosynthesis // Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6084	Chlorocatechol-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
2OXOBUTYRATECAT-PWY	2-Oxobutanoate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8086	Fermentation-to-propanoate	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8131	5-Deoxyadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5342	Glycan-Pathways // Oligosaccharides-Biosynthesis	Pathways // Carbohydrates-Biosynthesis	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-6822	Carrageenan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8206	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7609	ALKALOIDS-SYN // Super-Pathways	N-CONTAINING-SECONDARY-CMPD-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-8242	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-8149	Homospermidine-Biosynthesis	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-3162	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8366	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8304	C1-COMPOUNDS // METHANOGENESIS	Degradation // ANAEROBIC-RESPIRATION	Pathways // Respiration	Generalized-Reactions // Energy-Metabolism	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-7777	Alkene-Degradation	Hydrocarbon-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8147	Cytochrome-C-Biogenesis // Protein-Modification	HEME-SYN // Macromolecule-Modification	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis // Pathways	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-6958	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-804	Acetate-Formation	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8330	Xylose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6328	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5269	Cardiolipin-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5775	Rotenoids-Biosynthesis	ISOFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis
PWY-6536	4-Aminobutyraye-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6772	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8015	GLYCINE-DEG // Stickland-Reductive	Proteinogenic-Amino-Acids-Degradation // Amino-Acid-Fermentation	Amino-Acid-Degradation // Fermentation	Degradation // Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8274	Pyruvate-Lactate-Fermentation	Fermentation-to-Lactate // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY0-1554	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7129	FLAVONOL-SYN // Glycosylation-Pathways	FLAVONOID-SYN // Other-biosynthesis	PHENYLPROPANOID-SYN // Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
P581-PWY	Thiocyanate-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8225	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7709	Aroma-Compound-Biosynthesis // Linalool-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // MONOTERPENOID-SYN // Terpenoid-Biosynthesis	Biosynthesis // Terpenoid-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways	FRAMES // Pathways // Generalized-Reactions
PWY-4921	Amino-Acids-Modification // Citrulline-Biosynthesis	Amino-Acid-Biosynthesis // Other-Amino-Acid-Biosynthesis	Biosynthesis // Amino-Acid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-3462	PHENYLALANINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6573	Glycan-Pathways // Glycosaminoglycan-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-6142	Gluconeogenesis // Super-Pathways	CARBO-BIOSYNTHESIS // Pathways	Carbohydrates-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
ASPASN-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8355	Specialized-Proresolving-Mediators-Biosysthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6446	Benzoate-Biosynthesis // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-7574	Propionate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6011	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-8303	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
PWY-7085	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6185	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY3DJ-12	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5421	Resin-Acids-Biosynthesis	DITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-8362	Photorespiration	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6673	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7283	Nucleic-Acid-Processing // Super-Pathways	Macromolecule-Modification // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-7784	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
CRNFORCAT-PWY	Creatinine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5851	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6369	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7428	2-Chloroacrylates-Degradation	CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8383	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8328	Acetate-Formation	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6738	Pinitol-Biosynthesis	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-46	Putrescine-Biosynthesis	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7447	2-Aminoethylphosphonate-Degradation	Phosphonate-Degradation	Phophonate-Metabolism	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation
PWY-6447	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7849	Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY3O-450	PhosphatidylcholineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5121	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // All-Trans-Polyprenyl-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Polyprenyl-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7934	Halogenated-Aromatics-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6191	Dichlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7045	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6431	4-Hydroxybenzoate-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6436	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8103	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8027	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7592	Arachidonate-Biosynthesis // Super-Pathways	PUFA-Biosynthesis // Pathways	Unsaturated-Fatty-Acids-Biosynthesis // Generalized-Reactions	Fatty-acid-biosynthesis // FRAMES	Lipid-Biosynthesis // THINGS	Biosynthesis // 
PWY-6697	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7813	Energy-Metabolism // Thiosulfate-Disproportionation	Pathways // Sulfur-Metabolism	Generalized-Reactions // Noncarbon-Nutrients	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-5025	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-8128	BIOTIN-SYN	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7831	Protein-Glycosylation	Carbohydrates-Biosynthesis // Glycan-Pathways // Protein-Modification	Biosynthesis // Pathways // Macromolecule-Modification	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-6669	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY5F9-12	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6945	Cholesterol-Degradation	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7081	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5757	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6621	Salicylate-Glycosylation // Super-Pathways	Glycosylation-Pathways // Pathways	Other-biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6827	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5303	ANAEROBIC-RESPIRATION // Thiosulfate-Oxidation	Respiration // Sulfur-Metabolism	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-4161	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-6853	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-5494	Fermentation-to-propanoate	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY0-1309	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7787	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6592	Manganese-Oxidation	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-3602	CARN-DEG	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8257	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7967	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
ARGDEG-V-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5134	Metabolic-Clusters // Super-Pathways // TERPENOPHENOLICS-SYN	Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
12DICHLORETHDEG-PWY	CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5885	Wax-Ester-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7966	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6387	Acetylmuramoyl-Pentapeptide-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5021	NON-PROTEIN-AMINO-ACID-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7986	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5486	Pyruvate-Ethanol-Fermentation	Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8370	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6321	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6807	Glycan-Pathways // Xyloglucan-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-2463	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	Toxin-Biosynthesis // PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
ORN-AMINOPENTANOATE-CAT-PWY	MISCELLANEOUS-DEG // PROLINE-SYN	Amino-Acid-Degradation // IND-AMINO-ACID-SYN	Degradation // Amino-Acid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-6176	S-CONTAINING-SECONDARY-CMPD-SYN // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-7554	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5659	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-2055	ISOFLAVONOID-SYN // Super-Pathways	FLAVONOID-SYN // Pathways	PHENYLPROPANOID-SYN // Generalized-Reactions	AROMATIC-COMPOUNDS-BIOSYN // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-5926	ISOFLAVONOID-SYN // Interconversion	FLAVONOID-SYN // Activation-Inactivation-Interconversion	PHENYLPROPANOID-SYN // Pathways	AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-7036	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6685	Glucosylglycerate-Biosynthesis	Organic-solutes-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
PWY-8559	Iron-Oxidation	Iron-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-3341	PROLINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
