Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
184R_0_F_NS6_week10_S65_L001_R2_001	(1.0, 4.877587136949095)	(2.0, 1.328702433115353)	(3.0, 0.6643512165576765)	(4.0, 0.35962031665515254)	(5.0, 0.1892738508711329)	(6.0, 0.14195538815334965)	(7.0, 0.1656146195122413)	(8.0, 0.12113526455752506)	(9.0, 0.09369055618121078)	('>10', 2.441632676237614)	('>50', 0.5110393973520588)	('>100', 25.067428809372842)	('>500', 17.43401440374005)	('>1k', 46.603953930744694)	('>5k', 0.0)	('>10k+', 0.0)
184R_L_F_NS6_week10_S66_L001_R1_001	(1.0, 2.9528598257016503)	(2.0, 1.0385204545257856)	(3.0, 0.6386900795333581)	(4.0, 0.4361785909008299)	(5.0, 0.32886481059983214)	(6.0, 0.3167487386303646)	(7.0, 0.3210759071908887)	(8.0, 0.2146275606019957)	(9.0, 0.16356697158781125)	('>10', 4.8299855472570075)	('>50', 4.664687708244987)	('>100', 17.89111113034297)	('>500', 18.78856588979567)	('>1k', 36.87266873793802)	('>5k', 10.541848047148829)	('>10k+', 0.0)
184R_L_F_NS6_week10_S66_L001_R2_001	(1.0, 4.59891474612502)	(2.0, 1.2669949545214585)	(3.0, 0.60493816476127)	(4.0, 0.3254030757514128)	(5.0, 0.14712373105781962)	(6.0, 0.15577806817886783)	(7.0, 0.10904464772520747)	(8.0, 0.1176989848462557)	(9.0, 0.08567793749837731)	('>10', 2.66380496585864)	('>50', 0.8836078200590226)	('>100', 22.867354974945695)	('>500', 19.71111822689941)	('>1k', 46.46253970177155)	('>5k', 0.0)	('>10k+', 0.0)
2403R_L_F_NS6_week10_S67_L001_R1_001	(1.0, 2.6656556229584694)	(2.0, 1.101593227118192)	(3.0, 0.6049596693553763)	(4.0, 0.4666355576294913)	(5.0, 0.33747750149989997)	(6.0, 0.2599826678221452)	(7.0, 0.20415305646290247)	(8.0, 0.2533164455702953)	(9.0, 0.17998800079994667)	('>10', 4.5771948536764215)	('>50', 4.707186187587494)	('>100', 18.996233584427706)	('>500', 12.205019665355643)	('>1k', 38.7299180054663)	('>5k', 14.710685954269714)	('>10k+', 0.0)
2403R_L_F_NS6_week10_S67_L001_R2_001	(1.0, 4.277214852343177)	(2.0, 1.2465835610959268)	(3.0, 0.5849610025998266)	(4.0, 0.31997866808879405)	(5.0, 0.17082194520365307)	(6.0, 0.18998733417772148)	(7.0, 0.11665888940737283)	(8.0, 0.13332444503699753)	(9.0, 0.059996000266648884)	('>10', 2.3323445103659757)	('>50', 1.0124325044997)	('>100', 18.050463302446502)	('>500', 25.198320111992533)	('>1k', 46.306912872475166)	('>5k', 0.0)	('>10k+', 0.0)
2446R_0_F_S2_week9_S55_L001_R1_001	(1.0, 3.1760912611491756)	(2.0, 1.1092224928592707)	(3.0, 0.578267650305781)	(4.0, 0.43808155326195525)	(5.0, 0.23656403876145585)	(6.0, 0.2786198678746035)	(7.0, 0.2330593863353602)	(8.0, 0.23831636497450367)	(9.0, 0.23656403876145585)	('>10', 5.742373000157709)	('>50', 4.594599330611387)	('>100', 19.177458075595354)	('>500', 14.76071985560832)	('>1k', 49.200063083743665)	('>5k', 0.0)	('>10k+', 0.0)
2446R_0_F_S2_week9_S55_L001_R2_001	(1.0, 4.542029544219952)	(2.0, 1.3247586170641528)	(3.0, 0.6886642017277936)	(4.0, 0.39602572414880755)	(5.0, 0.31103790281598825)	(6.0, 0.22079310284402542)	(7.0, 0.15946168538735173)	(8.0, 0.09112096307848669)	(9.0, 0.055198275711006356)	('>10', 1.459687735468835)	('>50', 3.396884363993201)	('>100', 9.528273783447526)	('>500', 16.814446177300365)	('>1k', 61.0116179227925)	('>5k', 0.0)	('>10k+', 0.0)
2472R_0_F_NS1_week10_S73_L001_R1_001	(1.0, 2.9577246262014225)	(2.0, 1.1220081823304127)	(3.0, 0.6344980769073731)	(4.0, 0.41809911888877094)	(5.0, 0.3388889342555467)	(6.0, 0.27437754677075593)	(7.0, 0.24008035342441142)	(8.0, 0.24171355310757067)	(9.0, 0.16903616720698356)	('>10', 4.68891629035024)	('>50', 4.759143876726088)	('>100', 17.657338374476357)	('>500', 11.491192970708564)	('>1k', 50.8259907397578)	('>5k', 4.18099118888771)	('>10k+', 0.0)
2472R_0_F_NS1_week10_S73_L001_R2_001	(1.0, 5.481834736524061)	(2.0, 1.3784205325864167)	(3.0, 0.7643374517185344)	(4.0, 0.4344311157203635)	(5.0, 0.2735609469291763)	(6.0, 0.21068275912754475)	(7.0, 0.18291836451383728)	(8.0, 0.15678716958328912)	(9.0, 0.13228917433590018)	('>10', 2.0692639985627843)	('>50', 3.7343110755436513)	('>100', 16.45367020798798)	('>500', 8.53428494434872)	('>1k', 60.193207522517746)	('>5k', 0.0)	('>10k+', 0.0)
2472R_R_F_NS1_week10_S74_L001_R1_001	(1.0, 3.0156649587064726)	(2.0, 1.120104127519547)	(3.0, 0.5802176045170812)	(4.0, 0.46564066839601453)	(5.0, 0.31164926624930106)	(6.0, 0.2419864890876926)	(7.0, 0.2694849537567486)	(8.0, 0.24931941299944088)	(9.0, 0.19798894561720307)	('>10', 4.830563626864167)	('>50', 5.344784916175514)	('>100', 20.490939255891547)	('>500', 12.228567238329195)	('>1k', 50.65308853589008)	('>5k', 0.0)	('>10k+', 0.0)
2472R_R_F_NS1_week10_S74_L001_R2_001	(1.0, 5.370450149866633)	(2.0, 1.3144266111808756)	(3.0, 0.7177099278623611)	(4.0, 0.41431020101377675)	(5.0, 0.23832002713181846)	(6.0, 0.19248925268339184)	(7.0, 0.1347424768783743)	(8.0, 0.08799508694097913)	(9.0, 0.1072440122093183)	('>10', 2.1192150104952474)	('>50', 3.8644509014913333)	('>100', 19.90797180490756)	('>500', 15.394557137226506)	('>1k', 50.13611740011182)	('>5k', 0.0)	('>10k+', 0.0)
2506R_0_F_NS6_week10_S68_L001_R1_001	(1.0, 2.9731902959461842)	(2.0, 1.1139657573202062)	(3.0, 0.6001294396830689)	(4.0, 0.4118535370374002)	(5.0, 0.2990841161819216)	(6.0, 0.24711212222244014)	(7.0, 0.21965521975328015)	(8.0, 0.2039655611994744)	(9.0, 0.2382866892859244)	('>10', 6.168977622624488)	('>50', 5.16091706054247)	('>100', 17.128204122457785)	('>500', 7.033870050403028)	('>1k', 58.20078840534233)	('>5k', 0.0)	('>10k+', 0.0)
2506R_0_F_NS6_week10_S68_L001_R2_001	(1.0, 4.754947145462747)	(2.0, 1.1276942085547863)	(3.0, 0.45009707976230173)	(4.0, 0.2941810978838573)	(5.0, 0.1274784757496715)	(6.0, 0.13532330502657436)	(7.0, 0.061778030555610035)	(8.0, 0.09413795132283434)	(9.0, 0.08825432936515719)	('>10', 1.606228794445861)	('>50', 0.6305281531310675)	('>100', 26.128184510384596)	('>500', 32.14811037674792)	('>1k', 32.35305654160701)	('>5k', 0.0)	('>10k+', 0.0)
2518R_L_M_S5_week10_S61_L001_R1_001	(1.0, 2.8780756807856935)	(2.0, 1.136174645273671)	(3.0, 0.4647987185210472)	(4.0, 0.40615179923496403)	(5.0, 0.2319616956837618)	(6.0, 0.16806281347653684)	(7.0, 0.22670973276262002)	(8.0, 0.12604711010740266)	(9.0, 0.2284603870696673)	('>10', 4.836182523218053)	('>50', 4.961354306171932)	('>100', 12.489167826475144)	('>500', 18.947331565172483)	('>1k', 52.899521196047026)	('>5k', 0.0)	('>10k+', 0.0)
2518R_L_M_S5_week10_S61_L001_R2_001	(1.0, 5.362254142485754)	(2.0, 1.4758015808408393)	(3.0, 0.8193062156981172)	(4.0, 0.49368451458732704)	(5.0, 0.32824768257136105)	(6.0, 0.25734618313594704)	(7.0, 0.17769141216529677)	(8.0, 0.0770287895100794)	(9.0, 0.08665738819883932)	('>10', 1.0880316518298714)	('>50', 0.9383507085773308)	('>100', 13.68136340957433)	('>500', 18.402878075680785)	('>1k', 56.81135824514413)	('>5k', 0.0)	('>10k+', 0.0)
2518R_R_M_S5_week10_S62_L001_R1_001	(1.0, 3.038703383527639)	(2.0, 1.0818015859983967)	(3.0, 0.5534574185509654)	(4.0, 0.3322676299852218)	(5.0, 0.2656209251335349)	(6.0, 0.31294974452096475)	(7.0, 0.16903149781224946)	(8.0, 0.17772454627116516)	(9.0, 0.139088775342651)	('>10', 5.517188088591823)	('>50', 5.112478388115637)	('>100', 13.124571384416262)	('>500', 17.32331379007254)	('>1k', 52.851802841660955)	('>5k', 0.0)	('>10k+', 0.0)
2518R_R_M_S5_week10_S62_L001_R2_001	(1.0, 5.5229834542311)	(2.0, 1.5048632776656266)	(3.0, 0.7302160705489177)	(4.0, 0.43272063439935865)	(5.0, 0.3187451101602419)	(6.0, 0.23760999121036208)	(7.0, 0.1284639383373096)	(8.0, 0.07727154185702834)	(9.0, 0.07823743613024119)	('>10', 0.9697578503057056)	('>50', 1.3551496653176343)	('>100', 16.24440988689378)	('>500', 28.1036597734012)	('>1k', 44.29591136954149)	('>5k', 0.0)	('>10k+', 0.0)
