Reaction	EC-Number	In-Pathway	Common-Name	Names
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13			Chemical Reactions
RXN-20014	EC-3.1.1.107			Chemical Reactions
RXN-21024		RXN-982		Chemical Reactions
RXN-18242	EC-2.4.1.40	PWY-7832		Chemical Reactions
RXN2DNV-13	EC-2.4.99	PWY2DNV-4		Chemical Reactions
GLYCOGENSYN-RXN	EC-2.4.1.21	PWY-622 // GLYCOGENSYNTH-PWY		Chemical Reactions
RXN-20984	EC-2.3.1			Chemical Reactions
RXN-12290	EC-3.2.1		endoglucanase (cellotetraose forming)	Chemical Reactions
GSADENYLATION-RXN	EC-2.7.7.42			Chemical Reactions
RXN-18828		PWY-8326 // RXN-22747 // RXN-18833 // RXN-22748 // PWY-7911 // RXN-18834		Chemical Reactions
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1	PWY-8138		Chemical Reactions
RXN-17080	EC-5.1.3	PWY-7719		Chemical Reactions
RXN-9805	EC-1.14.14.80	PWY-321		Chemical Reactions
RXN1G01-65	EC-2.1.1.79			Chemical Reactions
RXN-15128		CYSTHIOCYS-RXN		Chemical Reactions
RXN1G-186	EC-3.5.1.115	PWY1G-1		Chemical Reactions
3.4.15.6-RXN	EC-3.4.15.6	PWY-7052		Chemical Reactions
RXN-23922		RXN-23924		Chemical Reactions
RXN-13149	EC-2.4.1.301	PWY-7000		Chemical Reactions
RXN-24944	EC-1.4.1.19	PWY2SK3-2		Chemical Reactions
N-ACYLMANNOSAMINE-1-DEHYDROGENASE-RXN	EC-1.1.1.233			Chemical Reactions
RXN-7250	EC-3.1.3.62	PWY-4781 // PWY-4702		Chemical Reactions
RXN-20306		PWY-8038		Chemical Reactions
RXN-20302	EC-1.14.15	PWY-5984		Small-Molecule Reactions
RXN-14310	EC-1.3.3.13			Small-Molecule Reactions
RXN-11176	EC-1.21.98.4	PWY-6420		Chemical Reactions
RXN-20334	EC-4.2.1.134	PWY-8041		Chemical Reactions
RXN-23167	EC-1.14.14	PWY-8370		Chemical Reactions
RXN-23032	EC-5.4.4.7	PWY-8042		Chemical Reactions
RXN-17240	EC-1.1.1.M11			Chemical Reactions
RXN-12330	EC-5.4.99.38			Chemical Reactions
ATP-DEAMINASE-RXN	EC-3.5.4.17 // EC-3.5.4.18			Chemical Reactions
6.3.2.29-RXN	EC-6.3.2.29	PWY-7052		Chemical Reactions
RXN-16271	EC-2.1.1.316	PWY-8039		Chemical Reactions
1.4.3.17-RXN	EC-1.3.3.10			Chemical Reactions
RXN-12790	EC-5.3.3.1	PWY-6948	3-oxo-24-ethyl-cholest-5-ene isomerase	Chemical Reactions
RXN2G6Z-5	EC-2.3.1.243	PWY-8378		Chemical Reactions
RXN1G-94	EC-2.3.1.294	PWYG-321	cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] synthase	Chemical Reactions
RXN-14951	EC-5.4.4.7			Chemical Reactions
RXN-20920		PWY-2421		Small-Molecule Reactions
2.1.1.126-RXN	EC-2.1.1.321			Chemical Reactions
RXN-13920	EC-2.1.1	PWY-7160		Chemical Reactions
RXN-19215		PWY-7951		Chemical Reactions
RXN-18708	EC-2.8.1	PWY-7892		Chemical Reactions
RXN-21108		PWY-8117		Chemical Reactions
RXN-15608	EC-6.4.1.12			Small-Molecule Reactions
2.1.1.84-RXN	EC-2.1.1.84	PWY-7151		Chemical Reactions
RXN-11598	EC-2.1.1.193			Chemical Reactions
RXN-23407		PWY-8397		Chemical Reactions
RXN-17109	EC-1.1.1.330	PWY-7726		Chemical Reactions
3.2.1.124-RXN	EC-3.2.1.124			Chemical Reactions
RXN-13380	EC-2.4.1	PWY-7045		Chemical Reactions
D-ARGINASE-RXN	EC-3.5.3.10			Chemical Reactions
RXN-17888	EC-2.3.2.8	PWY-7799		Chemical Reactions
RXN-23562	EC-3.1.1.4	PWY-8413		Chemical Reactions
RXN-16585	EC-6.3.2	PWY-7660		Chemical Reactions
RXN-11159				Chemical Reactions
RXN-25279		PWY-8580		Chemical Reactions
2.4.2.12-RXN	EC-2.4.2.12	NAD-BIOSYNTHESIS-III		Chemical Reactions
RXN-16186	EC-1.14.14	PWY-7612		Chemical Reactions
RXN-21050	EC-2.4.1.375			Chemical Reactions
GLYOCARBOLIG-RXN	EC-4.1.1.47	GLYCOLATEMET-PWY		Chemical Reactions
RXN-5284		PWY-7159 // CHLOROPHYLL-SYN // RXN-13191		Chemical Reactions
RXN-9234	EC-1.14.13.M56	PWY-5857		Chemical Reactions
RXN-23344	EC-2.5.1	PWY-8388		Small-Molecule Reactions
RXN-18244	EC-2.4.1.37	PWY-7832		Chemical Reactions
RXN-18436		RXN-8815 // PWY-5637		Chemical Reactions
RXN-20055		PWY-6540		Chemical Reactions
RXN-8608	EC-4.2.3.73	PWY-6291		Chemical Reactions
RXN-12411	EC-1.3.99.26			Small-Molecule Reactions
RXN-23097		PWY-8361		Chemical Reactions
RXN0-7083				Chemical Reactions
RXN-18969		RXN-8190		Chemical Reactions
RXN-12345	EC-4.2.1.151	PWY-7371 // PWY-7374		Chemical Reactions
RXN-14599	EC-3.2.1.z			Small-Molecule Reactions
RXN-19782	EC-3.1.1.11			Chemical Reactions
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1	PWY0-1296 // PWY-5695 // SALVPURINE2-PWY		Chemical Reactions
RXN-9058		PWY-6427		Chemical Reactions
PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN	EC-3.1.3.64	PWY-6368 // PWY-6580		Chemical Reactions
FORMIMINOGLUTAMASE-RXN	EC-3.5.3.8	HISDEG-PWY		Chemical Reactions
L-FUCONATE-HYDRATASE-RXN	EC-4.2.1.68	PWY-8444 // PWY-8318		Chemical Reactions
RXN-10760	EC-3.5.1.100			Chemical Reactions
4.3.1.16-RXN	EC-4.3.1.16			Chemical Reactions
RXN-9946	EC-3.2.1.147			Chemical Reactions
CYTIDINEKIN-RXN	EC-2.7.1.48			Chemical Reactions
RXN-13933	EC-2.1.1	PWY-7161		Chemical Reactions
RXN-20044	EC-4.2.3.199			Chemical Reactions
RXN-25270	EC-1.16.2	PWY-8579		Chemical Reactions
RXN-14860	EC-1.5.1	PWY-8450		Chemical Reactions
RXN-16728	EC-2.7.1.190			Chemical Reactions
RXN-10847	EC-2.1.1.164	PWY-6324		Chemical Reactions
RXN66-339		PWY66-377 // 1.14.15.6-RXN		Chemical Reactions
RXN-16756	EC-1.2.1.95			Chemical Reactions
RXN-8486	EC-3.5.99	PWY-5403		Chemical Reactions
RXN-13550	EC-2.1.1.283	PWY-7079		Chemical Reactions
RXN-18036	EC-2.4.1	PWY-7817		Chemical Reactions
RXN-25010	EC-2.8.1.7	PWY-8561		Small-Molecule Reactions
RXN-16964	EC-1.1.1.389	PWY-7562		Chemical Reactions
D-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.1		D-glutamate transferase	Chemical Reactions
RXN-15930		PWY-7569 // PWY-7570		Chemical Reactions
RXN-7655	EC-1.14.14	PWY-5061		Chemical Reactions
RXN-23050		PWY-8358		Chemical Reactions
RXN-14467	EC-2.6.1.58	PWY-7275		Chemical Reactions
RXN-15399		PWY-7477		Small-Molecule Reactions
RXN-8521		PWY-5413		Chemical Reactions
RXN-22992		RXN-22993		Chemical Reactions
RXN-21180	EC-1.14.18.12			Chemical Reactions
ALPHA-13-GLUCAN-SYNTHASE-RXN	EC-2.4.1.183			Chemical Reactions
GPH-RXN	EC-3.1.3.1 // EC-3.1.3.18	PWY-181 // PWY-8363 // PWY-8362		Chemical Reactions
RXN-18571				Chemical Reactions
RXN2G6Z-3	EC-2.7.1.166	PWY-8284-1		Chemical Reactions
RXN-11211	EC-3.5.2.2	PWY-6430		Chemical Reactions
RXN-22879	EC-4.3.99.M6	PWY-8337		Chemical Reactions
2.3.1.103-RXN	EC-2.3.1.103	PWY-3301		Chemical Reactions
RXN-8920	EC-2.5.1.93	PWY-5701		Chemical Reactions
6PGLUCONDEHYDROG-RXN	EC-1.1.1.351	P122-PWY	phosphogluconate dehydrogenase [NAD(P)+-dependent, decarboxylating]	Chemical Reactions
RXN-13085			L-pyrrolysine synthase	Chemical Reactions
RXN-5603	EC-1.1.1	PWY-3162		Chemical Reactions
RXN-17957	EC-2.7.8.37	PWY-7807		Chemical Reactions
RXN-15977	EC-1.3.3.6	PWY-7854 // PWY-7574	propionyl-CoA oxidase	Chemical Reactions
RXN-20994	EC-1.3.1.34			Chemical Reactions
RXN-16881		PWY-7691		Chemical Reactions
RXN-14113	EC-3.1.4.16			Chemical Reactions
RXN-18873		WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7916		Chemical Reactions
RXN-13492		PWY-7066 // RXN-13506		Chemical Reactions
L-GULONATE-3-DEHYDROGENASE-RXN	EC-1.1.1.45	PWY-5525		Chemical Reactions
RXN-9897				Chemical Reactions
RXN-11180		PWY-6420		Chemical Reactions
1.14.13.66-RXN	EC-1.14.13.66			Chemical Reactions
RXN-25194	EC-1.14.14	PWY-5318		Chemical Reactions
RXN-11881	EC-1.14.14.154	PWY-8239 // PWY-8191		Small-Molecule Reactions
RXN-10878	EC-2.8.2.M2			Chemical Reactions
RXN-13175	EC-2.6.1.95	PWY-7016		Chemical Reactions
RXN-14168		PWY-7186		Chemical Reactions
2.7.7.36-RXN	EC-2.7.7.36			Chemical Reactions
RXN-13554		PWY-7080		Chemical Reactions
RXN-16610	EC-4.2.1.110			Chemical Reactions
RXN-8875	EC-2.4.1	PWY-5666		Chemical Reactions
--MENTHOL-MONOOXYGENASE-RXN	EC-1.14.13.46			Chemical Reactions
RXN-4732	EC-2.4.1	PWY-2901		Chemical Reactions
RXN-11709	EC-1.1.1	PWY-6626		Chemical Reactions
LYSINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.32			Chemical Reactions
ARYL-ACYLAMIDASE-RXN	EC-3.5.1.13			Chemical Reactions
RXN-12514	EC-2.5.1.104	PWY-6834		Chemical Reactions
RXN-15585	EC-1.14.13	PWY-7513		Chemical Reactions
RXN-25259	EC-2.3.1.M129			Chemical Reactions
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31	PWY-5344		Chemical Reactions
RXN-24302				Chemical Reactions
RXN-18504		RXN-18564 // PWY-7863		Chemical Reactions
RXN-23325		PWY-8387 // RXN-23328		Chemical Reactions
RXN-19294	EC-5.3.3.22			Chemical Reactions
RXN-16714	EC-6.2.1	PWY-7671		Chemical Reactions
GUANIDOACETATE-KINASE-RXN	EC-2.7.3.1			Chemical Reactions
RXN-12043	EC-1.21.99	PWY-6688	3,3',5,5'-tetraiodothyronamine 5'-deiodinase	Chemical Reactions
RXN-16135	EC-4.2.1.17	PWY-7606		Chemical Reactions
HYOSCYAMINE-6-DIOXYGENASE-RXN	EC-1.14.11.11	PWY-5317 // PWY-7341		Chemical Reactions
RXN-23323	EC-1.14.13.236			Chemical Reactions
RXN-17199	EC-2.1.1.326			Small-Molecule Reactions
RXN-9190	EC-2.5.1.74	PWY-5839		Chemical Reactions
TOLUENE-4-MONOOXYGENASE-RXN	EC-1.14.13.236	TOLUENE-DEG-3-OH-PWY // TOLUENE-DEG-4-OH-PWY		Chemical Reactions
RXN-23488	EC-1.3.1.48	PWY-8399		Chemical Reactions
RXN-17138	EC-1.11.1.14			Chemical Reactions
NAPHTHALENE-12-DIOXYGENASE-RXN	EC-1.14.12.12	PWY-5427		Chemical Reactions
RXN-24019	EC-2.1.1.M66	PWY-8463		Chemical Reactions
RXN-24678		PWY-8530		Chemical Reactions
RXN-17191	EC-2.3.1	RXN-19481 // PWY-7769 // PWY-6322		Chemical Reactions
RXN-21611	EC-2.3.1.300	PWY-8582 // PWY-8175		Chemical Reactions
RXN-12562	EC-1.1.1			Chemical Reactions
RXN-1021	EC-1.2.1	PWY-282		Chemical Reactions
RXN-23329		PWY-8387		Chemical Reactions
HAMAMELOSE-KINASE-RXN	EC-2.7.1.102			Chemical Reactions
RXN-15614	EC-1.3.8.o			Small-Molecule Reactions
RXN-21038	EC-2.3.1.304			Chemical Reactions
RXN-14527	EC-2.1.1	PWY-7285		Chemical Reactions
RXN-25028		PWY-8562		Small-Molecule Reactions
RXN-22566	EC-2.3.3.M4	PWY-7784 // PWY-8305		Small-Molecule Reactions
RXN-16549	EC-2.3.1	PWY-7656		Chemical Reactions
RXN-11779		PWY-6653		Chemical Reactions
RXN-7630	EC-1.14.14	PWY-5048		Chemical Reactions
RXN-20725	EC-3.1.8.1	PWY-8065		Chemical Reactions
RXN-8959	EC-1.3.8.12	PWY-5741		Chemical Reactions
RXN-7302	EC-3.1.3.62	PWY-4781		Chemical Reactions
ASPULVINONE-DIMETHYLALLYLTRANSFERASE-RXN	EC-2.5.1.35			Chemical Reactions
RXN-14891		PWY-6790		Chemical Reactions
RXN-9349	EC-4.2.3.37	PWY-5887		Chemical Reactions
RXN-22083	EC-2.4.1	PWY-8218		Chemical Reactions
RXN-20610		RXN-20616		Chemical Reactions
RXN-23674	EC-1.3.1.3			Chemical Reactions
RXN-12062		CAMALEXIN-SYN // PWY-8024 // PWY-581 // PWY-601 // RXN-1402	<i>N</i>-hydroxy-L-tryptophan <em>N</em>-monooxygenase	Chemical Reactions
RXN-16887	EC-2.1.1	PWY-7692		Chemical Reactions
RXN-10961	EC-3.1.3	PWY-6368		Chemical Reactions
RXN-13665	EC-4.4.1	PWY-7105		Chemical Reactions
AMINOPROPDEHYDROG-RXN	EC-1.1.1.75	PWY-7378		Chemical Reactions
RXN-991	EC-1.14.11	PWY-102		Chemical Reactions
RXN-21619	EC-4.2.1.59	PWY-8173		Chemical Reactions
RXN-21751	EC-1.3.8	PWY-8179		Chemical Reactions
RXN-21945	EC-2.4.1	PWY-8241		Chemical Reactions
RXN-19258		PWY-7954		Chemical Reactions
RXN0-5298	EC-5.1.3.29	PWY-8444 // PWY-8318 // FUCCAT-PWY		Chemical Reactions
2.1.1.90-RXN	EC-2.1.1.90			Chemical Reactions
GLYCEROL-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.372 // EC-1.1.1.72			Chemical Reactions
RXN-22160	EC-2.4.1.308	PWY-8230		Chemical Reactions
RXN-20955	EC-1.14.14	PWY-6032		Chemical Reactions
DISCADENINE-SYNTHASE-RXN	EC-2.5.1.24			Chemical Reactions
RXN-20767	EC-1.16.1.10	RXN0-6555		Chemical Reactions
RXN-7660		RXN-10625 // PWY-5063		Chemical Reactions
RXN-16252	EC-1.14.13	PWY-7624		Chemical Reactions
RXN-12261		PWY-6766 // PWY-6763		Chemical Reactions
5.1.3.20-RXN	EC-5.1.3.20	PWY0-1241		Chemical Reactions
RXN-16000		RXN-16001		Chemical Reactions
RXN-23332		UBIQUITIN--PROTEIN-LIGASE-RXN		Chemical Reactions
RXN-21232	EC-1.10.3.2			Chemical Reactions
RXN-11234				Chemical Reactions
ISOBUTYRALDOXIME-O-METHYLTRANSFERASE-RXN	EC-2.1.1.91			Chemical Reactions
RXN-16944				Chemical Reactions
RXN-22709	EC-1.5.1.3			Chemical Reactions
RXN-9630	EC-5.4.99.31	PWY-5992		Chemical Reactions
RXN-18798	EC-1.8.2.6	PWY-5296		Chemical Reactions
RXN-11079	EC-3.1.3.111	PWY185E-8		Chemical Reactions
RXN-16227		PWY-6084		Chemical Reactions
RXN-16818	EC-1.7.2	PWY-7683		Chemical Reactions
RXN-18022		RXN-18023 // PWY-7557		Chemical Reactions
RXN-14928	EC-2.1.1.296	PWY-7379		Chemical Reactions
RXN-19559		RXN-19560		Chemical Reactions
RXN-17935		RXN0-6566 // RXN-17908 // RXN-17905		Chemical Reactions
RXN-18566	EC-2.3.3.20			Chemical Reactions
RXN-7716	EC-1.8.1.4	PWY-7382 // 2OXOGLUTARATEDEH-RXN // PWY-5084		Chemical Reactions
RXN-16567	EC-4.2.1.159			Small-Molecule Reactions
2.4.1.115-RXN	EC-2.4.1.115	PWY-5125		Chemical Reactions
RXN-22985		PWY-8353		Chemical Reactions
1.14.13.36-RXN	EC-1.14.14.96	PWY-6039 // PWY-361		Chemical Reactions
RXN-21624	EC-1.3.1.9	PWY-8173		Chemical Reactions
RXN-12802	EC-2.1.1.239	PWY-6971		Chemical Reactions
RXN-8264	EC-2.4.1.237	PWY-5321 // PWY-7157 // PWY-7129		Chemical Reactions
RXN0-5114	EC-3.1.3.1 // EC-3.1.3.3	SERSYN-PWY		Chemical Reactions
RXN-25306	EC-1.14.14.105	PWY-5660		Chemical Reactions
RXN-6541	EC-1.14.11	PWY-5070		Chemical Reactions
RXN-15738	EC-1.14.14	PWY-7540		Chemical Reactions
RXN-7692	EC-4.1.1.72	PWY-6871 // PWY-5076		Chemical Reactions
RXN-20179	EC-1.1.98.7			Chemical Reactions
RXN-22909	EC-2.1.1.260			Chemical Reactions
RXN18HP-7	EC-2.4.1.M35	PWY18HP-2		Chemical Reactions
ESTRADIOL-6-BETA-MONOOXYGENASE-RXN	EC-1.14.99.11			Chemical Reactions
RXN-16280	EC-2.7.1.187			Chemical Reactions
RXN-10945	EC-3.1.3.62	PWY-6366		Chemical Reactions
RXN-13023		RXNQT-4310		Chemical Reactions
RXN-9471		PWY-5940		Chemical Reactions
PYRANOSE-OXIDASE-RXN	EC-1.1.3.10			Chemical Reactions
OROPRIBTRANS-RXN	EC-2.4.2.10	PWY-7790 // PWY-7791 // PWY-5686		Chemical Reactions
RXN-7875		PWY66-377 // 1.14.15.6-RXN		Chemical Reactions
RXN-18949	EC-2.4.1	PWY-7922		Chemical Reactions
RXN-16291	EC-6.3.2.47	PWY-7706		Chemical Reactions
RXN-14873		PWY-7363		Chemical Reactions
RXN3O-5293	EC-2.3.1.86	PWYG-321 // PWY3O-355		Chemical Reactions
RXN-11269		RXN-24254		Chemical Reactions
2.8.2.34-RXN	EC-2.8.2.34			Chemical Reactions
RXN-13889	EC-3.1.1.6		sophorosyloxyfatty acid 6',6''-diacetate acetylesterase	Chemical Reactions
RXN-10881	EC-2.1.1			Chemical Reactions
RXN0-5199	EC-2.4.2.15 // EC-2.4.2.1	PWY-8440 // PWY-5532 // PWY0-1296 // PWY-6620 // PWY-6608		Chemical Reactions
CITRAMALYL-COA-LYASE-RXN	EC-4.1.3.25	PWY-5744 // PWY-5749		Chemical Reactions
RXN-16746	EC-1.1.3.48	PWY-7674		Chemical Reactions
RXN-20617	EC-2.1.1.355			Small-Molecule Reactions
RXN-24221	EC-1.14.11.M41	PWY-8481		Chemical Reactions
ADP-RIBOSYLARGININE-HYDROLASE-RXN	EC-3.2.2.19			Chemical Reactions
R108-RXN				Chemical Reactions
RXN-24894	EC-1.1.1.210			Chemical Reactions
3.2.1.52-RXN	EC-3.2.1.52			Chemical Reactions
RXN-19047		PWY-7928 // PWY-8561 // RXN-25014 // RXN-19050		Chemical Reactions
RXN-2003	EC-1.1.1.35	PWY-6458 // P281-PWY // PWY-6443		Chemical Reactions
RXN-18754	EC-4.2.1.M14			Chemical Reactions
RXN18C3-13	EC-2.4.1	PWY18C3-4		Chemical Reactions
RXN-18423		RXN-18422		Chemical Reactions
RXN-15609	EC-2.5.1	PWY-7520	didemethylasterriquinone D prenyltransferase	Chemical Reactions
RXN-18948	EC-2.4.1.M30	PWY-7922		Chemical Reactions
RXN-13448	EC-2.1.1	PWY-7055		Chemical Reactions
RXN-12391	EC-2.4.1.25	PWY-6724		Chemical Reactions
RXN-18333	EC-2.3.3			Chemical Reactions
TUBULIN-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.108			Chemical Reactions
2.7.7.34-RXN	EC-2.7.7.34	PWY-5661		Chemical Reactions
3.5.3.21-RXN	EC-3.5.1.141	PWY-8594		Small-Molecule Reactions
RXN-25050	EC-1.1.1.181			Chemical Reactions
RXN-23846				Chemical Reactions
RXN-12747	EC-1.1.1.145	PWY-8152 // PWY-6944	5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA 5-dehydrogenase	Chemical Reactions
RXN-15028		PWY-7407		Chemical Reactions
RXN-22685	EC-2.4.1	PWY-8322		Chemical Reactions
RXN-15669	EC-2.3.1	PWY-7532	aszonalenin N-acetyltransferase	Chemical Reactions
RXN-7927	EC-4.1.1.24			Chemical Reactions
RXN-18154	EC-1.16.3.3			Small-Molecule Reactions
RXN-20087	EC-2.1.1.M50			Chemical Reactions
1.13.11.38-RXN	EC-1.13.11.38			Chemical Reactions
RXN-7248		PWY-4702		Chemical Reactions
RXN-14440	EC-2.4.1.300	PWY-7259	pelargonidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase	Chemical Reactions
RXN1-42	EC-2.3.1.304	PWY1-3		Chemical Reactions
RXN0-3601	EC-2.8.3.21	CARNMET-PWY		Chemical Reactions
RXN-17401	EC-4.2.1.106			Chemical Reactions
RXN-12223	EC-1.14.99.44	PWY-6767		Small-Molecule Reactions
RXN-10138		PWY-6199		Chemical Reactions
RXN-10464	EC-1.5.3.16			Chemical Reactions
2.3.1.149-RXN	EC-2.3.1.149			Chemical Reactions
RXN-24021		PWY-8464		Chemical Reactions
RXN-12954	EC-2.3.1.224	PWY-5867 // PWY-5882	coumaryl alcohol acetyltransferase	Chemical Reactions
1.1.1.83-RXN	EC-1.1.1.83	PWY-7469 // PWY0-1465		Small-Molecule Reactions
3.2.1.11-RXN	EC-3.2.1.11			Chemical Reactions
RXN-23072		PWY-8361		Chemical Reactions
RXN-21937	EC-2.4.1	PWY-8206		Chemical Reactions
RXN-23565	EC-3.1.1.4	PWY-8411		Chemical Reactions
RXN-11661	EC-1.10.3	PWY-5787		Chemical Reactions
2.3.1.42-RXN	EC-2.3.1.42	PWY-7782		Chemical Reactions
HEMN-RXN	EC-1.3.98.3	PWY-5531 // HEMESYN2-PWY		Chemical Reactions
RXN-19519	EC-2.3.1	PWY-8082		Chemical Reactions
RXN-18794	EC-6.2.1.55			Chemical Reactions
RXN-9152		PWY-5822		Chemical Reactions
RXN-12757	EC-5.4.4.5		9,12-octadecdienoate 8-hydroperoxide 8R-isomerase	Chemical Reactions
RXN-19003	EC-2.4.3.1	PWY-7426		Chemical Reactions
1.97.1.8-RXN	EC-1.21.99.5	PCEDEG-PWY		Chemical Reactions
RXN-23816	EC-1.1.3.50			Chemical Reactions
RXN1G-1436	EC-3.1.3.12	PWYG-321		Chemical Reactions
RXN-21310	EC-1.1.1.422			Chemical Reactions
2.3.1.118-RXN	EC-2.3.1.118			Chemical Reactions
RXN-13134	EC-1.13.11	PWY-7006		Chemical Reactions
RXN3O-1803	EC-2.3.1.86	PWYG-321 // PWY3O-355		Chemical Reactions
RXN-20660	EC-3.2.2.M2			Chemical Reactions
RXN8J2-219	EC-2.3.1.204	PWY-6987		Chemical Reactions
1.2.1.56-RXN	EC-1.1.1.280			Chemical Reactions
D-LYSINE-56-AMINOMUTASE-RXN	EC-5.4.3.3			Chemical Reactions
1.14.11.18-RXN	EC-1.14.11.18			Chemical Reactions
RXN-13314	EC-2.4.1	PWY-7037		Chemical Reactions
PYRAZIN-RXN	EC-3.5.1.4			Chemical Reactions
RXN-18825	EC-4.2.3.171			Chemical Reactions
RXN-22062				Chemical Reactions
RXN0-6952	EC-3.1.1.32			Chemical Reactions
RXN-13353		PWY-7041		Chemical Reactions
RXN-23984	EC-2.4.1	PWY-8459		Chemical Reactions
RXN-15233	EC-2.6.1	PWY-7104 // PWY-7440		Chemical Reactions
RXN-11	EC-2.3.1.216	PWY-12		Chemical Reactions
RXN-23695	EC-2.4.1	PWY-8434		Chemical Reactions
RXN-25609	EC-1.3.1.az			Chemical Reactions
RXN-24212	EC-3.5.99.12			Chemical Reactions
RXN-23220	EC-3.6.1.54	PWY2G6Z-2		Chemical Reactions
RXN-11731	EC-4.1.2.47			Chemical Reactions
RXN-15886	EC-1.14.19	PWY-7561		Chemical Reactions
ORSELLINATE-DECARBOXYLASE-RXN	EC-4.1.1.58			Chemical Reactions
GUANYLCYC-RXN	EC-4.6.1.2			Chemical Reactions
RXNQT-4397	EC-2.4.1.M78	PWY-6546		Chemical Reactions
RXN8J2-169		PWY-8489		Chemical Reactions
RXN-16942	EC-2.3.1	PWY-7696		Chemical Reactions
RXN-8473	EC-2.4.1.271	PWY-5398		Chemical Reactions
3.6.1.17-RXN	EC-3.6.1.17			Chemical Reactions
GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN	EC-2.4.1.69	PWY-7839		Chemical Reactions
GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.2	GLYCGREAT-PWY		Chemical Reactions
RXN-18696	EC-3.5.1.128			Chemical Reactions
RXN-13649	EC-5.4.3.11			Chemical Reactions
RXN-21225	EC-2.3.1.16			Chemical Reactions
RXN-9602		PWY-5984		Chemical Reactions
CYSTATHIONASE-RXN				Chemical Reactions
RXN-24998				Chemical Reactions
RXN0-262	EC-2.7.7.77	PWY-5964		Chemical Reactions
RXN-12001	EC-2.5.1	PWY-6681		Chemical Reactions
4-METHYLENEGLUTAMATE--AMMONIA-LIGASE-RXN	EC-6.3.1.7			Chemical Reactions
RXN-19877	EC-3.6.1	PWY-5757		Chemical Reactions
RXN-14037				Chemical Reactions
RXN-14373		PWY-622		Chemical Reactions
COENZYME-F420-HYDROGENASE-RXN	EC-1.12.98.1	PWY-5207		Chemical Reactions
RXN-20465	EC-4.2.1.181	PWY-8047		Chemical Reactions
ASCORBATE-PHOSPHORYLATION-IV-RXN	EC-2.7.1		ascorbate phosphorylation IV	Chemical Reactions
RXN-11740	EC-1.14.13.209	PWY-6640		Chemical Reactions
RXN-11288		PWY-6447		Chemical Reactions
RXN-12543	EC-3.5.1.136	PWY-6855		Chemical Reactions
RXN-20185	EC-1.14.11.77			Chemical Reactions
RXN-21097	EC-1.14.14.M56	PWY-8116		Chemical Reactions
RXN-21402		PWY-6959		Chemical Reactions
RXN-13600	EC-4.1.2	PWY-7089		Chemical Reactions
RXN1I0R-19	EC-3.2.1			Chemical Reactions
RXN-22866		RXN-22846		Chemical Reactions
RXN-14617	EC-3.2.1.191 // EC-3.2.1.z			Small-Molecule Reactions
RXN-23275				Chemical Reactions
RXN-11510	EC-1.4.98	PWY-6534		Chemical Reactions
RXN-23119	EC-2.5.1.155	PWY-8365		Chemical Reactions
RXN-22163	EC-2.3.1	PWY-8231		Chemical Reactions
RXN-24298	EC-1.97.1	PWY8J2-26		Chemical Reactions
RXN-23117	EC-2.1.1.350	PWY-8364		Chemical Reactions
RXN-14128	EC-1.1.99	PWY-8504		Chemical Reactions
RXN-19387	EC-1.1.1.91			Chemical Reactions
RXN-17195	EC-6.2.1	PWY-7769		Chemical Reactions
PYRUVATE-DECARBOXYLASE-RXN	EC-4.1.1.1			Chemical Reactions
RXN-21948	EC-2.4.1	PWY-8224 // PWY-8235		Chemical Reactions
RXN-12994	EC-1.1.1.330	PWY-7724 // PWY-7619 // PWY-7602		Chemical Reactions
RXN-9920	EC-3.1.3		[protein]-serine phosphatase	Chemical Reactions
RXN-25055		PWY-8563		Chemical Reactions
RXN-13494		PWY-7066 // RXN-13506		Chemical Reactions
LINE-RXN		GAMMAHEXCHLORDEG-PWY		Chemical Reactions
RXN-15806	EC-1.2.98	PWY-7554		Chemical Reactions
RXN-14437		RXN-14431		Chemical Reactions
RXN-20628		RXN-20594		Chemical Reactions
RXN-16455	EC-1.14.15	PWY-7638		Chemical Reactions
RXN-16139	EC-3.1.1.4	PWY-8399 // PWY66-394		Chemical Reactions
RXN-16089	EC-6.3.2	PWY-7600		Chemical Reactions
RXN2DNV-10	EC-3.2.1	PWY2DNV-3		Chemical Reactions
RXN-22474	EC-3.5.1.90			Chemical Reactions
