Reaction	EC-Number	In-Pathway	Common-Name	Names
SINAPINE-ESTERASE-RXN	EC-3.1.1.49	PWY-3301		Chemical Reactions
RXN-11938	EC-1.1.1.418	PWY-2541		Chemical Reactions
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1	P221-PWY		Chemical Reactions
RXN18C3-24	EC-2.3.1	PWY18C3-8	sucrose 4-isobutanoyltransferase	Chemical Reactions
3.3.2.8-RXN	EC-3.3.2.8	PWY-5923		Chemical Reactions
RXN-8419	EC-4.2.3			Chemical Reactions
RXN-17155	EC-2.3.1	PWY-7735		Chemical Reactions
RXN-22365		PWY-8264		Chemical Reactions
RXN-9425	EC-1.1.1.296	PWY-5927		Chemical Reactions
RXN-24043	EC-1.17.7.4	NONMEVIPP-PWY		Chemical Reactions
RXN-22204	EC-1.1.1.418	PWY-8238		Chemical Reactions
RXN-18449	EC-2.5.1.137	PWY-5133		Chemical Reactions
RXN-24642		PWY-8528		Chemical Reactions
RXN-21184	EC-6.2.2.3			Chemical Reactions
R344-RXN		PWY-7962 // RXN-19339		Chemical Reactions
RXN-9757	EC-1.4.3.M4	PWY-6055		Chemical Reactions
RXN0-7022	EC-6.3.2.45			Chemical Reactions
METHANE-MONOOXYGENASE-RXN	EC-1.14.13.25	PWY-6523 // PWY-1641		Chemical Reactions
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30	PWY-I9 // PWY-8071 // PWY-7870 // PWY-7274 // PWY-6936 // CYSTSYN-PWY		Chemical Reactions
RXN-12695	EC-2.3.1	PWY-6930		Chemical Reactions
RXN-21241	EC-4.1.99.26	PWY-8122		Chemical Reactions
3.1.4.13-RXN	EC-3.1.4.13			Chemical Reactions
RXN-22336		PWY-4202 // PWY-8266 // RXN-21028		Chemical Reactions
RXN-14103				Chemical Reactions
RXN-16649	EC-3.4.16.4	PWY0-1586		Chemical Reactions
RXN-21004	EC-4.1.2.61			Small-Molecule Reactions
RXN-24237				Chemical Reactions
RXN-22441				Chemical Reactions
RXN-20056		PWY0-1599 // RXN-19950 // RXN-20159		Chemical Reactions
RXN-11365	EC-3.1.3.83	PWY-6478		Chemical Reactions
2.1.1.120-RXN	EC-2.1.1.120	PWY-5287		Chemical Reactions
RXN-18020	EC-2.4.1.355	PWY-7816		Chemical Reactions
RXN185E-51	EC-2.4.1	PWY185E-6		Chemical Reactions
RXN-8573	EC-4.2.3			Chemical Reactions
RXN-19102		PWY-7932		Chemical Reactions
RXN-18132	EC-1.1	PWY-7826		Chemical Reactions
RXN1UA-69		RXN-24802		Chemical Reactions
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2	GLUTAMATE-SYNTHASE-NADH-RXN // P162-PWY // PWY-8190 // PWY-5022 // PWY-6728 // PWY-7126 // ALACAT2-PWY // GLUTAMATE-DEG1-PWY		Chemical Reactions
RXN-12421	EC-1.14.14.48	PWY-7859		Chemical Reactions
RXN-20286	EC-2.3.1.M74	PWY-8036		Chemical Reactions
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9	PWY-7183		Chemical Reactions
RXN-644	EC-1.13.11	PWY-721		Chemical Reactions
PRPPSYN-RXN	EC-2.7.6.1	PWY0-662		Chemical Reactions
RXN0-7389		RXN0-5329 // PWY0-1324		Chemical Reactions
RXN-17716	EC-1.3.1.112			Chemical Reactions
RXN-11123		PWY-6408		Chemical Reactions
ISOMALTULOSE-SYNTHASE-RXN	EC-5.4.99.11			Chemical Reactions
RXN-9488	EC-3.1.1.94	PWY-5955		Chemical Reactions
RXN-20634		RXN-20594		Chemical Reactions
RXN-18530	EC-2.3.1.264			Chemical Reactions
RXN1G-236	EC-2.3.1.293	PWYG-321	cis-delta13-3-oxo-C32:1-[acyl-carrier protein] synthase	Chemical Reactions
RXN-15798	EC-6.3.2	PWY-7549		Chemical Reactions
RXN-20637		RXN-13186		Chemical Reactions
RXN-20209	EC-2.1.1.353	PWY-8033		Chemical Reactions
RXN-12519	EC-5.3.3.8	PWY-6837		Chemical Reactions
HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	EC-3.1.1.22			Chemical Reactions
RXN-16092	EC-1.1.99	PWY-7599		Chemical Reactions
TRYPTOPHAN-AMINOTRANSFERASE-RXN	EC-2.6.1.57 // EC-2.6.1.27 // EC-2.6.1.1	PWY-8585 // PWY-8017 // PWY-581 // TRPIAACAT-PWY // PWY-5081 // TRPKYNCAT-PWY		Chemical Reactions
RXN18C3-3	EC-1.14.14	PWY-8477 // PWY18C3-3 // PWY18C3-2		Chemical Reactions
RXN-13848	EC-1.14.13	PWY-7151	3,6,7,4'-methylquercetagetin 2'-monooxygenase	Chemical Reactions
1.1.3.41-RXN	EC-1.1.3.41			Chemical Reactions
RXN-12278	EC-3.2.1.2	PWY-6724		Chemical Reactions
RXN-18033	EC-2.7.8.M1			Chemical Reactions
RXN-21729	EC-3.1.7.13	PWY-8177		Chemical Reactions
RXN0-7386	EC-1.6.5.2			Chemical Reactions
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	EC-1.1.1.238	PWY-8256		Chemical Reactions
RXN-12302	EC-3.2.1.41			Chemical Reactions
RXN-10763				Chemical Reactions
RXN-24012	EC-2.3.1.16	PWY-8463		Chemical Reactions
RXN-19841		CAMALEXIN-SYN // PWY-8024 // RXN-20041 // RXN-19835		Chemical Reactions
RXN-16073	EC-1.14.14	PWY-7599		Chemical Reactions
RXN0-949	EC-2.8.1.8	PWY0-1275 // PWY0-501		Chemical Reactions
RXN-13659	EC-5.1.3	PWY-7104		Chemical Reactions
RXN-13374	EC-1.13.11.63	PWY-6857		Chemical Reactions
RXN-24864	EC-2.7.11			Chemical Reactions
THYKI-RXN	EC-2.7.1.145 // EC-2.7.1.21	PWY-7199		Chemical Reactions
RXN-11310	EC-2.3.2.16	PWY-6462		Chemical Reactions
RXN-19583	EC-4.4.1.13			Small-Molecule Reactions
RXN-12814	EC-2.5.1.153			Chemical Reactions
RXN-8660			[histone-H3]-lysine-36 demethylase	Chemical Reactions
RXN-13184	EC-1.4.1.23			Chemical Reactions
RXN-25564	EC-2.5.1			Chemical Reactions
RXN-25327		RXN-25326		Chemical Reactions
RXN-17435	EC-4.2.1.169	PWY-7760 // PWY-7758 // PWY-7759		Chemical Reactions
RXN2DNV-20	EC-2.4.1	PWY2DNV-5		Chemical Reactions
RXN-21496	EC-1.1.1	PWY-8155		Chemical Reactions
RXN-23837	EC-3.2.1.220			Chemical Reactions
6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN	EC-1.14.20.13	PWY-5317 // PWY-7341		Chemical Reactions
RXN-25274		PWY-8580		Chemical Reactions
RXN-13726	EC-2.1.1.9			Chemical Reactions
RXN-18481	EC-3.5.1.127	PWY-7859		Chemical Reactions
RXN2DNV-2	EC-2.4.1.182	PWYI-14		Chemical Reactions
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	dihydrolipoyllysine-residue (3-methylbutanoyl)transferase	Chemical Reactions
ORNITHINE-RACEMASE-RXN	EC-5.1.1.10 // EC-5.1.1.12	PWY-6344 // PWY-7990		Chemical Reactions
RXN-7674	EC-2.5.1.62	PWY-5068		Chemical Reactions
RXN-18346	EC-1.14.99.57	PWY-7848		Chemical Reactions
RXN-13162	EC-2.5.1.21			Small-Molecule Reactions
RXN-21516	EC-1.14.19	PWY-8158		Chemical Reactions
RXN-13858	EC-1.14.19.12	PWY-7152		Chemical Reactions
RXN-23232		PWY-8379		Chemical Reactions
RXN-20968	EC-2.4.1.M56	PWY-6036		Chemical Reactions
RXN-19126	EC-3.1.3			Chemical Reactions
RXN-20230	EC-2.3.1.26			Chemical Reactions
RXN-19464	EC-6.2.1.69	PWY-8358 // PWY-8343		Chemical Reactions
GENTAMICIN-2-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.59			Chemical Reactions
RXN-23442	EC-1.13.11.33	PWY-8396		Chemical Reactions
RXN-14997				Chemical Reactions
RXN-17611				Chemical Reactions
RXN-15066	EC-2.3.1.23	PWY-7416		Chemical Reactions
