Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
2518R_R_M_S5_week10_S62_L001_R2_001	2518R_R_M_S5_week10_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103043.0	0.0	50-301	52.0	4.439894024824588	259.1016565899673	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3752R_0_F_S5_week10_S59_L001_R1_001	3752R_0_F_S5_week10_S59_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102927.0	0.0	53-301	50.0	1.7692150747617243	278.45154332682387	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3752R_0_F_S5_week10_S59_L001_R2_001	3752R_0_F_S5_week10_S59_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	102927.0	0.0	50-301	53.0	3.9960360255326592	258.41662537526594	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3752R_L_F_S5_week10_S60_L001_R1_001	3752R_L_F_S5_week10_S60_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91793.0	0.0	51-301	50.0	1.8421884021657426	278.5086553440894	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3752R_L_F_S5_week10_S60_L001_R2_001	3752R_L_F_S5_week10_S60_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91793.0	0.0	51-301	52.0	4.225812425784102	259.1709062782565	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3795R_R_F_S2_week10_S51_L001_R1_001	3795R_R_F_S2_week10_S51_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130868.0	0.0	50-301	48.0	1.7231103096249656	279.2513295840083	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3795R_R_F_S2_week10_S51_L001_R2_001	3795R_R_F_S2_week10_S51_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130868.0	0.0	50-301	51.0	3.147446281749549	262.49929700155883	277	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
3874R_0_F_NS1_week10_S75_L001_R1_001	3874R_0_F_NS1_week10_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106776.0	0.0	51-301	49.0	1.8365550310931296	278.66794036112987	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3874R_0_F_NS1_week10_S75_L001_R2_001	3874R_0_F_NS1_week10_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106776.0	0.0	50-301	52.0	4.382070877350715	259.5423971679029	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
3874R_L_F_NS1_week10_S76_L001_R1_001	3874R_L_F_NS1_week10_S76_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95557.0	0.0	54-301	49.0	1.9527611791914774	278.5253827558421	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3874R_L_F_NS1_week10_S76_L001_R2_001	3874R_L_F_NS1_week10_S76_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95557.0	0.0	50-301	52.0	4.608767541885995	259.7088334711219	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
