Sample name,Internal sample name,Suffix,Taxonomy (GTDB-tk),Community,NS1,NS6,S2,S5,Source sample ID
T1D_S_2_1_GAM_AN,S_S2_Cb_068,068,Enterocloster bolteae,S2,,,X,,T1D_S_2
T1D_S_5_17_FMU_AN,S_S5_Cb_096,096,Enterocloster bolteae,S5,,,,X,T1D_S_5
G37020C_EtOH_1_AN,S_NS1_Cc_012,012,Enterocloster citroniae,NS1,X,,,,T1D_NS_1
T1D_S_5_52_CNA_AN,S_S5_Cc_097,097,Enterocloster citroniae,S5,,,,X,T1D_S_5
T1D_S_2_5_FAA(EtOH)_AN,S_S2_Cc_070,070,Enterocloster clostridioformis,S2,,,X,,T1D_S_2
T1D_S_5_72_TSA_AN,S_S5_Cc_098,098,Enterocloster clostridioformis,S5,,,,X,T1D_S_5
T1D_NS_6_104_FAA(EtOH)_AN,S_NS6_Cb_042,042,Enterocloster sp005845215,NS6,,X,,,T1D_NS_6
T1D_NS_6_5_NA__AER,S_NS6_Ef_049,049,Enterococcus faecalis,NS6,,X,,,T1D_NS_6
T1D_NS_6_8_GAM__AER,S_NS6_Ef_050,050,Enterococcus faecalis,NS6,,X,,,T1D_NS_6
T1D_S_2_1_CNA_AER,S_S2_Ea_076,076,Enterococcus_A avium,S2,,,X,,T1D_S_2
T1D_S_2_6_Pec_AN,S_S2_Ea_077,077,Enterococcus_A avium,S2,,,X,,T1D_S_2
T1D_S_5_63_PEC_AN,S_S5_Ea_103,103,Enterococcus_A avium,S5,,,,X,T1D_S_5
G37020C_YPD_16_AN,S_NS1_Eh_016,016,Enterococcus_B durans,NS1,X,,,,T1D_NS_1
G37020C_MRS_12_AN,S_NS1_Em_017,017,Escherichia coli,NS1,X,,,,T1D_NS_1
G37020C_YPD_10_AN,S_NS1_Em_018,018,Escherichia coli,NS1,X,,,,T1D_NS_1
T1D_NS_6_5_GAM__AER,S_NS6_Ef_051,051,Escherichia coli,NS6,,X,,,T1D_NS_6
T1D_S_2_2_YPD_AER,S_S2_Ef_078,078,Escherichia coli,S2,,,X,,T1D_S_2
T1D_S_5_1_FAA_AN,S_S5_Ef_104,104,Escherichia coli,S5,,,,X,T1D_S_5
T1D_S_2_2_FAA-NB_AN,S_S2_Fp_079,079,Faecalibacterium longum,S2,,,X,,T1D_S_2
T1D_S_3_3_CNA_AN,S_S5_Fp_105,105,Faecalibacterium longum,S5,,,,X,T1D_S_3
G37020_12_EtOH_AN,S_NS1_Fp_019,019,Flavonifractor plautii,NS1,X,,,,T1D_NS_1
