	Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
30	30	ARO-PWY	Yes	Yes	7	7	Super-Pathways // Carboxylate-Biosynthesis	chorismate biosynthesis I // aromatic amino acid biosynthesis // shikimate pathway	Bacillus subtilis,Escherichia coli,Haemophilus influenzae,Petunia x hybrida,Saccharomyces cerevisiae,Salmonella enterica,Toxoplasma gondii,Arabidopsis thaliana	Bacteria	Biosynthesis	Superpathways			Carboxylic acid biosynthesis			
31	31	PWY-6165	Yes	Yes	8	5	Super-Pathways // Carboxylate-Biosynthesis	chorismate biosynthesis II (archaea)	Methanocaldococcus jannaschii,Methanococcus maripaludis	Non-Bacteria	Biosynthesis	Superpathways			Carboxylic acid biosynthesis			
32	32	PWY-6406	Yes	Yes	2	1	AROMATIC-COMPOUNDS-BIOSYN	salicylate biosynthesis I // salicylic acid biosynthesis	Mycobacterium tuberculosis,Pseudomonas aeruginosa,Yersinia enterocolitica,Yersinia pestis	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
33	33	PWY-8088	Yes	Yes	4	3	AROMATIC-COMPOUNDS-BIOSYN	dipicolinate biosynthesis // dipicolinic acid biosynthesis	Priestia megaterium,Bacillus subtilis	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
34	34	PWY-6707	Yes	Yes	2	1	AROMATIC-COMPOUNDS-BIOSYN	gallate biosynthesis	Escherichia coli,Juglans regia,Arabidopsis thaliana	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
35	35	PWY-6333	Yes	Yes	1	1	SECONDARY-METABOLITE-BIOSYNTHESIS	acetaldehyde biosynthesis I // anoxic acetaldehyde biosynthesis // flooding related acetaldehyde biosynthesis	Arabidopsis,Nicotiana tabacum,Oryza sativa,Pisum sativum,Solanum tuberosum,Zea mays	Non-Bacteria	Biosynthesis				Secondary metabolite biosynthesis			
36	36	PWY-1001	Yes	Yes	1	1	Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	cellulose biosynthesis	Escherichia coli,Arabidopsis thaliana	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways		Cell structure biosynthesis	Carbohydrate biosynthesis		
37	37	PWY-6981	Yes	No	9	4	Super-Pathways // Glycan-Pathways // Carbohydrates-Biosynthesis	chitin biosynthesis	Aedes aegypti,Apis mellifera,Bombyx mori,Drosophila melanogaster,Haemaphysalis longicornis,Helicoverpa armigera,Locusta migratoria,Manduca sexta,Phormia regina,Saccharomyces cerevisiae,Schistocerca gregaria,Spodoptera exigua,Spodoptera frugiperda	Non-Bacteria	Biosynthesis	Biosynthesis	Glycan pathways	Superpathways	Cell structure biosynthesis			
38	38	PWY-822	Yes	Yes	3	1	Glycan-Pathways // Carbohydrates-Biosynthesis	fructan biosynthesis	Allium cepa,Helianthus tuberosus,Hordeum vulgare	Bacteria	Biosynthesis	Glycan pathways			Carboxylic acid biosynthesis			
39	39	CALVIN-PWY	Yes	Yes	11	6	C1-COMPOUNDS // Carbohydrates-Biosynthesis	Calvin-Benson-Bassham cycle // photosynthetic dark reactions // photosynthetic CO<SUB>2</SUB> fixation // reductive pentose phosphate pathway // Calvin cycle // photosynthesis - dark reaction // carbon fixation // Calvin-Benson cycle	Chlamydomonas reinhardtii,Nicotiana tabacum,Synechococcus elongatus,Synechocystis sp. PCC 6803,Arabidopsis thaliana	Bacteria	Degradation/utilization/assimilation				C1 Compound utilization and assimilation			
