ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S5_Cc_097_v1v9_default_parsed_report.tsv	412	412	277	301	111	15	4	15	5	0	0	122	220	77	16	409	192
S_NS6_El_045_default_parsed_report.tsv	340	340	222	242	98	8	2	13	6	0	0	80	184	60	16	336	186
S_NS1_Fp_019_default_parsed_report.tsv	363	363	235	258	105	10	3	13	5	0	1	100	200	68	15	360	176
S_S5_Dg_099_default_parsed_report.tsv	360	360	233	265	95	14	4	15	4	0	0	90	205	58	16	357	190
S_S2_Rf_118_default_parsed_report.tsv	339	339	217	246	93	10	6	12	4	0	0	86	197	58	12	336	177
S_S5_Em_101_v1v9_default_parsed_report.tsv	395	395	261	284	111	17	4	16	7	0	1	98	212	78	18	392	198
S_NS6_El_044_default_parsed_report.tsv	342	342	220	243	99	7	3	13	6	0	0	78	184	64	16	338	187
S_NS1_Eh_016_default_parsed_report.tsv	373	373	241	264	109	13	5	16	6	0	1	96	198	67	19	369	187
S_NS1_Cc_012_v1v9_default_parsed_report.tsv	410	410	278	299	111	15	4	15	5	0	0	120	217	77	16	407	192
S_S5_Sc_120_default_parsed_report.tsv	399	399	274	274	125	7	7	15	7	0	1	106	203	69	21	396	201
S_S2_Bd_066_default_parsed_report.tsv	340	340	199	244	96	13	3	13	4	0	0	84	191	63	14	337	174
S_S5_Dg_099_v1v9_default_parsed_report.tsv	360	360	233	265	95	14	4	15	4	0	0	90	205	58	16	357	190
S_S5_El_100_v1v9_default_parsed_report.tsv	332	332	215	237	95	7	3	13	6	0	0	77	180	59	16	328	183
S_NS1_Ca_028_default_parsed_report.tsv	299	299	181	209	90	7	3	13	2	0	0	71	175	50	12	296	165
S_NS1_Pd_022_default_parsed_report.tsv	386	386	276	274	112	19	5	11	7	0	1	88	203	74	19	382	206
S_NS6_Cp_043_default_parsed_report.tsv	356	356	234	265	91	14	2	15	8	0	0	90	189	59	16	353	186
S_S5_Bp_095_v1v9_default_parsed_report.tsv	326	326	186	232	94	14	3	13	3	0	0	74	181	63	14	323	170
S_NS6_Bs_032_v1v9_default_parsed_report.tsv	366	366	259	258	108	19	5	11	5	0	1	78	199	66	17	362	204
S_NS6_Ss_059_v1v9_default_parsed_report.tsv	324	324	199	229	95	11	4	14	5	0	1	73	180	47	16	321	180
S_NS6_Em_046_default_parsed_report.tsv	387	387	251	281	106	22	4	16	7	0	1	94	208	71	18	384	201
S_S2_He_082_v1v9_default_parsed_report.tsv	375	375	253	272	103	15	5	13	5	0	1	103	203	63	15	372	188
